hotel_code_accor,hotel_code_norm,hotel_name,hotel_brand_code,hotel_brand,hotel_city,hotel_country,hotel_adresse,hotel_code_postal,url_hotel,source,source_query,hotel_name_norm,city_norm,country_slug,country_label,region,match_type
B7E2,B7E2,ibis Barra do Garças,IBH,IBIS,BARRA DO GARÇAS,Brésil,"Av Senador Varjao, 5341, Vila Sao Jose",78605084,https://all.accor.com/hotel/B7E2/index.fr.shtml,catalog_api,brazil,IBIS BARRA DO GARCAS,BARRA DO GARCAS,brazil,Brésil,americas,missing
B7C8,B7C8,Ibis Primavera do Leste,IBH,IBIS,PRIMAVERA DO LESTE,Brésil,,78850000,https://all.accor.com/hotel/B7C8/index.fr.shtml,catalog_api,brazil,IBIS PRIMAVERA DO LESTE,PRIMAVERA DO LESTE,brazil,Brésil,americas,missing
B300,B300,Ibis Styles Rondonopolis,IBS,IBIS STYLES,RONDONOPOLIS,Brésil,"Av Paulista 363, Qd 2 Lote 02",78730631,https://all.accor.com/hotel/B300/index.fr.shtml,catalog_api,brazil,IBIS STYLES RONDONOPOLIS,RONDONOPOLIS,brazil,Brésil,americas,missing
C1X6,C1X6,ibis Styles Goiânia Station Mall,IBS,IBIS STYLES,GOIANIA,Brésil,"WESTERN AVENUE 1690, Secteur Chemin de Fer du Nord",74063020,https://all.accor.com/hotel/C1X6/index.fr.shtml,catalog_api,brazil,IBIS STYLES GOIANIA STATION MALL,GOIANIA,brazil,Brésil,americas,missing
B0I3,B0I3,ibis Styles Brasilia Aeroporto,IBS,IBIS STYLES,BRASILIA,Brésil,"Aeroporto Int De Brasilia, Setor De Concessionarias, Lote 02",71608900,https://all.accor.com/hotel/B0I3/index.fr.shtml,catalog_api,brazil,IBIS STYLES BRASILIA AEROPORTO,BRASILIA,brazil,Brésil,americas,missing
A747,A747,Ibis Cuiabá Shopping,IBH,IBIS,CUIABÁ,Brésil,"Rua das Tulipas, 1400",78043162,https://all.accor.com/hotel/A747/index.fr.shtml,catalog_api,brazil,IBIS CUIABA SHOPPING,CUIABA,brazil,Brésil,americas,missing
B9G7,B9G7,IBIS TANGARA DA SERRA,IBH,IBIS,TANGARA DA SERRA,Brésil,,78304000,https://all.accor.com/hotel/B9G7/index.fr.shtml,catalog_api,brazil,IBIS TANGARA DA SERRA,TANGARA DA SERRA,brazil,Brésil,americas,missing
C1T2,C1T2,Novotel Uberlândia,NOV,NOVOTEL,UBERLANDIA,Brésil,"Av Paulo Gracindo, 5",38411-145,https://all.accor.com/hotel/C1T2/index.fr.shtml,catalog_api,brazil,NOVOTEL UBERLANDIA,UBERLANDIA,brazil,Brésil,americas,missing
A1H2,A1H2,Ibis Votuporanga,IBH,IBIS,VOTUPORANGA,Brésil,"Avenida Nasser Marão 3823, Saint Cosmas",15.504-000,https://all.accor.com/hotel/A1H2/index.fr.shtml,catalog_api,brazil,IBIS VOTUPORANGA,VOTUPORANGA,brazil,Brésil,americas,missing
B3D3,B3D3,ibis styles Rio Preto Monte Líbano,IBS,IBIS STYLES,SAO JOSE DO RIO PRETO,Brésil,"Rodovia Washington Luiz, Km 445, Entre Mirassol e Rio Preto",15138899,https://all.accor.com/hotel/B3D3/index.fr.shtml,catalog_api,brazil,IBIS STYLES RIO PRETO MONTE LIBANO,SAO JOSE DO RIO PRETO,brazil,Brésil,americas,missing
