hotel_code_accor,hotel_code_norm,hotel_name,hotel_brand_code,hotel_brand,hotel_city,hotel_country,hotel_adresse,hotel_code_postal,url_hotel,source,source_query,hotel_name_norm,city_norm,country_slug,country_label,region,match_type
B4M2,B4M2,Croisière sur le Nil Mövenpick MS Royal Lily,MOV,MÖVENPICK,LUXOR,Égypte,"Nile Corniche Street, Front of Luxor Temple",85951,https://all.accor.com/hotel/B4M2/index.fr.shtml,catalog_api,egypt,CROISIERE SUR LE NIL MOVENPICK MS ROYAL LILY,LUXOR,egypt,Égypte,africa_me,missing
B4M0,B4M0,Mövenpick MS Royal Lotus Croisière sur le Nil,MOV,MÖVENPICK,LUXOR,Égypte,"Nile Corniche, Near the Mummification Museum",85957,https://all.accor.com/hotel/B4M0/index.fr.shtml,catalog_api,egypt,MOVENPICK MS ROYAL LOTUS CROISIERE SUR LE NIL,LUXOR,egypt,Égypte,africa_me,missing
B4N6,B4N6,Mövenpick MS Hamees,MOV,MÖVENPICK,LUXOR,Égypte,"Traveline Dock, Al Bughdadi District",85833,https://all.accor.com/hotel/B4N6/index.fr.shtml,catalog_api,egypt,MOVENPICK MS HAMEES,LUXOR,egypt,Égypte,africa_me,missing
B4N2,B4N2,Mövenpick MS Sunray,MOV,MÖVENPICK,LUXOR,Égypte,"Traveline Dock, Al Bughdadi District, Luxor",85833,https://all.accor.com/hotel/B4N2/index.fr.shtml,catalog_api,egypt,MOVENPICK MS SUNRAY,LUXOR,egypt,Égypte,africa_me,missing
B4L7,B4L7,Mövenpick El Gouna,MOV,MÖVENPICK,EL GOUNA,Égypte,"El Gouna, Red Sea, Po Box 72",84511,https://all.accor.com/hotel/B4L7/index.fr.shtml,catalog_api,egypt,MOVENPICK EL GOUNA,EL GOUNA,egypt,Égypte,africa_me,missing
C592,C592,Rixos Premium Magawish Bay View,RIX,RIXOS HOTELS,HURGHADA,Égypte,"Red Sea Government, 12 KM Safaga Road, Hurgada Egypt",84511,https://all.accor.com/hotel/C592/index.fr.shtml,catalog_api,egypt,RIXOS PREMIUM MAGAWISH BAY VIEW,HURGHADA,egypt,Égypte,africa_me,missing
B6F4,B6F4,Rixos Premium Magawish Suites & Villas,RIX,RIXOS HOTELS,HURGHADA,Égypte,"Safaga Road Km12, Hurghada Mer Rouge Egypte, Egypt",84517,https://all.accor.com/hotel/B6F4/index.fr.shtml,catalog_api,egypt,RIXOS PREMIUM MAGAWISH SUITES VILLAS,HURGHADA,egypt,Égypte,africa_me,missing
B4M8,B4M8,Mövenpick Waterpark Resort & Spa Soma Bay,MOV,MÖVENPICK,HURGHADA MER ROUGE,Égypte,"Km 49 Hurghada Safaga Hw, Soma Bay, Mer rouge",847115,https://all.accor.com/hotel/B4M8/index.fr.shtml,catalog_api,egypt,MOVENPICK WATERPARK RESORT SPA SOMA BAY,HURGHADA MER ROUGE,egypt,Égypte,africa_me,missing
B4M7,B4M7,Mövenpick El Sokhna,MOV,MÖVENPICK,EL EIN EL SOKHNA,Égypte,"K 64 Suez Zaafarana Road, EL EIN EL SOKHNA, Suez, Suez",0,https://all.accor.com/hotel/B4M7/index.fr.shtml,catalog_api,egypt,MOVENPICK EL SOKHNA,EL EIN EL SOKHNA,egypt,Égypte,africa_me,missing
B4L4,B4L4,Mövenpick Le Caire Cité des médias,MOV,MÖVENPICK,GIZEH,Égypte,"Wahat Road, 6th of October City, Opposite to Mall of Egypt, Elhay Elmotamayez, 12451 POB: 39",12451,https://all.accor.com/hotel/B4L4/index.fr.shtml,catalog_api,egypt,MOVENPICK LE CAIRE CITE DES MEDIAS,GIZEH,egypt,Égypte,africa_me,missing
B4L2,B4L2,Mövenpick Resort El Quseir,MOV,MÖVENPICK,EL QUSEIR,Égypte,Sirena Beach El Quadim Bay,84712,https://all.accor.com/hotel/B4L2/index.fr.shtml,catalog_api,egypt,MOVENPICK RESORT EL QUSEIR,EL QUSEIR,egypt,Égypte,africa_me,missing
C5Z0,C5Z0,Swissotel Resort El Quseir,SWI,SWISSÔTEL,EL QUSEIR,Égypte,"SAFAGA AL QUSAIR ROAD, EL QUSAIR, RED SEA GOVERNMENT",71689,https://all.accor.com/hotel/C5Z0/index.fr.shtml,catalog_api,egypt,SWISSOTEL RESORT EL QUSEIR,EL QUSEIR,egypt,Égypte,africa_me,missing
C3J2,C3J2,Sofitel Cairo Downtown Nile,SOF,SOFITEL,LE CAIRE,Égypte,"1191 Corniche du Nil, Souq Al Asr Bulaq, BOÎTE POSTALE 2044",11221,https://all.accor.com/hotel/C3J2/index.fr.shtml,catalog_api,egypt,SOFITEL CAIRO DOWNTOWN NILE,LE CAIRE,egypt,Égypte,africa_me,missing
A5E9,A5E9,Fairmont Nile City,FAI,FAIRMONT,LE CAIRE,Égypte,"Nile City Towers 2005 B, Corniche El Nil, Ramlet Beaulac",2466,https://all.accor.com/hotel/A5E9/index.fr.shtml,catalog_api,egypt,FAIRMONT NILE CITY,LE CAIRE,egypt,Égypte,africa_me,missing
B999,B999,Swissôtel Sharm El Sheikh All Inclusive Collection,SWI,SWISSÔTEL,SHARM EL SHEIKH,Égypte,"Naama Bay Sharm El Sheikh, South Sinai, Egypt",46619,https://all.accor.com/hotel/B999/index.fr.shtml,catalog_api,egypt,SWISSOTEL SHARM EL SHEIKH ALL INCLUSIVE COLLECTION,SHARM EL SHEIKH,egypt,Égypte,africa_me,missing
B6T1,B6T1,Naama Bay Promenade Beach Resort,SAM,SAM,CHARM EL-CHEIKH,Égypte,"Route El Salam, Baie de Naama",46691,https://all.accor.com/hotel/B6T1/index.fr.shtml,catalog_api,egypt,NAAMA BAY PROMENADE BEACH RESORT,CHARM EL CHEIKH,egypt,Égypte,africa_me,missing
B4L5,B4L5,Mövenpick Sharm El Sheikh,MOV,MÖVENPICK,CHARM EL-CHEIKH,Égypte,Naama Bay 46619 South Sinai,46619,https://all.accor.com/hotel/B4L5/index.fr.shtml,catalog_api,egypt,MOVENPICK SHARM EL SHEIKH,CHARM EL CHEIKH,egypt,Égypte,africa_me,missing
C153,C153,Club Prive by Rixos Sharm El Sheikh,RIX,RIXOS HOTELS,SHARM EL SHEIKH,Égypte,Nabq Bay Sharm El Sheikh,41669,https://all.accor.com/hotel/C153/index.fr.shtml,catalog_api,egypt,CLUB PRIVE BY RIXOS SHARM EL SHEIKH,SHARM EL SHEIKH,egypt,Égypte,africa_me,missing
C158,C158,Rixos Radamis Sharm El Sheikh,RIX,RIXOS HOTELS,CHARM EL-CHEIKH,Égypte,Nabq Bay Sharm El Sheikh,46619,https://all.accor.com/hotel/C158/index.fr.shtml,catalog_api,egypt,RIXOS RADAMIS SHARM EL SHEIKH,CHARM EL CHEIKH,egypt,Égypte,africa_me,missing
B1J8,B1J8,Rixos Premium Seagate,RIX,RIXOS HOTELS,SHARM EL SHEIKH,Égypte,"South Sinai, Nabq Bay",46628,https://all.accor.com/hotel/B1J8/index.fr.shtml,catalog_api,egypt,RIXOS PREMIUM SEAGATE,SHARM EL SHEIKH,egypt,Égypte,africa_me,missing
B1J0,B1J0,Rixos Sharm El Sheikh réservé aux adultes de plus de 18 ans,RIX,RIXOS HOTELS,CHARM EL-CHEIKH,Égypte,"South Sinai, Nabq Bay",46628,https://all.accor.com/hotel/B1J0/index.fr.shtml,catalog_api,egypt,RIXOS SHARM EL SHEIKH RESERVE AUX ADULTES DE PLUS DE 18 ANS,CHARM EL CHEIKH,egypt,Égypte,africa_me,missing
C320,C320,Rixos Premium Alamein,RIX,RIXOS HOTELS,ALAMEIN,Égypte,"Kilo 107 North Coastal Road, New City Alamein",51718,https://all.accor.com/hotel/C320/index.fr.shtml,catalog_api,egypt,RIXOS PREMIUM ALAMEIN,ALAMEIN,egypt,Égypte,africa_me,missing
B4L9,B4L9,Mövenpick Taba,MOV,MÖVENPICK,"SINAÏ SUD, TABA",Égypte,"Nuweibaa, Taba Road, Boîte postale 14, Nuweibaa, route de Taba",46621,https://all.accor.com/hotel/B4L9/index.fr.shtml,catalog_api,egypt,MOVENPICK TABA,SINAI SUD TABA,egypt,Égypte,africa_me,missing
C321,C321,Rixos Montaza Alexandria,RIX,RIXOS HOTELS,ALEXANDRIE,Égypte,"Montaza, Alexandria, El Montaza Palace Gardens, Montaza , Alexandria Governorate",21919,https://all.accor.com/hotel/C321/index.fr.shtml,catalog_api,egypt,RIXOS MONTAZA ALEXANDRIA,ALEXANDRIE,egypt,Égypte,africa_me,missing
C6B5,C6B5,Palestine Montaza Alexandria,SAM,SAM,ALEXANDRIE,Égypte,"El Montaza Palace Garden, Montaza 2",5527001,https://all.accor.com/hotel/C6B5/index.fr.shtml,catalog_api,egypt,PALESTINE MONTAZA ALEXANDRIA,ALEXANDRIE,egypt,Égypte,africa_me,missing
