hotel_code_accor,hotel_code_norm,hotel_name,hotel_brand_code,hotel_brand,hotel_city,hotel_country,hotel_adresse,hotel_code_postal,url_hotel,source,source_query,hotel_name_norm,city_norm,country_slug,country_label,region,match_type
9280,9280,Mercure Selangor Selayang,MER,MERCURE,KUALA LUMPUR,Malaisie,"NO B G 12 DATARAN EMERALD, JALAN PS 11 PRIMA SELAYANG, BATU CAVES",68100,https://all.accor.com/hotel/9280/index.fr.shtml,catalog_api,malaysia,MERCURE SELANGOR SELAYANG,KUALA LUMPUR,malaysia,Malaisie,asia,missing
B3C1,B3C1,Banyan Tree Kuala Lumpur,BAN,BANYAN TREE,KUALA LUMPUR,Malaisie,2 Jalan Conlay,50450,https://all.accor.com/hotel/B3C1/index.fr.shtml,catalog_api,malaysia,BANYAN TREE KUALA LUMPUR,KUALA LUMPUR,malaysia,Malaisie,asia,missing
A0C5,A0C5,Pullman Kuala Lumpur City Centre - Hotel & Residences,PUL,PULLMAN,KUALA LUMPUR,Malaisie,No 4 Jalan Conlay,50450,https://all.accor.com/hotel/A0C5/index.fr.shtml,catalog_api,malaysia,PULLMAN KUALA LUMPUR CITY CENTRE HOTEL RESIDENCES,KUALA LUMPUR,malaysia,Malaisie,asia,missing
B4Z2,B4Z2,Pavillon Hôtel Kuala Lumpur géré par Banyan Tree,BAN,BANYAN TREE,KUALA LUMPUR,Malaisie,"170 Jalan Bukit Bintang, Kuala Lumpur",55100,https://all.accor.com/hotel/B4Z2/index.fr.shtml,catalog_api,malaysia,PAVILLON HOTEL KUALA LUMPUR GERE PAR BANYAN TREE,KUALA LUMPUR,malaysia,Malaisie,asia,missing
C3K9,C3K9,ibis Styles Kuala Lumpur Bukit Bintang,IBS,IBIS STYLES,KUALA LUMPUR,Malaisie,"No 16, Jalan Alor, Bukit Bintang",50200,https://all.accor.com/hotel/C3K9/index.fr.shtml,catalog_api,malaysia,IBIS STYLES KUALA LUMPUR BUKIT BINTANG,KUALA LUMPUR,malaysia,Malaisie,asia,missing
C3M1,C3M1,Grand Mercure Kuala Lumpur Bukit Bintang,MEI,GRAND MERCURE,KUALA LUMPUR,Malaisie,"117 Jalan Pudu, Kuala Lumpur",55100,https://all.accor.com/hotel/C3M1/index.fr.shtml,catalog_api,malaysia,GRAND MERCURE KUALA LUMPUR BUKIT BINTANG,KUALA LUMPUR,malaysia,Malaisie,asia,missing
A123,A123,Sofitel Kuala Lumpur Damansara,SOF,SOFITEL,KUALA LUMPUR,Malaisie,"No 6 Jalan Damanlela, Bukit Damansara, Kuala Lumpur",50490,https://all.accor.com/hotel/A123/index.fr.shtml,catalog_api,malaysia,SOFITEL KUALA LUMPUR DAMANSARA,KUALA LUMPUR,malaysia,Malaisie,asia,missing
A545,A545,Mercure Kuala Lumpur Trion,MER,MERCURE,KUALA LUMPUR,Malaisie,"JALAN DUA, OFF JALAN CHAN SOW LIN, SUNGAI BESI",55200,https://all.accor.com/hotel/A545/index.fr.shtml,catalog_api,malaysia,MERCURE KUALA LUMPUR TRION,KUALA LUMPUR,malaysia,Malaisie,asia,missing
A8V8,A8V8,ibis PJCC Petaling Jaya,IBH,IBIS,PETALING JAYA,Malaisie,"1 JALAN PJS 5-29, TAMAN DESARIA",46150,https://all.accor.com/hotel/A8V8/index.fr.shtml,catalog_api,malaysia,IBIS PJCC PETALING JAYA,PETALING JAYA,malaysia,Malaisie,asia,missing
A7M8,A7M8,Mercure Kuala Lumpur Glenmarie,MER,MERCURE,SHAH ALAM,Malaisie,"Jalan Kontraktor U1 14, Seksyen U1",40150,https://all.accor.com/hotel/A7M8/index.fr.shtml,catalog_api,malaysia,MERCURE KUALA LUMPUR GLENMARIE,SHAH ALAM,malaysia,Malaisie,asia,missing
