hotel_code_accor,hotel_code_norm,hotel_name,hotel_brand_code,hotel_brand,hotel_city,hotel_country,hotel_adresse,hotel_code_postal,url_hotel,source,source_query,hotel_name_norm,city_norm,country_slug,country_label,match_type
C0F7,C0F7,Mercure Rome Cinecittà,MER,MERCURE,ROME,Italie,Via Filippo Caruso 7,173,https://all.accor.com/hotel/C0F7/index.fr.shtml,catalog_api,italy,MERCURE ROME CINECITTA,ROME,italy,Italie,missing
B2S9,B2S9,ibis Styles Roma Vintage,IBS,IBIS STYLES,ROME,Italie,Via Torre Di Mezzavia 25,173,https://all.accor.com/hotel/B2S9/index.fr.shtml,catalog_api,italy,IBIS STYLES ROMA VINTAGE,ROME,italy,Italie,missing
C2Q2,C2Q2,Mercure Roma Centro St John,MER,MERCURE,ROME,Italie,Via Matteo Boairdo 30,185,https://all.accor.com/hotel/C2Q2/index.fr.shtml,catalog_api,italy,MERCURE ROMA CENTRO ST JOHN,ROME,italy,Italie,missing
B834,B834,Mercure Roma Centro Termini,MER,MERCURE,ROME,Italie,Via Agostino Depretis 104,184,https://all.accor.com/hotel/B834/index.fr.shtml,catalog_api,italy,MERCURE ROMA CENTRO TERMINI,ROME,italy,Italie,missing
B730,B730,JO&JOE Roma,JOE,JO&JOE,ROME,Italie,113 Via delle Quattro Fontane,184,https://all.accor.com/hotel/B730/index.fr.shtml,catalog_api,italy,JO JOE ROMA,ROME,italy,Italie,missing
B998,B998,"The Hoxton, Rome",HOX,HOX,ROME,Italie,220 Largo Benedetto Marcello,198,https://all.accor.com/hotel/B998/index.fr.shtml,catalog_api,italy,THE HOXTON ROME,ROME,italy,Italie,missing
B914,B914,Orient Express La Minerva,OEX,ORIENT EXPRESS,ROME,Italie,Piazza della Minerva 69,186,https://all.accor.com/hotel/B914/index.fr.shtml,catalog_api,italy,ORIENT EXPRESS LA MINERVA,ROME,italy,Italie,missing
B5V4,B5V4,Mama Shelter Roma,MSH,MAMA SHELTER,ROME,Italie,Via Luigi Rizzo 20,136,https://all.accor.com/hotel/B5V4/index.fr.shtml,catalog_api,italy,MAMA SHELTER ROMA,ROME,italy,Italie,missing
B5E1,B5E1,ibis Styles Roma Aurelia,IBS,IBIS STYLES,ROME,Italie,Via Andrea Ferrara 33,165,https://all.accor.com/hotel/B5E1/index.fr.shtml,catalog_api,italy,IBIS STYLES ROMA AURELIA,ROME,italy,Italie,missing
B666,B666,Mercure Petriolo Siena Terme Spa Hotel,MER,MERCURE,PETRIOLO,Italie,"Localita Petriolo Pari, Civitella Paganico Gr",58045,https://all.accor.com/hotel/B666/index.fr.shtml,catalog_api,italy,MERCURE PETRIOLO SIENA TERME SPA HOTEL,PETRIOLO,italy,Italie,missing
C1F6,C1F6,Mercure Torre Del Greco Vesuvio (ouverture juin 2026),MER,MERCURE,TORRE DEL GRECO,Italie,Via Monsignor Michele Sasso 14,80059,https://all.accor.com/hotel/C1F6/index.fr.shtml,catalog_api,italy,MERCURE TORRE DEL GRECO VESUVIO OUVERTURE JUIN 2026,TORRE DEL GRECO,italy,Italie,missing
B660,B660,25hours Hotel Florence Piazza San Paolino,TWF,25HOURS,FLORENCE,Italie,Piazza Di San Paolino 1,50123,https://all.accor.com/hotel/B660/index.fr.shtml,catalog_api,italy,25HOURS HOTEL FLORENCE PIAZZA SAN PAOLINO,FLORENCE,italy,Italie,missing
B9Z8,B9Z8,"The Hoxton, Florence",HOX,HOX,FLORENCE,Italie,2 Via delle Mantellate,50129,https://all.accor.com/hotel/B9Z8/index.fr.shtml,catalog_api,italy,THE HOXTON FLORENCE,FLORENCE,italy,Italie,missing
B7A6,B7A6,Baia Delle Zagare - Handwritten Collection,SOU,SOU,MATTINATA,Italie,"Litoranea Mattinata Vieste, S P 53",71030,https://all.accor.com/hotel/B7A6/index.fr.shtml,catalog_api,italy,BAIA DELLE ZAGARE HANDWRITTEN COLLECTION,MATTINATA,italy,Italie,missing
B2M0,B2M0,Ibis Styles Trani,IBS,IBIS STYLES,TRANI,Italie,"Corso Matteo Renato Imbriani, 137",76125,https://all.accor.com/hotel/B2M0/index.fr.shtml,catalog_api,italy,IBIS STYLES TRANI,TRANI,italy,Italie,missing
A6I2,A6I2,ibis Styles Bari Giovinazzo,IBS,IBIS STYLES,BARI,Italie,"Strada Statale 16 Km 786 950, Giovinazzo",70054,https://all.accor.com/hotel/A6I2/index.fr.shtml,catalog_api,italy,IBIS STYLES BARI GIOVINAZZO,BARI,italy,Italie,missing
C2W0,C2W0,Mövenpick Hotel Bari,MOV,MÖVENPICK,BARI,Italie,rue Francesco Lombardi 13,70022,https://all.accor.com/hotel/C2W0/index.fr.shtml,catalog_api,italy,MOVENPICK HOTEL BARI,BARI,italy,Italie,missing
A0X5,A0X5,Novotel Parma Centro,NOV,NOVOTEL,PARME,Italie,Via Trento 9,43122,https://all.accor.com/hotel/A0X5/index.fr.shtml,catalog_api,italy,NOVOTEL PARMA CENTRO,PARME,italy,Italie,missing
C063,C063,Orient Express Venezia,OEX,ORIENT EXPRESS,VENISE,Italie,Strada Nova 2292,30121,https://all.accor.com/hotel/C063/index.fr.shtml,catalog_api,italy,ORIENT EXPRESS VENEZIA,VENISE,italy,Italie,missing
A3J6,A3J6,Borgobianco Resort & Spa Polignano - MGallery Collection,MGA,MGALLERY,POLIGNANO A MARE,Italie,Contrada Casello Cavuzzi,70044,https://all.accor.com/hotel/A3J6/index.fr.shtml,catalog_api,italy,BORGOBIANCO RESORT SPA POLIGNANO MGALLERY COLLECTION,POLIGNANO A MARE,italy,Italie,missing
