hotel_code_accor,hotel_code_norm,hotel_name,hotel_brand_code,hotel_brand,hotel_city,hotel_country,hotel_adresse,hotel_code_postal,url_hotel,source,source_query,hotel_name_norm,city_norm,country_slug,country_label,region,match_type
B674,B674,ibis Styles Almere,IBS,IBIS STYLES,ALMERE,Pays-Bas,"Televisieweg 2, The Netherlands",1322AC,https://all.accor.com/hotel/B674/index.fr.shtml,catalog_api,netherlands,IBIS STYLES ALMERE,ALMERE,netherlands,Pays-Bas,europe,missing
C703,C703,Jaz In The City Amsterdam - Ouverture prochaine,JAZ,JAZ,AMSTERDAM,Pays-Bas,"De Passage 88, Zuidoost",1101 AX,https://all.accor.com/hotel/C703/index.fr.shtml,catalog_api,netherlands,JAZ IN THE CITY AMSTERDAM OUVERTURE PROCHAINE,AMSTERDAM,netherlands,Pays-Bas,europe,missing
A3P2,A3P2,ibis budget Amsterdam City South,IBB,IBIS BUDGET,AMSTELVEEN,Pays-Bas,Prof J H Bavincklaan 1,1183 AT,https://all.accor.com/hotel/A3P2/index.fr.shtml,catalog_api,netherlands,IBIS BUDGET AMSTERDAM CITY SOUTH,AMSTELVEEN,netherlands,Pays-Bas,europe,missing
B355,B355,Aparthotel Adagio Amsterdam City South,ADG,ADAGIO,AMSTELVEEN,Pays-Bas,Professor J.H. Bavincklaan 5,1183 AT,https://all.accor.com/hotel/B355/index.fr.shtml,catalog_api,netherlands,APARTHOTEL ADAGIO AMSTERDAM CITY SOUTH,AMSTELVEEN,netherlands,Pays-Bas,europe,missing
B9D4,B9D4,"The Hoxton, Amsterdam Lloyd",HOX,HOX,AMSTERDAM,Pays-Bas,Oostelijke Handelskade 34,1019 BN,https://all.accor.com/hotel/B9D4/index.fr.shtml,catalog_api,netherlands,THE HOXTON AMSTERDAM LLOYD,AMSTERDAM,netherlands,Pays-Bas,europe,missing
B4I7,B4I7,Mövenpick Hotel Amsterdam City Centre,MOV,MÖVENPICK,AMSTERDAM,Pays-Bas,Piet Heinkade 11,1019 BR,https://all.accor.com/hotel/B4I7/index.fr.shtml,catalog_api,netherlands,MOVENPICK HOTEL AMSTERDAM CITY CENTRE,AMSTERDAM,netherlands,Pays-Bas,europe,missing
A599,A599,Swissôtel Amsterdam,SWI,SWISSÔTEL,AMSTERDAM,Pays-Bas,Damrak 96,1012 LP,https://all.accor.com/hotel/A599/index.fr.shtml,catalog_api,netherlands,SWISSOTEL AMSTERDAM,AMSTERDAM,netherlands,Pays-Bas,europe,missing
C717,C717,Steigenberger Airport Hotel Amsterdam - Bientôt disponible,STB,STB,AMSTERDAM,Pays-Bas,Stationplein ZW 951,1117 CE,https://all.accor.com/hotel/C717/index.fr.shtml,catalog_api,netherlands,STEIGENBERGER AIRPORT HOTEL AMSTERDAM BIENTOT DISPONIBLE,AMSTERDAM,netherlands,Pays-Bas,europe,missing
B480,B480,ibis Styles Amsterdam Airport,IBS,IBIS STYLES,SCHIPHOL,Pays-Bas,Piet Guilonardweg 3,1117 EE,https://all.accor.com/hotel/B480/index.fr.shtml,catalog_api,netherlands,IBIS STYLES AMSTERDAM AIRPORT,SCHIPHOL,netherlands,Pays-Bas,europe,missing
B7R7,B7R7,Mercure Amsterdam North Station,MER,MERCURE,AMSTERDAM,Pays-Bas,Termini 11,1022LB,https://all.accor.com/hotel/B7R7/index.fr.shtml,catalog_api,netherlands,MERCURE AMSTERDAM NORTH STATION,AMSTERDAM,netherlands,Pays-Bas,europe,missing
B7W1,B7W1,TRIBE Amsterdam City,TRI,TRIBE,AMSTERDAM,Pays-Bas,Termini 9,1022LB,https://all.accor.com/hotel/B7W1/index.fr.shtml,catalog_api,netherlands,TRIBE AMSTERDAM CITY,AMSTERDAM,netherlands,Pays-Bas,europe,missing
C771,C771,IntercityHotel Amsterdam Schiphol - Ouverture prochaine,ITC,ITC,HOOFDDORP,Pays-Bas,Spark Avenue 1,2133 LC,https://all.accor.com/hotel/C771/index.fr.shtml,catalog_api,netherlands,INTERCITYHOTEL AMSTERDAM SCHIPHOL OUVERTURE PROCHAINE,HOOFDDORP,netherlands,Pays-Bas,europe,missing
B3G1,B3G1,Ibis Styles Arnhem Centre,IBS,IBIS STYLES,ARNHEM,Pays-Bas,Willemsplein 25,6811KB,https://all.accor.com/hotel/B3G1/index.fr.shtml,catalog_api,netherlands,IBIS STYLES ARNHEM CENTRE,ARNHEM,netherlands,Pays-Bas,europe,missing
