hotel_code_accor,hotel_code_norm,hotel_name,hotel_brand_code,hotel_brand,hotel_city,hotel_country,hotel_adresse,hotel_code_postal,url_hotel,source,source_query,hotel_name_norm,city_norm,country_slug,country_label,region,match_type
B779,B779,Hôtel La Cigale géré par Accor,SAM,SAM,DOHA,Qatar,"60 Suhaim Bin Hamad St, Al Sadd Area, P.O. Box 25555",00000,https://all.accor.com/hotel/B779/index.fr.shtml,catalog_api,qatar,HOTEL LA CIGALE GERE PAR ACCOR,DOHA,qatar,Qatar,africa_me,missing
B5C5,B5C5,Mondrian Doha,MOD,MOD,DOHA,Qatar,"West Bay Lagoon, Doha, Qatar, 24685",24685,https://all.accor.com/hotel/B5C5/index.fr.shtml,catalog_api,qatar,MONDRIAN DOHA,DOHA,qatar,Qatar,africa_me,missing
B4T9,B4T9,Banyan Tree Doha,BAN,BANYAN TREE,DOHA,Qatar,"Al Khaleej Street, Mushaireb",4928,https://all.accor.com/hotel/B4T9/index.fr.shtml,catalog_api,qatar,BANYAN TREE DOHA,DOHA,qatar,Qatar,africa_me,missing
B7T7,B7T7,Swissôtel Corniche Park Towers Doha (ouverture en octobre 2025),SWI,SWISSÔTEL,DOHA,Qatar,"Corniche Park Towers, West Bay",00000,https://all.accor.com/hotel/B7T7/index.fr.shtml,catalog_api,qatar,SWISSOTEL CORNICHE PARK TOWERS DOHA OUVERTURE EN OCTOBRE 2025,DOHA,qatar,Qatar,africa_me,missing
B7T8,B7T8,Swissôtel Residences Corniche Park Towers,SWI,SWISSÔTEL,DOHA,Qatar,"Corniche Park Towers, West Bay",00000,https://all.accor.com/hotel/B7T8/index.fr.shtml,catalog_api,qatar,SWISSOTEL RESIDENCES CORNICHE PARK TOWERS,DOHA,qatar,Qatar,africa_me,missing
B663,B663,Fairmont Doha,FAI,FAIRMONT,DOHA,Qatar,"Marina District, Lusail City",4747,https://all.accor.com/hotel/B663/index.fr.shtml,catalog_api,qatar,FAIRMONT DOHA,DOHA,qatar,Qatar,africa_me,missing
B662,B662,Raffles Doha,RAF,RAFFLES,DOHA,Qatar,"Marina District, Lusail City",4747,https://all.accor.com/hotel/B662/index.fr.shtml,catalog_api,qatar,RAFFLES DOHA,DOHA,qatar,Qatar,africa_me,missing
B752,B752,Rixos Premium Qetaifan Island North,RIX,RIXOS HOTELS,DOHA,Qatar,"Qetaifan Island North, Street 305 Zone 69, Lusail City",2977,https://all.accor.com/hotel/B752/index.fr.shtml,catalog_api,qatar,RIXOS PREMIUM QETAIFAN ISLAND NORTH,DOHA,qatar,Qatar,africa_me,missing
B4N3,B4N3,Mövenpick Doha,MOV,MÖVENPICK,DOHA,Qatar,Po Box 24220 Corniche Road,24220,https://all.accor.com/hotel/B4N3/index.fr.shtml,catalog_api,qatar,MOVENPICK DOHA,DOHA,qatar,Qatar,africa_me,missing
B9L0,B9L0,Rixos Gulf Hotel Doha,RIX,RIXOS HOTELS,DOHA,Qatar,"Ras Abu Aboud, Street 920 Zone 28",1911,https://all.accor.com/hotel/B9L0/index.fr.shtml,catalog_api,qatar,RIXOS GULF HOTEL DOHA,DOHA,qatar,Qatar,africa_me,missing
