hotel_code_accor,hotel_code_norm,hotel_name,hotel_brand_code,hotel_brand,hotel_city,hotel_country,hotel_adresse,hotel_code_postal,url_hotel,source,source_query,hotel_name_norm,city_norm,country_slug,country_label,region,match_type
B1A9,B1A9,Mercure Sighisoara Binderbubi - Hotel & Spa,MER,MERCURE,SIGHISOARA,Roumanie,"Nicolae Balcescu Street, No8, 545400",545400,https://all.accor.com/hotel/B1A9/index.fr.shtml,catalog_api,romania,MERCURE SIGHISOARA BINDERBUBI HOTEL SPA,SIGHISOARA,romania,Roumanie,europe,missing
B8I1,B8I1,Mercure Medias Binderbubi Hotel And Spa,MER,MERCURE,MEDIAS,Roumanie,Plopului No 30,551076,https://all.accor.com/hotel/B8I1/index.fr.shtml,catalog_api,romania,MERCURE MEDIAS BINDERBUBI HOTEL AND SPA,MEDIAS,romania,Roumanie,europe,missing
C2F2,C2F2,Swissôtel Poiana Brasov,SWI,SWISSÔTEL,BRASOV,Roumanie,9 Drumul Sulinar,500001,https://all.accor.com/hotel/C2F2/index.fr.shtml,catalog_api,romania,SWISSOTEL POIANA BRASOV,BRASOV,romania,Roumanie,europe,missing
B7G2,B7G2,Mercure Sibiu Arsenal,MER,MERCURE,SIBIU,Roumanie,48 Bulevardul Victoriei,550024,https://all.accor.com/hotel/B7G2/index.fr.shtml,catalog_api,romania,MERCURE SIBIU ARSENAL,SIBIU,romania,Roumanie,europe,missing
B7G3,B7G3,ibis Styles Sibiu,IBS,IBIS STYLES,SIBIU,Roumanie,48 BULEVARDUL VICTORIEI,550024,https://all.accor.com/hotel/B7G3/index.fr.shtml,catalog_api,romania,IBIS STYLES SIBIU,SIBIU,romania,Roumanie,europe,missing
B478,B478,Mercure Sibiu Airport,MER,MERCURE,SIBIU,Roumanie,Soseaua Alba Iulia 120,550052,https://all.accor.com/hotel/B478/index.fr.shtml,catalog_api,romania,MERCURE SIBIU AIRPORT,SIBIU,romania,Roumanie,europe,missing
B9K2,B9K2,Mercure Alba Iulia,MER,MERCURE,ALBA IULIA,Roumanie,Street Dimitrie Cantemir 2a,510151,https://all.accor.com/hotel/B9K2/index.fr.shtml,catalog_api,romania,MERCURE ALBA IULIA,ALBA IULIA,romania,Roumanie,europe,missing
C069,C069,ibis Styles Pitesti Arges,IBS,IBIS STYLES,PITESTI,Roumanie,3 Piata Muntenia,110063,https://all.accor.com/hotel/C069/index.fr.shtml,catalog_api,romania,IBIS STYLES PITESTI ARGES,PITESTI,romania,Roumanie,europe,missing
B449,B449,ibis Styles Bucharest Airport,IBS,IBIS STYLES,BUCHAREST OTOPENI,Roumanie,"222 Calea Bucurestilor, Ilfov",075100,https://all.accor.com/hotel/B449/index.fr.shtml,catalog_api,romania,IBIS STYLES BUCHAREST AIRPORT,BUCHAREST OTOPENI,romania,Roumanie,europe,missing
B2N5,B2N5,ibis Styles Bucharest Erbas,IBS,IBIS STYLES,BUCAREST,Roumanie,"Capitan Alexandru Serbanescu, Nr 27",14283,https://all.accor.com/hotel/B2N5/index.fr.shtml,catalog_api,romania,IBIS STYLES BUCHAREST ERBAS,BUCAREST,romania,Roumanie,europe,missing
B1S0,B1S0,ibis Bucharest Politehnica,IBH,IBIS,BUCHAREST,Roumanie,Splaiul Independentei Nr 313A,60042,https://all.accor.com/hotel/B1S0/index.fr.shtml,catalog_api,romania,IBIS BUCHAREST POLITEHNICA,BUCHAREST,romania,Roumanie,europe,missing
B089,B089,ibis Styles Bucharest City Center,IBS,IBIS STYLES,BUCAREST,Roumanie,"146 Stirbei Voda Street, District 1",010119,https://all.accor.com/hotel/B089/index.fr.shtml,catalog_api,romania,IBIS STYLES BUCHAREST CITY CENTER,BUCAREST,romania,Roumanie,europe,missing
A1H4,A1H4,Mercure Bucharest Unirii,MER,MERCURE,BUCAREST,Roumanie,28th Mircea Voda Boulevard,30167,https://all.accor.com/hotel/A1H4/index.fr.shtml,catalog_api,romania,MERCURE BUCHAREST UNIRII,BUCAREST,romania,Roumanie,europe,missing
C0W2,C0W2,Mercure Bucarest Cantemir,MER,MERCURE,BUCAREST,Roumanie,Bd Dimitrie Cantemir 13B,40234,https://all.accor.com/hotel/C0W2/index.fr.shtml,catalog_api,romania,MERCURE BUCAREST CANTEMIR,BUCAREST,romania,Roumanie,europe,missing
C2B4,C2B4,Bucharest Unirii Square - Handwritten Collection,SOU,SOU,BUCAREST,Roumanie,3A Nerva Traian,031041,https://all.accor.com/hotel/C2B4/index.fr.shtml,catalog_api,romania,BUCHAREST UNIRII SQUARE HANDWRITTEN COLLECTION,BUCAREST,romania,Roumanie,europe,missing
B9U8,B9U8,Mercure Cozieni,MER,MERCURE,COZIENI,Roumanie,Strada Manastirii nr 2,077100,https://all.accor.com/hotel/B9U8/index.fr.shtml,catalog_api,romania,MERCURE COZIENI,COZIENI,romania,Roumanie,europe,missing
B637,B637,Mercure Galati Centrum,MER,MERCURE,GALATI,Roumanie,"12 Domneasca Street, 12 Domneasca Street, 12 Domneasca Street",800015,https://all.accor.com/hotel/B637/index.fr.shtml,catalog_api,romania,MERCURE GALATI CENTRUM,GALATI,romania,Roumanie,europe,missing
B636,B636,ibis Styles Galati Centrum (Ouverture juillet 2020),IBS,IBIS STYLES,GALATI,Roumanie,Strada Domneasca 13,800015,https://all.accor.com/hotel/B636/index.fr.shtml,catalog_api,romania,IBIS STYLES GALATI CENTRUM OUVERTURE JUILLET 2020,GALATI,romania,Roumanie,europe,missing
C1R7,C1R7,Mercure Oradea,MER,MERCURE,ORADEA,Roumanie,Ceyrat 37,410087,https://all.accor.com/hotel/C1R7/index.fr.shtml,catalog_api,romania,MERCURE ORADEA,ORADEA,romania,Roumanie,europe,missing
A0K3,A0K3,ibis Styles Arad,IBS,IBIS STYLES,ARAD,Roumanie,Aurel Vlaicu 306,310375,https://all.accor.com/hotel/A0K3/index.fr.shtml,catalog_api,romania,IBIS STYLES ARAD,ARAD,romania,Roumanie,europe,missing
B3H6,B3H6,ibis Timisoara City Center,IBH,IBIS,TIMISOARA,Roumanie,Calea Circumvalatiunii 8 10A,300012,https://all.accor.com/hotel/B3H6/index.fr.shtml,catalog_api,romania,IBIS TIMISOARA CITY CENTER,TIMISOARA,romania,Roumanie,europe,missing
B4B1,B4B1,Mercure Timisoara,MER,MERCURE,TIMISOARA,Roumanie,Blv Cetatii Nr 10,300397,https://all.accor.com/hotel/B4B1/index.fr.shtml,catalog_api,romania,MERCURE TIMISOARA,TIMISOARA,romania,Roumanie,europe,missing
C2I0,C2I0,Ibis Styles Venus,IBS,IBIS STYLES,VÉNUS,Roumanie,Dem Radulescu 82,905504,https://all.accor.com/hotel/C2I0/index.fr.shtml,catalog_api,romania,IBIS STYLES VENUS,VENUS,romania,Roumanie,europe,missing
