hotel_code_accor,hotel_code_norm,hotel_name,hotel_brand_code,hotel_brand,hotel_city,hotel_country,hotel_adresse,hotel_code_postal,url_hotel,source,source_query,hotel_name_norm,city_norm,country_slug,country_label,region,match_type
C2G2,C2G2,ibis Styles Ambassador Jeonju City Centre,IBS,IBIS STYLES,JEONJU SI JEONBUK DO,Corée du Sud,"74-50 JEONJUGAEKSA 4 GIL, WANSAN GU",54999,https://all.accor.com/hotel/C2G2/index.fr.shtml,catalog_api,south korea,IBIS STYLES AMBASSADOR JEONJU CITY CENTRE,JEONJU SI JEONBUK DO,south-korea,Corée du Sud,asia,missing
7163,7163,Grand Mercure Ambassador Changwon,MEI,GRAND MERCURE,CHANGWON,Corée du Sud,"332 Woni-daero,, Sungsangu, Changwon",51408,https://all.accor.com/hotel/7163/index.fr.shtml,catalog_api,south korea,GRAND MERCURE AMBASSADOR CHANGWON,CHANGWON,south-korea,Corée du Sud,asia,missing
A3N6,A3N6,Mercure Ambassador Ulsan,MER,MERCURE,ULSAN,Corée du Sud,"7 Gangdongsanha 2 ro BukGu, Bukgu",683260,https://all.accor.com/hotel/A3N6/index.fr.shtml,catalog_api,south korea,MERCURE AMBASSADOR ULSAN,ULSAN,south-korea,Corée du Sud,asia,missing
B220,B220,Sofitel Ambassador Seoul Hotel & Serviced Residences,SOF,SOFITEL,SÉOUL,Corée du Sud,"209 Jamsilro, Songpagu",05552,https://all.accor.com/hotel/B220/index.fr.shtml,catalog_api,south korea,SOFITEL AMBASSADOR SEOUL HOTEL SERVICED RESIDENCES,SEOUL,south-korea,Corée du Sud,asia,missing
C3E4,C3E4,Grand Mercure Imperial Palace Séoul,MEI,GRAND MERCURE,SÉOUL,Corée du Sud,"640 Eonju-ro, Gangnam-gu",06098,https://all.accor.com/hotel/C3E4/index.fr.shtml,catalog_api,south korea,GRAND MERCURE IMPERIAL PALACE SEOUL,SEOUL,south-korea,Corée du Sud,asia,missing
C173,C173,Pullman Ambassador Seoul Eastpole,PUL,PULLMAN,SÉOUL,Corée du Sud,"410 ACHASAN-RO, GWANGJIN-GU",05050,https://all.accor.com/hotel/C173/index.fr.shtml,catalog_api,south korea,PULLMAN AMBASSADOR SEOUL EASTPOLE,SEOUL,south-korea,Corée du Sud,asia,missing
B771,B771,Mondrian Seoul Itaewon,MOD,MOD,SÉOUL,Corée du Sud,"23 Jangmun Ro, Yongsan Gu",04392,https://all.accor.com/hotel/B771/index.fr.shtml,catalog_api,south korea,MONDRIAN SEOUL ITAEWON,SEOUL,south-korea,Corée du Sud,asia,missing
B200,B200,Fairmont Ambassador Seoul,FAI,FAIRMONT,SÉOUL,Corée du Sud,"Fairmont Seoul 108 Yeoui dAero, 108 Yeoui Daero Yeongdeungpo Gu",07335,https://all.accor.com/hotel/B200/index.fr.shtml,catalog_api,south korea,FAIRMONT AMBASSADOR SEOUL,SEOUL,south-korea,Corée du Sud,asia,missing
B1V3,B1V3,Banyan Tree Club & Spa Seoul,BAN,BANYAN TREE,SEOUL,Corée du Sud,San 55 Jangchung Dong Jung Gu,100857,https://all.accor.com/hotel/B1V3/index.fr.shtml,catalog_api,south korea,BANYAN TREE CLUB SPA SEOUL,SEOUL,south-korea,Corée du Sud,asia,missing
B5E0,B5E0,Hotel Naru Seoul - MGallery Collection,MGA,MGALLERY,SÉOUL,Corée du Sud,"8 Mapodaero, Mapogu",04176,https://all.accor.com/hotel/B5E0/index.fr.shtml,catalog_api,south korea,HOTEL NARU SEOUL MGALLERY COLLECTION,SEOUL,south-korea,Corée du Sud,asia,missing
