hotel_code_accor,hotel_code_norm,hotel_name,hotel_brand_code,hotel_brand,hotel_city,hotel_country,hotel_adresse,hotel_code_postal,url_hotel,source,source_query,hotel_name_norm,city_norm,country_slug,country_label,region,match_type
B485,B485,ibis Styles Ankara,IBS,IBIS STYLES,ANKARA,Turquie,"Kavaklidere Mahallesi, Bankaci Sokak No 12 A Cankaya",06680,https://all.accor.com/hotel/B485/index.fr.shtml,catalog_api,turkey,IBIS STYLES ANKARA,ANKARA,turkey,Turquie,africa_me,missing
C3J8,C3J8,Mercure Ankara Kizilay,MER,MERCURE,ANKARA,Turquie,"Yesilirmak Cad No 14, Demirtepe, Cankaya",06430,https://all.accor.com/hotel/C3J8/index.fr.shtml,catalog_api,turkey,MERCURE ANKARA KIZILAY,ANKARA,turkey,Turquie,africa_me,missing
B4G9,B4G9,Mövenpick Ankara,MOV,MÖVENPICK,ANKARA,Turquie,"Bestepeler Mah Yasam Cad No 1, Sogutozu",6520,https://all.accor.com/hotel/B4G9/index.fr.shtml,catalog_api,turkey,MOVENPICK ANKARA,ANKARA,turkey,Turquie,africa_me,missing
B9M4,B9M4,Downtown Ankara Hotel,SAM,SAM,ANKARA,Turquie,"Bestepeler Mah Yasam Cad, 1 Sok No 7 B Sogutozu, PO Box 06560",6560,https://all.accor.com/hotel/B9M4/index.fr.shtml,catalog_api,turkey,DOWNTOWN ANKARA HOTEL,ANKARA,turkey,Turquie,africa_me,missing
B757,B757,Mövenpick Malatya Hotel,MOV,MÖVENPICK,MALATYA,Turquie,"Inonu Caddesi, N°174 1B, Yesilyurt",444090,https://all.accor.com/hotel/B757/index.fr.shtml,catalog_api,turkey,MOVENPICK MALATYA HOTEL,MALATYA,turkey,Turquie,africa_me,missing
B1J5,B1J5,Rixos Premium Belek - Accès à The Land Of Legends,RIX,RIXOS HOTELS,ANTALYA,Turquie,İleribaşı Mevkii Belek,07500,https://all.accor.com/hotel/B1J5/index.fr.shtml,catalog_api,turkey,RIXOS PREMIUM BELEK ACCES A THE LAND OF LEGENDS,ANTALYA,turkey,Turquie,africa_me,missing
B7U0,B7U0,Club Privé By Rixos Belek,RIX,RIXOS HOTELS,ANTALYA,Turquie,Belek Mahallesi Kongre Caddesi,7506,https://all.accor.com/hotel/B7U0/index.fr.shtml,catalog_api,turkey,CLUB PRIVE BY RIXOS BELEK,ANTALYA,turkey,Turquie,africa_me,missing
C1D1,C1D1,Rixos Park Belek - The Land Of Legends Access,RIX,RIXOS HOTELS,BELEK,Turquie,"Belek Mah Tuban, Cd No 31 Z01",07506,https://all.accor.com/hotel/C1D1/index.fr.shtml,catalog_api,turkey,RIXOS PARK BELEK THE LAND OF LEGENDS ACCESS,BELEK,turkey,Turquie,africa_me,missing
B1J9,B1J9,The Land of Legends Kingdom,RIX,RIXOS HOTELS,ANTALYA,Turquie,"Kadriye Mah. Ataturk Cad., No 104/1, Serik",7525,https://all.accor.com/hotel/B1J9/index.fr.shtml,catalog_api,turkey,THE LAND OF LEGENDS KINGDOM,ANTALYA,turkey,Turquie,africa_me,missing
C472,C472,Mercure Antalya Belek,MER,MERCURE,ANTALYA,Turquie,"KADRIYE MAHALLESI KADRIYE SK41, NO 2 D 117650964, SERIK",7525,https://all.accor.com/hotel/C472/index.fr.shtml,catalog_api,turkey,MERCURE ANTALYA BELEK,ANTALYA,turkey,Turquie,africa_me,missing
C1Z1,C1Z1,Mövenpick Diyarbakir,MOV,MÖVENPICK,DIYARBAKIR,Turquie,"Firat Mah, Urfa Bul No 146, Kayapinar",21100,https://all.accor.com/hotel/C1Z1/index.fr.shtml,catalog_api,turkey,MOVENPICK DIYARBAKIR,DIYARBAKIR,turkey,Turquie,africa_me,missing
B8D9,B8D9,Mövenpick Hotel Trabzon,MOV,MÖVENPICK,TRABZON,Turquie,"Yalincak Mahallesi, Rize Caddesi No 22E",61080,https://all.accor.com/hotel/B8D9/index.fr.shtml,catalog_api,turkey,MOVENPICK HOTEL TRABZON,TRABZON,turkey,Turquie,africa_me,missing
B6I5,B6I5,Mercure Trabzon Hotel,MER,MERCURE,TRABZON,Turquie,"Yalincak Mah, No 50 Rize Caddesi Ortahisar",0,https://all.accor.com/hotel/B6I5/index.fr.shtml,catalog_api,turkey,MERCURE TRABZON HOTEL,TRABZON,turkey,Turquie,africa_me,missing
B1K0,B1K0,Rixos Downtown Antalya - Accès à la terre des légendes,RIX,RIXOS HOTELS,ANTALYA,Turquie,"Sakip Sabancibulvari, Sakip Sabanci Bulvari Falez Mevk, Muratpasa Antalya",07050,https://all.accor.com/hotel/B1K0/index.fr.shtml,catalog_api,turkey,RIXOS DOWNTOWN ANTALYA ACCES A LA TERRE DES LEGENDES,ANTALYA,turkey,Turquie,africa_me,missing
C355,C355,MERCURE ANTALYA KONYAALTI,MER,MERCURE,ANTALYA,Turquie,"Kuskavagi Mahallesi, Belediye Caddesi No35, Konyaalti",7070,https://all.accor.com/hotel/C355/index.fr.shtml,catalog_api,turkey,MERCURE ANTALYA KONYAALTI,ANTALYA,turkey,Turquie,africa_me,missing
B1I8,B1I8,Rixos Beldibi pour adultes 16 ans+ - Accès Terre des légendes,RIX,RIXOS HOTELS,ANTALYA,Turquie,Beldibi Kemer,07985,https://all.accor.com/hotel/B1I8/index.fr.shtml,catalog_api,turkey,RIXOS BELDIBI POUR ADULTES 16 ANS ACCES TERRE DES LEGENDES,ANTALYA,turkey,Turquie,africa_me,missing
B1K1,B1K1,Rixos Sungate - Accès à la terre des légendes,RIX,RIXOS HOTELS,ANTALYA,Turquie,"Ciftecesmeler Mevkii Beldibi, Kemer",0,https://all.accor.com/hotel/B1K1/index.fr.shtml,catalog_api,turkey,RIXOS SUNGATE ACCES A LA TERRE DES LEGENDES,ANTALYA,turkey,Turquie,africa_me,missing
B1J3,B1J3,Rixos Premium Tekirova - Accès à la terre des légendes,RIX,RIXOS HOTELS,ANTALYA,Turquie,"Tekirova Beldesi P K 137, Kemer",07995,https://all.accor.com/hotel/B1J3/index.fr.shtml,catalog_api,turkey,RIXOS PREMIUM TEKIROVA ACCES A LA TERRE DES LEGENDES,ANTALYA,turkey,Turquie,africa_me,missing
B862,B862,Swissotel Uludag Bursa,SWI,SWISSÔTEL,BURSA,Turquie,"Kirazli Mahallesi, Kirazliyayla Mevkii, N°1 Osmangazi",16370,https://all.accor.com/hotel/B862/index.fr.shtml,catalog_api,turkey,SWISSOTEL ULUDAG BURSA,BURSA,turkey,Turquie,africa_me,missing
A4N2,A4N2,Mövenpick Hotel & Thermal Spa Bursa,MOV,MÖVENPICK,BURSA,Turquie,"Kukurtlu Mah Cekirge Cad No 81, Osmangazi, 16104",16104,https://all.accor.com/hotel/A4N2/index.fr.shtml,catalog_api,turkey,MOVENPICK HOTEL THERMAL SPA BURSA,BURSA,turkey,Turquie,africa_me,missing
B883,B883,Mövenpick Hotel Istanbul Asia Airport,MOV,MÖVENPICK,ISTANBUL,Turquie,"Yenisehir Mah Millet Cad No 31, Kurtkoy Pendik",34912,https://all.accor.com/hotel/B883/index.fr.shtml,catalog_api,turkey,MOVENPICK HOTEL ISTANBUL ASIA AIRPORT,ISTANBUL,turkey,Turquie,africa_me,missing
C196,C196,ibis Styles Kurtkoy,IBS,IBIS STYLES,ISTANBUL,Turquie,"Baku Cad. Karakaya Sok. No:19, PENDIK",34912,https://all.accor.com/hotel/C196/index.fr.shtml,catalog_api,turkey,IBIS STYLES KURTKOY,ISTANBUL,turkey,Turquie,africa_me,missing
B4D7,B4D7,ibis Styles Istanbul Atasehir,IBS,IBIS STYLES,ISTANBUL,Turquie,"Kucukbakkalkoy Mahallesi, Yenidogan Cad. No.6  2, Atasehir",34750,https://all.accor.com/hotel/B4D7/index.fr.shtml,catalog_api,turkey,IBIS STYLES ISTANBUL ATASEHIR,ISTANBUL,turkey,Turquie,africa_me,missing
B2J8,B2J8,Mercure Istanbul Umraniye,MER,MERCURE,ISTANBUL,Turquie,"Alemdag Cad Site Yolu Sokak, No 20 Umraniye",34768,https://all.accor.com/hotel/B2J8/index.fr.shtml,catalog_api,turkey,MERCURE ISTANBUL UMRANIYE,ISTANBUL,turkey,Turquie,africa_me,missing
C430,C430,"The Grand Tarabya, Managed by Accor",SAM,SAM,ISTANBUL,Turquie,"Tarabya Mahallesi, Haydar Aliyev Caddesi N°154, Tarabya Sariyer",34457,https://all.accor.com/hotel/C430/index.fr.shtml,catalog_api,turkey,THE GRAND TARABYA MANAGED BY ACCOR,ISTANBUL,turkey,Turquie,africa_me,missing
A5E2,A5E2,Raffles Istanbul,RAF,RAFFLES,ISTANBUL,Turquie,"Zorlu Center, Vadi Caddesi, Zorlu Center, Levazım Mah. Raffles Istanbul",34340,https://all.accor.com/hotel/A5E2/index.fr.shtml,catalog_api,turkey,RAFFLES ISTANBUL,ISTANBUL,turkey,Turquie,africa_me,missing
A477,A477,Mövenpick Hotel Istanbul Bosphorus,MOV,MÖVENPICK,ISTANBUL,Turquie,"Barbaros Bulvari No 165, Balmumcu Besiktas, 34349",34349,https://all.accor.com/hotel/A477/index.fr.shtml,catalog_api,turkey,MOVENPICK HOTEL ISTANBUL BOSPHORUS,ISTANBUL,turkey,Turquie,africa_me,missing
A5D2,A5D2,Swissôtel The Bosphorus - Istanbul,SWI,SWISSÔTEL,ISTANBUL,Turquie,"Visnezade Mah Acisu Sok, NO 19 Macka, Besiktas",34357,https://all.accor.com/hotel/A5D2/index.fr.shtml,catalog_api,turkey,SWISSOTEL THE BOSPHORUS ISTANBUL,ISTANBUL,turkey,Turquie,africa_me,missing
C3F4,C3F4,Levni Istanbul Hotel Handwritten Collection,SOU,SOU,ISTANBUL,Turquie,"Hocapasa Mahallesi, Ankara Caddesi No 14 Sirkeci, Fatih",34110,https://all.accor.com/hotel/C3F4/index.fr.shtml,catalog_api,turkey,LEVNI ISTANBUL HOTEL HANDWRITTEN COLLECTION,ISTANBUL,turkey,Turquie,africa_me,missing
B4D8,B4D8,Mercure Istanbul Sirkeci,MER,MERCURE,ISTANBUL,Turquie,"Hobyar Mah. Muhzirbasi Sokak No6, Fatih Istanbul",34112,https://all.accor.com/hotel/B4D8/index.fr.shtml,catalog_api,turkey,MERCURE ISTANBUL SIRKECI,ISTANBUL,turkey,Turquie,africa_me,missing
B656,B656,Sofitel Istanbul Taksim,SOF,SOFITEL,ISTANBUL,Turquie,"Gumussuyu Mah, Siraselviler Cad No 13, Taksim",34437,https://all.accor.com/hotel/B656/index.fr.shtml,catalog_api,turkey,SOFITEL ISTANBUL TAKSIM,ISTANBUL,turkey,Turquie,africa_me,missing
A800,A800,Fairmont Quasar Istanbul,FAI,FAIRMONT,ISTANBUL,Turquie,"Buyukdere Caddesi No 76,, Mecidiyekoy",34393,https://all.accor.com/hotel/A800/index.fr.shtml,catalog_api,turkey,FAIRMONT QUASAR ISTANBUL,ISTANBUL,turkey,Turquie,africa_me,missing
B319,B319,Rixos Pera Istanbul - Accès à Nickelodeon Play,RIX,RIXOS HOTELS,ISTANBUL,Turquie,"Kamerhatun Mesrutiyet Cad No44, Tepebasi Beyoglu",34440,https://all.accor.com/hotel/B319/index.fr.shtml,catalog_api,turkey,RIXOS PERA ISTANBUL ACCES A NICKELODEON PLAY,ISTANBUL,turkey,Turquie,africa_me,missing
C0D0,C0D0,ibis Istanbul Sisli,IBH,IBIS,ISTANBUL,Turquie,"Abide-i Hurriyet Caddesi, No 179, Sisli",34381,https://all.accor.com/hotel/C0D0/index.fr.shtml,catalog_api,turkey,IBIS ISTANBUL SISLI,ISTANBUL,turkey,Turquie,africa_me,missing
A4N1,A4N1,Mercure Istanbul Bomonti,MER,MERCURE,ISTANBUL,Turquie,"Ergenekon Caddesi No 62 A, Bomonti Sisli",34377,https://all.accor.com/hotel/A4N1/index.fr.shtml,catalog_api,turkey,MERCURE ISTANBUL BOMONTI,ISTANBUL,turkey,Turquie,africa_me,missing
C527,C527,Mövenpick Istanbul Old Town,MOV,MÖVENPICK,ISTANBUL,Turquie,"Zeyrek Mahallesi, Ataturk Bulvari No 9, Unkapani Fatih",34083,https://all.accor.com/hotel/C527/index.fr.shtml,catalog_api,turkey,MOVENPICK ISTANBUL OLD TOWN,ISTANBUL,turkey,Turquie,africa_me,missing
B357,B357,ibis Styles Istanbul Bomonti,IBS,IBIS STYLES,ISTANBUL,Turquie,"Halide Edip Adivar Mah, Akar Cad No 6 Sisli",34384,https://all.accor.com/hotel/B357/index.fr.shtml,catalog_api,turkey,IBIS STYLES ISTANBUL BOMONTI,ISTANBUL,turkey,Turquie,africa_me,missing
B884,B884,Novotel Istanbul Bomonti,NOV,NOVOTEL,ISTANBUL,Turquie,"Merkez Mahallesi Silahsor, No:46, 34384",34384,https://all.accor.com/hotel/B884/index.fr.shtml,catalog_api,turkey,NOVOTEL ISTANBUL BOMONTI,ISTANBUL,turkey,Turquie,africa_me,missing
B8A6,B8A6,Rixos Tersane Istanbul,RIX,RIXOS HOTELS,ISTANBUL,Turquie,"Camiikebir Mahallesi, Taskizak Tersanesi Caddesi, N°23 1 Beyoglu",34440,https://all.accor.com/hotel/B8A6/index.fr.shtml,catalog_api,turkey,RIXOS TERSANE ISTANBUL,ISTANBUL,turkey,Turquie,africa_me,missing
C4K9,C4K9,Aliée Istanbul - A Paris Society Collection Hotel,PSC,PSC,ISTANBUL,Turquie,"Camiikebir Mahallesi, Taskizak Tersanesi Caddesi, N°11:19 Beyoglu Istanbul",34437,https://all.accor.com/hotel/C4K9/index.fr.shtml,catalog_api,turkey,ALIEE ISTANBUL A PARIS SOCIETY COLLECTION HOTEL,ISTANBUL,turkey,Turquie,africa_me,missing
C0C1,C0C1,Mövenpick Living Istanbul Saklivadi,MOL,MOL,ISTANBUL,Turquie,"Ayazaga Mahallesi 215 Sokak, No 10 B, Sariyer",34475,https://all.accor.com/hotel/C0C1/index.fr.shtml,catalog_api,turkey,MOVENPICK LIVING ISTANBUL SAKLIVADI,ISTANBUL,turkey,Turquie,africa_me,missing
B8B6,B8B6,Mövenpick Hotel Istanbul Marmara Sea,MOV,MÖVENPICK,ISTANBUL,Turquie,"Kazlicesme Mah Abay Cad, No 167  Zeytinburnu",34020,https://all.accor.com/hotel/B8B6/index.fr.shtml,catalog_api,turkey,MOVENPICK HOTEL ISTANBUL MARMARA SEA,ISTANBUL,turkey,Turquie,africa_me,missing
B4H8,B4H8,Mövenpick Istanbul Golden Horn,MOV,MÖVENPICK,ISTANBUL,Turquie,"Silahtaraga Caddesi No 87, Eyup",34050,https://all.accor.com/hotel/B4H8/index.fr.shtml,catalog_api,turkey,MOVENPICK ISTANBUL GOLDEN HORN,ISTANBUL,turkey,Turquie,africa_me,missing
C088,C088,Movenpick Living Istanbul Camlivadi,MOL,MOL,ISTANBUL,Turquie,"Hamidiye Mahallesi Ihlas Sokak, C Blok No:13, Kagithane",34408,https://all.accor.com/hotel/C088/index.fr.shtml,catalog_api,turkey,MOVENPICK LIVING ISTANBUL CAMLIVADI,ISTANBUL,turkey,Turquie,africa_me,missing
B634,B634,Mercure Istanbul Bakirkoy,MER,MERCURE,ISTANBUL,Turquie,"Istanbul Caddesi No71, Bakirkoy",34142,https://all.accor.com/hotel/B634/index.fr.shtml,catalog_api,turkey,MERCURE ISTANBUL BAKIRKOY,ISTANBUL,turkey,Turquie,africa_me,missing
B430,B430,ibis Styles Istanbul Merter,IBS,IBIS STYLES,ISTANBUL,Turquie,"Mehmet Nesih Ozmen Mahallesi, Kasim Sokak No 32 Merter, Gungoren",34173,https://all.accor.com/hotel/B430/index.fr.shtml,catalog_api,turkey,IBIS STYLES ISTANBUL MERTER,ISTANBUL,turkey,Turquie,africa_me,missing
B868,B868,Mövenpick Living Istanbul West,MOL,MOL,ISTANBUL,Turquie,"15 Temmuz Mah Gulbahar Cad, 1500 Sok No 12 Gunesli",34212,https://all.accor.com/hotel/B868/index.fr.shtml,catalog_api,turkey,MOVENPICK LIVING ISTANBUL WEST,ISTANBUL,turkey,Turquie,africa_me,missing
B1J7,B1J7,"Rixos Premium Göcek pour adultes seulement, à partir de 13 ans",RIX,RIXOS HOTELS,MUGLA,Turquie,"Göcek Mah.Sahil Yolu Cad., P.K 48310, Fethiye/Mugla",48310,https://all.accor.com/hotel/B1J7/index.fr.shtml,catalog_api,turkey,RIXOS PREMIUM GOCEK POUR ADULTES SEULEMENT A PARTIR DE 13 ANS,MUGLA,turkey,Turquie,africa_me,missing
B7U1,B7U1,Club Privé By Rixos Gocek,RIX,RIXOS HOTELS,MUGLA,Turquie,"Gocek Mahallesi Sahil Yolu Cadde, Gocek Fethiye",48310,https://all.accor.com/hotel/B7U1/index.fr.shtml,catalog_api,turkey,CLUB PRIVE BY RIXOS GOCEK,MUGLA,turkey,Turquie,africa_me,missing
B9R4,B9R4,ibis Istanbul Airport,IBH,IBIS,ISTANBUL,Turquie,"Mustafa Kemal Pasa Mahallesi, Kazim Karabekir Caddesi, No:221 A Arnavutkoy",34275,https://all.accor.com/hotel/B9R4/index.fr.shtml,catalog_api,turkey,IBIS ISTANBUL AIRPORT,ISTANBUL,turkey,Turquie,africa_me,missing
B3H2,B3H2,ibis Styles Izmir Bornova,IBS,IBIS STYLES,IZMIR,Turquie,"Kazim Dirik Mah No:282/2 Sokak, No 11 Bornova",35100,https://all.accor.com/hotel/B3H2/index.fr.shtml,catalog_api,turkey,IBIS STYLES IZMIR BORNOVA,IZMIR,turkey,Turquie,africa_me,missing
