hotel_code_accor,hotel_code_norm,hotel_name,hotel_brand_code,hotel_brand,hotel_city,hotel_country,hotel_adresse,hotel_code_postal,url_hotel,source,source_query,hotel_name_norm,city_norm,country_slug,country_label,region,match_type
B9D8,B9D8,"The Hoxton, Edimbourg",HOX,HOX,EDIMBOURG,Royaume-Uni,"5, 21 RUE GROSVENOR",EH12 5EF,https://all.accor.com/hotel/B9D8/index.fr.shtml,catalog_api,united kingdom,THE HOXTON EDIMBOURG,EDIMBOURG,united-kingdom,Royaume-Uni,europe,missing
B472,B472,Aparthotel Adagio Glasgow Central,ADG,ADAGIO,GLASGOW,Royaume-Uni,5 DIXON STREET,G14AL,https://all.accor.com/hotel/B472/index.fr.shtml,catalog_api,united kingdom,APARTHOTEL ADAGIO GLASGOW CENTRAL,GLASGOW,united-kingdom,Royaume-Uni,europe,missing
B1C4,B1C4,ibis Styles Glasgow Central,IBS,IBIS STYLES,GLASGOW,Royaume-Uni,"Douglas House, 116 Waterloo Street",G2 7DN,https://all.accor.com/hotel/B1C4/index.fr.shtml,catalog_api,united kingdom,IBIS STYLES GLASGOW CENTRAL,GLASGOW,united-kingdom,Royaume-Uni,europe,missing
A5A5,A5A5,Fairmont St Andrews,FAI,FAIRMONT,ST ANDREWS,Royaume-Uni,ST ANDREWS,KY16 8PN,https://all.accor.com/hotel/A5A5/index.fr.shtml,catalog_api,united kingdom,FAIRMONT ST ANDREWS,ST ANDREWS,united-kingdom,Royaume-Uni,europe,missing
1118,1118,Novotel Newcastle Airport,NOV,NOVOTEL,NEWCASTLE,Royaume-Uni,"Ponteland Road Kenton, NEWCASTLE UPON TYNE",NE3 3HZ,https://all.accor.com/hotel/1118/index.fr.shtml,catalog_api,united kingdom,NOVOTEL NEWCASTLE AIRPORT,NEWCASTLE,united-kingdom,Royaume-Uni,europe,missing
C1D0,C1D0,ibis Coleraine Riverside,IBH,IBIS,COLERAINE,Royaume-Uni,"3 Riverside Park North, Coleraine",BT51 3GE,https://all.accor.com/hotel/C1D0/index.fr.shtml,catalog_api,united kingdom,IBIS COLERAINE RIVERSIDE,COLERAINE,united-kingdom,Royaume-Uni,europe,missing
A0H8,A0H8,Mercure Aberdeen Caledonian Hotel,MER,MERCURE,ABERDEEN,Royaume-Uni,10 14 Union Terrace,AB101WE,https://all.accor.com/hotel/A0H8/index.fr.shtml,catalog_api,united kingdom,MERCURE ABERDEEN CALEDONIAN HOTEL,ABERDEEN,united-kingdom,Royaume-Uni,europe,missing
A0H4,A0H4,Mercure Haydock Hotel,MER,MERCURE,HAYDOCK,Royaume-Uni,"Penny, LANE",WA119SG,https://all.accor.com/hotel/A0H4/index.fr.shtml,catalog_api,united kingdom,MERCURE HAYDOCK HOTEL,HAYDOCK,united-kingdom,Royaume-Uni,europe,missing
B4Z1,B4Z1,Mercure St Helens,MER,MERCURE,ST HELENS,Royaume-Uni,"Linkway West, St Helens, Merseyside",WA101NG,https://all.accor.com/hotel/B4Z1/index.fr.shtml,catalog_api,united kingdom,MERCURE ST HELENS,ST HELENS,united-kingdom,Royaume-Uni,europe,missing
B9E8,B9E8,The Municipal Hotel & Spa Liverpool - MGallery Collection,MGA,MGALLERY,LIVERPOOL,Royaume-Uni,"Bâtiment municipal, Dale Street",L2 2DH,https://all.accor.com/hotel/B9E8/index.fr.shtml,catalog_api,united kingdom,THE MUNICIPAL HOTEL SPA LIVERPOOL MGALLERY COLLECTION,LIVERPOOL,united-kingdom,Royaume-Uni,europe,missing
