hotel_code_accor,hotel_code_norm,hotel_name,hotel_brand_code,hotel_brand,hotel_city,hotel_country,hotel_adresse,hotel_code_postal,url_hotel,source,source_query,hotel_name_norm,city_norm,country_slug,country_label,region,match_type
B3Y0,B3Y0,ibis Wels,IBH,IBIS,WELS,Autriche,Maria Theresia Strasse 44,4600,https://all.accor.com/hotel/B3Y0/index.fr.shtml,catalog_api,austria,IBIS WELS,WELS,austria,Autriche,europe,missing
C730,C730,IntercityHotel Graz - Ouverture prochaine,ITC,ITC,GRAZ,Autriche,Finkengasse 2,8020,https://all.accor.com/hotel/C730/index.fr.shtml,catalog_api,austria,INTERCITYHOTEL GRAZ OUVERTURE PROCHAINE,GRAZ,austria,Autriche,europe,missing
5742,5742,Hotel Mercure Graz City,MER,MERCURE,GRAZ,Autriche,Lendplatz 36- 37,8020,https://all.accor.com/hotel/5742/index.fr.shtml,catalog_api,austria,HOTEL MERCURE GRAZ CITY,GRAZ,austria,Autriche,europe,missing
B9U3,B9U3,ibis Styles Graz Messe,IBS,IBIS STYLES,GRAZ,Autriche,Waltendorfer Guertel 8,8010,https://all.accor.com/hotel/B9U3/index.fr.shtml,catalog_api,austria,IBIS STYLES GRAZ MESSE,GRAZ,austria,Autriche,europe,missing
B3Y1,B3Y1,ibis styles Klagenfurt am Woerthersee,IBS,IBIS STYLES,KLAGENFURT,Autriche,Viktringer Ring 28,9020,https://all.accor.com/hotel/B3Y1/index.fr.shtml,catalog_api,austria,IBIS STYLES KLAGENFURT AM WOERTHERSEE,KLAGENFURT,austria,Autriche,europe,missing
C799,C799,Steigenberger Hôtel & Spa Krems - Ouverture prochaine,STB,STB,KREMS,Autriche,Am Goldberg 2,3500,https://all.accor.com/hotel/C799/index.fr.shtml,catalog_api,austria,STEIGENBERGER HOTEL SPA KREMS OUVERTURE PROCHAINE,KREMS,austria,Autriche,europe,missing
C794,C794,MAXX Hotel Vienna - Ouverture prochaine,MAX,MAX,VIENNE,Autriche,Margaretengurtel 142,1050,https://all.accor.com/hotel/C794/index.fr.shtml,catalog_api,austria,MAXX HOTEL VIENNA OUVERTURE PROCHAINE,VIENNE,austria,Autriche,europe,missing
B677,B677,JO&JOE Vienna,JOE,JO&JOE,VIENNE,Autriche,Europaplatz 1 6,1150,https://all.accor.com/hotel/B677/index.fr.shtml,catalog_api,austria,JO JOE VIENNA,VIENNE,austria,Autriche,europe,missing
C791,C791,IntercityHotel Vienne - Ouverture prochaine,ITC,ITC,VIENNE,Autriche,Mariahilfer Strasse 122,1070,https://all.accor.com/hotel/C791/index.fr.shtml,catalog_api,austria,INTERCITYHOTEL VIENNE OUVERTURE PROCHAINE,VIENNE,austria,Autriche,europe,missing
C793,C793,Jaz In The City Vienna - Ouverture prochaine,JAZ,JAZ,VIENNE,Autriche,Windmuhlgasse 28,1060,https://all.accor.com/hotel/C793/index.fr.shtml,catalog_api,austria,JAZ IN THE CITY VIENNA OUVERTURE PROCHAINE,VIENNE,austria,Autriche,europe,missing
B146,B146,25hours Hotel Vienna at MuseumsQuartier,TWF,25HOURS,VIENNE,Autriche,Lerchenfelder Strasse 1-3,1070,https://all.accor.com/hotel/B146/index.fr.shtml,catalog_api,austria,25HOURS HOTEL VIENNA AT MUSEUMSQUARTIER,VIENNE,austria,Autriche,europe,missing
C3S6,C3S6,Hotel Rathauspark Vienna - Handwritten Collection,SOU,SOU,VIENNE,Autriche,Rathausstrasse 17,1010,https://all.accor.com/hotel/C3S6/index.fr.shtml,catalog_api,austria,HOTEL RATHAUSPARK VIENNA HANDWRITTEN COLLECTION,VIENNE,austria,Autriche,europe,missing
C7A3,C7A3,Steigenberger Hotel Herrenhof Vienne - Bientôt disponible,STB,STB,VIENNE,Autriche,Herrengasse 10,1010,https://all.accor.com/hotel/C7A3/index.fr.shtml,catalog_api,austria,STEIGENBERGER HOTEL HERRENHOF VIENNE BIENTOT DISPONIBLE,VIENNE,austria,Autriche,europe,missing
B9D3,B9D3,"The Hoxton, Vienna",HOX,HOX,VIENNE,Autriche,Rudolf-Sallinger-Platz 1,1030,https://all.accor.com/hotel/B9D3/index.fr.shtml,catalog_api,austria,THE HOXTON VIENNA,VIENNE,austria,Autriche,europe,missing
B1C2,B1C2,ibis Styles Wien Messe Prater,IBS,IBIS STYLES,VIENNE,Autriche,"Franzensbrückenstrasse 26, Leopoldstadt",1020,https://all.accor.com/hotel/B1C2/index.fr.shtml,catalog_api,austria,IBIS STYLES WIEN MESSE PRATER,VIENNE,austria,Autriche,europe,missing
B8I6,B8I6,greet Vienna City North,GRE,GREET,WIEN,Autriche,Bruenner Strasse 67 a,1210,https://all.accor.com/hotel/B8I6/index.fr.shtml,catalog_api,austria,GREET VIENNA CITY NORTH,WIEN,austria,Autriche,europe,missing
B426,B426,ibis Styles Parndorf Neusiedler,IBS,IBIS STYLES,PARNDORF,Autriche,Gewerbestrasse 11,7111,https://all.accor.com/hotel/B426/index.fr.shtml,catalog_api,austria,IBIS STYLES PARNDORF NEUSIEDLER,PARNDORF,austria,Autriche,europe,missing
