hotel_code_accor,hotel_code_norm,hotel_name,hotel_brand_code,hotel_brand,hotel_city,hotel_country,hotel_adresse,hotel_code_postal,url_hotel,source,source_query,hotel_name_norm,city_norm,country_slug,country_label,region,match_type
B644,B644,Ibis Lanzhou East Market Hotel,IBH,IBIS,LANZHOU,Chine,"No.2698 Donggang East Road, Chengguan District, Lanzhou City",730020,https://all.accor.com/hotel/B644/index.fr.shtml,catalog_api,china,IBIS LANZHOU EAST MARKET HOTEL,LANZHOU,china,Chine,asia,missing
B5Y5,B5Y5,ibis Styles Lanzhou Wulipu,IBS,IBIS STYLES,LANZHOU,Chine,"No.2698 Donggang East Road, Chengguan District, Lanzhou City",730000,https://all.accor.com/hotel/B5Y5/index.fr.shtml,catalog_api,china,IBIS STYLES LANZHOU WULIPU,LANZHOU,china,Chine,asia,missing
C244,C244,Mercure Lanzhou University Tianshui,MER,MERCURE,LANZHOU,Chine,"166 South Tianshui Road, Chengguan District",730030,https://all.accor.com/hotel/C244/index.fr.shtml,catalog_api,china,MERCURE LANZHOU UNIVERSITY TIANSHUI,LANZHOU,china,Chine,asia,missing
B2X9,B2X9,ibis Lanzhou Dongfanghong Plaza Hotel,IBH,IBIS,LANZHOU,Chine,"NO.276, Pingliang Road, Chengguan District",730000,https://all.accor.com/hotel/B2X9/index.fr.shtml,catalog_api,china,IBIS LANZHOU DONGFANGHONG PLAZA HOTEL,LANZHOU,china,Chine,asia,missing
B5S0,B5S0,Ibis Lanzhou Railway Bureau Hotel,IBH,IBIS,LANZHOU,Chine,"298 Democracy East Road, Chengguan District, Lanzhou City",730000,https://all.accor.com/hotel/B5S0/index.fr.shtml,catalog_api,china,IBIS LANZHOU RAILWAY BUREAU HOTEL,LANZHOU,china,Chine,asia,missing
B3B9,B3B9,Mercure Lanzhou Downtown,MER,MERCURE,LANZHOU,Chine,"No 5160 South Binhe Road, Chengguan District",730000,https://all.accor.com/hotel/B3B9/index.fr.shtml,catalog_api,china,MERCURE LANZHOU DOWNTOWN,LANZHOU,china,Chine,asia,missing
B7S4,B7S4,Mercure Lanzhou Dongfanghong,MER,MERCURE,LANZHOU,Chine,"No 4 6 Guangchang South Road, Chengguan District, Lanzhou Gansu Province",730000,https://all.accor.com/hotel/B7S4/index.fr.shtml,catalog_api,china,MERCURE LANZHOU DONGFANGHONG,LANZHOU,china,Chine,asia,missing
B645,B645,Ibis Lanzhou Square west entrance Hotel,IBH,IBIS,LANZHOU,Chine,"Lanzhou City, Gansu Province, Qingyang Road No. 19",730030,https://all.accor.com/hotel/B645/index.fr.shtml,catalog_api,china,IBIS LANZHOU SQUARE WEST ENTRANCE HOTEL,LANZHOU,china,Chine,asia,missing
B7D6,B7D6,Mercure Lanzhou Zhengning Road (ouverture décembre 2020),MER,MERCURE,LANZHOU,Chine,"No 11 South Yongchang Road, Chengguan District",730000,https://all.accor.com/hotel/B7D6/index.fr.shtml,catalog_api,china,MERCURE LANZHOU ZHENGNING ROAD OUVERTURE DECEMBRE 2020,LANZHOU,china,Chine,asia,missing
C0G4,C0G4,Mercure Lanzhou West,MER,MERCURE,LANZHOU,Chine,"87 Xinjin West Road, Qilihe District",730000,https://all.accor.com/hotel/C0G4/index.fr.shtml,catalog_api,china,MERCURE LANZHOU WEST,LANZHOU,china,Chine,asia,missing
