hotel_code_accor,hotel_code_norm,hotel_name,hotel_brand_code,hotel_brand,hotel_city,hotel_country,hotel_adresse,hotel_code_postal,url_hotel,source,source_query,hotel_name_norm,city_norm,country_slug,country_label,region,match_type
B429,B429,ibis Budget Bogota Marly,IBB,IBIS BUDGET,BOGOTA,Colombie,"CARRERA 8, 49",110231,https://all.accor.com/hotel/B429/index.fr.shtml,catalog_api,colombia,IBIS BUDGET BOGOTA MARLY,BOGOTA,colombia,Colombie,americas,missing
A535,A535,Mercure Bogotá BH Zona Financiera,MER,MERCURE,BOGOTA,Colombie,Carrera 7 65 01,110231,https://all.accor.com/hotel/A535/index.fr.shtml,catalog_api,colombia,MERCURE BOGOTA BH ZONA FINANCIERA,BOGOTA,colombia,Colombie,americas,missing
A536,A536,Mercure Bogotá bh Retiro,MER,MERCURE,BOGOTA,Colombie,Av Cll 80 no 10-11,110221,https://all.accor.com/hotel/A536/index.fr.shtml,catalog_api,colombia,MERCURE BOGOTA BH RETIRO,BOGOTA,colombia,Colombie,americas,missing
B471,B471,Mercure Bogotá Calle 100 (ex Atton),MER,MERCURE,BOGOTÁ,Colombie,Transv. 23 98 27 Chico N.,110010,https://all.accor.com/hotel/B471/index.fr.shtml,catalog_api,colombia,MERCURE BOGOTA CALLE 100 EX ATTON,BOGOTA,colombia,Colombie,americas,missing
B468,B468,Novotel Bogotá Parque 93 (Ex-Atton),NOV,NOVOTEL,BOGOTÁ,Colombie,,110111,https://all.accor.com/hotel/B468/index.fr.shtml,catalog_api,colombia,NOVOTEL BOGOTA PARQUE 93 EX ATTON,BOGOTA,colombia,Colombie,americas,missing
B201,B201,ibis Chia,IBH,IBIS,CHIA,Colombie,,2500001,https://all.accor.com/hotel/B201/index.fr.shtml,catalog_api,colombia,IBIS CHIA,CHIA,colombia,Colombie,americas,missing
B465,B465,Novotel Medellín El Tesoro,NOV,NOVOTEL,MEDELLIN,Colombie,Cra 25 1 Sur 45 El Poblad,50022,https://all.accor.com/hotel/B465/index.fr.shtml,catalog_api,colombia,NOVOTEL MEDELLIN EL TESORO,MEDELLIN,colombia,Colombie,americas,missing
B206,B206,Ibis budget Medellín Itagüí Metro,IBB,IBIS BUDGET,ITAGÜI,Colombie,Calle 50 40 17,55413,https://all.accor.com/hotel/B206/index.fr.shtml,catalog_api,colombia,IBIS BUDGET MEDELLIN ITAGUI METRO,ITAGUI,colombia,Colombie,americas,missing
B780,B780,TRIBE Medellín,TRI,TRIBE,MEDELLIN,Colombie,"CARRERA 35, 10 75",50021,https://all.accor.com/hotel/B780/index.fr.shtml,catalog_api,colombia,TRIBE MEDELLIN,MEDELLIN,colombia,Colombie,americas,missing
C450,C450,ibis Styles Medellin Laureles,IBS,IBIS STYLES,MEDELLÍN,Colombie,,50030,https://all.accor.com/hotel/C450/index.fr.shtml,catalog_api,colombia,IBIS STYLES MEDELLIN LAURELES,MEDELLIN,colombia,Colombie,americas,missing
A0T1,A0T1,ibis Cali Granada,IBH,IBIS,CALI,Colombie,"Av 8 Norte 21 Norte 40, Quartier de Granada",760042,https://all.accor.com/hotel/A0T1/index.fr.shtml,catalog_api,colombia,IBIS CALI GRANADA,CALI,colombia,Colombie,americas,missing
A3X0,A3X0,ibis Cúcuta,IBH,IBIS,CUCUTA,Colombie,Avenida 0 14 68,540006,https://all.accor.com/hotel/A3X0/index.fr.shtml,catalog_api,colombia,IBIS CUCUTA,CUCUTA,colombia,Colombie,americas,missing
B047,B047,ibis Apartadó,IBH,IBIS,APARTADO,Colombie,Carrera 100 88 21,57841,https://all.accor.com/hotel/B047/index.fr.shtml,catalog_api,colombia,IBIS APARTADO,APARTADO,colombia,Colombie,americas,missing
B0P5,B0P5,Sofitel Barú Cartagena,SOF,SOFITEL,CARTAGENA,Colombie,"KM 7 Sector Cartagena, Departamento Bolivar, Baru",130017,https://all.accor.com/hotel/B0P5/index.fr.shtml,catalog_api,colombia,SOFITEL BARU CARTAGENA,CARTAGENA,colombia,Colombie,americas,missing
A232,A232,Hôtel Boutique Bovedas de Santa Clara By Accor,SAM,SAM,CARTAGENA,Colombie,"Cra 8 39 114, Barrio San Diego",130001,https://all.accor.com/hotel/A232/index.fr.shtml,catalog_api,colombia,HOTEL BOUTIQUE BOVEDAS DE SANTA CLARA BY ACCOR,CARTAGENA,colombia,Colombie,americas,missing
A015,A015,Ibis Budget Barranquilla,IBB,IBIS BUDGET,BARRANQUILLA,Colombie,Cra 50 Nr 84  82,80001,https://all.accor.com/hotel/A015/index.fr.shtml,catalog_api,colombia,IBIS BUDGET BARRANQUILLA,BARRANQUILLA,colombia,Colombie,americas,missing
