hotel_code_accor,hotel_code_norm,hotel_name,hotel_brand_code,hotel_brand,hotel_city,hotel_country,hotel_adresse,hotel_code_postal,url_hotel,source,source_query,hotel_name_norm,city_norm,country_slug,country_label,region,match_type
B925,B925,TRIBE Budapest Airport,TRI,TRIBE,BUDAPEST,Hongrie,"LISZT FERENC INT AIRPORT, TERMINAL 2",1185,https://all.accor.com/hotel/B925/index.fr.shtml,catalog_api,hungary,TRIBE BUDAPEST AIRPORT,BUDAPEST,hungary,Hongrie,europe,missing
B0I7,B0I7,ibis Styles Budapest Airport,IBS,IBIS STYLES,BUDAPEST,Hongrie,"Vecses, Liszt Ferenc, International Airport, Terminal2",1185,https://all.accor.com/hotel/B0I7/index.fr.shtml,catalog_api,hungary,IBIS STYLES BUDAPEST AIRPORT,BUDAPEST,hungary,Hongrie,europe,missing
B876,B876,ibis Budapest Stadium,IBH,IBIS,BUDAPEST,Hongrie,34 krt Konyves Kalman,1097,https://all.accor.com/hotel/B876/index.fr.shtml,catalog_api,hungary,IBIS BUDAPEST STADIUM,BUDAPEST,hungary,Hongrie,europe,missing
B875,B875,TRIBE Budapest Stadium,TRI,TRIBE,BUDAPEST,Hongrie,34 krt Konyves Kalman,1097,https://all.accor.com/hotel/B875/index.fr.shtml,catalog_api,hungary,TRIBE BUDAPEST STADIUM,BUDAPEST,hungary,Hongrie,europe,missing
C709,C709,IntercityHotel Budapest - Ouverture prochaine,ITC,ITC,BUDAPEST,Hongrie,Baross tér 7-8,1087,https://all.accor.com/hotel/C709/index.fr.shtml,catalog_api,hungary,INTERCITYHOTEL BUDAPEST OUVERTURE PROCHAINE,BUDAPEST,hungary,Hongrie,europe,missing
C514,C514,You Hotel Budapest - Handwritten Collection,SOU,SOU,BUDAPEST,Hongrie,Szentkiralyi u 8 NTAK:SZ25117628,1088,https://all.accor.com/hotel/C514/index.fr.shtml,catalog_api,hungary,YOU HOTEL BUDAPEST HANDWRITTEN COLLECTION,BUDAPEST,hungary,Hongrie,europe,missing
C0A8,C0A8,JO&JOE Budapest,JOE,JO&JOE,BUDAPEST,Hongrie,Dohány utca 35.,1074,https://all.accor.com/hotel/C0A8/index.fr.shtml,catalog_api,hungary,JO JOE BUDAPEST,BUDAPEST,hungary,Hongrie,europe,missing
B350,B350,ibis Styles Budapest Citywest,IBS,IBIS STYLES,BUDAPEST,Hongrie,"Budaorsi Ut 88, NTAK : SZ19000235, szálloda",1118,https://all.accor.com/hotel/B350/index.fr.shtml,catalog_api,hungary,IBIS STYLES BUDAPEST CITYWEST,BUDAPEST,hungary,Hongrie,europe,missing
6565,6565,Mercure Budapest City Center Hotel,MER,MERCURE,BUDAPEST,Hongrie,"Vaci utca 20, NTAK: SZ19000376, szálloda",1052,https://all.accor.com/hotel/6565/index.fr.shtml,catalog_api,hungary,MERCURE BUDAPEST CITY CENTER HOTEL,BUDAPEST,hungary,Hongrie,europe,missing
C319,C319,Pullman Budapest,PUL,PULLMAN,BUDAPEST,Hongrie,Nagymezo u. 38,1065,https://all.accor.com/hotel/C319/index.fr.shtml,catalog_api,hungary,PULLMAN BUDAPEST,BUDAPEST,hungary,Hongrie,europe,missing
B427,B427,ibis Budapest Castle Hill,IBH,IBIS,BUDAPEST,Hongrie,"41 43 Krisztina krt, NTAK:SZ19000980, szálloda, .",1013,https://all.accor.com/hotel/B427/index.fr.shtml,catalog_api,hungary,IBIS BUDAPEST CASTLE HILL,BUDAPEST,hungary,Hongrie,europe,missing
