hotel_code_accor,hotel_code_norm,hotel_name,hotel_brand_code,hotel_brand,hotel_city,hotel_country,hotel_adresse,hotel_code_postal,url_hotel,source,source_query,hotel_name_norm,city_norm,country_slug,country_label,region,match_type
C1R1,C1R1,Grand Mercure Yatsugatake Resort & Spa,MEI,GRAND MERCURE,YAMANASHI,Japon,"8240-1039, Nishiide, Oizumi cho Hokuto shi",409-1501,https://all.accor.com/hotel/C1R1/index.fr.shtml,catalog_api,japan,GRAND MERCURE YATSUGATAKE RESORT SPA,YAMANASHI,japan,Japon,asia,missing
C1Q8,C1Q8,Mercure Nagano Matsushiro Resort & Spa,MER,MERCURE,NAGANO,Japon,"1372-1 Nishiderao, Matsushiromachi, Naganoshi",381-1215,https://all.accor.com/hotel/C1Q8/index.fr.shtml,catalog_api,japan,MERCURE NAGANO MATSUSHIRO RESORT SPA,NAGANO,japan,Japon,asia,missing
C5T3,C5T3,Hôtel Madarao Kogen,SAM,SAM,IIYAMA,Japon,"Iiyama shi, True, Ooaza Iiyama 11421 392",389-2257,https://all.accor.com/hotel/C5T3/index.fr.shtml,catalog_api,japan,HOTEL MADARAO KOGEN,IIYAMA,japan,Japon,asia,missing
C5R4,C5R4,Lime Resort Myoko,SAM,SAM,NIIGATA,Japon,"Niigataken Myokoshi, True, Ooaza Sekigawa 2251 2",8492112,https://all.accor.com/hotel/C5R4/index.fr.shtml,catalog_api,japan,LIME RESORT MYOKO,NIIGATA,japan,Japon,asia,missing
B9G5,B9G5,Mercure Hida Takayama,MER,MERCURE,GIFU,Japon,"4 311 1 Hanasatomachi, Takayama, 5060026",5060026,https://all.accor.com/hotel/B9G5/index.fr.shtml,catalog_api,japan,MERCURE HIDA TAKAYAMA,GIFU,japan,Japon,asia,missing
C1P0,C1P0,Mercure Toyama Tonami Resort & Spa,MER,MERCURE,TOYAMA,Japon,"330 Tenno, Yasukawa, Tonami Toyama",939-1438,https://all.accor.com/hotel/C1P0/index.fr.shtml,catalog_api,japan,MERCURE TOYAMA TONAMI RESORT SPA,TOYAMA,japan,Japon,asia,missing
C1F1,C1F1,Mercure Tokyo Hibiya,MER,MERCURE,TOKYO,Japon,"1-5-2, UCHISAIWAICHO, CHIYODA",100-0011,https://all.accor.com/hotel/C1F1/index.fr.shtml,catalog_api,japan,MERCURE TOKYO HIBIYA,TOKYO,japan,Japon,asia,missing
B137,B137,Pullman Tokyo Tamachi,PUL,PULLMAN,TOKYO,Japon,"3 1 21 Shibaura, Minato",1080023,https://all.accor.com/hotel/B137/index.fr.shtml,catalog_api,japan,PULLMAN TOKYO TAMACHI,TOKYO,japan,Japon,asia,missing
B9H6,B9H6,ibis Styles Tokyo Ginza,IBS,IBIS STYLES,TOKYO,Japon,"7 10 9, Ginza, Chuo ku",104-0061,https://all.accor.com/hotel/B9H6/index.fr.shtml,catalog_api,japan,IBIS STYLES TOKYO GINZA,TOKYO,japan,Japon,asia,missing
B6R8,B6R8,Fairmont Tokyo,FAI,FAIRMONT,TOKYO,Japon,"1-1-1 Shibaura, Minato ku",1050023,https://all.accor.com/hotel/B6R8/index.fr.shtml,catalog_api,japan,FAIRMONT TOKYO,TOKYO,japan,Japon,asia,missing
C185,C185,ibis Styles Tokyo Ginza East,IBS,IBIS STYLES,TOKYO,Japon,"1-2-13, SHINTOMI, CHUO",104-0041,https://all.accor.com/hotel/C185/index.fr.shtml,catalog_api,japan,IBIS STYLES TOKYO GINZA EAST,TOKYO,japan,Japon,asia,missing
