hotel_code_accor,hotel_code_norm,hotel_name,hotel_brand_code,hotel_brand,hotel_city,hotel_country,url_hotel,source_query,hotel_name_norm,city_norm,match_type
0785,785,Novotel Paris Les Halles,NOV,NOVOTEL,PARIS,France,https://all.accor.com/hotel/0785/index.fr.shtml,france,NOVOTEL PARIS LES HALLES,PARIS,missing
A7L5,A7L5,SO/ Paris Hotel,SO,SO/,PARIS,France,https://all.accor.com/hotel/A7L5/index.fr.shtml,france,SO PARIS HOTEL,PARIS,missing
A013,A013,ibis Paris Avenue de la République,IBH,IBIS,PARIS,France,https://all.accor.com/hotel/A013/index.fr.shtml,france,IBIS PARIS AVENUE DE LA REPUBLIQUE,PARIS,missing
0751,751,ibis Styles Paris République Le Marais,IBS,IBIS STYLES,PARIS,France,https://all.accor.com/hotel/0751/index.fr.shtml,france,IBIS STYLES PARIS REPUBLIQUE LE MARAIS,PARIS,missing
B625,B625,Ibis Styles Paris Gare De Lyon Bastille,IBS,IBIS STYLES,PARIS,France,https://all.accor.com/hotel/B625/index.fr.shtml,france,IBIS STYLES PARIS GARE DE LYON BASTILLE,PARIS,missing
B6F9,B6F9,Mercure Paris Gare de Lyon Opéra Bastille,MER,MERCURE,PARIS,France,https://all.accor.com/hotel/B6F9/index.fr.shtml,france,MERCURE PARIS GARE DE LYON OPERA BASTILLE,PARIS,missing
B8G7,B8G7,Ibis Styles Paris Opéra Lafayette,IBS,IBIS STYLES,PARIS,France,https://all.accor.com/hotel/B8G7/index.fr.shtml,france,IBIS STYLES PARIS OPERA LAFAYETTE,PARIS,missing
B8G5,B8G5,Mercure Paris Opéra Lafayette,MER,MERCURE,PARIS,France,https://all.accor.com/hotel/B8G5/index.fr.shtml,france,MERCURE PARIS OPERA LAFAYETTE,PARIS,missing
0981,981,Hôtel Mercure Paris Opéra Faubourg Montmartre,MER,MERCURE,PARIS,France,https://all.accor.com/hotel/0981/index.fr.shtml,france,HOTEL MERCURE PARIS OPERA FAUBOURG MONTMARTRE,PARIS,missing
B6W6,B6W6,ibis Styles Paris Gare de Lyon TGV,IBS,IBIS STYLES,PARIS,France,https://all.accor.com/hotel/B6W6/index.fr.shtml,france,IBIS STYLES PARIS GARE DE LYON TGV,PARIS,missing
B5D8,B5D8,ibis Styles Paris Gare de l'Est Magenta,IBS,IBIS STYLES,PARIS,France,https://all.accor.com/hotel/B5D8/index.fr.shtml,france,IBIS STYLES PARIS GARE DE L EST MAGENTA,PARIS,missing
A9V3,A9V3,ibis Paris Gare de L'Est 10ème,IBH,IBIS,PARIS,France,https://all.accor.com/hotel/A9V3/index.fr.shtml,france,IBIS PARIS GARE DE L EST 10EME,PARIS,missing
0663,663,Sofitel Le Scribe Paris Opéra,SOF,SOFITEL,PARIS,France,https://all.accor.com/hotel/0663/index.fr.shtml,france,SOFITEL LE SCRIBE PARIS OPERA,PARIS,missing
0351,351,Hôtel Mercure Paris Montparnasse Raspail,MER,MERCURE,PARIS,France,https://all.accor.com/hotel/0351/index.fr.shtml,france,HOTEL MERCURE PARIS MONTPARNASSE RASPAIL,PARIS,missing
A064,A064,Boutet Bastille Hotel Paris - MGallery Collection,MGA,MGALLERY,PARIS,France,https://all.accor.com/hotel/A064/index.fr.shtml,france,BOUTET BASTILLE HOTEL PARIS MGALLERY COLLECTION,PARIS,missing
0863,863,ibis Paris Gare du Nord La Fayette 10ème,IBH,IBIS,PARIS,France,https://all.accor.com/hotel/0863/index.fr.shtml,france,IBIS PARIS GARE DU NORD LA FAYETTE 10EME,PARIS,missing
B4F3,B4F3,Novotel Paris 20 Belleville,NOV,NOVOTEL,PARIS,France,https://all.accor.com/hotel/B4F3/index.fr.shtml,france,NOVOTEL PARIS 20 BELLEVILLE,PARIS,missing
B385,B385,25hours Hotel Paris Terminus Nord,TWF,25HOURS,PARIS,France,https://all.accor.com/hotel/B385/index.fr.shtml,france,25HOURS HOTEL PARIS TERMINUS NORD,PARIS,missing
0934,934,Hôtel Mercure Paris Bercy Bibliothèque,MER,MERCURE,PARIS,France,https://all.accor.com/hotel/0934/index.fr.shtml,france,HOTEL MERCURE PARIS BERCY BIBLIOTHEQUE,PARIS,missing
B8R1,B8R1,Maison Delano Paris,DEL,DELANO,PARIS,France,https://all.accor.com/hotel/B8R1/index.fr.shtml,france,MAISON DELANO PARIS,PARIS,missing
0900,900,ibis Paris Canal Saint-Martin,IBH,IBIS,PARIS,France,https://all.accor.com/hotel/0900/index.fr.shtml,france,IBIS PARIS CANAL SAINT MARTIN,PARIS,missing
0905,905,Mercure Paris Centre Gare Montparnasse,MER,MERCURE,PARIS,France,https://all.accor.com/hotel/0905/index.fr.shtml,france,MERCURE PARIS CENTRE GARE MONTPARNASSE,PARIS,missing
0935,935,Novotel Paris Centre Bercy,NOV,NOVOTEL,PARIS,France,https://all.accor.com/hotel/0935/index.fr.shtml,france,NOVOTEL PARIS CENTRE BERCY,PARIS,missing
0941,941,ibis Styles Paris Bercy,IBS,IBIS STYLES,PARIS,France,https://all.accor.com/hotel/0941/index.fr.shtml,france,IBIS STYLES PARIS BERCY,PARIS,missing
1191,1191,Hôtel Mercure Paris Place d'Italie,MER,MERCURE,PARIS,France,https://all.accor.com/hotel/1191/index.fr.shtml,france,HOTEL MERCURE PARIS PLACE D ITALIE,PARIS,missing
0694,694,Mercure Paris Butte Montmartre Basilique,MER,MERCURE,PARIS,France,https://all.accor.com/hotel/0694/index.fr.shtml,france,MERCURE PARIS BUTTE MONTMARTRE BASILIQUE,PARIS,missing
A025,A025,Mercure Paris Pigalle Sacre Coeur,MER,MERCURE,PARIS,France,https://all.accor.com/hotel/A025/index.fr.shtml,france,MERCURE PARIS PIGALLE SACRE COEUR,PARIS,missing
A4A6,A4A6,ibis Styles Paris Place d'Italie Butte-aux-Cailles,IBS,IBIS STYLES,PARIS,France,https://all.accor.com/hotel/A4A6/index.fr.shtml,france,IBIS STYLES PARIS PLACE D ITALIE BUTTE AUX CAILLES,PARIS,missing
B2Q8,B2Q8,ibis Paris Gare Montparnasse Catalogne,IBH,IBIS,PARIS,France,https://all.accor.com/hotel/B2Q8/index.fr.shtml,france,IBIS PARIS GARE MONTPARNASSE CATALOGNE,PARIS,missing
B8H6,B8H6,Hotel Mercure Paris Gare Montparnasse TGV,MER,MERCURE,PARIS,France,https://all.accor.com/hotel/B8H6/index.fr.shtml,france,HOTEL MERCURE PARIS GARE MONTPARNASSE TGV,PARIS,missing
0803,803,ibis Paris Maine Montparnasse 14ème,IBH,IBIS,PARIS,France,https://all.accor.com/hotel/0803/index.fr.shtml,france,IBIS PARIS MAINE MONTPARNASSE 14EME,PARIS,missing
0923,923,ibis Paris Italie Tolbiac 13ème,IBH,IBIS,PARIS,France,https://all.accor.com/hotel/0923/index.fr.shtml,france,IBIS PARIS ITALIE TOLBIAC 13EME,PARIS,missing
A8R1,A8R1,ibis Styles Paris Gare Saint-Lazare,IBS,IBIS STYLES,PARIS,France,https://all.accor.com/hotel/A8R1/index.fr.shtml,france,IBIS STYLES PARIS GARE SAINT LAZARE,PARIS,missing
0373,373,Hôtel Mercure Paris Montmartre Sacré-Coeur,MER,MERCURE,PARIS,France,https://all.accor.com/hotel/0373/index.fr.shtml,france,HOTEL MERCURE PARIS MONTMARTRE SACRE COEUR,PARIS,missing
C0T4,C0T4,ibis Styles Paris Montmartre Batignolles,IBS,IBIS STYLES,PARIS,France,https://all.accor.com/hotel/C0T4/index.fr.shtml,france,IBIS STYLES PARIS MONTMARTRE BATIGNOLLES,PARIS,missing
B431,B431,JO&JOE Paris Nation,JOE,JO&JOE,PARIS,France,https://all.accor.com/hotel/B431/index.fr.shtml,france,JO JOE PARIS NATION,PARIS,missing
A0X1,A0X1,Aparthotel Adagio Paris Nation,ADG,ADAGIO,PARIS,France,https://all.accor.com/hotel/A0X1/index.fr.shtml,france,APARTHOTEL ADAGIO PARIS NATION,PARIS,missing
