hotel_code_accor,hotel_code_norm,hotel_name,hotel_brand_code,hotel_brand,hotel_city,hotel_country,hotel_adresse,hotel_code_postal,url_hotel,source,source_query,hotel_name_norm,city_norm,country_slug,country_label,region,match_type
B356,B356,Ibis Budget Aguascalientes,IBB,IBIS BUDGET,AGUASCALIENTES,Mexique,"Blvd Aguascalientes Zacatecas, Km 6, Fracc Arroyo El Molino",20123,https://all.accor.com/hotel/B356/index.fr.shtml,catalog_api,mexico,IBIS BUDGET AGUASCALIENTES,AGUASCALIENTES,mexico,Mexique,americas,missing
A8V0,A8V0,ibis Torreón,IBH,IBIS,TORREON,Mexique,"Carretera Torreon, San Pedro 2200",27420,https://all.accor.com/hotel/A8V0/index.fr.shtml,catalog_api,mexico,IBIS TORREON,TORREON,mexico,Mexique,americas,missing
A7F5,A7F5,ibis Mazatlan Marina,IBH,IBIS,MAZATLAN,Mexique,"Avenida Del Delfin 6300, Esq Quinta Avenida, Marina Mazatlan",82112,https://all.accor.com/hotel/A7F5/index.fr.shtml,catalog_api,mexico,IBIS MAZATLAN MARINA,MAZATLAN,mexico,Mexique,americas,missing
C4N7,C4N7,Park Royal Mazatlan géré par AccorHotels,SAM,SAM,MAZATLAN,Mexique,"Av Sábalo Cerritos, 3110",82100,https://all.accor.com/hotel/C4N7/index.fr.shtml,catalog_api,mexico,PARK ROYAL MAZATLAN GERE PAR ACCORHOTELS,MAZATLAN,mexico,Mexique,americas,missing
C280,C280,Marival Distinct All-Suites & World Spa  Handwritten Collection,SOU,SOU,NUEVO VALLARTA,Mexique,"AV PASEO COCOTEROS LOTE 53, VILLA 8 11",63735,https://all.accor.com/hotel/C280/index.fr.shtml,catalog_api,mexico,MARIVAL DISTINCT ALL SUITES WORLD SPA HANDWRITTEN COLLECTION,NUEVO VALLARTA,mexico,Mexique,americas,missing
C2A1,C2A1,Marival Emotions Resort & Suites Riviera Nayarit by Mercure,MER,MERCURE,NUEVO VALLARTA,Mexique,"BLVD NUEVO VALLARTA, PASEO COCOTEROS",63732,https://all.accor.com/hotel/C2A1/index.fr.shtml,catalog_api,mexico,MARIVAL EMOTIONS RESORT SUITES RIVIERA NAYARIT BY MERCURE,NUEVO VALLARTA,mexico,Mexique,americas,missing
C4T7,C4T7,Club Regina Puerto Vallarta géré par Accor,SAM,SAM,PUERTO VALLARTA,Mexique,Av Paseo de la Marina Sur 205,48335,https://all.accor.com/hotel/C4T7/index.fr.shtml,catalog_api,mexico,CLUB REGINA PUERTO VALLARTA GERE PAR ACCOR,PUERTO VALLARTA,mexico,Mexique,americas,missing
C4Q4,C4Q4,Park Royal Home Stay Los Tules géré par Accor,SAM,SAM,PUERTO VALLARTA,Mexique,"Blvd Francisco Medina Ascencio, 2135 KM 2, Zona Hotelera",48333,https://all.accor.com/hotel/C4Q4/index.fr.shtml,catalog_api,mexico,PARK ROYAL HOME STAY LOS TULES GERE PAR ACCOR,PUERTO VALLARTA,mexico,Mexique,americas,missing
C2A2,C2A2,Armony Marival Resort & Spa Punta de Mita - MGallery collection,MGA,MGALLERY,PUNTA DE MITA,Mexique,"Carretera Punta de Mita Km 8.3, Playa Destiladeras",63734,https://all.accor.com/hotel/C2A2/index.fr.shtml,catalog_api,mexico,ARMONY MARIVAL RESORT SPA PUNTA DE MITA MGALLERY COLLECTION,PUNTA DE MITA,mexico,Mexique,americas,missing
A6I0,A6I0,ibis Mexico Tlalnepantla,IBH,IBIS,TLALNEPANTLA,Mexique,"Av Sor Juana Ines De La Cruz, Numero 132 Colonia, Tlalnepantla Centro",54000,https://all.accor.com/hotel/A6I0/index.fr.shtml,catalog_api,mexico,IBIS MEXICO TLALNEPANTLA,TLALNEPANTLA,mexico,Mexique,americas,missing
