hotel_code_accor,hotel_code_norm,hotel_name,hotel_brand_code,hotel_brand,hotel_city,hotel_country,hotel_adresse,hotel_code_postal,url_hotel,source,source_query,hotel_name_norm,city_norm,country_slug,country_label,region,match_type
A0G1,A0G1,The Sebel Wellington Lower Hutt,SEB,SEBEL,WELLINGTON,Nouvelle-Zélande,"High Street, Lower Hutt, Wellington",5010,https://all.accor.com/hotel/A0G1/index.fr.shtml,catalog_api,new zealand,THE SEBEL WELLINGTON LOWER HUTT,WELLINGTON,new-zealand,Nouvelle-Zélande,oceania,missing
A018,A018,Mercure Wellington Abel Tasman,MER,MERCURE,WELLINGTON,Nouvelle-Zélande,"169 Willis Street, Te Aro",6011,https://all.accor.com/hotel/A018/index.fr.shtml,catalog_api,new zealand,MERCURE WELLINGTON ABEL TASMAN,WELLINGTON,new-zealand,Nouvelle-Zélande,oceania,missing
1991,1991,Mövenpick Hotel Wellington,MOV,MÖVENPICK,WELLINGTON,Nouvelle-Zélande,345 The Terrace,6001,https://all.accor.com/hotel/1991/index.fr.shtml,catalog_api,new zealand,MOVENPICK HOTEL WELLINGTON,WELLINGTON,new-zealand,Nouvelle-Zélande,oceania,missing
C493,C493,Wairakei Resort Taupo,SAM,SAM,TAUPO,Nouvelle-Zélande,"640 Wairakei Drive, TAUPO",3384,https://all.accor.com/hotel/C493/index.fr.shtml,catalog_api,new zealand,WAIRAKEI RESORT TAUPO,TAUPO,new-zealand,Nouvelle-Zélande,oceania,missing
A7W3,A7W3,Pullman Rotorua,PUL,PULLMAN,ROTORUA,Nouvelle-Zélande,1135 Arawa St,3010,https://all.accor.com/hotel/A7W3/index.fr.shtml,catalog_api,new zealand,PULLMAN ROTORUA,ROTORUA,new-zealand,Nouvelle-Zélande,oceania,missing
5689,5689,ibis Rotorua,IBH,IBIS,ROTORUA,Nouvelle-Zélande,"Lake End, Rangiuru Street, PO  Box 348",3010,https://all.accor.com/hotel/5689/index.fr.shtml,catalog_api,new zealand,IBIS ROTORUA,ROTORUA,new-zealand,Nouvelle-Zélande,oceania,missing
B3T1,B3T1,Peppers Clearwater Resort,PEP,PEPPERS,CHRISTCHURCH,Nouvelle-Zélande,Clearwater Avenue,8053,https://all.accor.com/hotel/B3T1/index.fr.shtml,catalog_api,new zealand,PEPPERS CLEARWATER RESORT,CHRISTCHURCH,new-zealand,Nouvelle-Zélande,oceania,missing
B3J2,B3J2,Breakfree On Cashel,BKF,BREAKFREE,CHRISTCHURCH,Nouvelle-Zélande,165 Cashel Street,8011,https://all.accor.com/hotel/B3J2/index.fr.shtml,catalog_api,new zealand,BREAKFREE ON CASHEL,CHRISTCHURCH,new-zealand,Nouvelle-Zélande,oceania,missing
A542,A542,Novotel Christchurch Airport,NOV,NOVOTEL,CHRISTCHURCH,Nouvelle-Zélande,"30 Dury Road, Christchurch Airport, PO Box 14041",8053,https://all.accor.com/hotel/A542/index.fr.shtml,catalog_api,new zealand,NOVOTEL CHRISTCHURCH AIRPORT,CHRISTCHURCH,new-zealand,Nouvelle-Zélande,oceania,missing
C636,C636,MERCURE TAURANGA,MER,MERCURE,TAURANGA,Nouvelle-Zélande,28 BROWN STREET,3110,https://all.accor.com/hotel/C636/index.fr.shtml,catalog_api,new zealand,MERCURE TAURANGA,TAURANGA,new-zealand,Nouvelle-Zélande,oceania,missing
C024,C024,Fable Terrace Downs Resort - MGallery Collection,MGA,MGALLERY,WINDWHISTLE,Nouvelle-Zélande,"623 Coleridge Road, Windwhistle, Canterbury",7572,https://all.accor.com/hotel/C024/index.fr.shtml,catalog_api,new zealand,FABLE TERRACE DOWNS RESORT MGALLERY COLLECTION,WINDWHISTLE,new-zealand,Nouvelle-Zélande,oceania,missing
A8U9,A8U9,Pullman Auckland Airport,PUL,PULLMAN,AUCKLAND,Nouvelle-Zélande,"Auckland International Airport, 37 Tom Pearce Drive, P.O.BOX 53163, Auckland Airport",2022,https://all.accor.com/hotel/A8U9/index.fr.shtml,catalog_api,new zealand,PULLMAN AUCKLAND AIRPORT,AUCKLAND,new-zealand,Nouvelle-Zélande,oceania,missing
A8Q4,A8Q4,The Sebel Auckland Manukau,SEB,SEBEL,AUCKLAND,Nouvelle-Zélande,"16 Lakewood Court, Manukau",2104,https://all.accor.com/hotel/A8Q4/index.fr.shtml,catalog_api,new zealand,THE SEBEL AUCKLAND MANUKAU,AUCKLAND,new-zealand,Nouvelle-Zélande,oceania,missing
B1R9,B1R9,Mercure Auckland Queen Street,MER,MERCURE,AUCKLAND,Nouvelle-Zélande,500 Queen Street,1010,https://all.accor.com/hotel/B1R9/index.fr.shtml,catalog_api,new zealand,MERCURE AUCKLAND QUEEN STREET,AUCKLAND,new-zealand,Nouvelle-Zélande,oceania,missing
C0N8,C0N8,JO&JOE Auckland,JOE,JO&JOE,AUCKLAND,Nouvelle-Zélande,16-20 Fort Street,1010,https://all.accor.com/hotel/C0N8/index.fr.shtml,catalog_api,new zealand,JO JOE AUCKLAND,AUCKLAND,new-zealand,Nouvelle-Zélande,oceania,missing
C0N9,C0N9,TRIBE Auckland Fort Street,TRI,TRIBE,CENTRE D'AFFAIRES D'AUCKLAND,Nouvelle-Zélande,"40 Fort Street, Auckland CBD",1010,https://all.accor.com/hotel/C0N9/index.fr.shtml,catalog_api,new zealand,TRIBE AUCKLAND FORT STREET,CENTRE D AFFAIRES D AUCKLAND,new-zealand,Nouvelle-Zélande,oceania,missing
B0H7,B0H7,Fable Auckland - MGallery Collection,MGA,MGALLERY,AUCKLAND,Nouvelle-Zélande,"58 60 Queen Street, Auckland Cbd",1010,https://all.accor.com/hotel/B0H7/index.fr.shtml,catalog_api,new zealand,FABLE AUCKLAND MGALLERY COLLECTION,AUCKLAND,new-zealand,Nouvelle-Zélande,oceania,missing
B3M7,B3M7,Mantra Lake Tekapo,MTA,MANTRA,LAC TEKAPO,Nouvelle-Zélande,1 Beauchamp Place,7999,https://all.accor.com/hotel/B3M7/index.fr.shtml,catalog_api,new zealand,MANTRA LAKE TEKAPO,LAC TEKAPO,new-zealand,Nouvelle-Zélande,oceania,missing
B3Q7,B3Q7,Peppers Bluewater Resort,PEP,PEPPERS,LAC TEKAPO,Nouvelle-Zélande,State Highway 8,7945,https://all.accor.com/hotel/B3Q7/index.fr.shtml,catalog_api,new zealand,PEPPERS BLUEWATER RESORT,LAC TEKAPO,new-zealand,Nouvelle-Zélande,oceania,missing
B3J8,B3J8,Mantra The Point Queenstown,MTA,MANTRA,QUEENSTOWN,Nouvelle-Zélande,239 Frankton Road,9300,https://all.accor.com/hotel/B3J8/index.fr.shtml,catalog_api,new zealand,MANTRA THE POINT QUEENSTOWN,QUEENSTOWN,new-zealand,Nouvelle-Zélande,oceania,missing
5688,5688,Sofitel Queenstown Hotel and Spa,SOF,SOFITEL,QUEENSTOWN,Nouvelle-Zélande,"8 Duke Street, PO Box 1797",9300,https://all.accor.com/hotel/5688/index.fr.shtml,catalog_api,new zealand,SOFITEL QUEENSTOWN HOTEL AND SPA,QUEENSTOWN,new-zealand,Nouvelle-Zélande,oceania,missing
B3S7,B3S7,Peppers Beacon,PEP,PEPPERS,QUEENSTOWN,Nouvelle-Zélande,34 Lake Esplanade,9300,https://all.accor.com/hotel/B3S7/index.fr.shtml,catalog_api,new zealand,PEPPERS BEACON,QUEENSTOWN,new-zealand,Nouvelle-Zélande,oceania,missing
A0B2,A0B2,ibis Styles Invercargill,IBS,IBIS STYLES,INVERCARGILL,Nouvelle-Zélande,15 Tay Street,9810,https://all.accor.com/hotel/A0B2/index.fr.shtml,catalog_api,new zealand,IBIS STYLES INVERCARGILL,INVERCARGILL,new-zealand,Nouvelle-Zélande,oceania,missing
