hotel_code_accor,hotel_code_norm,hotel_name,hotel_brand_code,hotel_brand,hotel_city,hotel_country,hotel_adresse,hotel_code_postal,url_hotel,source,source_query,hotel_name_norm,city_norm,country_slug,country_label,region,match_type
A358,A358,ibis Styles Warszawa West,IBS,IBIS STYLES,MORY,Pologne,Poznanska 33,05850,https://all.accor.com/hotel/A358/index.fr.shtml,catalog_api,poland,IBIS STYLES WARSZAWA WEST,MORY,poland,Pologne,europe,missing
A351,A351,Mercure Warszawa Ursus Station,MER,MERCURE,VARSOVIE,Pologne,Cykady 2,02401,https://all.accor.com/hotel/A351/index.fr.shtml,catalog_api,poland,MERCURE WARSZAWA URSUS STATION,VARSOVIE,poland,Pologne,europe,missing
A0Y3,A0Y3,ibis Styles Gniezno Stare Miasto,IBS,IBIS STYLES,GNIEZNO,Pologne,Chrobrego 20,62 200,https://all.accor.com/hotel/A0Y3/index.fr.shtml,catalog_api,poland,IBIS STYLES GNIEZNO STARE MIASTO,GNIEZNO,poland,Pologne,europe,missing
C131,C131,ibis Styles Warszawa Airport,IBS,IBIS STYLES,VARSOVIE,Pologne,31 Poleczki,02-822,https://all.accor.com/hotel/C131/index.fr.shtml,catalog_api,poland,IBIS STYLES WARSZAWA AIRPORT,VARSOVIE,poland,Pologne,europe,missing
B0R2,B0R2,ibis Styles Warszawa City,IBS,IBIS STYLES,VARSOVIE,Pologne,Ul Grzybowska 43,00855,https://all.accor.com/hotel/B0R2/index.fr.shtml,catalog_api,poland,IBIS STYLES WARSZAWA CITY,VARSOVIE,poland,Pologne,europe,missing
3385,3385,Mercure Warszawa Centrum,MER,MERCURE,VARSOVIE,Pologne,ul. Złota 48/54,00-120,https://all.accor.com/hotel/3385/index.fr.shtml,catalog_api,poland,MERCURE WARSZAWA CENTRUM,VARSOVIE,poland,Pologne,europe,missing
3384,3384,Hotel Mercure Warszawa Grand,MER,MERCURE,WARSAW,Pologne,28 Krucza Street,00-522,https://all.accor.com/hotel/3384/index.fr.shtml,catalog_api,poland,HOTEL MERCURE WARSZAWA GRAND,WARSAW,poland,Pologne,europe,missing
A7W6,A7W6,Raffles Europejski Warsaw,RAF,RAFFLES,VARSOVIE,Pologne,Krakowskie Przedmiescie 13,00-071,https://all.accor.com/hotel/A7W6/index.fr.shtml,catalog_api,poland,RAFFLES EUROPEJSKI WARSAW,VARSOVIE,poland,Pologne,europe,missing
A1J0,A1J0,ibis Styles Warszawa Centrum,IBS,IBIS STYLES,VARSOVIE,Pologne,ul. Zagórna 1a,00441,https://all.accor.com/hotel/A1J0/index.fr.shtml,catalog_api,poland,IBIS STYLES WARSZAWA CENTRUM,VARSOVIE,poland,Pologne,europe,missing
B895,B895,Mercure Wiązowna Brant,MER,MERCURE,MAJDAN WIAZOWNA,Pologne,Równa 20 Majdan,05462,https://all.accor.com/hotel/B895/index.fr.shtml,catalog_api,poland,MERCURE WIAZOWNA BRANT,MAJDAN WIAZOWNA,poland,Pologne,europe,missing
A9U9,A9U9,ibis Poznan Centrum,IBH,IBIS,POZNAN,Pologne,Plac Andersa 1,61-894,https://all.accor.com/hotel/A9U9/index.fr.shtml,catalog_api,poland,IBIS POZNAN CENTRUM,POZNAN,poland,Pologne,europe,missing
C2N1,C2N1,ibis Styles Katowice Airport,IBS,IBIS STYLES,PYRZOWICE,Pologne,Rownolegla 2A,42-625,https://all.accor.com/hotel/C2N1/index.fr.shtml,catalog_api,poland,IBIS STYLES KATOWICE AIRPORT,PYRZOWICE,poland,Pologne,europe,missing
3405,3405,Hotel Mercure Opole,MER,MERCURE,OPOLE,Pologne,Ul. Krakowska 57/59,45-018,https://all.accor.com/hotel/3405/index.fr.shtml,catalog_api,poland,HOTEL MERCURE OPOLE,OPOLE,poland,Pologne,europe,missing
B1Z1,B1Z1,The Bridge Wroclaw - MGallery Collection,MGA,MGALLERY,WROCLAW,Pologne,Plac Katedralny 8,50329,https://all.accor.com/hotel/B1Z1/index.fr.shtml,catalog_api,poland,THE BRIDGE WROCLAW MGALLERY COLLECTION,WROCLAW,poland,Pologne,europe,missing
B8W2,B8W2,Mövenpick Grand Hotel Wroclaw,MOV,MÖVENPICK,WROCLAW,Pologne,100 102 Marszalka Pilsudskiego,50-014,https://all.accor.com/hotel/B8W2/index.fr.shtml,catalog_api,poland,MOVENPICK GRAND HOTEL WROCLAW,WROCLAW,poland,Pologne,europe,missing
A074,A074,ibis Wroclaw Centrum,IBH,IBIS,WROCLAW,Pologne,Powstancow Slaskich 7b,53332,https://all.accor.com/hotel/A074/index.fr.shtml,catalog_api,poland,IBIS WROCLAW CENTRUM,WROCLAW,poland,Pologne,europe,missing
