hotel_code_accor,hotel_code_norm,hotel_name,hotel_brand_code,hotel_brand,hotel_city,hotel_country,hotel_adresse,hotel_code_postal,url_hotel,source,source_query,hotel_name_norm,city_norm,country_slug,country_label,region,match_type
B1F4,B1F4,Mercure Fátima,MER,MERCURE,FATIMA,Portugal,Rua Conego Manuel N Formigao 4,2495417,https://all.accor.com/hotel/B1F4/index.fr.shtml,catalog_api,portugal,MERCURE FATIMA,FATIMA,portugal,Portugal,europe,missing
B9Q0,B9Q0,ibis Styles Lisboa Aeroporto,IBS,IBIS STYLES,LISBONNE,Portugal,"Avenida José Fonseca Carvalho, Prior Velho, RNET 12258",2685-869,https://all.accor.com/hotel/B9Q0/index.fr.shtml,catalog_api,portugal,IBIS STYLES LISBOA AEROPORTO,LISBONNE,portugal,Portugal,europe,missing
A146,A146,ibis Styles Lisboa Centro Liberdade NE,IBS,IBIS STYLES,LISBOA,Portugal,Avenida Duque de Loule 73,1050088,https://all.accor.com/hotel/A146/index.fr.shtml,catalog_api,portugal,IBIS STYLES LISBOA CENTRO LIBERDADE NE,LISBOA,portugal,Portugal,europe,missing
A9R8,A9R8,ibis Styles Lisboa Centro Marquês de Pombal,IBS,IBIS STYLES,LISBONNE,Portugal,"Avenida Fontes Pereira De Melo, No 5, RNT : 277",1069114,https://all.accor.com/hotel/A9R8/index.fr.shtml,catalog_api,portugal,IBIS STYLES LISBOA CENTRO MARQUES DE POMBAL,LISBONNE,portugal,Portugal,europe,missing
B5L3,B5L3,Mama Shelter Lisbonne,MSH,MAMA SHELTER,LISBOA,Portugal,"Rua do Vale de Pereiro 19, RNET 10236",1250-270,https://all.accor.com/hotel/B5L3/index.fr.shtml,catalog_api,portugal,MAMA SHELTER LISBONNE,LISBOA,portugal,Portugal,europe,missing
A040,A040,Mercure Lisboa Almada,MER,MERCURE,ALMADA,Portugal,"Rua Abel Salazar, 9, PRAGAL",2805-313,https://all.accor.com/hotel/A040/index.fr.shtml,catalog_api,portugal,MERCURE LISBOA ALMADA,ALMADA,portugal,Portugal,europe,missing
B2L7,B2L7,Mercure Porto Centro Aliados,MER,MERCURE,PORTO,Portugal,"Rua Do Bonjardim 95, RNET 9382",4000-124,https://all.accor.com/hotel/B2L7/index.fr.shtml,catalog_api,portugal,MERCURE PORTO CENTRO ALIADOS,PORTO,portugal,Portugal,europe,missing
5106,5106,ibis budget Porto Gaia,IBB,IBIS BUDGET,VILA NOVA DE GAIA,Portugal,"Rua Martir S. Sebastiao, 390, Afurada",4400-499,https://all.accor.com/hotel/5106/index.fr.shtml,catalog_api,portugal,IBIS BUDGET PORTO GAIA,VILA NOVA DE GAIA,portugal,Portugal,europe,missing
A7J9,A7J9,Ibis Porto Centro Mercado Do Bolhao.,IBH,IBIS,PORTO,Portugal,"Rua Sá da Bandeira 567, RNET 9272",4000-437,https://all.accor.com/hotel/A7J9/index.fr.shtml,catalog_api,portugal,IBIS PORTO CENTRO MERCADO DO BOLHAO,PORTO,portugal,Portugal,europe,missing
C4M8,C4M8,"Victoria Golf Resort & Spa, Managed by Accor",SAM,SAM,VILAMOURA,Portugal,Avenida dos Descobrimentos,8125-309,https://all.accor.com/hotel/C4M8/index.fr.shtml,catalog_api,portugal,VICTORIA GOLF RESORT SPA MANAGED BY ACCOR,VILAMOURA,portugal,Portugal,europe,missing
A6H6,A6H6,ibis Styles Chaves,IBS,IBIS STYLES,CHAVES,Portugal,"Rua 25 de Abril, nº 25, En une seule inscription : 8683",5400-015,https://all.accor.com/hotel/A6H6/index.fr.shtml,catalog_api,portugal,IBIS STYLES CHAVES,CHAVES,portugal,Portugal,europe,missing
B366,B366,Mercure Ponta Delgada Azores,MER,MERCURE,PONTA DELGADA,Portugal,Rua Machado dos Santos 82,9500-083,https://all.accor.com/hotel/B366/index.fr.shtml,catalog_api,portugal,MERCURE PONTA DELGADA AZORES,PONTA DELGADA,portugal,Portugal,europe,missing
