hotel_code_accor,hotel_code_norm,hotel_name,hotel_brand_code,hotel_brand,hotel_city,hotel_country,hotel_adresse,hotel_code_postal,url_hotel,source,source_query,hotel_name_norm,city_norm,country_slug,country_label,region,match_type
B4G5,B4G5,Mercure Riyadh Al Anoud,MER,MERCURE,RIYAD,Arabie saoudite,"RCRA 3298,  Building No. 3298, Rue Al Balsam, Quartier Al Murabba",12612,https://all.accor.com/hotel/B4G5/index.fr.shtml,catalog_api,saudi arabia,MERCURE RIYADH AL ANOUD,RIYAD,saudi-arabia,Arabie saoudite,africa_me,missing
B4X1,B4X1,Mövenpick Hotel and Residences Riyadh,MOV,MÖVENPICK,RIYADH,Arabie saoudite,"3478 North Ring Road Exit 4, Al Ghadeer District",13311,https://all.accor.com/hotel/B4X1/index.fr.shtml,catalog_api,saudi arabia,MOVENPICK HOTEL AND RESIDENCES RIYADH,RIYADH,saudi-arabia,Arabie saoudite,africa_me,missing
B597,B597,Fairmont Ramla Riyadh,FAI,FAIRMONT,RIYADH,Arabie saoudite,"7713 King Fahad Road, Al Sahafah District",13329,https://all.accor.com/hotel/B597/index.fr.shtml,catalog_api,saudi arabia,FAIRMONT RAMLA RIYADH,RIYADH,saudi-arabia,Arabie saoudite,africa_me,missing
A7X6,A7X6,Fairmont Riyadh,FAI,FAIRMONT,RIYAD,Arabie saoudite,"Business Gate, Qurtubah Area",11552,https://all.accor.com/hotel/A7X6/index.fr.shtml,catalog_api,saudi arabia,FAIRMONT RIYADH,RIYAD,saudi-arabia,Arabie saoudite,africa_me,missing
B4N1,B4N1,Mövenpick Qassim,MOV,MÖVENPICK,BURAYDAH,Arabie saoudite,"King Khaled Road, Po box 31001",51497,https://all.accor.com/hotel/B4N1/index.fr.shtml,catalog_api,saudi arabia,MOVENPICK QASSIM,BURAYDAH,saudi-arabia,Arabie saoudite,africa_me,missing
B9X5,B9X5,Sofitel Shahd Al Madinah,SOF,SOFITEL,MÉDINE,Arabie saoudite,"King Fahd Road Building 2943, Al Madinah, Abi Obaidah Ibn AL Jarrah",42311,https://all.accor.com/hotel/B9X5/index.fr.shtml,catalog_api,saudi arabia,SOFITEL SHAHD AL MADINAH,MEDINE,saudi-arabia,Arabie saoudite,africa_me,missing
B4M6,B4M6,Anwar Al Madinah Mövenpick,MOV,MÖVENPICK,MEDINAH AL MUNAWARA,Arabie saoudite,"Central Zone, Al Khalidiya, PO Box 41340",42311,https://all.accor.com/hotel/B4M6/index.fr.shtml,catalog_api,saudi arabia,ANWAR AL MADINAH MOVENPICK,MEDINAH AL MUNAWARA,saudi-arabia,Arabie saoudite,africa_me,missing
B9H5,B9H5,Novotel Madinah,NOV,NOVOTEL,MADINAH,Arabie saoudite,"King Faisal Road, Al Manakhah District 2110",42311,https://all.accor.com/hotel/B9H5/index.fr.shtml,catalog_api,saudi arabia,NOVOTEL MADINAH,MADINAH,saudi-arabia,Arabie saoudite,africa_me,missing
C1N5,C1N5,GAMRA MOUNTAIN RESORT BY MANTIS,MTS,MANTIS,AL BAHA,Arabie saoudite,"Khairah Forest Park Street, Al Baha",00000,https://all.accor.com/hotel/C1N5/index.fr.shtml,catalog_api,saudi arabia,GAMRA MOUNTAIN RESORT BY MANTIS,AL BAHA,saudi-arabia,Arabie saoudite,africa_me,missing
B6G6,B6G6,Hôtel Novotel Dhahran et Résidences (ouverture prochaine),NOV,NOVOTEL,DHARAHN,Arabie saoudite,Schools Road Kfupm,34463,https://all.accor.com/hotel/B6G6/index.fr.shtml,catalog_api,saudi arabia,HOTEL NOVOTEL DHAHRAN ET RESIDENCES OUVERTURE PROCHAINE,DHARAHN,saudi-arabia,Arabie saoudite,africa_me,missing
