hotel_code_accor,hotel_code_norm,hotel_name,hotel_brand_code,hotel_brand,hotel_city,hotel_country,hotel_adresse,hotel_code_postal,url_hotel,source,source_query,hotel_name_norm,city_norm,country_slug,country_label,region,match_type
B6J9,B6J9,ibis budget Singapore Clarke Quay,IBB,IBIS BUDGET,SINGAPOUR,Singapour,20 Hong Kong Street,059663,https://all.accor.com/hotel/B6J9/index.fr.shtml,catalog_api,singapore,IBIS BUDGET SINGAPORE CLARKE QUAY,SINGAPOUR,singapore,Singapour,asia,missing
A5D3,A5D3,Swissôtel The Stamford Singapour,SWI,SWISSÔTEL,SINGAPORE,Singapour,2 Stamford Road,178882,https://all.accor.com/hotel/A5D3/index.fr.shtml,catalog_api,singapore,SWISSOTEL THE STAMFORD SINGAPOUR,SINGAPORE,singapore,Singapour,asia,missing
B5L7,B5L7,Pullman Singapore Hill Street,PUL,PULLMAN,SINGAPOUR,Singapour,1 HILL STREET,179949,https://all.accor.com/hotel/B5L7/index.fr.shtml,catalog_api,singapore,PULLMAN SINGAPORE HILL STREET,SINGAPOUR,singapore,Singapour,asia,missing
A5G8,A5G8,Fairmont Singapore,FAI,FAIRMONT,SINGAPOUR,Singapour,80 Bras Basah Road,189560,https://all.accor.com/hotel/A5G8/index.fr.shtml,catalog_api,singapore,FAIRMONT SINGAPORE,SINGAPOUR,singapore,Singapour,asia,missing
A5E1,A5E1,Raffles Singapore,RAF,RAFFLES,SINGAPOUR,Singapour,1 Beach Road,189673,https://all.accor.com/hotel/A5E1/index.fr.shtml,catalog_api,singapore,RAFFLES SINGAPORE,SINGAPOUR,singapore,Singapour,asia,missing
C2S1,C2S1,Mercure ICON Singapore City Centre,MER,MERCURE,SINGAPOUR,Singapour,8 Club Street,069472,https://all.accor.com/hotel/C2S1/index.fr.shtml,catalog_api,singapore,MERCURE ICON SINGAPORE CITY CENTRE,SINGAPOUR,singapore,Singapour,asia,missing
C7F0,C7F0,Novotel Singapore Robertson Quay (ouverture en août 2026),NOV,NOVOTEL,SINGAPORE,Singapour,1 Unity St,237983,https://all.accor.com/hotel/C7F0/index.fr.shtml,catalog_api,singapore,NOVOTEL SINGAPORE ROBERTSON QUAY OUVERTURE EN AOUT 2026,SINGAPORE,singapore,Singapour,asia,missing
B6H8,B6H8,ibis budget Singapore Bugis,IBB,IBIS BUDGET,SINGAPOUR,Singapour,33 Middle Road,188942,https://all.accor.com/hotel/B6H8/index.fr.shtml,catalog_api,singapore,IBIS BUDGET SINGAPORE BUGIS,SINGAPOUR,singapore,Singapour,asia,missing
C3S7,C3S7,Hotel Waterloo Singapore - Handwritten Collection,SOU,SOU,SINGAPOUR,Singapour,78 Waterloo Street,189870,https://all.accor.com/hotel/C3S7/index.fr.shtml,catalog_api,singapore,HOTEL WATERLOO SINGAPORE HANDWRITTEN COLLECTION,SINGAPOUR,singapore,Singapour,asia,missing
A0D7,A0D7,Mercure Singapore Bugis,MER,MERCURE,SINGAPORE,Singapour,122 Middle Road,188973,https://all.accor.com/hotel/A0D7/index.fr.shtml,catalog_api,singapore,MERCURE SINGAPORE BUGIS,SINGAPORE,singapore,Singapour,asia,missing
B7F8,B7F8,Mondrian Singapore Duxton,MOD,MOD,SINGAPOUR,Singapour,"16A Duxton Hill, 16A Duxton Hill, 16A Duxton Hill",089970,https://all.accor.com/hotel/B7F8/index.fr.shtml,catalog_api,singapore,MONDRIAN SINGAPORE DUXTON,SINGAPOUR,singapore,Singapour,asia,missing
A152,A152,Sofitel Singapore City Centre,SOF,SOFITEL,SINGAPOUR,Singapour,9 Wallich Street,078885,https://all.accor.com/hotel/A152/index.fr.shtml,catalog_api,singapore,SOFITEL SINGAPORE CITY CENTRE,SINGAPOUR,singapore,Singapour,asia,missing
B6I1,B6I1,ibis Styles Singapore Albert,IBS,IBIS STYLES,SINGAPOUR,Singapour,175 Albert Street,189970,https://all.accor.com/hotel/B6I1/index.fr.shtml,catalog_api,singapore,IBIS STYLES SINGAPORE ALBERT,SINGAPOUR,singapore,Singapour,asia,missing
C1A7,C1A7,Mama Shelter Singapore Orchard,MSH,MAMA SHELTER,SINGAPOUR,Singapour,110 Killiney Road,239549,https://all.accor.com/hotel/C1A7/index.fr.shtml,catalog_api,singapore,MAMA SHELTER SINGAPORE ORCHARD,SINGAPOUR,singapore,Singapour,asia,missing
B6J6,B6J6,ibis budget Singapore Selegie,IBB,IBIS BUDGET,SINGAPOUR,Singapour,183 Selegie Road,188329,https://all.accor.com/hotel/B6J6/index.fr.shtml,catalog_api,singapore,IBIS BUDGET SINGAPORE SELEGIE,SINGAPOUR,singapore,Singapour,asia,missing
B9H8,B9H8,Pullman Singapore Orchard,PUL,PULLMAN,SINGAPOUR,Singapour,270 Orchard Road,238857,https://all.accor.com/hotel/B9H8/index.fr.shtml,catalog_api,singapore,PULLMAN SINGAPORE ORCHARD,SINGAPOUR,singapore,Singapour,asia,missing
C269,C269,Novotel Singapore on Kitchener,NOV,NOVOTEL,SINGAPOUR,Singapour,181 Kitchener Rd,208533,https://all.accor.com/hotel/C269/index.fr.shtml,catalog_api,singapore,NOVOTEL SINGAPORE ON KITCHENER,SINGAPOUR,singapore,Singapour,asia,missing
B6J7,B6J7,ibis Budget Singapore Imperial,IBB,IBIS BUDGET,RAFFLES SHENZHEN,Singapour,28 Penhas Road,208187,https://all.accor.com/hotel/B6J7/index.fr.shtml,catalog_api,singapore,IBIS BUDGET SINGAPORE IMPERIAL,RAFFLES SHENZHEN,singapore,Singapour,asia,missing
B6I2,B6I2,Mercure Singapore Tyrwhitt,MER,MERCURE,SINGAPOUR,Singapour,165 Tyrwhitt Road,207569,https://all.accor.com/hotel/B6I2/index.fr.shtml,catalog_api,singapore,MERCURE SINGAPORE TYRWHITT,SINGAPOUR,singapore,Singapour,asia,missing
B9G6,B9G6,Novotel Living Singapore Orchard,NOL,NOL,SINGAPOUR,Singapour,8 Claymore Hill,229572,https://all.accor.com/hotel/B9G6/index.fr.shtml,catalog_api,singapore,NOVOTEL LIVING SINGAPORE ORCHARD,SINGAPOUR,singapore,Singapour,asia,missing
B6H4,B6H4,ibis budget Singapore Emerald,IBB,IBIS BUDGET,SINGAPOUR,Singapour,20 Lorong 6 Geylang,399174,https://all.accor.com/hotel/B6H4/index.fr.shtml,catalog_api,singapore,IBIS BUDGET SINGAPORE EMERALD,SINGAPOUR,singapore,Singapour,asia,missing
B6H7,B6H7,ibis budget Singapore Ametrine,IBB,IBIS BUDGET,SINGAPOUR,Singapour,10 Lorong 10 Geylang,399043,https://all.accor.com/hotel/B6H7/index.fr.shtml,catalog_api,singapore,IBIS BUDGET SINGAPORE AMETRINE,SINGAPOUR,singapore,Singapour,asia,missing
B6I0,B6I0,ibis budget Singapore Sapphire,IBB,IBIS BUDGET,SINGAPOUR,Singapour,3 Lorong 10 Geylang,399037,https://all.accor.com/hotel/B6I0/index.fr.shtml,catalog_api,singapore,IBIS BUDGET SINGAPORE SAPPHIRE,SINGAPOUR,singapore,Singapour,asia,missing
B6J8,B6J8,ibis budget Singapore Pearl,IBB,IBIS BUDGET,SINGAPOUR,Singapour,21 Lorong 14 Geylang,398961,https://all.accor.com/hotel/B6J8/index.fr.shtml,catalog_api,singapore,IBIS BUDGET SINGAPORE PEARL,SINGAPOUR,singapore,Singapour,asia,missing
B6H6,B6H6,ibis budget Singapore Crystal,IBB,IBIS BUDGET,SINGAPOUR,Singapour,50 Lorong 18 Geylang,398824,https://all.accor.com/hotel/B6H6/index.fr.shtml,catalog_api,singapore,IBIS BUDGET SINGAPORE CRYSTAL,SINGAPOUR,singapore,Singapour,asia,missing
B9T2,B9T2,ibis budget Singapore Gold,IBB,IBIS BUDGET,SINGAPOUR,Singapour,123 Sims Avenue,387446,https://all.accor.com/hotel/B9T2/index.fr.shtml,catalog_api,singapore,IBIS BUDGET SINGAPORE GOLD,SINGAPOUR,singapore,Singapour,asia,missing
B6H5,B6H5,ibis budget Singapore Ruby,IBB,IBIS BUDGET,SINGAPOUR,Singapour,10 Lorong 20 Geylang,398730,https://all.accor.com/hotel/B6H5/index.fr.shtml,catalog_api,singapore,IBIS BUDGET SINGAPORE RUBY,SINGAPOUR,singapore,Singapour,asia,missing
B6H9,B6H9,ibis budget Singapore Mount Faber,IBB,IBIS BUDGET,SINGAPOUR,Singapour,400 Telok Blangah Road,098838,https://all.accor.com/hotel/B6H9/index.fr.shtml,catalog_api,singapore,IBIS BUDGET SINGAPORE MOUNT FABER,SINGAPOUR,singapore,Singapour,asia,missing
