hotel_code_accor,hotel_code_norm,hotel_name,hotel_brand_code,hotel_brand,hotel_city,hotel_country,hotel_adresse,hotel_code_postal,url_hotel,source,source_query,hotel_name_norm,city_norm,country_slug,country_label,region,match_type
C6L3,C6L3,Hotel Aeschi Interlaken - Handwritten Collection (été 2026),SOU,SOU,INTERLAKEN,Suisse,"Dorfstrasse 8, Aeschi bei Spiez",3703,https://all.accor.com/hotel/C6L3/index.fr.shtml,catalog_api,switzerland,HOTEL AESCHI INTERLAKEN HANDWRITTEN COLLECTION ETE 2026,INTERLAKEN,switzerland,Suisse,europe,missing
1989,1989,ibis Zurich Adliswil,IBH,IBIS,ZURICH,Suisse,"Zurichstrasse 105, ZURICH-ADLISWIL",8134,https://all.accor.com/hotel/1989/index.fr.shtml,catalog_api,switzerland,IBIS ZURICH ADLISWIL,ZURICH,switzerland,Suisse,europe,missing
B4S4,B4S4,Swissôtel Kursaal Berne,SWI,SWISSÔTEL,BERNE,Suisse,Kornhausstrasse 3,3013,https://all.accor.com/hotel/B4S4/index.fr.shtml,catalog_api,switzerland,SWISSOTEL KURSAAL BERNE,BERNE,switzerland,Suisse,europe,missing
A614,A614,Mercure Lenzburg Krone,MER,MERCURE,LENZBOURG,Suisse,Kronenplatz 20,5600,https://all.accor.com/hotel/A614/index.fr.shtml,catalog_api,switzerland,MERCURE LENZBURG KRONE,LENZBOURG,switzerland,Suisse,europe,missing
B4H1,B4H1,Mövenpick Hotel Egerkingen,MOV,MÖVENPICK,EGERKINGEN,Suisse,Höhenstrasse 12,4622,https://all.accor.com/hotel/B4H1/index.fr.shtml,catalog_api,switzerland,MOVENPICK HOTEL EGERKINGEN,EGERKINGEN,switzerland,Suisse,europe,missing
B144,B144,25hours Hotel Zurich Langstrasse,TWF,25HOURS,ZURICH,Suisse,Langstrasse 150,8004,https://all.accor.com/hotel/B144/index.fr.shtml,catalog_api,switzerland,25HOURS HOTEL ZURICH LANGSTRASSE,ZURICH,switzerland,Suisse,europe,missing
C260,C260,Mercure Zurich City,MER,MERCURE,ZURICH,Suisse,Vulkanstrasse 108b,8048,https://all.accor.com/hotel/C260/index.fr.shtml,catalog_api,switzerland,MERCURE ZURICH CITY,ZURICH,switzerland,Suisse,europe,missing
B5J7,B5J7,ibis Styles Zurich City Center,IBS,IBIS STYLES,ZURICH,Suisse,Stampfenbachstrasse 60,8006,https://all.accor.com/hotel/B5J7/index.fr.shtml,catalog_api,switzerland,IBIS STYLES ZURICH CITY CENTER,ZURICH,switzerland,Suisse,europe,missing
B5J8,B5J8,Aparthotel Adagio Zurich City Center,ADG,ADAGIO,ZURICH,Suisse,Stampfenbachstrasse 60,8006,https://all.accor.com/hotel/B5J8/index.fr.shtml,catalog_api,switzerland,APARTHOTEL ADAGIO ZURICH CITY CENTER,ZURICH,switzerland,Suisse,europe,missing
B145,B145,25hours Hotel Zurich West,TWF,25HOURS,ZURICH,Suisse,Pfingstweidstrasse 102,8005,https://all.accor.com/hotel/B145/index.fr.shtml,catalog_api,switzerland,25HOURS HOTEL ZURICH WEST,ZURICH,switzerland,Suisse,europe,missing
B9X1,B9X1,Mama Shelter Zurich,MSH,MAMA SHELTER,ZURICH,Suisse,Schulstrasse 44,8050,https://all.accor.com/hotel/B9X1/index.fr.shtml,catalog_api,switzerland,MAMA SHELTER ZURICH,ZURICH,switzerland,Suisse,europe,missing
B4H0,B4H0,Mövenpick Zurich Regensdorf,MOV,MÖVENPICK,ZURICH REGENSDORF,Suisse,Im Zentrum 2,8105,https://all.accor.com/hotel/B4H0/index.fr.shtml,catalog_api,switzerland,MOVENPICK ZURICH REGENSDORF,ZURICH REGENSDORF,switzerland,Suisse,europe,missing
A9A0,A9A0,Ibis Baden Neuenhof,IBH,IBIS,NEUENHOF,Suisse,Alte Zurcherstrasse 53,5432,https://all.accor.com/hotel/A9A0/index.fr.shtml,catalog_api,switzerland,IBIS BADEN NEUENHOF,NEUENHOF,switzerland,Suisse,europe,missing
B4H3,B4H3,Mövenpick Zurich Airport,MOV,MÖVENPICK,ZÜRICH-GLATTBRUGG,Suisse,Mittelholzerstrasse 8,8152,https://all.accor.com/hotel/B4H3/index.fr.shtml,catalog_api,switzerland,MOVENPICK ZURICH AIRPORT,ZURICH GLATTBRUGG,switzerland,Suisse,europe,missing
C792,C792,IntercityHotel Zurich Aéroport - Ouverture prochaine,ITC,ITC,ZURICH,Suisse,"Flughofstrasse 63, Rümlang",8153,https://all.accor.com/hotel/C792/index.fr.shtml,catalog_api,switzerland,INTERCITYHOTEL ZURICH AEROPORT OUVERTURE PROCHAINE,ZURICH,switzerland,Suisse,europe,missing
B971,B971,Mercure Fribourg Centre Remparts,MER,MERCURE,FRIBOURG,Suisse,Chemin Montrevers 1,1700,https://all.accor.com/hotel/B971/index.fr.shtml,catalog_api,switzerland,MERCURE FRIBOURG CENTRE REMPARTS,FRIBOURG,switzerland,Suisse,europe,missing
C008,C008,Mercure Hotel Delémont,MER,MERCURE,DELEMONT,Suisse,Place de la Poste 10,2800,https://all.accor.com/hotel/C008/index.fr.shtml,catalog_api,switzerland,MERCURE HOTEL DELEMONT,DELEMONT,switzerland,Suisse,europe,missing
B4T3,B4T3,Movenpick Hôtel Bâle,MOV,MÖVENPICK,BASEL,Suisse,Aeschengraben 25,4051,https://all.accor.com/hotel/B4T3/index.fr.shtml,catalog_api,switzerland,MOVENPICK HOTEL BALE,BASEL,switzerland,Suisse,europe,missing
B7Z9,B7Z9,Mercure Chur City West,MER,MERCURE,CHUR,Suisse,Comercialstrasse 32,7000,https://all.accor.com/hotel/B7Z9/index.fr.shtml,catalog_api,switzerland,MERCURE CHUR CITY WEST,CHUR,switzerland,Suisse,europe,missing
A5A4,A5A4,Fairmont Le Montreux Palace,FAI,FAIRMONT,MONTREUX,Suisse,"2, avenue Claude Nobs",1820,https://all.accor.com/hotel/A5A4/index.fr.shtml,catalog_api,switzerland,FAIRMONT LE MONTREUX PALACE,MONTREUX,switzerland,Suisse,europe,missing
C712,C712,Steigenberger Belvedere Davos - Bientôt disponible,STI,STI,DAVOS,Suisse,Promenade 89,7270,https://all.accor.com/hotel/C712/index.fr.shtml,catalog_api,switzerland,STEIGENBERGER BELVEDERE DAVOS BIENTOT DISPONIBLE,DAVOS,switzerland,Suisse,europe,missing
B370,B370,ibis Styles Lausanne Center Mad House,IBS,IBIS STYLES,LAUSANNE,Suisse,Place De l Europe 6,1003,https://all.accor.com/hotel/B370/index.fr.shtml,catalog_api,switzerland,IBIS STYLES LAUSANNE CENTER MAD HOUSE,LAUSANNE,switzerland,Suisse,europe,missing
B4H5,B4H5,Mövenpick Lausanne,MOV,MÖVENPICK,LAUSANNE,Suisse,"Avenue de Rhodanie 4, Lausanne",1007,https://all.accor.com/hotel/B4H5/index.fr.shtml,catalog_api,switzerland,MOVENPICK LAUSANNE,LAUSANNE,switzerland,Suisse,europe,missing
B5W6,B5W6,ibis Styles St Margrethen Bodensee,IBS,IBIS STYLES,ST MARGRETHEN,Suisse,Walzenhauser str. 1,9430,https://all.accor.com/hotel/B5W6/index.fr.shtml,catalog_api,switzerland,IBIS STYLES ST MARGRETHEN BODENSEE,ST MARGRETHEN,switzerland,Suisse,europe,missing
C752,C752,Zleep Lausanne-Chavannes - Bientôt disponible,ZLP,ZLP,LAUSANNE,Suisse,"Rue Centrale 39, Chavannes Pres Renens",1022,https://all.accor.com/hotel/C752/index.fr.shtml,catalog_api,switzerland,ZLEEP LAUSANNE CHAVANNES BIENTOT DISPONIBLE,LAUSANNE,switzerland,Suisse,europe,missing
2154,2154,ibis Genève Centre Gare,IBH,IBIS,GENEVA,Suisse,"10, rue Voltaire",1201,https://all.accor.com/hotel/2154/index.fr.shtml,catalog_api,switzerland,IBIS GENEVE CENTRE GARE,GENEVA,switzerland,Suisse,europe,missing
A8F3,A8F3,ibis budget Genève Palexpo Aéroport,IBB,IBIS BUDGET,LE GRAND-SACONNEX,Suisse,Route Francois Peyrot 28,1218,https://all.accor.com/hotel/A8F3/index.fr.shtml,catalog_api,switzerland,IBIS BUDGET GENEVE PALEXPO AEROPORT,LE GRAND SACONNEX,switzerland,Suisse,europe,missing
