hotel_code_accor,hotel_code_norm,hotel_name,hotel_brand_code,hotel_brand,hotel_city,hotel_country,hotel_adresse,hotel_code_postal,url_hotel,source,source_query,hotel_name_norm,city_norm,country_slug,country_label,region,match_type
B801,B801,Rixos Marina Abu Dhabi,RIX,RIXOS HOTELS,ABU DHABI,Émirats arabes unis,Marina Mall Ring Road,61060,https://all.accor.com/hotel/B801/index.fr.shtml,catalog_api,united arab emirates,RIXOS MARINA ABU DHABI,ABU DHABI,uae,Émirats arabes unis,africa_me,missing
A5E6,A5E6,"Fairmont Bab Al Bahr, Abu Dhabi",FAI,FAIRMONT,ABOU DHABI,Émirats arabes unis,"Khor Al Maqta, Rabdan, PO Box 114304, 14304",0,https://all.accor.com/hotel/A5E6/index.fr.shtml,catalog_api,united arab emirates,FAIRMONT BAB AL BAHR ABU DHABI,ABOU DHABI,uae,Émirats arabes unis,africa_me,missing
C3Q9,C3Q9,MERCURE ABU DHABI DOWNTOWN,MER,MERCURE,ABU DHABI,Émirats arabes unis,"SAEED BIN AHMED, AL OTAIBA STREET PO BOX 2471",0,https://all.accor.com/hotel/C3Q9/index.fr.shtml,catalog_api,united arab emirates,MERCURE ABU DHABI DOWNTOWN,ABU DHABI,uae,Émirats arabes unis,africa_me,missing
7507,7507,Sofitel Abu Dhabi Corniche,SOF,SOFITEL,ABOU DHABI,Émirats arabes unis,"Corniche Road East, Capital Plaza Complex, 44966",44 966,https://all.accor.com/hotel/7507/index.fr.shtml,catalog_api,united arab emirates,SOFITEL ABU DHABI CORNICHE,ABOU DHABI,uae,Émirats arabes unis,africa_me,missing
B399,B399,Rixos Premium Saadiyat Island,RIX,RIXOS HOTELS,ABOU DHABI,Émirats arabes unis,Saadiyat Island,51249,https://all.accor.com/hotel/B399/index.fr.shtml,catalog_api,united arab emirates,RIXOS PREMIUM SAADIYAT ISLAND,ABOU DHABI,uae,Émirats arabes unis,africa_me,missing
B9H1,B9H1,Club Privé By Rixos Saadiyat,RIX,RIXOS HOTELS,ABU DHABI,Émirats arabes unis,"Rixos Premium Saadiyat Island, Saadiyat Island",35665,https://all.accor.com/hotel/B9H1/index.fr.shtml,catalog_api,united arab emirates,CLUB PRIVE BY RIXOS SAADIYAT,ABU DHABI,uae,Émirats arabes unis,africa_me,missing
B331,B331,SO/ Uptown Dubai,SO,SO/,DUBAÏ,Émirats arabes unis,"Uptown Tower, Uptown",214686,https://all.accor.com/hotel/B331/index.fr.shtml,catalog_api,united arab emirates,SO UPTOWN DUBAI,DUBAI,uae,Émirats arabes unis,africa_me,missing
B4J7,B4J7,Mövenpick Jumeirah Lakes Towers,MOV,MÖVENPICK,DUBAÏ,Émirats arabes unis,"Cluster A, Jumeirah Lakes Towers, 454439",454439,https://all.accor.com/hotel/B4J7/index.fr.shtml,catalog_api,united arab emirates,MOVENPICK JUMEIRAH LAKES TOWERS,DUBAI,uae,Émirats arabes unis,africa_me,missing
C283,C283,Banyan Tree Dubai,BAN,BANYAN TREE,DUBAÏ,Émirats arabes unis,Île Bluewaters,36555,https://all.accor.com/hotel/C283/index.fr.shtml,catalog_api,united arab emirates,BANYAN TREE DUBAI,DUBAI,uae,Émirats arabes unis,africa_me,missing
C282,C282,Delano Dubai,DEL,DELANO,DUBAI,Émirats arabes unis,Bluewaters Dubai,120253,https://all.accor.com/hotel/C282/index.fr.shtml,catalog_api,united arab emirates,DELANO DUBAI,DUBAI,uae,Émirats arabes unis,africa_me,missing
