hotel_code_accor,hotel_code_norm,hotel_name,hotel_brand_code,hotel_brand,hotel_city,hotel_country,hotel_adresse,hotel_code_postal,url_hotel,source,source_query,hotel_name_norm,city_norm,country_slug,country_label,region,match_type
A583,A583,"Fairmont Heritage Place, Franz Klammer Lodge",FAI,FAIRMONT,TELLURIDE,États-Unis,567 Mountain Village Blvd,81435,https://all.accor.com/hotel/A583/index.fr.shtml,catalog_api,united states,FAIRMONT HERITAGE PLACE FRANZ KLAMMER LODGE,TELLURIDE,united-states,États-Unis,americas,missing
A579,A579,Fairmont Scottsdale Princess,FAI,FAIRMONT,SCOTTSDALE,États-Unis,7575 East Princess Drive,85255,https://all.accor.com/hotel/A579/index.fr.shtml,catalog_api,united states,FAIRMONT SCOTTSDALE PRINCESS,SCOTTSDALE,united-states,États-Unis,americas,missing
C598,C598,Treasure Island TI Las Vegas - Collection manuscrite,SOU,SOU,LAS VEGAS,États-Unis,3300 Las Vegas Blvd S,89109,https://all.accor.com/hotel/C598/index.fr.shtml,catalog_api,united states,TREASURE ISLAND TI LAS VEGAS COLLECTION MANUSCRITE,LAS VEGAS,united-states,États-Unis,americas,missing
A558,A558,Fairmont Dallas,FAI,FAIRMONT,DALLAS,États-Unis,1717 N Akard Street,75201,https://all.accor.com/hotel/A558/index.fr.shtml,catalog_api,united states,FAIRMONT DALLAS,DALLAS,united-states,États-Unis,americas,missing
B505,B505,21c Museum Hotel Bentonville,21C,21C,BENTONVILLE,États-Unis,200 NE A Street,72712,https://all.accor.com/hotel/B505/index.fr.shtml,catalog_api,united states,21C MUSEUM HOTEL BENTONVILLE,BENTONVILLE,united-states,États-Unis,americas,missing
A574,A574,Fairmont Grand Del Mar,FAI,FAIRMONT,SAN DIEGO,États-Unis,5300 Grand Del Mar Court,92130,https://all.accor.com/hotel/A574/index.fr.shtml,catalog_api,united states,FAIRMONT GRAND DEL MAR,SAN DIEGO,united-states,États-Unis,americas,missing
C0G0,C0G0,Fairmont Breakers Long Beach,FAI,FAIRMONT,LONG BEACH,États-Unis,210 E Ocean Blvd,90802,https://all.accor.com/hotel/C0G0/index.fr.shtml,catalog_api,united states,FAIRMONT BREAKERS LONG BEACH,LONG BEACH,united-states,États-Unis,americas,missing
A8J5,A8J5,Fairmont Century Plaza Los Angeles at Beverly Hills,FAI,FAIRMONT,LOS ANGELES,États-Unis,2025 Avenue of the Stars,90067,https://all.accor.com/hotel/A8J5/index.fr.shtml,catalog_api,united states,FAIRMONT CENTURY PLAZA LOS ANGELES AT BEVERLY HILLS,LOS ANGELES,united-states,États-Unis,americas,missing
A578,A578,Fairmont Miramar Hotel & Bungalows,FAI,FAIRMONT,SANTA MONICA,États-Unis,101 Wilshire Boulevard,90401,https://all.accor.com/hotel/A578/index.fr.shtml,catalog_api,united states,FAIRMONT MIRAMAR HOTEL BUNGALOWS,SANTA MONICA,united-states,États-Unis,americas,missing
A7Z4,A7Z4,Fairmont Austin,FAI,FAIRMONT,AUSTIN,États-Unis,101 Red River Street,78701,https://all.accor.com/hotel/A7Z4/index.fr.shtml,catalog_api,united states,FAIRMONT AUSTIN,AUSTIN,united-states,États-Unis,americas,missing
A581,A581,Fairmont Sonoma Mission Inn & Spa,FAI,FAIRMONT,SONOMA,États-Unis,100 Boyes Blvd,95476,https://all.accor.com/hotel/A581/index.fr.shtml,catalog_api,united states,FAIRMONT SONOMA MISSION INN SPA,SONOMA,united-states,États-Unis,americas,missing
C344,C344,Hotel Stratford - Handwritten Collection,SOU,SOU,SAN FRANCISCO,États-Unis,242 Powell Street,94102,https://all.accor.com/hotel/C344/index.fr.shtml,catalog_api,united states,HOTEL STRATFORD HANDWRITTEN COLLECTION,SAN FRANCISCO,united-states,États-Unis,americas,missing
A576,A576,Fairmont San Francisco,FAI,FAIRMONT,SAN FRANCISCO,États-Unis,950 Mason Street,94108,https://all.accor.com/hotel/A576/index.fr.shtml,catalog_api,united states,FAIRMONT SAN FRANCISCO,SAN FRANCISCO,united-states,États-Unis,americas,missing
A575,A575,"Fairmont Heritage Place, Ghirardelli Square",FAI,FAIRMONT,SAN FRANCISCO,États-Unis,900 North Point St,94109,https://all.accor.com/hotel/A575/index.fr.shtml,catalog_api,united states,FAIRMONT HERITAGE PLACE GHIRARDELLI SQUARE,SAN FRANCISCO,united-states,États-Unis,americas,missing
B6S8,B6S8,21c Museum Hotel St Louis,21C,21C,SAINT LOUIS,États-Unis,1528 Locust street,63103,https://all.accor.com/hotel/B6S8/index.fr.shtml,catalog_api,united states,21C MUSEUM HOTEL ST LOUIS,SAINT LOUIS,united-states,États-Unis,americas,missing
B9A1,B9A1,The Hoxton Portland,HOX,HOX,PORTLAND,États-Unis,15 NW 4th Avenue,97209,https://all.accor.com/hotel/B9A1/index.fr.shtml,catalog_api,united states,THE HOXTON PORTLAND,PORTLAND,united-states,États-Unis,americas,missing
A580,A580,"Fairmont Olympic Hotel, Seattle",FAI,FAIRMONT,SEATTLE,États-Unis,411 University Street,98101,https://all.accor.com/hotel/A580/index.fr.shtml,catalog_api,united states,FAIRMONT OLYMPIC HOTEL SEATTLE,SEATTLE,united-states,États-Unis,americas,missing
C0C3,C0C3,Hotel Ändra Seattle - MGallery Collection,MGA,MGALLERY,SEATTLE,États-Unis,"2000, 4th ave",98121,https://all.accor.com/hotel/C0C3/index.fr.shtml,catalog_api,united states,HOTEL ANDRA SEATTLE MGALLERY COLLECTION,SEATTLE,united-states,États-Unis,americas,missing
A557,A557,"Fairmont Chicago, Millennium Park",FAI,FAIRMONT,CHICAGO,États-Unis,200 North Columbus Drive,60601,https://all.accor.com/hotel/A557/index.fr.shtml,catalog_api,united states,FAIRMONT CHICAGO MILLENNIUM PARK,CHICAGO,united-states,États-Unis,americas,missing
A5A7,A5A7,Swissôtel Chicago,SWI,SWISSÔTEL,CHICAGO,États-Unis,323 East Upper Wacker Drive,60601-9722,https://all.accor.com/hotel/A5A7/index.fr.shtml,catalog_api,united states,SWISSOTEL CHICAGO,CHICAGO,united-states,États-Unis,americas,missing
B5Q3,B5Q3,Fairmont New Orleans (Opening 2026),FAI,FAIRMONT,NEW ORLEANS,États-Unis,1010 COMMON STREET,70112,https://all.accor.com/hotel/B5Q3/index.fr.shtml,catalog_api,united states,FAIRMONT NEW ORLEANS OPENING 2026,NEW ORLEANS,united-states,États-Unis,americas,missing
B504,B504,21c Museum Hotel Louisville,21C,21C,LOUISVILLE,États-Unis,700 West Main Street,40202,https://all.accor.com/hotel/B504/index.fr.shtml,catalog_api,united states,21C MUSEUM HOTEL LOUISVILLE,LOUISVILLE,united-states,États-Unis,americas,missing
B507,B507,21c Museum Hotel Cincinnati,21C,21C,CINCINNATI,États-Unis,609 Walnut Street,45202,https://all.accor.com/hotel/B507/index.fr.shtml,catalog_api,united states,21C MUSEUM HOTEL CINCINNATI,CINCINNATI,united-states,États-Unis,americas,missing
B510,B510,21C Museum Hotel Lexington,21C,21C,LEXINGTON,États-Unis,167 West Main Street,40507,https://all.accor.com/hotel/B510/index.fr.shtml,catalog_api,united states,21C MUSEUM HOTEL LEXINGTON,LEXINGTON,united-states,États-Unis,americas,missing
A571,A571,Fairmont Pittsburgh,FAI,FAIRMONT,PITTSBURGH,États-Unis,510 Market Street,15222,https://all.accor.com/hotel/A571/index.fr.shtml,catalog_api,united states,FAIRMONT PITTSBURGH,PITTSBURGH,united-states,États-Unis,americas,missing
B508,B508,21C Museum Hotel Durham,21C,21C,DURHAM,États-Unis,111 North Corcoran Street,27701,https://all.accor.com/hotel/B508/index.fr.shtml,catalog_api,united states,21C MUSEUM HOTEL DURHAM,DURHAM,united-states,États-Unis,americas,missing
A590,A590,Fairmont Washington D.C. Georgetown,FAI,FAIRMONT,"WASHINGTON, D.C.",États-Unis,2401 M Street NW,20037,https://all.accor.com/hotel/A590/index.fr.shtml,catalog_api,united states,FAIRMONT WASHINGTON D C GEORGETOWN,WASHINGTON D C,united-states,États-Unis,americas,missing
C4P2,C4P2,Park Royal Orlando géré par Accor,SAM,SAM,KISSIMMEE,États-Unis,"1500 N Thacker Ave, True",34741,https://all.accor.com/hotel/C4P2/index.fr.shtml,catalog_api,united states,PARK ROYAL ORLANDO GERE PAR ACCOR,KISSIMMEE,united-states,États-Unis,americas,missing
