hotel_code_accor,hotel_code_norm,hotel_name,hotel_brand_code,hotel_brand,hotel_city,hotel_country,hotel_adresse,hotel_code_postal,url_hotel,source,source_query,hotel_name_norm,city_norm,country_slug,country_label,region,match_type
1648,1648,ibis Erfurt Altstadt,IBH,IBIS,ERFURT,Allemagne,"NAV: Marstallstraße, Barfuesserstrasse 9",99084,https://all.accor.com/hotel/1648/index.fr.shtml,catalog_api,germany,IBIS ERFURT ALTSTADT,ERFURT,germany,Allemagne,europe,missing
B7N7,B7N7,Congress Hotel Weimar by Mercure,BME,BME,WEIMAR,Allemagne,Kastanienallee 1,99428,https://all.accor.com/hotel/B7N7/index.fr.shtml,catalog_api,germany,CONGRESS HOTEL WEIMAR BY MERCURE,WEIMAR,germany,Allemagne,europe,missing
C745,C745,MAXX Hotel Jena - Ouverture prochaine,MAX,MAX,JENA,Allemagne,Stauffenbergstrasse 59,07747,https://all.accor.com/hotel/C745/index.fr.shtml,catalog_api,germany,MAXX HOTEL JENA OUVERTURE PROCHAINE,JENA,germany,Allemagne,europe,missing
B4C6,B4C6,ibis Styles Coburg,IBS,IBIS STYLES,COBURG,Allemagne,Sonntagsanger 17,96450,https://all.accor.com/hotel/B4C6/index.fr.shtml,catalog_api,germany,IBIS STYLES COBURG,COBURG,germany,Allemagne,europe,missing
C5N0,C5N0,Palais am Schlossgarten Merseburg - Handwritten Collection,SOU,SOU,MERSEBURG,Allemagne,Oberaltenburg 4,06217,https://all.accor.com/hotel/C5N0/index.fr.shtml,catalog_api,germany,PALAIS AM SCHLOSSGARTEN MERSEBURG HANDWRITTEN COLLECTION,MERSEBURG,germany,Allemagne,europe,missing
B8T4,B8T4,Hôtel Mercure Gera City,MER,MERCURE,VILLE DE GERA,Allemagne,Gutenbergstrasse 2a,07548,https://all.accor.com/hotel/B8T4/index.fr.shtml,catalog_api,germany,HOTEL MERCURE GERA CITY,VILLE DE GERA,germany,Allemagne,europe,missing
C714,C714,IntercityHotel Braunschweig - Ouverture prochaine,ITC,ITC,BRAUNSCHWEIG,Allemagne,Willy-Brandt-Platz 3,38102,https://all.accor.com/hotel/C714/index.fr.shtml,catalog_api,germany,INTERCITYHOTEL BRAUNSCHWEIG OUVERTURE PROCHAINE,BRAUNSCHWEIG,germany,Allemagne,europe,missing
C6Z7,C6Z7,Steigenberger Parkhotel Braunschweig - À venir,STB,STB,BRAUNSCHWEIG,Allemagne,Nimes-Strasse 2,38100,https://all.accor.com/hotel/C6Z7/index.fr.shtml,catalog_api,germany,STEIGENBERGER PARKHOTEL BRAUNSCHWEIG A VENIR,BRAUNSCHWEIG,germany,Allemagne,europe,missing
A8M4,A8M4,Mercure Hotel Schweinfurt Maininsel,MER,MERCURE,SCHWEINFURT,Allemagne,Maininsel 10 - 12,97424,https://all.accor.com/hotel/A8M4/index.fr.shtml,catalog_api,germany,MERCURE HOTEL SCHWEINFURT MAININSEL,SCHWEINFURT,germany,Allemagne,europe,missing
B279,B279,Mercure Hotel Plaza Magdeburg,MER,MERCURE,MAGDEBOURG,Allemagne,Halberstaedter Strasse 146 150,39112,https://all.accor.com/hotel/B279/index.fr.shtml,catalog_api,germany,MERCURE HOTEL PLAZA MAGDEBURG,MAGDEBOURG,germany,Allemagne,europe,missing
