hotel_code_accor,hotel_code_norm,hotel_name,hotel_brand_code,hotel_brand,hotel_city,hotel_country,hotel_adresse,hotel_code_postal,url_hotel,source,source_query,hotel_name_norm,city_norm,country_slug,country_label,region,match_type
B9S6,B9S6,ibis Styles Charleroi Airport Aero 44,IBS,IBIS STYLES,GOSSELIES,Belgique,Rue Louis Blériot 4,6041,https://all.accor.com/hotel/B9S6/index.fr.shtml,catalog_api,belgium,IBIS STYLES CHARLEROI AIRPORT AERO 44,GOSSELIES,belgium,Belgique,europe,missing
2195,2195,ibis Charleroi Airport Brussels South,IBH,IBIS,FLEURUS,Belgique,"590, chaussée de Charleroi",6220,https://all.accor.com/hotel/2195/index.fr.shtml,catalog_api,belgium,IBIS CHARLEROI AIRPORT BRUSSELS SOUTH,FLEURUS,belgium,Belgique,europe,missing
B134,B134,Novotel Charleroi Centre,NOV,NOVOTEL,CHARLEROI,Belgique,"Place Verte 17, Parking Rive Gauche Bd J Tirou34",6000,https://all.accor.com/hotel/B134/index.fr.shtml,catalog_api,belgium,NOVOTEL CHARLEROI CENTRE,CHARLEROI,belgium,Belgique,europe,missing
A8G3,A8G3,ibis Styles La Louvière,IBS,IBIS STYLES,LA LOUVIERE,Belgique,Rue De Wavrin 3,7110,https://all.accor.com/hotel/A8G3/index.fr.shtml,catalog_api,belgium,IBIS STYLES LA LOUVIERE,LA LOUVIERE,belgium,Belgique,europe,missing
B6A4,B6A4,ibis Styles Namur,IBS,IBIS STYLES,NAMUR,Belgique,Avenue D Ecolys 2,5020,https://all.accor.com/hotel/B6A4/index.fr.shtml,catalog_api,belgium,IBIS STYLES NAMUR,NAMUR,belgium,Belgique,europe,missing
B2N6,B2N6,Novotel Wavre Brussels East,NOV,NOVOTEL,WAVRE,Belgique,Rue De La Wastinne 45,1301,https://all.accor.com/hotel/B2N6/index.fr.shtml,catalog_api,belgium,NOVOTEL WAVRE BRUSSELS EAST,WAVRE,belgium,Belgique,europe,missing
B2T4,B2T4,Mercure Namur,MER,MERCURE,NAMUR,Belgique,Avenue Baron de Moreau 1,5000,https://all.accor.com/hotel/B2T4/index.fr.shtml,catalog_api,belgium,MERCURE NAMUR,NAMUR,belgium,Belgique,europe,missing
3151,3151,ibis Namur Centre,IBH,IBIS,NAMUR,Belgique,Rue du Premier Lanciers  10,5000,https://all.accor.com/hotel/3151/index.fr.shtml,catalog_api,belgium,IBIS NAMUR CENTRE,NAMUR,belgium,Belgique,europe,missing
B5M6,B5M6,Aparthotel Adagio Access Brussels Delta,ADA,ADAGIO ACCESS,BRUXELLES,Belgique,"Boulevard Du Triomphe 207, Opposite the CHIREC entrance",1160,https://all.accor.com/hotel/B5M6/index.fr.shtml,catalog_api,belgium,APARTHOTEL ADAGIO ACCESS BRUSSELS DELTA,BRUXELLES,belgium,Belgique,europe,missing
B638,B638,Ibis Brussels Centre Châtelain,IBH,IBIS,BRUSSELS,Belgique,Chaussee De Vleurgat 191,1050,https://all.accor.com/hotel/B638/index.fr.shtml,catalog_api,belgium,IBIS BRUSSELS CENTRE CHATELAIN,BRUSSELS,belgium,Belgique,europe,missing
A990,A990,ibis Brussels Erasmus,IBH,IBIS,BRUXELLES,Belgique,"Route De Lennik 790, Anderlecht",1070,https://all.accor.com/hotel/A990/index.fr.shtml,catalog_api,belgium,IBIS BRUSSELS ERASMUS,BRUXELLES,belgium,Belgique,europe,missing
C7A7,C7A7,Steigenberger Icon Wiltcher's Bruxelles - Ouverture prochaine,STI,STI,BRUXELLES,Belgique,Avenue Louise 71,1050,https://all.accor.com/hotel/C7A7/index.fr.shtml,catalog_api,belgium,STEIGENBERGER ICON WILTCHER S BRUXELLES OUVERTURE PROCHAINE,BRUXELLES,belgium,Belgique,europe,missing
