hotel_code_accor,hotel_code_norm,hotel_name,hotel_brand_code,hotel_brand,hotel_city,hotel_country,hotel_adresse,hotel_code_postal,url_hotel,source,source_query,hotel_name_norm,city_norm,country_slug,country_label,region,match_type
B4K4,B4K4,Station Mövenpick Khao Yai,MOV,MÖVENPICK,NAKORN RATCHASIMA,Thaïlande,T Wangsai A.Pakchong Nakornratch,30130,https://all.accor.com/hotel/B4K4/index.fr.shtml,catalog_api,thailand,STATION MOVENPICK KHAO YAI,NAKORN RATCHASIMA,thailand,Thaïlande,asia,missing
B346,B346,Novotel Bangkok Future Park Rangsit,NOV,NOVOTEL,BANGKOK,Thaïlande,"114 Paholyothin Road, Prachathipat, Thanyaburi",12130,https://all.accor.com/hotel/B346/index.fr.shtml,catalog_api,thailand,NOVOTEL BANGKOK FUTURE PARK RANGSIT,BANGKOK,thailand,Thaïlande,asia,missing
A9G9,A9G9,ibis Styles Bangkok Ratchada,IBS,IBIS STYLES,BANGKOK,Thaïlande,"212 Ratchadaphisek Road, Huai Khwang",10310,https://all.accor.com/hotel/A9G9/index.fr.shtml,catalog_api,thailand,IBIS STYLES BANGKOK RATCHADA,BANGKOK,thailand,Thaïlande,asia,missing
C3L2,C3L2,Cassia Rama 9 Bangkok,CAS,CASSIA,BANGKOK,Thaïlande,"395 1063 Rama 9 Road, Bangkapi, Huai Khwang",10310,https://all.accor.com/hotel/C3L2/index.fr.shtml,catalog_api,thailand,CASSIA RAMA 9 BANGKOK,BANGKOK,thailand,Thaïlande,asia,missing
C0Y8,C0Y8,Grand Mercure Bangkok Atrium,MEI,GRAND MERCURE,BANGKOK,Thaïlande,"1880 New Phetchaburi Road, Bangkapi, Huay Kwang",10310,https://all.accor.com/hotel/C0Y8/index.fr.shtml,catalog_api,thailand,GRAND MERCURE BANGKOK ATRIUM,BANGKOK,thailand,Thaïlande,asia,missing
C0I3,C0I3,Mercure Bangkok Siam Ratchathewi,MER,MERCURE,BANGKOK,Thaïlande,"199 Phaya Thai road, Ratchathewi district",10400,https://all.accor.com/hotel/C0I3/index.fr.shtml,catalog_api,thailand,MERCURE BANGKOK SIAM RATCHATHEWI,BANGKOK,thailand,Thaïlande,asia,missing
C0I2,C0I2,ibis Bangkok Siam Ratchathewi,IBH,IBIS,BANGKOK,Thaïlande,"199 Phaya Thai road, Phetchaburi, Ratchathewi",10400,https://all.accor.com/hotel/C0I2/index.fr.shtml,catalog_api,thailand,IBIS BANGKOK SIAM RATCHATHEWI,BANGKOK,thailand,Thaïlande,asia,missing
B4U9,B4U9,Mövenpick BDMS Wellness Resort Bangkok,MOV,MÖVENPICK,BANGKOK,Thaïlande,2 Wireless Rd Lumpini Pathumwan,10330,https://all.accor.com/hotel/B4U9/index.fr.shtml,catalog_api,thailand,MOVENPICK BDMS WELLNESS RESORT BANGKOK,BANGKOK,thailand,Thaïlande,asia,missing
A247,A247,Mercure Bangkok Sukhumvit 11,MER,MERCURE,BANGKOK,Thaïlande,"18 Sukhumvit Soi 11, Nana, Khlongtoey",10110,https://all.accor.com/hotel/A247/index.fr.shtml,catalog_api,thailand,MERCURE BANGKOK SUKHUMVIT 11,BANGKOK,thailand,Thaïlande,asia,missing
B4K2,B4K2,Mövenpick Hotel Sukhumvit 15 Bangkok,MOV,MÖVENPICK,BANGKOK,Thaïlande,"Sukhumvit Soi 15 Sukhumvit Road, Klong Toei Nuea Wattana",10110,https://all.accor.com/hotel/B4K2/index.fr.shtml,catalog_api,thailand,MOVENPICK HOTEL SUKHUMVIT 15 BANGKOK,BANGKOK,thailand,Thaïlande,asia,missing
C0G7,C0G7,TRIBE Living Bangkok Sukhumvit 39,TRI,TRIBE,BANGKOK,Thaïlande,"122 Soi Sukhumvit 39, Sukhumvit Road, Klongton Nuea, Bangkok, 10110",10110,https://all.accor.com/hotel/C0G7/index.fr.shtml,catalog_api,thailand,TRIBE LIVING BANGKOK SUKHUMVIT 39,BANGKOK,thailand,Thaïlande,asia,missing
A246,A246,Novotel Bangkok Sukhumvit 4,NOV,NOVOTEL,BANGKOK,Thaïlande,"27 Sukhumvit 4, Klongtoey",10110,https://all.accor.com/hotel/A246/index.fr.shtml,catalog_api,thailand,NOVOTEL BANGKOK SUKHUMVIT 4,BANGKOK,thailand,Thaïlande,asia,missing
A237,A237,ibis Styles Bangkok Sukhumvit 4,IBS,IBIS STYLES,BANGKOK,Thaïlande,"Sukhumvit Road Soi 4, Klongtoey",10110,https://all.accor.com/hotel/A237/index.fr.shtml,catalog_api,thailand,IBIS STYLES BANGKOK SUKHUMVIT 4,BANGKOK,thailand,Thaïlande,asia,missing
B776,B776,Novotel Living Bangkok Sukhumvit Legacy,NOL,NOL,BANGKOK,Thaïlande,"12-14 Sukhumvit 29 Alley, Klong Toey Nua, Watthana",10110,https://all.accor.com/hotel/B776/index.fr.shtml,catalog_api,thailand,NOVOTEL LIVING BANGKOK SUKHUMVIT LEGACY,BANGKOK,thailand,Thaïlande,asia,missing
C7B4,C7B4,greet Bangkok Sukhumvit 16 Jono,GRE,GREET,BANGKOK,Thaïlande,"70 SOI SUKHUMVIT 16, SAMMITR, KLONGTOEI",10110,https://all.accor.com/hotel/C7B4/index.fr.shtml,catalog_api,thailand,GREET BANGKOK SUKHUMVIT 16 JONO,BANGKOK,thailand,Thaïlande,asia,missing
C1G0,C1G0,Fairmont Bangkok Sukhumvit (ouverture au 2e semestre 2026),FAI,FAIRMONT,BANGKOK,Thaïlande,"10 1 Sukhumvit 20 Alley, Khwaeng Khlong Toei, Khet Klong Toei",10110,https://all.accor.com/hotel/C1G0/index.fr.shtml,catalog_api,thailand,FAIRMONT BANGKOK SUKHUMVIT OUVERTURE AU 2E SEMESTRE 2026,BANGKOK,thailand,Thaïlande,asia,missing
B0M2,B0M2,Mercure Bangkok Sukhumvit 24,MER,MERCURE,BANGKOK,Thaïlande,"5.1 Sukhumvit Road Soi 24, Khlong Tan, Klongtoey,, Bangkok, Thaïlande",10110,https://all.accor.com/hotel/B0M2/index.fr.shtml,catalog_api,thailand,MERCURE BANGKOK SUKHUMVIT 24,BANGKOK,thailand,Thaïlande,asia,missing
B0M5,B0M5,Ibis Bangkok Sukhumvit 24,IBH,IBIS,BANGKOK,Thaïlande,"5.1 Sukhumvit 24 Road, Klong Tan, Klong Toey",10110,https://all.accor.com/hotel/B0M5/index.fr.shtml,catalog_api,thailand,IBIS BANGKOK SUKHUMVIT 24,BANGKOK,thailand,Thaïlande,asia,missing
C0H0,C0H0,Homm Sukhumvit34 Bangkok,HOM,HOM,BANGKOK,Thaïlande,"40 SUKHUMVIT34, SUKHUMVITROAD KLONGTAN, KLONGTOEY",10110,https://all.accor.com/hotel/C0H0/index.fr.shtml,catalog_api,thailand,HOMM SUKHUMVIT34 BANGKOK,BANGKOK,thailand,Thaïlande,asia,missing
B6N1,B6N1,ibis Styles Bangkok Silom,IBS,IBIS STYLES,BANGKOK,Thaïlande,"289 Silom Road Silom, Bangrak District",10500,https://all.accor.com/hotel/B6N1/index.fr.shtml,catalog_api,thailand,IBIS STYLES BANGKOK SILOM,BANGKOK,thailand,Thaïlande,asia,missing
C0Q6,C0Q6,Mercure Bangkok Surawong,MER,MERCURE,BANGKOK,Thaïlande,"222 Surawong Road, Si Phraya Bangrak District",10500,https://all.accor.com/hotel/C0Q6/index.fr.shtml,catalog_api,thailand,MERCURE BANGKOK SURAWONG,BANGKOK,thailand,Thaïlande,asia,missing
B1U6,B1U6,Banyan Tree Bangkok,BAN,BANYAN TREE,BANGKOK,Thaïlande,21/100 South Sathon Road,10120,https://all.accor.com/hotel/B1U6/index.fr.shtml,catalog_api,thailand,BANYAN TREE BANGKOK,BANGKOK,thailand,Thaïlande,asia,missing
6537,6537,ibis Bangkok Sathorn,IBH,IBIS,BANGKOK,Thaïlande,"Soi Ngam Duphli Rama IV, Sathorn",10120,https://all.accor.com/hotel/6537/index.fr.shtml,catalog_api,thailand,IBIS BANGKOK SATHORN,BANGKOK,thailand,Thaïlande,asia,missing
C2F8,C2F8,Novotel Koh Si Chang,NOV,NOVOTEL,CHONBURI,Thaïlande,"333 Tha Thewawong, Koh Si Chang",20120,https://all.accor.com/hotel/C2F8/index.fr.shtml,catalog_api,thailand,NOVOTEL KOH SI CHANG,CHONBURI,thailand,Thaïlande,asia,missing
A0E9,A0E9,Veranda Resort Pattaya - MGallery Collection,MGA,MGALLERY,CHONBURI,Thaïlande,"211 Moo 1, Na Jomtien, Sattahip",20250,https://all.accor.com/hotel/A0E9/index.fr.shtml,catalog_api,thailand,VERANDA RESORT PATTAYA MGALLERY COLLECTION,CHONBURI,thailand,Thaïlande,asia,missing
