hotel_code_accor,hotel_code_norm,hotel_name,hotel_brand_code,hotel_brand,hotel_city,hotel_country,hotel_adresse,hotel_code_postal,url_hotel,source,source_query,hotel_name_norm,city_norm,rating_value,review_count,page_index,in_destination_html,match_type
0785,785,Novotel Paris Les Halles,NOV,NOVOTEL,PARIS,France,8 Place Marguerite de Navarre,75001,https://all.accor.com/hotel/0785/index.fr.shtml,catalog_api,france,NOVOTEL PARIS LES HALLES,PARIS,,,,False,missing
A7L5,A7L5,SO/ Paris Hotel,SO,SO/,PARIS,France,10 rue Agrippa d'Aubigné,75004,https://all.accor.com/hotel/A7L5/index.fr.shtml,catalog_api,france,SO PARIS HOTEL,PARIS,,,,False,missing
A013,A013,ibis Paris Avenue de la République,IBH,IBIS,PARIS,France,14 rue Rampon,75011,https://all.accor.com/hotel/A013/index.fr.shtml,catalog_api,france,IBIS PARIS AVENUE DE LA REPUBLIQUE,PARIS,,,,False,missing
0751,751,ibis Styles Paris République Le Marais,IBS,IBIS STYLES,PARIS,France,"9, rue Leon Jouhaux",75010,https://all.accor.com/hotel/0751/index.fr.shtml,catalog_api,france,IBIS STYLES PARIS REPUBLIQUE LE MARAIS,PARIS,,,,False,missing
B625,B625,Ibis Styles Paris Gare De Lyon Bastille,IBS,IBIS STYLES,PARIS,France,52 Avenue Ledru Rollin,75012,https://all.accor.com/hotel/B625/index.fr.shtml,catalog_api,france,IBIS STYLES PARIS GARE DE LYON BASTILLE,PARIS,,,,False,missing
B6F9,B6F9,Mercure Paris Gare de Lyon Opéra Bastille,MER,MERCURE,PARIS,France,3 Rue Parrot,75012,https://all.accor.com/hotel/B6F9/index.fr.shtml,catalog_api,france,MERCURE PARIS GARE DE LYON OPERA BASTILLE,PARIS,,,,False,missing
B8G7,B8G7,Ibis Styles Paris Opéra Lafayette,IBS,IBIS STYLES,PARIS,France,"3, rue de Trévise",75009,https://all.accor.com/hotel/B8G7/index.fr.shtml,catalog_api,france,IBIS STYLES PARIS OPERA LAFAYETTE,PARIS,,,,False,missing
B8G5,B8G5,Mercure Paris Opéra Lafayette,MER,MERCURE,PARIS,France,7 Rue De Trevise,75009,https://all.accor.com/hotel/B8G5/index.fr.shtml,catalog_api,france,MERCURE PARIS OPERA LAFAYETTE,PARIS,,,,False,missing
0981,981,Hôtel Mercure Paris Opéra Faubourg Montmartre,MER,MERCURE,PARIS,France,5  rue de Montyon,75009,https://all.accor.com/hotel/0981/index.fr.shtml,catalog_api,france,HOTEL MERCURE PARIS OPERA FAUBOURG MONTMARTRE,PARIS,,,,False,missing
B6W6,B6W6,ibis Styles Paris Gare de Lyon TGV,IBS,IBIS STYLES,PARIS,France,28 Bis Boulevard Diderot,75012,https://all.accor.com/hotel/B6W6/index.fr.shtml,catalog_api,france,IBIS STYLES PARIS GARE DE LYON TGV,PARIS,4.6,1104,4.0,True,missing
B5D8,B5D8,ibis Styles Paris Gare de l'Est Magenta,IBS,IBIS STYLES,PARIS,France,4 Rue Sibour,75010,https://all.accor.com/hotel/B5D8/index.fr.shtml,catalog_api,france,IBIS STYLES PARIS GARE DE L EST MAGENTA,PARIS,4.3,804,4.0,True,missing
A9V3,A9V3,ibis Paris Gare de L'Est 10ème,IBH,IBIS,PARIS,France,5 Rue Saint Laurent,75010,https://all.accor.com/hotel/A9V3/index.fr.shtml,catalog_api,france,IBIS PARIS GARE DE L EST 10EME,PARIS,,,,False,missing
0663,663,Sofitel Le Scribe Paris Opéra,SOF,SOFITEL,PARIS,France,1  rue Scribe,75009,https://all.accor.com/hotel/0663/index.fr.shtml,catalog_api,france,SOFITEL LE SCRIBE PARIS OPERA,PARIS,,,,False,missing
0351,351,Hôtel Mercure Paris Montparnasse Raspail,MER,MERCURE,PARIS,France,207 Boulevard Raspail,75014,https://all.accor.com/hotel/0351/index.fr.shtml,catalog_api,france,HOTEL MERCURE PARIS MONTPARNASSE RASPAIL,PARIS,,,,False,missing
A064,A064,Boutet Bastille Hotel Paris - MGallery Collection,MGA,MGALLERY,PARIS,France,22 24 Rue Faidherbe,75011,https://all.accor.com/hotel/A064/index.fr.shtml,catalog_api,france,BOUTET BASTILLE HOTEL PARIS MGALLERY COLLECTION,PARIS,,,,False,missing
