hotel_code_accor,hotel_code_norm,hotel_name,hotel_brand_code,hotel_brand,hotel_city,hotel_country,hotel_adresse,hotel_code_postal,url_hotel,source,source_query,hotel_name_norm,city_norm,country_slug,country_label,region,match_type
6182,6182,Centre de congrès Novotel Hyderabad,NOV,NOVOTEL,HYDERABAD,Inde,"Near Hitec City,  P.O Bag 1101, Kondapur",500081,https://all.accor.com/hotel/6182/index.fr.shtml,catalog_api,india,CENTRE DE CONGRES NOVOTEL HYDERABAD,HYDERABAD,india,Inde,asia,missing
A0L1,A0L1,Novotel Vijayawada Varun,NOV,NOVOTEL,VIJAYAWADA,Inde,"Bharthi Nagar, Near Benz Circle",520008,https://all.accor.com/hotel/A0L1/index.fr.shtml,catalog_api,india,NOVOTEL VIJAYAWADA VARUN,VIJAYAWADA,india,Inde,asia,missing
A121,A121,"The Bheemli Resort, géré par AccorHotels",SAM,SAM,VISAKHAPATNAM,Inde,"Bheemili Beach Road, Bheemunipatnam",531163,https://all.accor.com/hotel/A121/index.fr.shtml,catalog_api,india,THE BHEEMLI RESORT GERE PAR ACCORHOTELS,VISAKHAPATNAM,india,Inde,asia,missing
B072,B072,ibis Thane,IBH,IBIS,MUMBAI,Inde,"Plot - 02 Pokhran Road No 1, Thane West, .",400606,https://all.accor.com/hotel/B072/index.fr.shtml,catalog_api,india,IBIS THANE,MUMBAI,india,Inde,asia,missing
B4C0,B4C0,Novotel Mumbai International Airport,NOV,NOVOTEL,MUMBAI,Inde,"CTS 1359 Marol, Next to Airport Metro Station, entrance no 3 Andheri Kurla Road",400059,https://all.accor.com/hotel/B4C0/index.fr.shtml,catalog_api,india,NOVOTEL MUMBAI INTERNATIONAL AIRPORT,MUMBAI,india,Inde,asia,missing
B354,B354,Fairmont Mumbai,FAI,FAIRMONT,MUMBAI,Inde,"T2 C06 At C T S No 1405 (Part), Chhatrapati Shivaji Maharaj, Aéroport international T2",400099,https://all.accor.com/hotel/B354/index.fr.shtml,catalog_api,india,FAIRMONT MUMBAI,MUMBAI,india,Inde,asia,missing
C2S3,C2S3,"Roswyn, A Morgans Originals Hotel",TOR,TOR,MUMBAI,Inde,"T2 C06 At C T S No 1405 (Part), Chhatrapati Shivaji Maharaj, International Aiport T2",400099,https://all.accor.com/hotel/C2S3/index.fr.shtml,catalog_api,india,ROSWYN A MORGANS ORIGINALS HOTEL,MUMBAI,india,Inde,asia,missing
6830,6830,ibis Mumbai BKC,IBH,IBIS,MUMBAI,Inde,"CTS No 6951 CST Road, Kolevery Village, Kalina, Santacruz East",400098,https://all.accor.com/hotel/6830/index.fr.shtml,catalog_api,india,IBIS MUMBAI BKC,MUMBAI,india,Inde,asia,missing
B068,B068,Raffles Udaipur,RAF,RAFFLES,UDAIPUR,Inde,"Raffles Udaipur Lakeshore, Arrival Limited Plot no 1,, Panwadi, Matoon Girwa",313024,https://all.accor.com/hotel/B068/index.fr.shtml,catalog_api,india,RAFFLES UDAIPUR,UDAIPUR,india,Inde,asia,missing
B9T3,B9T3,Fairmont Udaipur Palace,FAI,FAIRMONT,UDAIPUR,Inde,"Sisarma, Girwa",313031,https://all.accor.com/hotel/B9T3/index.fr.shtml,catalog_api,india,FAIRMONT UDAIPUR PALACE,UDAIPUR,india,Inde,asia,missing
A741,A741,Grand Mercure Ahmedabad GIFT City,MEI,GRAND MERCURE,GANDHINAGAR,Inde,"Gujarat International Finance, Techcity, à côté des tours GIFT, Gandhinagar, Gujarat",382355,https://all.accor.com/hotel/A741/index.fr.shtml,catalog_api,india,GRAND MERCURE AHMEDABAD GIFT CITY,GANDHINAGAR,india,Inde,asia,missing
B6H1,B6H1,NOVOTEL BHUBANESWAR JANPATH,NOV,NOVOTEL,BHUBANESWAR,Inde,"H1 SATYA NAGAR, JANPATH ROAD",751007,https://all.accor.com/hotel/B6H1/index.fr.shtml,catalog_api,india,NOVOTEL BHUBANESWAR JANPATH,BHUBANESWAR,india,Inde,asia,missing
