hotel_code_accor,hotel_code_norm,hotel_name,hotel_brand_code,hotel_brand,hotel_city,hotel_country,hotel_adresse,hotel_code_postal,url_hotel,source,source_query,hotel_name_norm,city_norm,country_slug,country_label,region,match_type
B0K7,B0K7,Mercure Alice Springs Resort,MER,MERCURE,ALICE SPRINGS,Australie,34 Stott Terrace,0870,https://all.accor.com/hotel/B0K7/index.fr.shtml,catalog_api,australia,MERCURE ALICE SPRINGS RESORT,ALICE SPRINGS,australia,Australie,oceania,missing
C6W3,C6W3,Greet Hotel Alice Springs,GRE,GREET,ALICE SPRINGS,Australie,20 Gregory Terrace,870,https://all.accor.com/hotel/C6W3/index.fr.shtml,catalog_api,australia,GREET HOTEL ALICE SPRINGS,ALICE SPRINGS,australia,Australie,oceania,missing
C6W4,C6W4,Mantra Alice Springs,MTA,MANTRA,ALICE SPRINGS,Australie,11 Leichhardt Terrace,870,https://all.accor.com/hotel/C6W4/index.fr.shtml,catalog_api,australia,MANTRA ALICE SPRINGS,ALICE SPRINGS,australia,Australie,oceania,missing
B3X7,B3X7,The Lost Camel Hotel - Membre de Mercure Hotels,MER,MERCURE,YULARA,Australie,"Yulara Drive, Ayers Rock",0872,https://all.accor.com/hotel/B3X7/index.fr.shtml,catalog_api,australia,THE LOST CAMEL HOTEL MEMBRE DE MERCURE HOTELS,YULARA,australia,Australie,oceania,missing
C2D4,C2D4,BreakFree Port Pirie,BKF,BREAKFREE,PORT PIRIE,Australie,166 - 172 Warnertown Road,5540,https://all.accor.com/hotel/C2D4/index.fr.shtml,catalog_api,australia,BREAKFREE PORT PIRIE,PORT PIRIE,australia,Australie,oceania,missing
C590,C590,Clare Country Club,SAM,SAM,CLARE,Australie,"White Hut Rd, True",5453,https://all.accor.com/hotel/C590/index.fr.shtml,catalog_api,australia,CLARE COUNTRY CLUB,CLARE,australia,Australie,oceania,missing
C588,C588,Mercure Barossa Valley (ouverture novembre 2025),MER,MERCURE,TANUNDA,Australie,235 Murray Street,5352,https://all.accor.com/hotel/C588/index.fr.shtml,catalog_api,australia,MERCURE BAROSSA VALLEY OUVERTURE NOVEMBRE 2025,TANUNDA,australia,Australie,oceania,missing
A7W0,A7W0,ibis Styles Adelaide Manor,IBS,IBIS STYLES,ADELAIDE,Australie,"574 Main North Road, Gepps Cross",5094,https://all.accor.com/hotel/A7W0/index.fr.shtml,catalog_api,australia,IBIS STYLES ADELAIDE MANOR,ADELAIDE,australia,Australie,oceania,missing
B3V6,B3V6,La série art Watson Adelaide,ART,ART SERIES,WALKERVILLE,Australie,33 Warwick Street,5081,https://all.accor.com/hotel/B3V6/index.fr.shtml,catalog_api,australia,LA SERIE ART WATSON ADELAIDE,WALKERVILLE,australia,Australie,oceania,missing
C5U3,C5U3,Mantra Meridien Adelaide,MTA,MANTRA,ADELAIDE,Australie,"21 Melbourne St North Adelaide, True",5006,https://all.accor.com/hotel/C5U3/index.fr.shtml,catalog_api,australia,MANTRA MERIDIEN ADELAIDE,ADELAIDE,australia,Australie,oceania,missing
C5U2,C5U2,Breakfree North Adelaide,BKF,BREAKFREE,ADELAIDE DU NORD,Australie,21 Melbourne St North Adelaide,5006,https://all.accor.com/hotel/C5U2/index.fr.shtml,catalog_api,australia,BREAKFREE NORTH ADELAIDE,ADELAIDE DU NORD,australia,Australie,oceania,missing
B3I0,B3I0,BreakFree Adelaide,BKF,BREAKFREE,ADELAIDE,Australie,255 Hindley Street,5000,https://all.accor.com/hotel/B3I0/index.fr.shtml,catalog_api,australia,BREAKFREE ADELAIDE,ADELAIDE,australia,Australie,oceania,missing
A014,A014,Sofitel Adelaide,SOF,SOFITEL,ADELAÏDE,Australie,108 Currie Street,5000,https://all.accor.com/hotel/A014/index.fr.shtml,catalog_api,australia,SOFITEL ADELAIDE,ADELAIDE,australia,Australie,oceania,missing
