hotel_code_accor,hotel_code_norm,hotel_name,hotel_brand_code,hotel_brand,hotel_city,hotel_country,hotel_adresse,hotel_code_postal,url_hotel,source,source_query,hotel_name_norm,city_norm,country_slug,country_label,region,match_type
A559,A559,Fairmont Hotel Macdonald,FAI,FAIRMONT,EDMONTON,Canada,10065 100th Street,T5J 0N6,https://all.accor.com/hotel/A559/index.fr.shtml,catalog_api,canada,FAIRMONT HOTEL MACDONALD,EDMONTON,canada,Canada,americas,missing
A555,A555,Fairmont Palliser,FAI,FAIRMONT,CALGARY,Canada,133 9th Avenue SW,T2P 2M3,https://all.accor.com/hotel/A555/index.fr.shtml,catalog_api,canada,FAIRMONT PALLISER,CALGARY,canada,Canada,americas,missing
A550,A550,Fairmont Banff Springs,FAI,FAIRMONT,BANFF,Canada,405 Spray Avenue,T1L1J4,https://all.accor.com/hotel/A550/index.fr.shtml,catalog_api,canada,FAIRMONT BANFF SPRINGS,BANFF,canada,Canada,americas,missing
C1W0,C1W0,"Rimrock Banff, Emblems Collection",EMB,EMB,BANFF,Canada,300 Mountain Ave,T1L1J2,https://all.accor.com/hotel/C1W0/index.fr.shtml,catalog_api,canada,RIMROCK BANFF EMBLEMS COLLECTION,BANFF,canada,Canada,americas,missing
A563,A563,Fairmont Chateau Lake Louise,FAI,FAIRMONT,LAKE LOUISE,Canada,111 Lake Louise Drive,T0L 1E0,https://all.accor.com/hotel/A563/index.fr.shtml,catalog_api,canada,FAIRMONT CHATEAU LAKE LOUISE,LAKE LOUISE,canada,Canada,americas,missing
A562,A562,Fairmont Jasper Park Lodge,FAI,FAIRMONT,JASPER,Canada,"1 Old Lodge Road, PO Box 40",T0E 1E0,https://all.accor.com/hotel/A562/index.fr.shtml,catalog_api,canada,FAIRMONT JASPER PARK LODGE,JASPER,canada,Canada,americas,missing
A592,A592,Fairmont Winnipeg,FAI,FAIRMONT,WINNIPEG,Canada,2 Lombard Place,R3B0Y3,https://all.accor.com/hotel/A592/index.fr.shtml,catalog_api,canada,FAIRMONT WINNIPEG,WINNIPEG,canada,Canada,americas,missing
A591,A591,Fairmont Chateau Whistler,FAI,FAIRMONT,WHISTLER,Canada,4599 Chateau Boulevard,V8E 0Z5,https://all.accor.com/hotel/A591/index.fr.shtml,catalog_api,canada,FAIRMONT CHATEAU WHISTLER,WHISTLER,canada,Canada,americas,missing
A587,A587,Fairmont Waterfront,FAI,FAIRMONT,VANCOUVER,Canada,900 Canada Place Way,V6C 3L5,https://all.accor.com/hotel/A587/index.fr.shtml,catalog_api,canada,FAIRMONT WATERFRONT,VANCOUVER,canada,Canada,americas,missing
A585,A585,Fairmont Pacific Rim,FAI,FAIRMONT,VANCOUVER,Canada,1038 Canada Place,V6C 0B9,https://all.accor.com/hotel/A585/index.fr.shtml,catalog_api,canada,FAIRMONT PACIFIC RIM,VANCOUVER,canada,Canada,americas,missing
A584,A584,Fairmont Hotel Vancouver,FAI,FAIRMONT,VANCOUVER,Canada,900 West Georgia Street,V6C 2W6,https://all.accor.com/hotel/A584/index.fr.shtml,catalog_api,canada,FAIRMONT HOTEL VANCOUVER,VANCOUVER,canada,Canada,americas,missing
B9D9,B9D9,Hotel Belmont Vancouver - MGallery Collection,MGA,MGALLERY,VANCOUVER,Canada,654 Nelson Street,V6B 6K4,https://all.accor.com/hotel/B9D9/index.fr.shtml,catalog_api,canada,HOTEL BELMONT VANCOUVER MGALLERY COLLECTION,VANCOUVER,canada,Canada,americas,missing
A586,A586,Fairmont Vancouver Airport,FAI,FAIRMONT,RICHMOND,Canada,"Vancouver International Airport, 3111 Grant McConachie Way",V7B 0A6,https://all.accor.com/hotel/A586/index.fr.shtml,catalog_api,canada,FAIRMONT VANCOUVER AIRPORT,RICHMOND,canada,Canada,americas,missing
A588,A588,Fairmont Empress,FAI,FAIRMONT,VICTORIA,Canada,721 Government Street,V8W 1W5,https://all.accor.com/hotel/A588/index.fr.shtml,catalog_api,canada,FAIRMONT EMPRESS,VICTORIA,canada,Canada,americas,missing
A551,A551,Fairmont Royal York,FAI,FAIRMONT,TORONTO,Canada,100 Front Street W.,M5J 1E3,https://all.accor.com/hotel/A551/index.fr.shtml,catalog_api,canada,FAIRMONT ROYAL YORK,TORONTO,canada,Canada,americas,missing
A570,A570,Fairmont Château Laurier,FAI,FAIRMONT,OTTAWA,Canada,1 Rideau Street,K1N8S7,https://all.accor.com/hotel/A570/index.fr.shtml,catalog_api,canada,FAIRMONT CHATEAU LAURIER,OTTAWA,canada,Canada,americas,missing
A565,A565,Fairmont Tremblant,FAI,FAIRMONT,MONT TREMBLANT,Canada,"3045 Chemin de la Chapelle, CITQ 128365",J8E1E1,https://all.accor.com/hotel/A565/index.fr.shtml,catalog_api,canada,FAIRMONT TREMBLANT,MONT TREMBLANT,canada,Canada,americas,missing
A566,A566,Fairmont Le Château Montebello,FAI,FAIRMONT,MONTEBELLO,Canada,392 Notre Dame,J0V 1L0,https://all.accor.com/hotel/A566/index.fr.shtml,catalog_api,canada,FAIRMONT LE CHATEAU MONTEBELLO,MONTEBELLO,canada,Canada,americas,missing
A567,A567,Fairmont The Queen Elizabeth,FAI,FAIRMONT,MONTRÉAL,Canada,"900, boul. René Lévesque Ouest",H3B 4A5,https://all.accor.com/hotel/A567/index.fr.shtml,catalog_api,canada,FAIRMONT THE QUEEN ELIZABETH,MONTREAL,canada,Canada,americas,missing
A572,A572,Fairmont Le Château Frontenac,FAI,FAIRMONT,VILLE DE QUEBEC,Canada,"1 rue des Carrières, CITQ No. 040703",G1R 5J5,https://all.accor.com/hotel/A572/index.fr.shtml,catalog_api,canada,FAIRMONT LE CHATEAU FRONTENAC,VILLE DE QUEBEC,canada,Canada,americas,missing
A556,A556,Fairmont Le Manoir Richelieu,FAI,FAIRMONT,CHARLEVOIX,Canada,181 rue Richelieu,G5A 1X7,https://all.accor.com/hotel/A556/index.fr.shtml,catalog_api,canada,FAIRMONT LE MANOIR RICHELIEU,CHARLEVOIX,canada,Canada,americas,missing
