hotel_code_accor,hotel_code_norm,hotel_name,hotel_brand_code,hotel_brand,hotel_city,hotel_country,hotel_adresse,hotel_code_postal,url_hotel,source,source_query,hotel_name_norm,city_norm,country_slug,country_label,region,match_type
C2H0,C2H0,Swissôtel Nusantara,SWI,SWISSÔTEL,PENAJAM PASER UTARA,Indonésie,"IBU KOTA NUSANTARA, Desa Bumi Harapan Lot No.1.Co.20, Kecamatan Sepaku",76147,https://all.accor.com/hotel/C2H0/index.fr.shtml,catalog_api,indonesia,SWISSOTEL NUSANTARA,PENAJAM PASER UTARA,indonesia,Indonésie,asia,missing
B5E4,B5E4,Mercure Samarinda,MER,MERCURE,SAMARINDA,Indonésie,"Jalan Mulawarman No 171, Pelabuhan, Kecamatan Samarinda Kota",75112,https://all.accor.com/hotel/B5E4/index.fr.shtml,catalog_api,indonesia,MERCURE SAMARINDA,SAMARINDA,indonesia,Indonésie,asia,missing
B5E5,B5E5,ibis Samarinda,IBH,IBIS,SAMARINDA,Indonésie,"Jalan Mulawarman No 171, Pelabuhan, Kecamatan Samarinda Kota",75112,https://all.accor.com/hotel/B5E5/index.fr.shtml,catalog_api,indonesia,IBIS SAMARINDA,SAMARINDA,indonesia,Indonésie,asia,missing
B836,B836,Centre de congrès Novotel Pontianak,NOV,NOVOTEL,PONTIANAK,Indonésie,"Jalan Budi Karya 88, Benua Melayu Darat, Pontianak Selatan",78122,https://all.accor.com/hotel/B836/index.fr.shtml,catalog_api,indonesia,CENTRE DE CONGRES NOVOTEL PONTIANAK,PONTIANAK,indonesia,Indonésie,asia,missing
B749,B749,ibis Surabaya Tidar,IBH,IBIS,SURABAYA,Indonésie,"Jalan Tidar No 74, Sawahan",60251,https://all.accor.com/hotel/B749/index.fr.shtml,catalog_api,indonesia,IBIS SURABAYA TIDAR,SURABAYA,indonesia,Indonésie,asia,missing
B066,B066,Majapahit Hotel Surabaya - MGallery Collection,MGA,MGALLERY,SURABAYA,Indonésie,"Jalan Tunjungan 65, Kec Genteng, 60275",60275,https://all.accor.com/hotel/B066/index.fr.shtml,catalog_api,indonesia,MAJAPAHIT HOTEL SURABAYA MGALLERY COLLECTION,SURABAYA,indonesia,Indonésie,asia,missing
B750,B750,Mercure Surabaya Manyar,MER,MERCURE,SURABAYA,Indonésie,"JL Manyar Kertoarjo No 44, Mulyorejo, Jawa Timur",60116,https://all.accor.com/hotel/B750/index.fr.shtml,catalog_api,indonesia,MERCURE SURABAYA MANYAR,SURABAYA,indonesia,Indonésie,asia,missing
6155,6155,Mercure Surabaya Grand Mirama,MER,MERCURE,SURABAYA,Indonésie,Jl Raya Darmo 68 - 78,60264,https://all.accor.com/hotel/6155/index.fr.shtml,catalog_api,indonesia,MERCURE SURABAYA GRAND MIRAMA,SURABAYA,indonesia,Indonésie,asia,missing
B208,B208,Mövenpick Surabaya City,MOV,MÖVENPICK,SURABAYA,Indonésie,"Jl Ahmad Yani No 71, Margorejo, Wonocolo",60238,https://all.accor.com/hotel/B208/index.fr.shtml,catalog_api,indonesia,MOVENPICK SURABAYA CITY,SURABAYA,indonesia,Indonésie,asia,missing
B2V1,B2V1,Mercure Makassar Nexa Pettarani,MER,MERCURE,MAKASSAR,Indonésie,"Jl A P Pettarani No 4, Gunung Sari, Rappocini",90222,https://all.accor.com/hotel/B2V1/index.fr.shtml,catalog_api,indonesia,MERCURE MAKASSAR NEXA PETTARANI,MAKASSAR,indonesia,Indonésie,asia,missing
B911,B911,ibis Styles Semarang Simpang Lima,IBS,IBIS STYLES,SEMARANG,Indonésie,"Jalan Pahlawan no 2-2A, Simpang Lima",50241,https://all.accor.com/hotel/B911/index.fr.shtml,catalog_api,indonesia,IBIS STYLES SEMARANG SIMPANG LIMA,SEMARANG,indonesia,Indonésie,asia,missing
C1Y9,C1Y9,Mercure Madiun,MER,MERCURE,MADIUN,Indonésie,"Jl H Agus Salim No 50, Madiun",63129,https://all.accor.com/hotel/C1Y9/index.fr.shtml,catalog_api,indonesia,MERCURE MADIUN,MADIUN,indonesia,Indonésie,asia,missing
6530,6530,ibis Styles Solo,IBS,IBIS STYLES,SOLO,Indonésie,"Jalan Gajah Mada 23, Jawa Tengah",57131,https://all.accor.com/hotel/6530/index.fr.shtml,catalog_api,indonesia,IBIS STYLES SOLO,SOLO,indonesia,Indonésie,asia,missing
C622,C622,Mercure Solo,MER,MERCURE,SURAKARTA,Indonésie,"Jalan Slamet Riyadi No 437, Sondakan, Laweyan",57147,https://all.accor.com/hotel/C622/index.fr.shtml,catalog_api,indonesia,MERCURE SOLO,SURAKARTA,indonesia,Indonésie,asia,missing
C0I4,C0I4,Grand Mercure Solo Baru,MEI,GRAND MERCURE,SOLO,Indonésie,"JL IR SOEKARNO, SOLO BARU, SUKOHARJO",57552,https://all.accor.com/hotel/C0I4/index.fr.shtml,catalog_api,indonesia,GRAND MERCURE SOLO BARU,SOLO,indonesia,Indonésie,asia,missing
C1H6,C1H6,Homm Saranam Baturiti,HOM,HOM,BALI,Indonésie,"Kec. Baturiti, Kab. Tabanan",82191,https://all.accor.com/hotel/C1H6/index.fr.shtml,catalog_api,indonesia,HOMM SARANAM BATURITI,BALI,indonesia,Indonésie,asia,missing
B9B5,B9B5,"Buahan, évasion au Banyan Tree",BAN,BANYAN TREE,BALI,Indonésie,"Banjar Selat, Desa Buahan Kaja, Payangan Gianyar",80572,https://all.accor.com/hotel/B9B5/index.fr.shtml,catalog_api,indonesia,BUAHAN EVASION AU BANYAN TREE,BALI,indonesia,Indonésie,asia,missing
A222,A222,Novotel Bali Ubud Resort,NOV,NOVOTEL,BALI,Indonésie,"Banjar Semaon, Desa Puhu, Payangan GIANYAR",80572,https://all.accor.com/hotel/A222/index.fr.shtml,catalog_api,indonesia,NOVOTEL BALI UBUD RESORT,BALI,indonesia,Indonésie,asia,missing
C270,C270,Garrya Bianti Yogyakarta,GAR,GAR,YOGYAKARTA,Indonésie,"Gabugan, Pandowoharjo, Sleman, Yogyakarta Special Province",55512,https://all.accor.com/hotel/C270/index.fr.shtml,catalog_api,indonesia,GARRYA BIANTI YOGYAKARTA,YOGYAKARTA,indonesia,Indonésie,asia,missing
A088,A088,Novotel Suites Yogyakarta Malioboro,SUI,NOVOTEL SUITES,YOGYAKARTA,Indonésie,"Jl. Perwakilan No. 1, Suryatmajan, Danurejan",55213,https://all.accor.com/hotel/A088/index.fr.shtml,catalog_api,indonesia,NOVOTEL SUITES YOGYAKARTA MALIOBORO,YOGYAKARTA,indonesia,Indonésie,asia,missing
B3U5,B3U5,Peppers Seminyak,PEP,PEPPERS,SEMINYAK,Indonésie,"Jl Pura Telaga Waja, Petitenget, Seminyak",80361,https://all.accor.com/hotel/B3U5/index.fr.shtml,catalog_api,indonesia,PEPPERS SEMINYAK,SEMINYAK,indonesia,Indonésie,asia,missing
C4D5,C4D5,Grand Seminyak Lifestyle Boutique Bali Resort,SAM,SAM,SEMINYAK,Indonésie,"JL Camplung Tanduk  Dhyana Pura, Plage de Seminyak",80361,https://all.accor.com/hotel/C4D5/index.fr.shtml,catalog_api,indonesia,GRAND SEMINYAK LIFESTYLE BOUTIQUE BALI RESORT,SEMINYAK,indonesia,Indonésie,asia,missing
B777,B777,TRIBE Bali Kuta Beach,TRI,TRIBE,BADUNG,Indonésie,"Jalan Pantai Kuta no 99, Kuta, Legian",80361,https://all.accor.com/hotel/B777/index.fr.shtml,catalog_api,indonesia,TRIBE BALI KUTA BEACH,BADUNG,indonesia,Indonésie,asia,missing
B5Z8,B5Z8,"Aéroport international ibis Yogyakarta, Kulon Progo",IBH,IBIS,YOGYAKARTA,Indonésie,"Jl Wates Purworejo KM 10 95, Kulon Progo",55654,https://all.accor.com/hotel/B5Z8/index.fr.shtml,catalog_api,indonesia,AEROPORT INTERNATIONAL IBIS YOGYAKARTA KULON PROGO,YOGYAKARTA,indonesia,Indonésie,asia,missing
B5Q9,B5Q9,Novotel Yogyakarta International Airport Kulon Progo,NOV,NOVOTEL,YOGYAKARTA,Indonésie,Jl Wates Purworejo KM 10 95,55654,https://all.accor.com/hotel/B5Q9/index.fr.shtml,catalog_api,indonesia,NOVOTEL YOGYAKARTA INTERNATIONAL AIRPORT KULON PROGO,YOGYAKARTA,indonesia,Indonésie,asia,missing
