hotel_code_accor,hotel_code_norm,hotel_name,hotel_brand_code,hotel_brand,hotel_city,hotel_country,hotel_adresse,hotel_code_postal,url_hotel,source,source_query,hotel_name_norm,city_norm,country_slug,country_label,region,match_type
C376,C376,The Amayen - Handwritten Collection,SOU,SOU,PHU YEN,Vietnam,"LOT B2 DOC LAP STREET, BINH KIEN WARD, TUY HOA CITY, PHU YEN PROVINCE",56000,https://all.accor.com/hotel/C376/index.fr.shtml,catalog_api,vietnam,THE AMAYEN HANDWRITTEN COLLECTION,PHU YEN,vietnam,Vietnam,asia,missing
C561,C561,The Morning Glow - Handwritten Collection,SOU,SOU,KHANH HOA,Vietnam,"62-65 Pham Van Dong Street, NORTH NHA TRANG WARD",57000,https://all.accor.com/hotel/C561/index.fr.shtml,catalog_api,vietnam,THE MORNING GLOW HANDWRITTEN COLLECTION,KHANH HOA,vietnam,Vietnam,asia,missing
C3J0,C3J0,Mercure Nha Trang Beach,MER,MERCURE,NHA TRANG,Vietnam,"88A Tran Phu street, True",57100,https://all.accor.com/hotel/C3J0/index.fr.shtml,catalog_api,vietnam,MERCURE NHA TRANG BEACH,NHA TRANG,vietnam,Vietnam,asia,missing
B8H0,B8H0,Grand Mercure Dalat,MEI,GRAND MERCURE,DA LAT,Vietnam,"03 Nguyen Du Street, Ward 09",670000,https://all.accor.com/hotel/B8H0/index.fr.shtml,catalog_api,vietnam,GRAND MERCURE DALAT,DA LAT,vietnam,Vietnam,asia,missing
B4G8,B4G8,Mövenpick Resort Cam Ranh,MOV,MÖVENPICK,QUARTIER CAM LAM,Vietnam,"Plot D 12 Abc, Cam Hai Dong, Cam Ranh",57615,https://all.accor.com/hotel/B4G8/index.fr.shtml,catalog_api,vietnam,MOVENPICK RESORT CAM RANH,QUARTIER CAM LAM,vietnam,Vietnam,asia,missing
B1W4,B1W4,Angsana Lang Co Vietnam,ANG,ANGSANA,TEINTE,Vietnam,"Canh Duong village, Chan May Lang Co Commune",53000,https://all.accor.com/hotel/B1W4/index.fr.shtml,catalog_api,vietnam,ANGSANA LANG CO VIETNAM,TEINTE,vietnam,Vietnam,asia,missing
B1V7,B1V7,Banyan Tree Lang Co Vietnam,BAN,BANYAN TREE,HUE,Vietnam,"Canh Duong village, Chan May Lang Co Commune",530000,https://all.accor.com/hotel/B1V7/index.fr.shtml,catalog_api,vietnam,BANYAN TREE LANG CO VIETNAM,HUE,vietnam,Vietnam,asia,missing
B6Y9,B6Y9,Mövenpick Resort Phan Thiet,MOV,MÖVENPICK,PHAN THIET,Vietnam,"Hon Gio - Thuan Quy Street, Tien Hoa Hamlet, Tien Thanh Commune Binh Thuan",77100,https://all.accor.com/hotel/B6Y9/index.fr.shtml,catalog_api,vietnam,MOVENPICK RESORT PHAN THIET,PHAN THIET,vietnam,Vietnam,asia,missing
C1W1,C1W1,Novotel Living Saigon South,NOL,NOL,HO CHI MINH CITY,Vietnam,"No 2 Street C, Tan My Ward",700000,https://all.accor.com/hotel/C1W1/index.fr.shtml,catalog_api,vietnam,NOVOTEL LIVING SAIGON SOUTH,HO CHI MINH CITY,vietnam,Vietnam,asia,missing
C1H5,C1H5,Dhawa Ho Tram,DHA,DHAWA,BA RIA - VUNG TAU,Vietnam,"Coastal Road, Ho Tram Beach, Phuoc Thuan Town",78507,https://all.accor.com/hotel/C1H5/index.fr.shtml,catalog_api,vietnam,DHAWA HO TRAM,BA RIA VUNG TAU,vietnam,Vietnam,asia,missing
