hotel_code_accor,hotel_code_norm,hotel_name,hotel_brand_code,hotel_brand,hotel_city,hotel_country,hotel_adresse,hotel_code_postal,url_hotel,source,source_query,hotel_name_norm,city_norm,country_slug,country_label,region,match_type
C480,C480,Mercure Patras Astir,MER,MERCURE,PATRAS,Grèce,16 Agiou Andrea Street,26221,https://all.accor.com/hotel/C480/index.fr.shtml,catalog_api,greece,MERCURE PATRAS ASTIR,PATRAS,greece,Grèce,europe,missing
C606,C606,LEOLIA Nautical Resort Kala Nera - Handwritten Collection,SOU,SOU,VOLOS,Grèce,Kala Nera EO,37010,https://all.accor.com/hotel/C606/index.fr.shtml,catalog_api,greece,LEOLIA NAUTICAL RESORT KALA NERA HANDWRITTEN COLLECTION,VOLOS,greece,Grèce,europe,missing
C3L4,C3L4,Mövenpick Resort Agios Nikolaos Sivota,MOV,MÖVENPICK,SIVOTA THESPROTIAS,Grèce,"Sivota, PO Box 61, Boîte postale 61",46100,https://all.accor.com/hotel/C3L4/index.fr.shtml,catalog_api,greece,MOVENPICK RESORT AGIOS NIKOLAOS SIVOTA,SIVOTA THESPROTIAS,greece,Grèce,europe,missing
B692,B692,Angsana Corfu,ANG,ANGSANA,CORFU,Grèce,"11 Km National Rd Corfu Benitses, Akra Punta, Benitses",49084,https://all.accor.com/hotel/B692/index.fr.shtml,catalog_api,greece,ANGSANA CORFU,CORFU,greece,Grèce,europe,missing
C628,C628,Découvrez l'hôtel Athens Riviera (ouverture à l'automne 2026),GRE,GREET,ATHÈNES,Grèce,"336 Ave Eleutheriou, Venizelou",17675,https://all.accor.com/hotel/C628/index.fr.shtml,catalog_api,greece,DECOUVREZ L HOTEL ATHENS RIVIERA OUVERTURE A L AUTOMNE 2026,ATHENES,greece,Grèce,europe,missing
B3X8,B3X8,Athens Capital Hotel - MGallery Collection,MGA,MGALLERY,ATHÈNES,Grèce,"4 Elefrheriou Venizelou Avenue, et 2 Kriezotou street, Syndagma Square",10671,https://all.accor.com/hotel/B3X8/index.fr.shtml,catalog_api,greece,ATHENS CAPITAL HOTEL MGALLERY COLLECTION,ATHENES,greece,Grèce,europe,missing
C2N4,C2N4,Athens Capital Suites - MGallery Collection,MGA,MGALLERY,ATHÈNES,Grèce,"7-9 Zalokosta, Syntagma Square",10671,https://all.accor.com/hotel/C2N4/index.fr.shtml,catalog_api,greece,ATHENS CAPITAL SUITES MGALLERY COLLECTION,ATHENES,greece,Grèce,europe,missing
B448,B448,ibis Styles Athens Routes,IBS,IBIS STYLES,ATHÈNES,Grèce,Avenue Vouliagmenis 109,11636,https://all.accor.com/hotel/B448/index.fr.shtml,catalog_api,greece,IBIS STYLES ATHENS ROUTES,ATHENES,greece,Grèce,europe,missing
C6K3,C6K3,Kove Hotel & Spa Mykonos - MGallery Collection,MGA,MGALLERY,MYKONOS,Grèce,ORNOS,84600,https://all.accor.com/hotel/C6K3/index.fr.shtml,catalog_api,greece,KOVE HOTEL SPA MYKONOS MGALLERY COLLECTION,MYKONOS,greece,Grèce,europe,missing
C437,C437,"Luura - Cliff, Paros, A Morgans Originals Hotel",TOR,TOR,PAROS,Grèce,Agia Eirini,84400,https://all.accor.com/hotel/C437/index.fr.shtml,catalog_api,greece,LUURA CLIFF PAROS A MORGANS ORIGINALS HOTEL,PAROS,greece,Grèce,europe,missing
C560,C560,Nirema Hotel & Spa Samos - MGallery Collection (opening Q2 2026),MGA,MGALLERY,SAMOS,Grèce,Malagari,83100,https://all.accor.com/hotel/C560/index.fr.shtml,catalog_api,greece,NIREMA HOTEL SPA SAMOS MGALLERY COLLECTION OPENING Q2 2026,SAMOS,greece,Grèce,europe,missing
A9P7,A9P7,ibis Styles Heraklion Central,IBS,IBIS STYLES,HERAKLION,Grèce,"26 Koroneou, & Agiou  Titou Street",71202,https://all.accor.com/hotel/A9P7/index.fr.shtml,catalog_api,greece,IBIS STYLES HERAKLION CENTRAL,HERAKLION,greece,Grèce,europe,missing
C1I3,C1I3,RoccaMare Heraklion - Handwritten Collection,SOU,SOU,HERAKLION,Grèce,"Minoos 3, Sofokli Venizelou",71303,https://all.accor.com/hotel/C1I3/index.fr.shtml,catalog_api,greece,ROCCAMARE HERAKLION HANDWRITTEN COLLECTION,HERAKLION,greece,Grèce,europe,missing
B8U7,B8U7,NIKO Seaside Resort Crete - MGallery Collection,MGA,MGALLERY,AGIOS NIKOLAOS CRÈTE,Grèce,Akti Koundourou 20,72100,https://all.accor.com/hotel/B8U7/index.fr.shtml,catalog_api,greece,NIKO SEASIDE RESORT CRETE MGALLERY COLLECTION,AGIOS NIKOLAOS CRETE,greece,Grèce,europe,missing
B6P2,B6P2,Mercure Rhodes Alexia Hotel & Spa,MER,MERCURE,RHODES,Grèce,Orfanidou 54,85100,https://all.accor.com/hotel/B6P2/index.fr.shtml,catalog_api,greece,MERCURE RHODES ALEXIA HOTEL SPA,RHODES,greece,Grèce,europe,missing
