number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.8297537816729749,2026-08-05 21:25:31.504685,2026-08-05 21:25:34.330105,0 days 00:00:02.825420,0.5779972601681014,0.4646688973455957,0.13125830316209655,6,7.6611007077713635,830,1.1384928654456357,1.0129197956845732,0.6624074561769746,COMPLETE
1,0.9062726688702968,2026-08-05 21:25:34.344857,2026-08-05 21:25:38.077609,0 days 00:00:03.732752,0.5909124836035503,1.4672360788274705,0.010573268083515799,7,16.967533607196547,1348,6.757191509850084e-06,0.4205156450913872,0.6849356442713105,COMPLETE
2,0.9837944056418305,2026-08-05 21:25:38.089713,2026-08-05 21:25:40.721696,0 days 00:00:02.631983,0.6831809216468459,3.6485598737362874,0.022004527434741072,5,1.6071238512039876,919,0.20088391735706074,0.009962513222055111,0.7168578594140873,COMPLETE
3,1.0618592002558274,2026-08-05 21:25:40.734464,2026-08-05 21:25:42.187973,0 days 00:00:01.453509,0.5325257964926398,7.591084298026666,0.049743185797885274,2,7.896186801026689,1047,9.580154309406538,11.015056790269638,0.6682096494749166,COMPLETE
4,0.9155760788282281,2026-08-05 21:25:42.199926,2026-08-05 21:25:44.558358,0 days 00:00:02.358432,0.7475884550556351,0.27510816892174716,0.01302780710309028,6,4.468467502504582,722,2.8682455958475566,0.01967432802530612,0.6488152939379115,COMPLETE
5,0.9736527114842642,2026-08-05 21:25:44.569620,2026-08-05 21:25:48.066678,0 days 00:00:03.497058,0.9847923138822793,6.201062586888916,0.02325951592241212,5,6.42033033629786,1277,5.47403835906837,29.79454462591363,0.6739417822102108,COMPLETE
6,0.9631215238689981,2026-08-05 21:25:48.079570,2026-08-05 21:25:49.798101,0 days 00:00:01.718531,0.6626651653816322,3.109418317515856,0.12139707695554378,2,1.9475582306295418,1177,3.3406077462203456e-06,13.921548533046511,0.6180909155642152,COMPLETE
7,1.1320792915064561,2026-08-05 21:25:49.810051,2026-08-05 21:25:51.921563,0 days 00:00:02.111512,0.5372753218398854,7.895095492804138,0.02139954903017622,5,1.6149614799999181,803,0.15229013204040615,0.009853225172032555,0.9208787923016158,COMPLETE
8,0.8635728393375878,2026-08-05 21:25:51.933083,2026-08-05 21:25:52.760722,0 days 00:00:00.827639,0.5370223258670452,2.867725828354181,0.09100328259258599,6,11.935262708510537,258,1.1959185386907425e-07,20.67840939783948,0.9085081386743783,COMPLETE
9,0.9637835744771482,2026-08-05 21:25:52.772373,2026-08-05 21:25:54.509426,0 days 00:00:01.737053,0.864803089169032,5.100459770841705,0.02450001073565503,2,2.879775265707033,1216,1.786456029372793,0.22965432344634354,0.7300733288106989,COMPLETE
10,1.1281009329539646,2026-08-05 21:25:54.520666,2026-08-05 21:25:55.606368,0 days 00:00:01.085702,0.8214252295037543,0.12475839726764892,0.06154115750118984,4,23.82900342041922,1725,0.0006365845585685179,0.7124252843547841,0.8262452362725613,PRUNED
11,0.8022088201131071,2026-08-05 21:25:55.616160,2026-08-05 21:25:56.527525,0 days 00:00:00.911365,0.6181320282499216,2.3592890132005246,0.1468006595175598,7,10.76783022204122,258,1.8598025306720484e-08,98.12767021884238,0.9893423339815979,COMPLETE
