number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.8374595568281215,2026-08-05 21:25:03.368842,2026-08-05 21:25:06.367698,0 days 00:00:02.998856,0.5779972601681014,0.4646688973455957,0.13125830316209655,6,7.6611007077713635,830,1.1384928654456357,1.0129197956845732,0.6624074561769746,COMPLETE
1,0.8748625873626907,2026-08-05 21:25:06.387285,2026-08-05 21:25:10.900439,0 days 00:00:04.513154,0.5909124836035503,1.4672360788274705,0.010573268083515799,7,16.967533607196547,1348,6.757191509850084e-06,0.4205156450913872,0.6849356442713105,COMPLETE
2,0.8880287467155407,2026-08-05 21:25:10.913575,2026-08-05 21:25:13.870028,0 days 00:00:02.956453,0.6831809216468459,3.6485598737362874,0.022004527434741072,5,1.6071238512039876,919,0.20088391735706074,0.009962513222055111,0.7168578594140873,COMPLETE
3,0.9597639977104869,2026-08-05 21:25:13.883012,2026-08-05 21:25:15.680029,0 days 00:00:01.797017,0.5325257964926398,7.591084298026666,0.049743185797885274,2,7.896186801026689,1047,9.580154309406538,11.015056790269638,0.6682096494749166,COMPLETE
4,0.8395567227839944,2026-08-05 21:25:15.692235,2026-08-05 21:25:18.501998,0 days 00:00:02.809763,0.7475884550556351,0.27510816892174716,0.01302780710309028,6,4.468467502504582,722,2.8682455958475566,0.01967432802530612,0.6488152939379115,COMPLETE
5,0.8064883902590974,2026-08-05 21:25:18.513925,2026-08-05 21:25:22.027731,0 days 00:00:03.513806,0.9847923138822793,6.201062586888916,0.02325951592241212,5,6.42033033629786,1277,5.47403835906837,29.79454462591363,0.6739417822102108,COMPLETE
6,0.9138537566455427,2026-08-05 21:25:22.042153,2026-08-05 21:25:23.874524,0 days 00:00:01.832371,0.6626651653816322,3.109418317515856,0.12139707695554378,2,1.9475582306295418,1177,3.3406077462203456e-06,13.921548533046511,0.6180909155642152,COMPLETE
7,0.9986333715365646,2026-08-05 21:25:23.886229,2026-08-05 21:25:25.992598,0 days 00:00:02.106369,0.5372753218398854,7.895095492804138,0.02139954903017622,5,1.6149614799999181,803,0.15229013204040615,0.009853225172032555,0.9208787923016158,COMPLETE
8,0.815304730944133,2026-08-05 21:25:26.004243,2026-08-05 21:25:26.857163,0 days 00:00:00.852920,0.5370223258670452,2.867725828354181,0.09100328259258599,6,11.935262708510537,258,1.1959185386907425e-07,20.67840939783948,0.9085081386743783,COMPLETE
9,0.8924975080190792,2026-08-05 21:25:26.869352,2026-08-05 21:25:28.660964,0 days 00:00:01.791612,0.864803089169032,5.100459770841705,0.02450001073565503,2,2.879775265707033,1216,1.786456029372793,0.22965432344634354,0.7300733288106989,COMPLETE
10,1.0771337253056474,2026-08-05 21:25:28.673553,2026-08-05 21:25:30.063439,0 days 00:00:01.389886,0.9538323976412588,5.954413682824156,0.04874893951830606,4,23.82900342041922,1747,0.003805620134753734,60.48695144184319,0.8075137588534191,PRUNED
11,0.7428425605978627,2026-08-05 21:25:30.073763,2026-08-05 21:25:30.933108,0 days 00:00:00.859345,0.9957829277928733,3.637945820155971,0.06518785897632728,4,10.36743426248541,262,1.8321693188603964e-08,98.16609585206668,0.9890765181396581,COMPLETE
