nom_hotel,annee,mois,nombre_ventes,montant_ventes,nombre_paniers,nombre_produits,nombre_categories_mois_f_b,nombre_categories_mois_n_f_b,pct_categories_mois_f_b,pct_categories_mois_n_f_b,nombre_mois,premier_mois,dernier_mois,mois_actifs,mois_manquants,hotel_code
Ibis budget Nice,2023,8,41.0,475.0,33.0,18.0,0.0,4.0,0.0,1.0,4,8,11,4,8,H2075
Ibis budget Nice,2023,9,30.0,322.0,27.0,16.0,0.0,4.0,0.0,1.0,4,8,11,4,8,H2075
Ibis budget Nice,2023,10,22.0,206.0,19.0,11.0,0.0,2.0,0.0,1.0,4,8,11,4,8,H2075
Ibis budget Nice,2023,11,1.0,9.0,1.0,1.0,0.0,1.0,0.0,1.0,4,8,11,4,8,H2075
Ibis budget Nice,2024,3,2.0,16.0,2.0,2.0,0.0,1.0,0.0,1.0,10,3,12,10,2,H2075
Ibis budget Nice,2024,4,12.0,145.0,12.0,7.0,0.0,3.0,0.0,1.0,10,3,12,10,2,H2075
Ibis budget Nice,2024,5,53.0,270.8,44.0,24.0,1.0,2.0,0.3333333333333333,0.6666666666666666,10,3,12,10,2,H2075
Ibis budget Nice,2024,6,247.0,841.5,177.0,40.0,2.0,5.0,0.2857142857142857,0.7142857142857143,10,3,12,10,2,H2075
Ibis budget Nice,2024,7,338.0,1052.1,208.0,38.0,2.0,5.0,0.2857142857142857,0.7142857142857143,10,3,12,10,2,H2075
Ibis budget Nice,2024,8,370.0,1173.0,237.0,36.0,2.0,4.0,0.3333333333333333,0.6666666666666666,10,3,12,10,2,H2075
Ibis budget Nice,2024,9,258.0,771.2,158.0,39.0,3.0,3.0,0.5,0.5,10,3,12,10,2,H2075
Ibis budget Nice,2024,10,200.0,596.3,124.0,39.0,3.0,3.0,0.5,0.5,10,3,12,10,2,H2075
Ibis budget Nice,2024,11,101.0,241.19999999999996,68.0,27.0,3.0,2.0,0.6,0.4,10,3,12,10,2,H2075
Ibis budget Nice,2024,12,109.0,248.99999999999997,67.0,24.0,3.0,1.0,0.75,0.25,10,3,12,10,2,H2075
Ibis budget Nice,2025,1,143.0,345.5999999999999,88.0,27.0,3.0,2.0,0.6,0.4,12,1,12,12,0,H2075
Ibis budget Nice,2025,2,110.0,268.29999999999995,73.0,24.0,3.0,2.0,0.6,0.4,12,1,12,12,0,H2075
Ibis budget Nice,2025,3,245.0,625.6,186.0,29.0,3.0,2.0,0.6,0.4,12,1,12,12,0,H2075
Ibis budget Nice,2025,4,266.0,816.3000000000001,187.0,47.0,3.0,5.0,0.375,0.625,12,1,12,12,0,H2075
Ibis budget Nice,2025,5,411.0,1346.1999999999998,267.0,48.0,2.0,5.0,0.2857142857142857,0.7142857142857143,12,1,12,12,0,H2075
Ibis budget Nice,2025,6,473.0,1633.7000000000003,298.0,51.0,2.0,5.0,0.2857142857142857,0.7142857142857143,12,1,12,12,0,H2075
Ibis budget Nice,2025,7,451.0,1690.6000000000001,309.0,54.0,2.0,4.0,0.3333333333333333,0.6666666666666666,12,1,12,12,0,H2075
Ibis budget Nice,2025,8,480.0,1800.8000000000002,299.0,56.0,2.0,3.0,0.4,0.6,12,1,12,12,0,H2075
Ibis budget Nice,2025,9,415.0,1506.6,285.0,54.0,2.0,3.0,0.4,0.6,12,1,12,12,0,H2075
Ibis budget Nice,2025,10,319.0,995.9999999999999,205.0,47.0,2.0,3.0,0.4,0.6,12,1,12,12,0,H2075
Ibis budget Nice,2025,11,202.0,551.1,136.0,32.0,2.0,2.0,0.5,0.5,12,1,12,12,0,H2075
Ibis budget Nice,2025,12,163.0,467.9,108.0,31.0,2.0,4.0,0.3333333333333333,0.6666666666666666,12,1,12,12,0,H2075
Ibis budget Strasbourg Centre République,2024,10,151.0,618.5,99.0,22.0,3.0,0.0,1.0,0.0,3,10,12,3,9,HB6A3
Ibis budget Strasbourg Centre République,2024,11,252.0,943.5,173.0,29.0,3.0,0.0,1.0,0.0,3,10,12,3,9,HB6A3
Ibis budget Strasbourg Centre République,2024,12,383.0,1335.5,255.0,27.0,3.0,0.0,1.0,0.0,3,10,12,3,9,HB6A3
Ibis budget Strasbourg Centre République,2025,1,217.0,700.5,143.0,23.0,3.0,0.0,1.0,0.0,12,1,12,12,0,HB6A3
Ibis budget Strasbourg Centre République,2025,2,196.0,745.0,111.0,24.0,3.0,0.0,1.0,0.0,12,1,12,12,0,HB6A3
Ibis budget Strasbourg Centre République,2025,3,270.0,924.5,175.0,27.0,3.0,0.0,1.0,0.0,12,1,12,12,0,HB6A3
Ibis budget Strasbourg Centre République,2025,4,293.0,1078.0,183.0,25.0,3.0,0.0,1.0,0.0,12,1,12,12,0,HB6A3
Ibis budget Strasbourg Centre République,2025,5,213.0,654.0,142.0,23.0,3.0,0.0,1.0,0.0,12,1,12,12,0,HB6A3
Ibis budget Strasbourg Centre République,2025,6,480.0,1709.0,311.0,25.0,3.0,0.0,1.0,0.0,12,1,12,12,0,HB6A3
Ibis budget Strasbourg Centre République,2025,7,410.0,1475.5,242.0,23.0,3.0,0.0,1.0,0.0,12,1,12,12,0,HB6A3
Ibis budget Strasbourg Centre République,2025,8,546.0,1768.5,352.0,23.0,3.0,0.0,1.0,0.0,12,1,12,12,0,HB6A3
Ibis budget Strasbourg Centre République,2025,9,207.0,639.0,163.0,22.0,3.0,0.0,1.0,0.0,12,1,12,12,0,HB6A3
Ibis budget Strasbourg Centre République,2025,10,309.0,990.5,215.0,23.0,3.0,0.0,1.0,0.0,12,1,12,12,0,HB6A3
Ibis budget Strasbourg Centre République,2025,11,354.0,1192.5,212.0,22.0,3.0,0.0,1.0,0.0,12,1,12,12,0,HB6A3
Ibis budget Strasbourg Centre République,2025,12,627.0,2114.5,397.0,22.0,3.0,0.0,1.0,0.0,12,1,12,12,0,HB6A3
Mercure Paris Montmartre Sacré-Cœur,2024,1,2.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,12,1,12,12,0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,2,376.0,2982.5,268.0,47.0,4.0,2.0,0.6666666666666666,0.3333333333333333,12,1,12,12,0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,3,653.0,4557.0,446.0,45.0,4.0,3.0,0.5714285714285714,0.42857142857142855,12,1,12,12,0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,4,749.0,5671.0,519.0,54.0,5.0,3.0,0.625,0.375,12,1,12,12,0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,5,640.0,4848.0,409.0,41.0,4.0,3.0,0.5714285714285714,0.42857142857142855,12,1,12,12,0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,6,807.0,5937.0,522.0,33.0,5.0,3.0,0.625,0.375,12,1,12,12,0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,7,654.0,6826.0,384.0,34.0,5.0,3.0,0.625,0.375,12,1,12,12,0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,8,621.0,5285.0,343.0,25.0,4.0,2.0,0.6666666666666666,0.3333333333333333,12,1,12,12,0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,9,903.0,7992.0,534.0,26.0,4.0,2.0,0.6666666666666666,0.3333333333333333,12,1,12,12,0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,10,1058.0,9518.0,576.0,27.0,4.0,2.0,0.6666666666666666,0.3333333333333333,12,1,12,12,0,H0373
