nom_hotel,annee,mois,cat_f_b_nombre_ventes,cat_nan_nombre_ventes,cat_n_f_b_nombre_ventes,cat_f_b_montant_ventes,cat_nan_montant_ventes,cat_n_f_b_montant_ventes,cat_f_b_nombre_paniers,cat_nan_nombre_paniers,cat_n_f_b_nombre_paniers,cat_f_b_nombre_produits,cat_nan_nombre_produits,cat_n_f_b_nombre_produits,sous_cat_ref_nombre_ventes,sous_cat_accessoires_nombre_ventes,sous_cat_alcool_nombre_ventes,sous_cat_cosmetique_nombre_ventes,sous_cat_food_salee_nombre_ventes,sous_cat_food_sucree_nombre_ventes,sous_cat_jeux_enfants_nombre_ventes,sous_cat_pap_nombre_ventes,sous_cat_sans_alcool_nombre_ventes,sous_cat_sos_nombre_ventes,sous_cat_souvenirs_nombre_ventes,sous_cat_ref_montant_ventes,sous_cat_accessoires_montant_ventes,sous_cat_alcool_montant_ventes,sous_cat_cosmetique_montant_ventes,sous_cat_food_salee_montant_ventes,sous_cat_food_sucree_montant_ventes,sous_cat_jeux_enfants_montant_ventes,sous_cat_pap_montant_ventes,sous_cat_sans_alcool_montant_ventes,sous_cat_sos_montant_ventes,sous_cat_souvenirs_montant_ventes,sous_cat_ref_nombre_paniers,sous_cat_accessoires_nombre_paniers,sous_cat_alcool_nombre_paniers,sous_cat_cosmetique_nombre_paniers,sous_cat_food_salee_nombre_paniers,sous_cat_food_sucree_nombre_paniers,sous_cat_jeux_enfants_nombre_paniers,sous_cat_pap_nombre_paniers,sous_cat_sans_alcool_nombre_paniers,sous_cat_sos_nombre_paniers,sous_cat_souvenirs_nombre_paniers,sous_cat_ref_nombre_produits,sous_cat_accessoires_nombre_produits,sous_cat_alcool_nombre_produits,sous_cat_cosmetique_nombre_produits,sous_cat_food_salee_nombre_produits,sous_cat_food_sucree_nombre_produits,sous_cat_jeux_enfants_nombre_produits,sous_cat_pap_nombre_produits,sous_cat_sans_alcool_nombre_produits,sous_cat_sos_nombre_produits,sous_cat_souvenirs_nombre_produits,pct_cat_f_b_nombre_ventes,pct_cat_n_f_b_nombre_ventes,pct_cat_f_b_montant_ventes,pct_cat_n_f_b_montant_ventes,pct_cat_f_b_nombre_paniers,pct_cat_n_f_b_nombre_paniers,pct_cat_f_b_nombre_produits,pct_cat_n_f_b_nombre_produits,pct_sous_cat_ref_nombre_ventes,pct_sous_cat_accessoires_nombre_ventes,pct_sous_cat_alcool_nombre_ventes,pct_sous_cat_cosmetique_nombre_ventes,pct_sous_cat_food_salee_nombre_ventes,pct_sous_cat_food_sucree_nombre_ventes,pct_sous_cat_jeux_enfants_nombre_ventes,pct_sous_cat_pap_nombre_ventes,pct_sous_cat_sans_alcool_nombre_ventes,pct_sous_cat_sos_nombre_ventes,pct_sous_cat_souvenirs_nombre_ventes,pct_sous_cat_ref_montant_ventes,pct_sous_cat_accessoires_montant_ventes,pct_sous_cat_alcool_montant_ventes,pct_sous_cat_cosmetique_montant_ventes,pct_sous_cat_food_salee_montant_ventes,pct_sous_cat_food_sucree_montant_ventes,pct_sous_cat_jeux_enfants_montant_ventes,pct_sous_cat_pap_montant_ventes,pct_sous_cat_sans_alcool_montant_ventes,pct_sous_cat_sos_montant_ventes,pct_sous_cat_souvenirs_montant_ventes,pct_sous_cat_ref_nombre_paniers,pct_sous_cat_accessoires_nombre_paniers,pct_sous_cat_alcool_nombre_paniers,pct_sous_cat_cosmetique_nombre_paniers,pct_sous_cat_food_salee_nombre_paniers,pct_sous_cat_food_sucree_nombre_paniers,pct_sous_cat_jeux_enfants_nombre_paniers,pct_sous_cat_pap_nombre_paniers,pct_sous_cat_sans_alcool_nombre_paniers,pct_sous_cat_sos_nombre_paniers,pct_sous_cat_souvenirs_nombre_paniers,pct_sous_cat_ref_nombre_produits,pct_sous_cat_accessoires_nombre_produits,pct_sous_cat_alcool_nombre_produits,pct_sous_cat_cosmetique_nombre_produits,pct_sous_cat_food_salee_nombre_produits,pct_sous_cat_food_sucree_nombre_produits,pct_sous_cat_jeux_enfants_nombre_produits,pct_sous_cat_pap_nombre_produits,pct_sous_cat_sans_alcool_nombre_produits,pct_sous_cat_sos_nombre_produits,pct_sous_cat_souvenirs_nombre_produits,hotel_code
Ibis budget Nice,2023,1,0.0,0.0,23.5,0.0,0.0,253.0,0.0,0.0,20.25,0.0,0.0,11.5,0.0,16.25,0.0,1.0,0.0,0.0,0.0,5.75,0.0,0.5,0.0,0.0,182.5,0.0,10.0,0.0,0.0,0.0,56.5,0.0,4.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,5.75,0.0,0.5,0.0,0.0,7.0,0.0,0.5,0.0,0.0,0.0,3.5,0.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6914893617021277,0.0,0.0425531914893617,0.0,0.0,0.0,0.24468085106382978,0.0,0.02127659574468085,0.0,0.0,0.7213438735177866,0.0,0.039525691699604744,0.0,0.0,0.0,0.22332015810276679,0.0,0.015810276679841896,0.0,0.0,0.6419753086419753,0.0,0.04938271604938271,0.0,0.0,0.0,0.2839506172839506,0.0,0.024691358024691357,0.0,0.0,0.6086956521739131,0.0,0.043478260869565216,0.0,0.0,0.0,0.30434782608695654,0.0,0.043478260869565216,0.0,H2075
Ibis budget Nice,2023,2,0.0,0.0,23.5,0.0,0.0,253.0,0.0,0.0,20.25,0.0,0.0,11.5,0.0,16.25,0.0,1.0,0.0,0.0,0.0,5.75,0.0,0.5,0.0,0.0,182.5,0.0,10.0,0.0,0.0,0.0,56.5,0.0,4.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,5.75,0.0,0.5,0.0,0.0,7.0,0.0,0.5,0.0,0.0,0.0,3.5,0.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6914893617021277,0.0,0.0425531914893617,0.0,0.0,0.0,0.24468085106382978,0.0,0.02127659574468085,0.0,0.0,0.7213438735177866,0.0,0.039525691699604744,0.0,0.0,0.0,0.22332015810276679,0.0,0.015810276679841896,0.0,0.0,0.6419753086419753,0.0,0.04938271604938271,0.0,0.0,0.0,0.2839506172839506,0.0,0.024691358024691357,0.0,0.0,0.6086956521739131,0.0,0.043478260869565216,0.0,0.0,0.0,0.30434782608695654,0.0,0.043478260869565216,0.0,H2075
Ibis budget Nice,2023,3,0.0,0.0,23.5,0.0,0.0,253.0,0.0,0.0,20.25,0.0,0.0,11.5,0.0,16.25,0.0,1.0,0.0,0.0,0.0,5.75,0.0,0.5,0.0,0.0,182.5,0.0,10.0,0.0,0.0,0.0,56.5,0.0,4.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,5.75,0.0,0.5,0.0,0.0,7.0,0.0,0.5,0.0,0.0,0.0,3.5,0.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6914893617021277,0.0,0.0425531914893617,0.0,0.0,0.0,0.24468085106382978,0.0,0.02127659574468085,0.0,0.0,0.7213438735177866,0.0,0.039525691699604744,0.0,0.0,0.0,0.22332015810276679,0.0,0.015810276679841896,0.0,0.0,0.6419753086419753,0.0,0.04938271604938271,0.0,0.0,0.0,0.2839506172839506,0.0,0.024691358024691357,0.0,0.0,0.6086956521739131,0.0,0.043478260869565216,0.0,0.0,0.0,0.30434782608695654,0.0,0.043478260869565216,0.0,H2075
Ibis budget Nice,2023,4,0.0,0.0,23.5,0.0,0.0,253.0,0.0,0.0,20.25,0.0,0.0,11.5,0.0,16.25,0.0,1.0,0.0,0.0,0.0,5.75,0.0,0.5,0.0,0.0,182.5,0.0,10.0,0.0,0.0,0.0,56.5,0.0,4.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,5.75,0.0,0.5,0.0,0.0,7.0,0.0,0.5,0.0,0.0,0.0,3.5,0.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6914893617021277,0.0,0.0425531914893617,0.0,0.0,0.0,0.24468085106382978,0.0,0.02127659574468085,0.0,0.0,0.7213438735177866,0.0,0.039525691699604744,0.0,0.0,0.0,0.22332015810276679,0.0,0.015810276679841896,0.0,0.0,0.6419753086419753,0.0,0.04938271604938271,0.0,0.0,0.0,0.2839506172839506,0.0,0.024691358024691357,0.0,0.0,0.6086956521739131,0.0,0.043478260869565216,0.0,0.0,0.0,0.30434782608695654,0.0,0.043478260869565216,0.0,H2075
Ibis budget Nice,2023,5,0.0,0.0,23.5,0.0,0.0,253.0,0.0,0.0,20.25,0.0,0.0,11.5,0.0,16.25,0.0,1.0,0.0,0.0,0.0,5.75,0.0,0.5,0.0,0.0,182.5,0.0,10.0,0.0,0.0,0.0,56.5,0.0,4.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,5.75,0.0,0.5,0.0,0.0,7.0,0.0,0.5,0.0,0.0,0.0,3.5,0.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6914893617021277,0.0,0.0425531914893617,0.0,0.0,0.0,0.24468085106382978,0.0,0.02127659574468085,0.0,0.0,0.7213438735177866,0.0,0.039525691699604744,0.0,0.0,0.0,0.22332015810276679,0.0,0.015810276679841896,0.0,0.0,0.6419753086419753,0.0,0.04938271604938271,0.0,0.0,0.0,0.2839506172839506,0.0,0.024691358024691357,0.0,0.0,0.6086956521739131,0.0,0.043478260869565216,0.0,0.0,0.0,0.30434782608695654,0.0,0.043478260869565216,0.0,H2075
Ibis budget Nice,2023,6,0.0,0.0,23.5,0.0,0.0,253.0,0.0,0.0,20.25,0.0,0.0,11.5,0.0,16.25,0.0,1.0,0.0,0.0,0.0,5.75,0.0,0.5,0.0,0.0,182.5,0.0,10.0,0.0,0.0,0.0,56.5,0.0,4.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,5.75,0.0,0.5,0.0,0.0,7.0,0.0,0.5,0.0,0.0,0.0,3.5,0.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6914893617021277,0.0,0.0425531914893617,0.0,0.0,0.0,0.24468085106382978,0.0,0.02127659574468085,0.0,0.0,0.7213438735177866,0.0,0.039525691699604744,0.0,0.0,0.0,0.22332015810276679,0.0,0.015810276679841896,0.0,0.0,0.6419753086419753,0.0,0.04938271604938271,0.0,0.0,0.0,0.2839506172839506,0.0,0.024691358024691357,0.0,0.0,0.6086956521739131,0.0,0.043478260869565216,0.0,0.0,0.0,0.30434782608695654,0.0,0.043478260869565216,0.0,H2075
Ibis budget Nice,2023,7,0.0,0.0,23.5,0.0,0.0,253.0,0.0,0.0,20.25,0.0,0.0,11.5,0.0,16.25,0.0,1.0,0.0,0.0,0.0,5.75,0.0,0.5,0.0,0.0,182.5,0.0,10.0,0.0,0.0,0.0,56.5,0.0,4.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,5.75,0.0,0.5,0.0,0.0,7.0,0.0,0.5,0.0,0.0,0.0,3.5,0.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6914893617021277,0.0,0.0425531914893617,0.0,0.0,0.0,0.24468085106382978,0.0,0.02127659574468085,0.0,0.0,0.7213438735177866,0.0,0.039525691699604744,0.0,0.0,0.0,0.22332015810276679,0.0,0.015810276679841896,0.0,0.0,0.6419753086419753,0.0,0.04938271604938271,0.0,0.0,0.0,0.2839506172839506,0.0,0.024691358024691357,0.0,0.0,0.6086956521739131,0.0,0.043478260869565216,0.0,0.0,0.0,0.30434782608695654,0.0,0.043478260869565216,0.0,H2075
Ibis budget Nice,2023,8,0.0,0.0,41.0,0.0,0.0,475.0,0.0,0.0,34.0,0.0,0.0,18.0,0.0,32.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,383.0,0.0,10.0,0.0,0.0,0.0,74.0,0.0,8.0,0.0,0.0,25.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.7804878048780488,0.0,0.024390243902439025,0.0,0.0,0.0,0.17073170731707318,0.0,0.024390243902439025,0.0,0.0,0.8063157894736842,0.0,0.021052631578947368,0.0,0.0,0.0,0.15578947368421053,0.0,0.016842105263157894,0.0,0.0,0.7352941176470589,0.0,0.029411764705882353,0.0,0.0,0.0,0.20588235294117646,0.0,0.029411764705882353,0.0,0.0,0.6111111111111112,0.0,0.05555555555555555,0.0,0.0,0.0,0.2777777777777778,0.0,0.05555555555555555,0.0,H2075
Ibis budget Nice,2023,9,0.0,0.0,30.0,0.0,0.0,322.0,0.0,0.0,27.0,0.0,0.0,16.0,0.0,16.0,0.0,3.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,186.0,0.0,30.0,0.0,0.0,0.0,98.0,0.0,8.0,0.0,0.0,13.0,0.0,3.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5333333333333333,0.0,0.1,0.0,0.0,0.0,0.3333333333333333,0.0,0.03333333333333333,0.0,0.0,0.577639751552795,0.0,0.09316770186335403,0.0,0.0,0.0,0.30434782608695654,0.0,0.024844720496894408,0.0,0.0,0.48148148148148145,0.0,0.1111111111111111,0.0,0.0,0.0,0.37037037037037035,0.0,0.037037037037037035,0.0,0.0,0.5625,0.0,0.0625,0.0,0.0,0.0,0.3125,0.0,0.0625,0.0,H2075
Ibis budget Nice,2023,10,0.0,0.0,22.0,0.0,0.0,206.0,0.0,0.0,19.0,0.0,0.0,11.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,161.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.7727272727272727,0.0,0.0,0.0,0.0,0.0,0.22727272727272727,0.0,0.0,0.0,0.0,0.7815533980582524,0.0,0.0,0.0,0.0,0.0,0.21844660194174756,0.0,0.0,0.0,0.0,0.7368421052631579,0.0,0.0,0.0,0.0,0.0,0.2631578947368421,0.0,0.0,0.0,0.0,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.0,0.0,0.0,H2075
