nom_hotel,annee,mois,categorie,sous_categorie,heure_vente,nombre_ventes,montant_ventes,nombre_paniers,nombre_produits,hotel_code
Ibis budget Nice,2023,8,N_F_B,ACCESSOIRES,10,3,59.0,2,3,H2075
Ibis budget Nice,2023,8,N_F_B,ACCESSOIRES,11,3,25.0,3,3,H2075
Ibis budget Nice,2023,8,N_F_B,ACCESSOIRES,12,5,60.0,5,4,H2075
Ibis budget Nice,2023,8,N_F_B,ACCESSOIRES,13,1,15.0,1,1,H2075
Ibis budget Nice,2023,8,N_F_B,ACCESSOIRES,14,1,12.0,1,1,H2075
Ibis budget Nice,2023,8,N_F_B,ACCESSOIRES,15,1,15.0,1,1,H2075
Ibis budget Nice,2023,8,N_F_B,ACCESSOIRES,16,4,54.0,2,2,H2075
Ibis budget Nice,2023,8,N_F_B,ACCESSOIRES,17,3,41.0,2,2,H2075
Ibis budget Nice,2023,8,N_F_B,ACCESSOIRES,18,8,68.0,5,6,H2075
Ibis budget Nice,2023,8,N_F_B,ACCESSOIRES,19,2,21.0,2,2,H2075
Ibis budget Nice,2023,8,N_F_B,ACCESSOIRES,21,1,13.0,1,1,H2075
Ibis budget Nice,2023,8,N_F_B,COSMETIQUE,12,1,10.0,1,1,H2075
Ibis budget Nice,2023,8,N_F_B,PAP,12,1,9.0,1,1,H2075
Ibis budget Nice,2023,8,N_F_B,PAP,13,1,8.0,1,1,H2075
Ibis budget Nice,2023,8,N_F_B,PAP,15,1,13.0,1,1,H2075
Ibis budget Nice,2023,8,N_F_B,PAP,17,2,22.0,2,2,H2075
Ibis budget Nice,2023,8,N_F_B,PAP,18,1,9.0,1,1,H2075
Ibis budget Nice,2023,8,N_F_B,PAP,20,1,13.0,1,1,H2075
Ibis budget Nice,2023,8,N_F_B,SOS,16,1,8.0,1,1,H2075
Ibis budget Nice,2023,9,N_F_B,ACCESSOIRES,11,2,28.0,2,2,H2075
Ibis budget Nice,2023,9,N_F_B,ACCESSOIRES,12,1,6.0,1,1,H2075
Ibis budget Nice,2023,9,N_F_B,ACCESSOIRES,13,4,37.0,3,4,H2075
Ibis budget Nice,2023,9,N_F_B,ACCESSOIRES,14,3,30.0,2,3,H2075
Ibis budget Nice,2023,9,N_F_B,ACCESSOIRES,15,2,24.0,2,1,H2075
Ibis budget Nice,2023,9,N_F_B,ACCESSOIRES,16,3,55.0,2,2,H2075
Ibis budget Nice,2023,9,N_F_B,ACCESSOIRES,17,1,6.0,1,1,H2075
Ibis budget Nice,2023,9,N_F_B,COSMETIQUE,12,1,10.0,1,1,H2075
Ibis budget Nice,2023,9,N_F_B,COSMETIQUE,13,1,10.0,1,1,H2075
Ibis budget Nice,2023,9,N_F_B,COSMETIQUE,14,1,10.0,1,1,H2075
Ibis budget Nice,2023,9,N_F_B,PAP,10,2,22.0,2,2,H2075
Ibis budget Nice,2023,9,N_F_B,PAP,11,1,9.0,1,1,H2075
Ibis budget Nice,2023,9,N_F_B,PAP,12,1,9.0,1,1,H2075
Ibis budget Nice,2023,9,N_F_B,PAP,13,1,9.0,1,1,H2075
Ibis budget Nice,2023,9,N_F_B,PAP,15,2,22.0,2,2,H2075
Ibis budget Nice,2023,9,N_F_B,PAP,17,2,18.0,2,2,H2075
Ibis budget Nice,2023,9,N_F_B,PAP,18,1,9.0,1,1,H2075
Ibis budget Nice,2023,9,N_F_B,SOS,17,1,8.0,1,1,H2075
Ibis budget Nice,2023,10,N_F_B,ACCESSOIRES,9,2,26.0,1,1,H2075
Ibis budget Nice,2023,10,N_F_B,ACCESSOIRES,11,4,37.0,3,3,H2075
Ibis budget Nice,2023,10,N_F_B,ACCESSOIRES,12,4,36.0,4,4,H2075
Ibis budget Nice,2023,10,N_F_B,ACCESSOIRES,13,1,13.0,1,1,H2075
Ibis budget Nice,2023,10,N_F_B,ACCESSOIRES,14,2,12.0,2,2,H2075
Ibis budget Nice,2023,10,N_F_B,ACCESSOIRES,18,3,25.0,2,2,H2075
Ibis budget Nice,2023,10,N_F_B,ACCESSOIRES,20,1,12.0,1,1,H2075
Ibis budget Nice,2023,10,N_F_B,PAP,15,1,9.0,1,1,H2075
Ibis budget Nice,2023,10,N_F_B,PAP,17,1,9.0,1,1,H2075
Ibis budget Nice,2023,10,N_F_B,PAP,18,1,9.0,1,1,H2075
Ibis budget Nice,2023,10,N_F_B,PAP,19,2,18.0,2,2,H2075
Ibis budget Nice,2023,11,N_F_B,PAP,10,1,9.0,1,1,H2075
Ibis budget Nice,2024,3,N_F_B,ACCESSOIRES,9,1,10.0,1,1,H2075
