nom_hotel,annee,mois,categorie,sous_categorie,is_weekend,nombre_ventes,montant_ventes,nombre_paniers,nombre_produits,hotel_code
Ibis budget Nice,2023,8,N_F_B,ACCESSOIRES,0,22,265.0,16,11,H2075
Ibis budget Nice,2023,8,N_F_B,ACCESSOIRES,1,10,118.0,9,5,H2075
Ibis budget Nice,2023,8,N_F_B,COSMETIQUE,0,1,10.0,1,1,H2075
Ibis budget Nice,2023,8,N_F_B,PAP,0,5,52.0,5,5,H2075
Ibis budget Nice,2023,8,N_F_B,PAP,1,2,22.0,2,2,H2075
Ibis budget Nice,2023,8,N_F_B,SOS,0,1,8.0,1,1,H2075
Ibis budget Nice,2023,9,N_F_B,ACCESSOIRES,0,8,87.0,6,5,H2075
Ibis budget Nice,2023,9,N_F_B,ACCESSOIRES,1,8,99.0,7,6,H2075
Ibis budget Nice,2023,9,N_F_B,COSMETIQUE,0,2,20.0,2,1,H2075
Ibis budget Nice,2023,9,N_F_B,COSMETIQUE,1,1,10.0,1,1,H2075
Ibis budget Nice,2023,9,N_F_B,PAP,0,7,71.0,7,5,H2075
Ibis budget Nice,2023,9,N_F_B,PAP,1,3,27.0,3,3,H2075
Ibis budget Nice,2023,9,N_F_B,SOS,1,1,8.0,1,1,H2075
Ibis budget Nice,2023,10,N_F_B,ACCESSOIRES,0,10,94.0,7,5,H2075
Ibis budget Nice,2023,10,N_F_B,ACCESSOIRES,1,7,67.0,7,5,H2075
Ibis budget Nice,2023,10,N_F_B,PAP,0,3,27.0,3,2,H2075
Ibis budget Nice,2023,10,N_F_B,PAP,1,2,18.0,2,2,H2075
Ibis budget Nice,2023,11,N_F_B,PAP,0,1,9.0,1,1,H2075
Ibis budget Nice,2024,3,N_F_B,ACCESSOIRES,0,1,10.0,1,1,H2075
Ibis budget Nice,2024,3,N_F_B,ACCESSOIRES,1,1,6.0,1,1,H2075
Ibis budget Nice,2024,4,N_F_B,ACCESSOIRES,0,4,65.0,5,3,H2075
Ibis budget Nice,2024,4,N_F_B,ACCESSOIRES,1,5,52.0,4,4,H2075
Ibis budget Nice,2024,4,N_F_B,COSMETIQUE,0,1,10.0,1,1,H2075
Ibis budget Nice,2024,4,N_F_B,COSMETIQUE,1,1,10.0,1,1,H2075
Ibis budget Nice,2024,4,N_F_B,SOS,0,1,8.0,1,1,H2075
Ibis budget Nice,2024,5,F_B,SANS ALCOOL,0,27,66.5,23,8,H2075
Ibis budget Nice,2024,5,F_B,SANS ALCOOL,1,9,21.3,7,3,H2075
Ibis budget Nice,2024,5,N_F_B,ACCESSOIRES,0,5,68.0,5,5,H2075
Ibis budget Nice,2024,5,N_F_B,ACCESSOIRES,1,3,29.0,3,3,H2075
Ibis budget Nice,2024,5,N_F_B,PAP,0,8,73.0,6,7,H2075
Ibis budget Nice,2024,5,N_F_B,PAP,1,1,13.0,1,1,H2075
Ibis budget Nice,2024,6,F_B,FOOD SALEE,0,10,21.5,9,3,H2075
Ibis budget Nice,2024,6,F_B,FOOD SALEE,1,11,24.5,9,3,H2075
Ibis budget Nice,2024,6,F_B,SANS ALCOOL,0,133,309.40000000000003,98,14,H2075
Ibis budget Nice,2024,6,F_B,SANS ALCOOL,1,63,145.0,45,15,H2075
Ibis budget Nice,2024,6,N_F_B,ACCESSOIRES,0,9,83.1,9,7,H2075
Ibis budget Nice,2024,6,N_F_B,ACCESSOIRES,1,11,125.0,11,7,H2075
Ibis budget Nice,2024,6,N_F_B,COSMETIQUE,0,1,10.0,1,1,H2075
Ibis budget Nice,2024,6,N_F_B,JEUX / ENFANTS,1,1,18.0,1,1,H2075
Ibis budget Nice,2024,6,N_F_B,PAP,0,2,23.0,2,2,H2075
Ibis budget Nice,2024,6,N_F_B,PAP,1,5,66.0,5,5,H2075
Ibis budget Nice,2024,6,N_F_B,SOS,0,1,16.0,1,1,H2075
Ibis budget Nice,2024,7,F_B,FOOD SALEE,0,15,36.0,14,5,H2075
Ibis budget Nice,2024,7,F_B,FOOD SALEE,1,9,23.0,7,3,H2075
Ibis budget Nice,2024,7,F_B,SANS ALCOOL,0,208,490.20000000000005,133,16,H2075
