nom_hotel,annee,mois,nombre_ventes,montant_ventes,nombre_paniers,nombre_produits,nombre_categories_mois_f_b,nombre_categories_mois_n_f_b,pct_categories_mois_f_b,pct_categories_mois_n_f_b,nombre_mois,premier_mois,dernier_mois,mois_actifs,mois_manquants,cat_f_b_nombre_ventes,cat_nan_nombre_ventes,cat_n_f_b_nombre_ventes,cat_f_b_montant_ventes,cat_nan_montant_ventes,cat_n_f_b_montant_ventes,cat_f_b_nombre_paniers,cat_nan_nombre_paniers,cat_n_f_b_nombre_paniers,cat_f_b_nombre_produits,cat_nan_nombre_produits,cat_n_f_b_nombre_produits,sous_cat_ref_nombre_ventes,sous_cat_accessoires_nombre_ventes,sous_cat_alcool_nombre_ventes,sous_cat_cosmetique_nombre_ventes,sous_cat_food_salee_nombre_ventes,sous_cat_food_sucree_nombre_ventes,sous_cat_jeux_enfants_nombre_ventes,sous_cat_pap_nombre_ventes,sous_cat_sans_alcool_nombre_ventes,sous_cat_sos_nombre_ventes,sous_cat_souvenirs_nombre_ventes,sous_cat_nan_nombre_ventes,sous_cat_ref_montant_ventes,sous_cat_accessoires_montant_ventes,sous_cat_alcool_montant_ventes,sous_cat_cosmetique_montant_ventes,sous_cat_food_salee_montant_ventes,sous_cat_food_sucree_montant_ventes,sous_cat_jeux_enfants_montant_ventes,sous_cat_pap_montant_ventes,sous_cat_sans_alcool_montant_ventes,sous_cat_sos_montant_ventes,sous_cat_souvenirs_montant_ventes,sous_cat_nan_montant_ventes,sous_cat_ref_nombre_paniers,sous_cat_accessoires_nombre_paniers,sous_cat_alcool_nombre_paniers,sous_cat_cosmetique_nombre_paniers,sous_cat_food_salee_nombre_paniers,sous_cat_food_sucree_nombre_paniers,sous_cat_jeux_enfants_nombre_paniers,sous_cat_pap_nombre_paniers,sous_cat_sans_alcool_nombre_paniers,sous_cat_sos_nombre_paniers,sous_cat_souvenirs_nombre_paniers,sous_cat_nan_nombre_paniers,sous_cat_ref_nombre_produits,sous_cat_accessoires_nombre_produits,sous_cat_alcool_nombre_produits,sous_cat_cosmetique_nombre_produits,sous_cat_food_salee_nombre_produits,sous_cat_food_sucree_nombre_produits,sous_cat_jeux_enfants_nombre_produits,sous_cat_pap_nombre_produits,sous_cat_sans_alcool_nombre_produits,sous_cat_sos_nombre_produits,sous_cat_souvenirs_nombre_produits,sous_cat_nan_nombre_produits,heure_0_nombre_ventes,heure_1_nombre_ventes,heure_2_nombre_ventes,heure_3_nombre_ventes,heure_4_nombre_ventes,heure_5_nombre_ventes,heure_6_nombre_ventes,heure_7_nombre_ventes,heure_8_nombre_ventes,heure_9_nombre_ventes,heure_10_nombre_ventes,heure_11_nombre_ventes,heure_12_nombre_ventes,heure_13_nombre_ventes,heure_14_nombre_ventes,heure_15_nombre_ventes,heure_16_nombre_ventes,heure_17_nombre_ventes,heure_18_nombre_ventes,heure_19_nombre_ventes,heure_20_nombre_ventes,heure_21_nombre_ventes,heure_22_nombre_ventes,heure_23_nombre_ventes,heure_0_montant_ventes,heure_1_montant_ventes,heure_2_montant_ventes,heure_3_montant_ventes,heure_4_montant_ventes,heure_5_montant_ventes,heure_6_montant_ventes,heure_7_montant_ventes,heure_8_montant_ventes,heure_9_montant_ventes,heure_10_montant_ventes,heure_11_montant_ventes,heure_12_montant_ventes,heure_13_montant_ventes,heure_14_montant_ventes,heure_15_montant_ventes,heure_16_montant_ventes,heure_17_montant_ventes,heure_18_montant_ventes,heure_19_montant_ventes,heure_20_montant_ventes,heure_21_montant_ventes,heure_22_montant_ventes,heure_23_montant_ventes,heure_0_nombre_paniers,heure_1_nombre_paniers,heure_2_nombre_paniers,heure_3_nombre_paniers,heure_4_nombre_paniers,heure_5_nombre_paniers,heure_6_nombre_paniers,heure_7_nombre_paniers,heure_8_nombre_paniers,heure_9_nombre_paniers,heure_10_nombre_paniers,heure_11_nombre_paniers,heure_12_nombre_paniers,heure_13_nombre_paniers,heure_14_nombre_paniers,heure_15_nombre_paniers,heure_16_nombre_paniers,heure_17_nombre_paniers,heure_18_nombre_paniers,heure_19_nombre_paniers,heure_20_nombre_paniers,heure_21_nombre_paniers,heure_22_nombre_paniers,heure_23_nombre_paniers,heure_0_nombre_produits,heure_1_nombre_produits,heure_2_nombre_produits,heure_3_nombre_produits,heure_4_nombre_produits,heure_5_nombre_produits,heure_6_nombre_produits,heure_7_nombre_produits,heure_8_nombre_produits,heure_9_nombre_produits,heure_10_nombre_produits,heure_11_nombre_produits,heure_12_nombre_produits,heure_13_nombre_produits,heure_14_nombre_produits,heure_15_nombre_produits,heure_16_nombre_produits,heure_17_nombre_produits,heure_18_nombre_produits,heure_19_nombre_produits,heure_20_nombre_produits,heure_21_nombre_produits,heure_22_nombre_produits,heure_23_nombre_produits,weekend_0_nombre_ventes,weekend_1_nombre_ventes,weekend_0_montant_ventes,weekend_1_montant_ventes,weekend_0_nombre_paniers,weekend_1_nombre_paniers,weekend_0_nombre_produits,weekend_1_nombre_produits,holiday_0_nombre_ventes,holiday_1_nombre_ventes,holiday_0_montant_ventes,holiday_1_montant_ventes,holiday_0_nombre_paniers,holiday_1_nombre_paniers,holiday_0_nombre_produits,holiday_1_nombre_produits,hotel_code,zone_scolaire,departement,nb_jours_feries,nb_jours_vacances_scolaires,nb_jours_vacances_hors_feries,nb_jours_dans_mois,jours_feries,jours_vacances_scolaires,jours_vacances_hors_feries
Novotel Porte d’Italie,2024,1,165.5,599.115,109.25,0.0,3.0,0.5,0.875,0.125,4,9,12,4,8,159.0,6.0,0.5,559.04,39.725,0.35,124.0,4.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.5,71.5,0.0,0.0,44.0,0.5,0.0,6.0,0.0,0.0,0.0,0.0,131.6,202.69,0.0,0.0,224.75,0.35,0.0,39.725,0.0,0.0,0.0,0.0,33.75,55.25,0.0,0.0,35.0,0.5,0.0,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,2.0,8.5,2.0,2.0,0.25,3.25,1.0,0.75,1.25,3.0,7.0,4.25,3.75,4.5,5.25,10.0,9.0,7.0,9.25,14.5,10.75,17.5,20.25,69.49999999999999,7.1499999999999995,26.350000000000005,8.4,8.7,1.375,12.75,5.25,3.75,5.625,11.5,24.9,14.4,13.225000000000001,16.3,18.475,33.475,29.5075,22.7,32.425,50.824999999999996,38.35,69.19999999999999,74.9825,13.5,2.0,7.5,1.75,1.25,0.25,2.25,1.0,0.75,1.0,2.75,5.0,3.0,3.0,3.5,4.25,8.0,6.75,6.0,7.25,11.5,8.5,13.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.25,67.25,341.5,257.615,78.25,51.0,0.0,0.0,160.75,4.75,582.415,16.7,125.5,3.75,0.0,0.0,nan,,,,,,,[],[],[]
Novotel Porte d’Italie,2024,2,165.5,599.115,109.25,0.0,3.0,0.5,0.875,0.125,4,9,12,4,8,159.0,6.0,0.5,559.04,39.725,0.35,124.0,4.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.5,71.5,0.0,0.0,44.0,0.5,0.0,6.0,0.0,0.0,0.0,0.0,131.6,202.69,0.0,0.0,224.75,0.35,0.0,39.725,0.0,0.0,0.0,0.0,33.75,55.25,0.0,0.0,35.0,0.5,0.0,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,2.0,8.5,2.0,2.0,0.25,3.25,1.0,0.75,1.25,3.0,7.0,4.25,3.75,4.5,5.25,10.0,9.0,7.0,9.25,14.5,10.75,17.5,20.25,69.49999999999999,7.1499999999999995,26.350000000000005,8.4,8.7,1.375,12.75,5.25,3.75,5.625,11.5,24.9,14.4,13.225000000000001,16.3,18.475,33.475,29.5075,22.7,32.425,50.824999999999996,38.35,69.19999999999999,74.9825,13.5,2.0,7.5,1.75,1.25,0.25,2.25,1.0,0.75,1.0,2.75,5.0,3.0,3.0,3.5,4.25,8.0,6.75,6.0,7.25,11.5,8.5,13.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.25,67.25,341.5,257.615,78.25,51.0,0.0,0.0,160.75,4.75,582.415,16.7,125.5,3.75,0.0,0.0,nan,,,,,,,[],[],[]
Novotel Porte d’Italie,2024,3,165.5,599.115,109.25,0.0,3.0,0.5,0.875,0.125,4,9,12,4,8,159.0,6.0,0.5,559.04,39.725,0.35,124.0,4.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.5,71.5,0.0,0.0,44.0,0.5,0.0,6.0,0.0,0.0,0.0,0.0,131.6,202.69,0.0,0.0,224.75,0.35,0.0,39.725,0.0,0.0,0.0,0.0,33.75,55.25,0.0,0.0,35.0,0.5,0.0,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,2.0,8.5,2.0,2.0,0.25,3.25,1.0,0.75,1.25,3.0,7.0,4.25,3.75,4.5,5.25,10.0,9.0,7.0,9.25,14.5,10.75,17.5,20.25,69.49999999999999,7.1499999999999995,26.350000000000005,8.4,8.7,1.375,12.75,5.25,3.75,5.625,11.5,24.9,14.4,13.225000000000001,16.3,18.475,33.475,29.5075,22.7,32.425,50.824999999999996,38.35,69.19999999999999,74.9825,13.5,2.0,7.5,1.75,1.25,0.25,2.25,1.0,0.75,1.0,2.75,5.0,3.0,3.0,3.5,4.25,8.0,6.75,6.0,7.25,11.5,8.5,13.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.25,67.25,341.5,257.615,78.25,51.0,0.0,0.0,160.75,4.75,582.415,16.7,125.5,3.75,0.0,0.0,nan,,,,,,,[],[],[]
Novotel Porte d’Italie,2024,4,165.5,599.115,109.25,0.0,3.0,0.5,0.875,0.125,4,9,12,4,8,159.0,6.0,0.5,559.04,39.725,0.35,124.0,4.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.5,71.5,0.0,0.0,44.0,0.5,0.0,6.0,0.0,0.0,0.0,0.0,131.6,202.69,0.0,0.0,224.75,0.35,0.0,39.725,0.0,0.0,0.0,0.0,33.75,55.25,0.0,0.0,35.0,0.5,0.0,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,2.0,8.5,2.0,2.0,0.25,3.25,1.0,0.75,1.25,3.0,7.0,4.25,3.75,4.5,5.25,10.0,9.0,7.0,9.25,14.5,10.75,17.5,20.25,69.49999999999999,7.1499999999999995,26.350000000000005,8.4,8.7,1.375,12.75,5.25,3.75,5.625,11.5,24.9,14.4,13.225000000000001,16.3,18.475,33.475,29.5075,22.7,32.425,50.824999999999996,38.35,69.19999999999999,74.9825,13.5,2.0,7.5,1.75,1.25,0.25,2.25,1.0,0.75,1.0,2.75,5.0,3.0,3.0,3.5,4.25,8.0,6.75,6.0,7.25,11.5,8.5,13.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.25,67.25,341.5,257.615,78.25,51.0,0.0,0.0,160.75,4.75,582.415,16.7,125.5,3.75,0.0,0.0,nan,,,,,,,[],[],[]
Novotel Porte d’Italie,2024,5,165.5,599.115,109.25,0.0,3.0,0.5,0.875,0.125,4,9,12,4,8,159.0,6.0,0.5,559.04,39.725,0.35,124.0,4.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.5,71.5,0.0,0.0,44.0,0.5,0.0,6.0,0.0,0.0,0.0,0.0,131.6,202.69,0.0,0.0,224.75,0.35,0.0,39.725,0.0,0.0,0.0,0.0,33.75,55.25,0.0,0.0,35.0,0.5,0.0,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,2.0,8.5,2.0,2.0,0.25,3.25,1.0,0.75,1.25,3.0,7.0,4.25,3.75,4.5,5.25,10.0,9.0,7.0,9.25,14.5,10.75,17.5,20.25,69.49999999999999,7.1499999999999995,26.350000000000005,8.4,8.7,1.375,12.75,5.25,3.75,5.625,11.5,24.9,14.4,13.225000000000001,16.3,18.475,33.475,29.5075,22.7,32.425,50.824999999999996,38.35,69.19999999999999,74.9825,13.5,2.0,7.5,1.75,1.25,0.25,2.25,1.0,0.75,1.0,2.75,5.0,3.0,3.0,3.5,4.25,8.0,6.75,6.0,7.25,11.5,8.5,13.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.25,67.25,341.5,257.615,78.25,51.0,0.0,0.0,160.75,4.75,582.415,16.7,125.5,3.75,0.0,0.0,nan,,,,,,,[],[],[]
Novotel Porte d’Italie,2024,6,165.5,599.115,109.25,0.0,3.0,0.5,0.875,0.125,4,9,12,4,8,159.0,6.0,0.5,559.04,39.725,0.35,124.0,4.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.5,71.5,0.0,0.0,44.0,0.5,0.0,6.0,0.0,0.0,0.0,0.0,131.6,202.69,0.0,0.0,224.75,0.35,0.0,39.725,0.0,0.0,0.0,0.0,33.75,55.25,0.0,0.0,35.0,0.5,0.0,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,2.0,8.5,2.0,2.0,0.25,3.25,1.0,0.75,1.25,3.0,7.0,4.25,3.75,4.5,5.25,10.0,9.0,7.0,9.25,14.5,10.75,17.5,20.25,69.49999999999999,7.1499999999999995,26.350000000000005,8.4,8.7,1.375,12.75,5.25,3.75,5.625,11.5,24.9,14.4,13.225000000000001,16.3,18.475,33.475,29.5075,22.7,32.425,50.824999999999996,38.35,69.19999999999999,74.9825,13.5,2.0,7.5,1.75,1.25,0.25,2.25,1.0,0.75,1.0,2.75,5.0,3.0,3.0,3.5,4.25,8.0,6.75,6.0,7.25,11.5,8.5,13.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.25,67.25,341.5,257.615,78.25,51.0,0.0,0.0,160.75,4.75,582.415,16.7,125.5,3.75,0.0,0.0,nan,,,,,,,[],[],[]
Novotel Porte d’Italie,2024,7,165.5,599.115,109.25,0.0,3.0,0.5,0.875,0.125,4,9,12,4,8,159.0,6.0,0.5,559.04,39.725,0.35,124.0,4.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.5,71.5,0.0,0.0,44.0,0.5,0.0,6.0,0.0,0.0,0.0,0.0,131.6,202.69,0.0,0.0,224.75,0.35,0.0,39.725,0.0,0.0,0.0,0.0,33.75,55.25,0.0,0.0,35.0,0.5,0.0,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,2.0,8.5,2.0,2.0,0.25,3.25,1.0,0.75,1.25,3.0,7.0,4.25,3.75,4.5,5.25,10.0,9.0,7.0,9.25,14.5,10.75,17.5,20.25,69.49999999999999,7.1499999999999995,26.350000000000005,8.4,8.7,1.375,12.75,5.25,3.75,5.625,11.5,24.9,14.4,13.225000000000001,16.3,18.475,33.475,29.5075,22.7,32.425,50.824999999999996,38.35,69.19999999999999,74.9825,13.5,2.0,7.5,1.75,1.25,0.25,2.25,1.0,0.75,1.0,2.75,5.0,3.0,3.0,3.5,4.25,8.0,6.75,6.0,7.25,11.5,8.5,13.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.25,67.25,341.5,257.615,78.25,51.0,0.0,0.0,160.75,4.75,582.415,16.7,125.5,3.75,0.0,0.0,nan,,,,,,,[],[],[]
Novotel Porte d’Italie,2024,8,165.5,599.115,109.25,0.0,3.0,0.5,0.875,0.125,4,9,12,4,8,159.0,6.0,0.5,559.04,39.725,0.35,124.0,4.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.5,71.5,0.0,0.0,44.0,0.5,0.0,6.0,0.0,0.0,0.0,0.0,131.6,202.69,0.0,0.0,224.75,0.35,0.0,39.725,0.0,0.0,0.0,0.0,33.75,55.25,0.0,0.0,35.0,0.5,0.0,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,2.0,8.5,2.0,2.0,0.25,3.25,1.0,0.75,1.25,3.0,7.0,4.25,3.75,4.5,5.25,10.0,9.0,7.0,9.25,14.5,10.75,17.5,20.25,69.49999999999999,7.1499999999999995,26.350000000000005,8.4,8.7,1.375,12.75,5.25,3.75,5.625,11.5,24.9,14.4,13.225000000000001,16.3,18.475,33.475,29.5075,22.7,32.425,50.824999999999996,38.35,69.19999999999999,74.9825,13.5,2.0,7.5,1.75,1.25,0.25,2.25,1.0,0.75,1.0,2.75,5.0,3.0,3.0,3.5,4.25,8.0,6.75,6.0,7.25,11.5,8.5,13.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.25,67.25,341.5,257.615,78.25,51.0,0.0,0.0,160.75,4.75,582.415,16.7,125.5,3.75,0.0,0.0,nan,,,,,,,[],[],[]
Novotel Porte d’Italie,2024,9,40.0,150.8,31.0,0.0,3.0,0.0,1.0,0.0,4,9,12,4,8,40.0,0.0,0.0,150.8,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,17.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,46.3,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,5.0,8.0,4.0,0.0,10.0,0.0,18.1,0.0,0.0,0.0,2.6,0.0,5.0,5.0,13.9,0.0,2.9,6.0,0.0,0.0,10.0,2.5,7.3,0.0,21.0,28.5,18.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,5.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,32.0,27.8,123.0,7.0,25.0,0.0,0.0,40.0,0.0,150.8,0.0,32.0,0.0,0.0,0.0,nan,,,,,,,[],[],[]
Novotel Porte d’Italie,2024,10,244.0,868.9,156.0,0.0,3.0,0.0,1.0,0.0,4,9,12,4,8,231.0,13.0,0.0,785.5,83.4,0.0,175.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,112.0,0.0,0.0,59.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,167.4,318.6,0.0,0.0,299.5,0.0,0.0,83.4,0.0,0.0,0.0,0.0,48.0,84.0,0.0,0.0,43.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,2.0,15.0,4.0,8.0,0.0,5.0,1.0,1.0,0.0,2.0,16.0,5.0,8.0,8.0,9.0,21.0,18.0,9.0,11.0,20.0,20.0,17.0,19.0,89.3,7.6,47.7,18.1,34.8,0.0,18.0,5.0,5.0,0.0,4.8,59.599999999999994,13.600000000000001,26.1,25.9,27.3,74.80000000000001,61.9,22.7,42.6,75.3,66.80000000000001,69.2,72.8,18.0,2.0,13.0,3.0,5.0,0.0,3.0,1.0,1.0,0.0,2.0,10.0,3.0,6.0,6.0,8.0,17.0,14.0,7.0,8.0,16.0,15.0,11.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,87.0,517.2,351.7,120.0,65.0,0.0,0.0,244.0,0.0,868.9,0.0,185.0,0.0,0.0,0.0,nan,,,,,,,[],[],[]
