NOM BOUTIQUE,OPERATEUR,MACHINE,DATE,HEURE,STATUT,CODE EAN,NOM DU PRODUIT,QUANTITE,PRIX HT,VAT,PRIX TTC,TYPE,GAMME,MARQUE,FOURNISSEUR,ORDER ID (TICKET DE CAISSE),TEMPERATURE,METEO DU JOUR (MOYENNE),METEO DU MOIS (MOYENNE)
Ibis budget Nice,ADIPOS,SCANNER NICE,2023-08-10,12:04:22.555,DONE,3583787508251,TONGS FEMME 100 NOIR,1,"",20.0000000000000000,6.0000000000000000,NON-F&B,ACCESSOIRES,DECATHLON,DECATHLON,9281,23.1,"",""
Ibis budget Nice,ADIPOS,SCANNER NICE,2023-08-10,18:32:38.901,DONE,3608439285448,CASQUETTE ENFANT -MH100,1,"",20.0000000000000000,12.0000000000000000,NON-F&B,ACCESSOIRES,DECATHLON,DECATHLON,9282,23.1,"",""
Ibis budget Nice,ADIPOS,SCANNER NICE,2023-08-11,12:11:15.59,DONE,3583788165002,MASQUE EASYBREATH DE SURFACE ADULTE - 500 BLEU,1,"",20.0000000000000000,29.0000000000000000,NON-F&B,ACCESSOIRES,DECATHLON,DECATHLON,9283,24.6,"",""
Ibis budget Nice,ADIPOS,SCANNER NICE,2023-08-12,12:50:46.708,DONE,3583787810484,LUNETTES DE NATATION VERRES CLAIRS XBASE TAILLE S ROSE,1,"",20.0000000000000000,6.0000000000000000,NON-F&B,ACCESSOIRES,DECATHLON,DECATHLON,9284,26.4,"",""
Ibis budget Nice,ADIPOS,SCANNER NICE,2023-08-12,17:00:42.96,DONE,3583787229026,BOARDSHORT HENDAIA ECO NT BLEU,1,"",20.0000000000000000,9.0000000000000000,NON-F&B,PAP,DECATHLON,DECATHLON,9285,26.4,"",""
Ibis budget Nice,ADIPOS,SCANNER NICE,2023-08-13,11:40:04.761,DONE,3583787508251,TONGS FEMME 100 NOIR,1,"",20.0000000000000000,6.0000000000000000,NON-F&B,ACCESSOIRES,DECATHLON,DECATHLON,9286,25.4,"",""
Ibis budget Nice,ADIPOS,SCANNER NICE,2023-08-13,13:43:48.323,DONE,3583787791523,MF COMPACT XL TOWEL BLUE PETROL,1,"",20.0000000000000000,15.0000000000000000,NON-F&B,ACCESSOIRES,DECATHLON,DECATHLON,9287,25.4,"",""
Ibis budget Nice,ADIPOS,SCANNER NICE,2023-08-13,16:15:52.677,DONE,3583787791523,MF COMPACT XL TOWEL BLUE PETROL,1,"",20.0000000000000000,15.0000000000000000,NON-F&B,ACCESSOIRES,DECATHLON,DECATHLON,9288,25.4,"",""
Ibis budget Nice,ADIPOS,SCANNER NICE,2023-08-13,16:15:52.677,DONE,3583787218167,SERVIETTE DE BAIN MICROFIBRE ORANGE TAILLE XL 110 X 175 CM,1,"",20.0000000000000000,13.0000000000000000,NON-F&B,ACCESSOIRES,DECATHLON,DECATHLON,9288,25.4,"",""
Ibis budget Nice,ADIPOS,SCANNER NICE,2023-08-15,11:29:38.485,DONE,3583787218167,SERVIETTE DE BAIN MICROFIBRE ORANGE TAILLE XL 110 X 175 CM,1,"",20.0000000000000000,13.0000000000000000,NON-F&B,ACCESSOIRES,DECATHLON,DECATHLON,9289,26.5,"",""
Ibis budget Nice,ADIPOS,SCANNER NICE,2023-08-16,16:51:54.972,DONE,3583787573518,SPRAY RÉPULSIF ANTI MOUSTIQUE ET TIQUE ICARIDINE - 60 ML,1,"",20.0000000000000000,8.0000000000000000,NON-F&B,SOS,DECATHLON,DECATHLON,9290,26.1,"",""
Ibis budget Nice,ADIPOS,SCANNER NICE,2023-08-17,10:10:20.261,DONE,3583787791523,MF COMPACT XL TOWEL BLUE PETROL,1,"",20.0000000000000000,15.0000000000000000,NON-F&B,ACCESSOIRES,DECATHLON,DECATHLON,9291,26,"",""
Ibis budget Nice,ADIPOS,SCANNER NICE,2023-08-17,10:29:09.893,DONE,3608390167579,MASQUE PLONGÉE ENFANT - 100 CONFORT MENTHE PASTEL,1,"",20.0000000000000000,15.0000000000000000,NON-F&B,ACCESSOIRES,DECATHLON,DECATHLON,9292,26,"",""
Ibis budget Nice,ADIPOS,SCANNER NICE,2023-08-17,10:29:09.893,DONE,3583788164999,MASQUE EASYBREATH DE SURFACE ADULTE - 500 BLEU,1,"",20.0000000000000000,29.0000000000000000,NON-F&B,ACCESSOIRES,DECATHLON,DECATHLON,9292,26,"",""
Ibis budget Nice,ADIPOS,SCANNER NICE,2023-08-17,17:43:17.243,DONE,3583787218167,SERVIETTE DE BAIN MICROFIBRE ORANGE TAILLE XL 110 X 175 CM,1,"",20.0000000000000000,13.0000000000000000,NON-F&B,ACCESSOIRES,DECATHLON,DECATHLON,9293,26,"",""
