hotel_id,month,TYPE,GAMME,avg_montant,avg_nbr_ventes,nb_years_used,nb_observations
ibis-budget-nice,1,F&B,FOOD SALEE,28.5,10.0,1,1
ibis-budget-nice,1,F&B,FOOD SUCREE,25.0,12.0,1,1
ibis-budget-nice,1,F&B,SANS ALCOOL,258.1,78.0,1,1
ibis-budget-nice,1,NON-F&B,ACCESSOIRES,20.0,2.0,1,1
ibis-budget-nice,1,NON-F&B,SOS,14.0,1.0,1,1
ibis-budget-nice,2,F&B,FOOD SALEE,20.0,6.0,1,1
ibis-budget-nice,2,F&B,FOOD SUCREE,17.5,8.0,1,1
ibis-budget-nice,2,F&B,SANS ALCOOL,214.8,65.0,1,1
ibis-budget-nice,2,NON-F&B,ACCESSOIRES,10.0,1.0,1,1
ibis-budget-nice,2,NON-F&B,PAP,6.0,1.0,1,1
ibis-budget-nice,3,F&B,FOOD SALEE,19.5,7.0,1,1
ibis-budget-nice,3,F&B,FOOD SUCREE,41.0,18.0,1,1
ibis-budget-nice,3,F&B,SANS ALCOOL,518.1,170.0,1,1
ibis-budget-nice,3,NON-F&B,#REF!,22.0,2.0,1,1
ibis-budget-nice,3,NON-F&B,ACCESSOIRES,20.5,2.0,2,2
ibis-budget-nice,4,F&B,FOOD SALEE,55.5,15.0,1,1
ibis-budget-nice,4,F&B,FOOD SUCREE,39.6,16.0,1,1
ibis-budget-nice,4,F&B,SANS ALCOOL,498.1,158.0,1,1
ibis-budget-nice,4,NON-F&B,#REF!,12.0,1.0,1,1
ibis-budget-nice,4,NON-F&B,ACCESSOIRES,130.55,9.0,2,2
ibis-budget-nice,4,NON-F&B,COSMETIQUE,14.5,1.5,2,2
ibis-budget-nice,4,NON-F&B,PAP,44.0,3.0,1,1
ibis-budget-nice,4,NON-F&B,SOS,11.0,1.0,2,2
ibis-budget-nice,5,F&B,FOOD SALEE,70.5,14.0,1,1
ibis-budget-nice,5,F&B,SANS ALCOOL,453.75,127.0,2,2
ibis-budget-nice,5,NON-F&B,#REF!,167.0,13.0,1,1
ibis-budget-nice,5,NON-F&B,ACCESSOIRES,152.0,12.5,2,2
ibis-budget-nice,5,NON-F&B,JEUX / ENFANTS,18.0,1.0,1,1
ibis-budget-nice,5,NON-F&B,PAP,68.0,6.0,2,2
ibis-budget-nice,5,NON-F&B,SOS,14.0,1.0,1,1
ibis-budget-nice,6,F&B,FOOD SALEE,56.75,18.5,2,2
ibis-budget-nice,6,F&B,SANS ALCOOL,674.3000000000001,192.5,2,2
ibis-budget-nice,6,NON-F&B,#REF!,295.0,19.0,1,1
ibis-budget-nice,6,NON-F&B,ACCESSOIRES,214.05,23.5,2,2
ibis-budget-nice,6,NON-F&B,COSMETIQUE,10.0,1.0,1,1
ibis-budget-nice,6,NON-F&B,JEUX / ENFANTS,27.0,1.5,2,2
ibis-budget-nice,6,NON-F&B,PAP,101.0,9.0,2,2
ibis-budget-nice,6,NON-F&B,SOS,12.0,1.0,2,2
ibis-budget-nice,7,F&B,FOOD SALEE,90.0,27.5,2,2
ibis-budget-nice,7,F&B,SANS ALCOOL,740.6,205.0,2,2
ibis-budget-nice,7,NON-F&B,#REF!,425.0,26.0,1,1
ibis-budget-nice,7,NON-F&B,ACCESSOIRES,195.25,20.5,2,2
ibis-budget-nice,7,NON-F&B,COSMETIQUE,20.0,2.0,1,1
ibis-budget-nice,7,NON-F&B,JEUX / ENFANTS,45.0,2.5,2,2
ibis-budget-nice,7,NON-F&B,PAP,74.0,7.0,2,2
ibis-budget-nice,7,NON-F&B,SOS,8.0,1.0,1,1
ibis-budget-nice,8,F&B,FOOD SALEE,65.0,16.0,2,2
ibis-budget-nice,8,F&B,SANS ALCOOL,816.4000000000001,219.0,2,2
ibis-budget-nice,8,NON-F&B,#REF!,360.0,29.0,1,1
ibis-budget-nice,8,NON-F&B,ACCESSOIRES,365.0,26.333333333333332,3,3
ibis-budget-nice,8,NON-F&B,COSMETIQUE,19.5,2.0,2,2
ibis-budget-nice,8,NON-F&B,JEUX / ENFANTS,45.0,2.5,2,2
ibis-budget-nice,8,NON-F&B,PAP,47.0,4.5,2,2
ibis-budget-nice,8,NON-F&B,SOS,8.0,1.0,1,1
ibis-budget-nice,9,F&B,FOOD SALEE,65.5,22.0,2,2
ibis-budget-nice,9,F&B,FOOD SUCREE,47.5,21.0,1,1
ibis-budget-nice,9,F&B,SANS ALCOOL,595.1500000000001,170.5,2,2
ibis-budget-nice,9,NON-F&B,#REF!,424.0,31.0,1,1
ibis-budget-nice,9,NON-F&B,ACCESSOIRES,189.66666666666666,18.333333333333332,3,3
ibis-budget-nice,9,NON-F&B,COSMETIQUE,20.0,2.0,2,2
ibis-budget-nice,9,NON-F&B,PAP,63.333333333333336,6.333333333333333,3,3
ibis-budget-nice,9,NON-F&B,SOS,8.0,1.0,1,1
ibis-budget-nice,10,F&B,FOOD SALEE,61.0,20.0,2,2
ibis-budget-nice,10,F&B,FOOD SUCREE,40.0,14.0,1,1
ibis-budget-nice,10,F&B,SANS ALCOOL,470.15,135.5,2,2
ibis-budget-nice,10,NON-F&B,#REF!,116.0,10.0,1,1
ibis-budget-nice,10,NON-F&B,ACCESSOIRES,138.0,12.666666666666666,3,3
ibis-budget-nice,10,NON-F&B,PAP,36.666666666666664,4.0,3,3
ibis-budget-nice,10,NON-F&B,SOS,56.0,3.0,1,1
ibis-budget-nice,11,F&B,FOOD SALEE,29.5,9.5,2,2
ibis-budget-nice,11,F&B,FOOD SUCREE,20.5,13.0,1,1
ibis-budget-nice,11,F&B,SANS ALCOOL,296.40000000000003,88.5,2,2
ibis-budget-nice,11,NON-F&B,#REF!,84.0,7.0,1,1
ibis-budget-nice,11,NON-F&B,ACCESSOIRES,12.0,2.0,2,2
ibis-budget-nice,11,NON-F&B,PAP,7.5,1.0,2,2
ibis-budget-nice,11,,,6.0,2.0,1,1
ibis-budget-nice,12,F&B,FOOD SALEE,18.5,6.5,2,2
ibis-budget-nice,12,F&B,FOOD SUCREE,26.5,9.0,1,1
ibis-budget-nice,12,F&B,SANS ALCOOL,253.20000000000002,71.0,2,2
ibis-budget-nice,12,NON-F&B,#REF!,32.0,3.0,1,1
ibis-budget-nice,12,NON-F&B,ACCESSOIRES,18.5,2.0,2,2
ibis-budget-nice,12,NON-F&B,PAP,16.0,1.0,1,1
ibis-budget-nice,12,NON-F&B,SOS,4.0,1.0,1,1
ibis-budget-nice,12,,,58.0,17.0,1,1
ibis-budget-strasbourg,1,F&B,FOOD SALEE,82.5,18.0,1,1
ibis-budget-strasbourg,1,F&B,FOOD SUCREE,176.0,41.0,1,1
ibis-budget-strasbourg,1,F&B,SANS ALCOOL,442.0,109.0,1,1
ibis-budget-strasbourg,2,F&B,FOOD SALEE,85.0,16.0,1,1
ibis-budget-strasbourg,2,F&B,FOOD SUCREE,193.5,28.0,1,1
ibis-budget-strasbourg,2,F&B,SANS ALCOOL,466.5,85.0,1,1
ibis-budget-strasbourg,3,F&B,FOOD SALEE,166.5,19.0,1,1
ibis-budget-strasbourg,3,F&B,FOOD SUCREE,320.0,65.0,1,1
ibis-budget-strasbourg,3,F&B,SANS ALCOOL,438.0,121.0,1,1
