,,,,,,,,,,,,,,,
,,,,,,,,,IBIS BUDGET,,IBIS STYLES,NOVOTEL,,MERCURE,
ETAPE ROD,SOUS-ETAPE ROD,DATA,DÉJÀ DANS ROD AU MOMENT OU LE USER SE CONNECTE ?,"ACCOR API
PORTFOLIO ?","BDD ACCOR
(SOURCE)",LE USER PEUT MODIFIER DANS ROD ?,"DATA EXPLOITEE
DANS LA SIMULATION ACTUELLEMENT ?",COMMENTAIRE THOMAS (INNOLAB),NICE,STRASBOURG,PARIS CDG,MEGEVE,TOUR EIFFEL,MONTMARTRE,BOULOGNE
0 - PAGE DE CONNEXION,ID,CODE H,NON,API Portfolio,360 Hotel Referential,OUI,N/A,Complété par le user au moment de la connexion,H2075,HB6A3,H0815,HB5I0,H3546,H0373,H6188
,,NOM DE L'HOTEL,OUI,API Portfolio,360 Hotel Referential,NON,N/A,Remonte automatiquement,IBIS BUDGET NICE CALIFORNIE,IBIS BUDGET STRASBOURG REPUBLIQUE,IBIS STYLES ROISSY CDG,NOVOTEL MEGEVE MONT BLANC,NOVOTEL PARIS CENTRE TOUR EIFFEL,MERCURE MONTMARTRE SACRE COEUR,MERCURE PARIS BOULOGNE
,LOCALISATION GEO,ADRESSE POSTALE (1),N/A,API Portfolio,360 Hotel Referential,N/A,NON,Pourrait être utilisé par l'IA pour affiner la recommandation d'un concept de corner de vente,58-60 AVENUE DE LA CALIFORNIE,23A RUE OBERLIN,2 AVENUE HEINZ GLOOR,1306 ROUTE NATIONALE,61 QUAI DE GRENELLE,3  RUE CAULAINCOURT,37 PLACE RENÉ CLAIR
,,ADRESSE POSTALE (2),N/A,API Portfolio,360 Hotel Referential,N/A,NON,Pourrait être utilisé par l'IA pour affiner la recommandation d'un concept de corner de vente,-,-,-,LE DOMAINE DE MEZTIVA,-,-,-
,,ADRESSE POSTALE (3),N/A,API Portfolio,360 Hotel Referential,N/A,NON,Pourrait être utilisé par l'IA pour affiner la recommandation d'un concept de corner de vente,-,-,-,-,-,-,-
,,CODE POSTAL,N/A,API Portfolio,360 Hotel Referential,N/A,NON,Pourrait être utilisé par l'IA pour affiner la recommandation d'un concept de corner de vente,06200,67000,95700,74120,75015,75018,92100
,,VILLE,N/A,API Portfolio,360 Hotel Referential,N/A,NON,Pourrait être utilisé par l'IA pour affiner la recommandation d'un concept de corner de vente,NICE,STRASBOURG,ROISSY,MEGEVE,PARIS,PARIS,BOULOGNE-BILLANCOURT
,,LONGITUDE,N/A,API Portfolio,Export à la demande,N/A,NON,Pourrait être utilisé par l'IA pour affiner la recommandation d'un concept de corner de vente,7.240512,7.754599,2.519843,6.619055271,2.282836,2.329923,2.256274
