TYPE,GAMME,nb_lignes,nb_produits_distincts,top_produits,top_marques
F&B,ALCOOL,1727,28,Bière Heineken (25cl) (581) ; Grand vin Mercure (254) ; Bière Gallia (25cl) (246) ; Champagne demi bouteille (189) ; Heineken  (136) ; Gallia (49) ; Demi bouteille de vin (34) ; Moulin à vent demi bouteille  (27) ; Vin Demi Blanc (23) ; Bouteille de vin (18) ; BIERE BACCHANTE BLANCHE ETERNELLE (17) ; BIERE BACCHANTE MEGEVANNE DOREE (16),HEINEKEN (717) ; - (343) ; GALLIA (295) ; MERCURE (254) ; BACCHANTE (48) ;  -  (35) ; DUVEL (14) ; LA DEBAUCHE (13)
F&B,FOOD SALEE,13312,151,CHIPS NATURE SEL GUERANDE 90g (1628) ; CHIPS DE POULET ROTI 45g (1467) ; Chips (90g) (599) ; CLUB JAMBON BEURRE FLEUR DE SEL DE GUÉRANDE SALADE (582) ; BURGER BISTROT BŒUF CHAROLAIS (565) ; CLUB POULET MAYONNAISE (560) ; SPAGHETTI ALLA BOLOGNESE (502) ; WRAP VEGGIE ŒUF PARMESAN TOMATES (469) ; CLUB THON A LA NICOISE (378) ; CHIPS DE POMME NATURE (358) ; RAVIOLI RICOTTA EPINARD A LA FIORENTINA (347) ; GNOCHI CACIO E PEPE (305), -  (9872) ; - (1154) ; SODEBO (457) ; LAYS (357) ; BEENDI (312) ; MONOPRIX (245) ; BRETS (220) ; TUC (177)
F&B,FOOD SUCREE,15915,163,"TWIX 50g (1182) ; KINDER BUENO 43g (1149) ; SNICKERS 50g (1072) ; LION 42g (1057) ; M&M'S 45g (1013) ; TOBLERON LAIT 50G (795) ; Barre chocolatée (ex : Mars, Twix, Lion...) (737) ; MARS 51g (623) ; BOUNTY 57g (595) ; YAOURT FRAISE FRAMBOISE (413) ; YAOURT NATURE 125G (295) ; MOUSSE AU CHOCOLAT A L'ANCIENNE (291)", -  (2137) ; - (1682) ; KINDER (1612) ; TWIX (1444) ; M&M'S (1360) ; SNICKERS (1280) ; LION (1154) ; HARIBO (894)
F&B,SANS ALCOOL,44249,130,VITTEL 50cl (7463) ; COCA COLA ZERO  33CL (3717) ; COCA COLA 33CL (3334) ; L'EAU NEUVE 50CL (1916) ; SAN PELLEGRINO  50cl (1895) ; L'Eau Neuve (50cl) (1750) ; SPRITE  33CL (1485) ; Vittel en verre (50cl) (1419) ; ORANGINA   33CL (1146) ; FUZE TEA 33cl (1013) ; EVIAN 33 CL (1007) ; FANTA ORANGE  33CL (967),COCA COLA (10511) ; VITTEL (9830) ; EAU NEUVE (4928) ; SAN PELLEGRINO (2872) ; PERRIER (2012) ; SPRITE (1786) ; ORANGINA (1521) ; FUZE TEA (1510)
F&B,SOUVENIRS,38,8,Peluche Chamois (12) ; Confiture Parisienne (7) ; La French Baguette (7) ; Glacons De Megeve (6) ; Miel de Fleurs Crémeux 140g (3) ; Miel de Sapin 140g (1) ; Grelots Aux Beaufort (1) ; Crozet de Savoie au Sarrasin 320g (1),MONOPRIX (14) ; - (12) ; DIVERS (12)
NON-F&B,#REF!,444,53,Cable de recharge (67) ; serviette de plage bleue 145 x 85 cm (44) ; Trousse de toilette Femme (38) ; Peluche Ourson (32) ; Peluche Stitch (25) ; Echarpe Mickey / Scarf  (23) ; Tot Bag Mickey  (22) ; Trousse de toilette Homme (13) ; GRAND PARAPLUIE NOIR ET GRIS (12) ; Casquette Adulte Grise (11) ; Gel Hydroalcoolique (11) ; CHAUSSURES AQUATIQUES ADULTE - AQUASHOES 100 GRI 44-45  UK 9.5-10.5 (10),DECATHLON (212) ; - (90) ; DISNEY (79) ; MONOPRIX (41) ; KUMQUAT (22)
NON-F&B,ACCESSOIRES,586,56,TONGS HOMME TO 100 NOIR (56) ; TONGS FEMME 100 NOIR (54) ; Chaussette Mickey / Socks (44) ; Lunettes de natation (36) ; MF COMPACT XL TOWEL BLUE PETROL (26) ; Trousse de toilette Homme (25) ; Bonnet Mickey / Cap (24) ; SERVIETTE DE PLAGE VERTE XL (20) ; CHAUSSURES AQUATIQUES ADULTE - AQUASHOES 100 GRI 38-39   UK 5-5.5 (18) ; Rains Hillo Week End Bag Medium  (18) ; Rains Hillo Week End Small  (17) ; SERVIETTE DE BAIN MICROFIBRE ORANGE TAILLE XL 110 X 175 CM (15),DECATHLON (476) ; DISNEY (68) ; RAINS (40) ; KUMQUAT (2)
NON-F&B,COSMETIQUE,383,48,SPRAY FACIAL FACIAL BRUMISATEUR (64) ; Trousse de voyage (46) ; Baume à levre (39) ; Rituals Gel Douche Moussant (26) ; RitualsSmall Gift Set (19) ; Spray facial Brumisateur Evian (19) ; Baume Lévres karité BIO (13) ; SPRAY PROTECTION SOLAIRE ACTIVE SPF 30 50 ML (12) ; Rituals Body Cream (12) ; Rituals Gift Set L (11) ; Parfum Mercure (9) ; Crème solaire Corinne de Farme 50  (9),MONOPRIX (84) ; RITUALS (83) ;  -  (83) ; - (46) ; NUXE (34) ; RESPIRE (15) ; DECATHLON (14) ; NIVEA (13)
NON-F&B,JEUX / ENFANTS,420,62,"Peluche Mickey Small (54) ; Mes coloriages avec stickers, Stitch (34) ; Ou ce cache Stitch (29) ; Mes coloriages avec stickers, Encanto la fantastique famille Madrigal (25) ; Mes coloriages avec stickers (22) ; Le roi Lion, ou ce cache Simba ? (20) ; Les deux font la paire (17) ; Héros et Vilains, qui suis-je (16) ; Mes coloriages avec stickers - Vice-Versa 2 (16) ; Peluche Mini (14) ; Bouée piscine gonflable imprimée grande taille 92 cm avec poignées (14) ; Peluche Mickey (13)",DISNEY (299) ; MONOPRIX (74) ; LEGO (15) ; DECATHLON (14) ; UNO (5) ; MIKADO (5) ; RUBIKS CUBE (3) ; QUI EST CE (3)
NON-F&B,PAP,290,50,T-shirt Blanc Mickey / White T-shirt (64) ; BOARDSHORT HENDAIA ECO NT BLEU (60) ; Pull Blanc Mickey/ White Pullover (43) ; Pull Vert Mickey/ Green Pullover (34) ; MAILLOT DE BAIN DE NATATION 1 PIÈCE FEMME HEVA U NOIR (9) ; MAILLOT DE BAIN NATATION GARÇON - BOXER 100 BASIC - BLEU (5) ; MAILLOT DE BAIN NATATION GARÇON - SWIMSHORT 100 BASIC - MARINE (4) ; Boxer de bain natation garçon speedo imprime bleu - 12 ans (4) ; SHORT BLEU MARINE L (4) ; MAILLOT DE BAIN DE NATATION 1 PIÈCE FILLE BASIC VIOLET (3) ; Boxer de bain natation garçon speedo imprime bleu - 8 ans (3) ; polaire grise Homme taille XL (3),DECATHLON (147) ; DISNEY (143)
NON-F&B,SOS,7414,61,GOURDE (1319) ; ADAPTATEUR UNIVERSEL (970) ; KIT DENTAIRE COLGATE (834) ; Gourde en verre Novotel (768) ; GOURDE EN VERRE NOVOTEL (704) ; Gourde (567) ; Kit Dentaire Colgate (447) ; Adaptateur Universel (373) ; KIT RASAGE (340) ; SERVIETTES LOVE & GREEN BIO X 2 (164) ; PARAPLUIE POCKET (151) ; Kit Rasage (117), -  (3942) ; NOVOTEL (1659) ; COLGATE (1281) ; LOVE & GREEN (242) ; MONOPRIX (124) ; - (119) ; MERCURE (25) ; DECATHLON (12)
NON-F&B,SOUVENIRS,142,19,"Carte Postale  (79) ; Bougie Fleurs d'alpage (7) ; Mug (7) ; Bougie Fruits d'altitude (6) ; Pochette en tissu ""Paris mon amour"" (6) ; Bougie Lac & Montagne (6) ; Tote-bag parisienne (6) ; Bougie Feu de bois  (5) ; Bougie Cascade (4) ; Le Béret Français - BLEU ROYAL (extensible tour de tête 55 à 62 cm) (3) ; Le Béret Français - ECRU (extensible tour de tête 55 à 62 cm) (3) ; Le Béret Français - ROUGE (extensible tour de tête 55 à 62 cm) (2)",- (118) ; MONOPRIX (23) ; DIVERS (1)
,,754,73,SAN BENDETTO GAZEUSE (124) ; SAN BENDETTO  PLATE (98) ; Boites De Biscuits 240g (43) ; Porte clé - Novotel (38) ; Peluche porte Clés (28) ; Petite Boite De Biscuits 120g (24) ; Peluche Marmotte (21) ; Minute Maid Pomme (20) ; Chips du Crétin (19) ; Peluche ECUREUIL (19) ; Sachets de Bonbons - Colliers (18) ; Mini Tarte à la Myrtille 300g (15),
