file,sheet,max_row,max_col,non_empty,formula_count,comment_count,note
2026.02.Fevrier-ExportAccor(1).xlsx,Result 1,3492,20,66245,0,0,
2026.02.Fevrier-ExportAccor(1).xlsx,Query,1,1,1,0,0,
Analyse du poids des catégories de produit (2024-2025)(1).xlsm,BASE,?,38,?,see xml,?,xlsm huge; formulas parsed from XML
Analyse du poids des catégories de produit (2024-2025)(1).xlsm,Détails1,?,?,?,see xml,?,xlsm huge; formulas parsed from XML
Analyse du poids des catégories de produit (2024-2025)(1).xlsm,Feuil1,?,721,?,see xml,?,xlsm huge; formulas parsed from XML
ROD - Paramètres & règles + projections nb. d'hôtels(1).xlsx,REGLES POUR RECO DU CONCEPT,62,21,203,76,0,
ROD - Paramètres & règles + projections nb. d'hôtels(1).xlsx,NB CH 1,40,2,78,0,0,
ROD - Paramètres & règles + projections nb. d'hôtels(1).xlsx,NB CH 2,62,4,171,56,0,
ROD - Paramètres & règles + projections nb. d'hôtels(1).xlsx,RESTO 1,9,6,42,0,0,
ROD - Paramètres & règles + projections nb. d'hôtels(1).xlsx,RESTO 2,8,13,67,26,0,
ROD - Paramètres & règles + projections nb. d'hôtels(1).xlsx,BAR 1,9,6,39,0,0,
ROD - Paramètres & règles + projections nb. d'hôtels(1).xlsx,BAR 2,8,13,63,25,0,
ROD - Paramètres & règles + projections nb. d'hôtels(1).xlsx,CRITERES POUR PANEL,9,5,24,0,0,
ROD - Paramètres & règles + projections nb. d'hôtels(1).xlsx,TESTS SIMPLY,33,28,269,4,0,
ROD - Paramètres & règles + projections nb. d'hôtels(1).xlsx,TESTS LIBERTY,33,35,338,5,0,
ROD - Paramètres & règles + projections nb. d'hôtels(1).xlsx,TESTS CONNECTED,35,35,292,5,0,
ROD - Paramètres & règles + projections nb. d'hôtels(1).xlsx,CORRECTIONS ND,12,2,10,0,0,
ROD - Paramètres & règles + projections nb. d'hôtels(1).xlsx,DATA,39,10,191,0,0,
ROD - Paramètres & règles + projections nb. d'hôtels(1).xlsx,PROTOTYPE,170,28,233,0,0,
ROD - Simulateurs + détail des coûts(1).xlsx,SIMULATEUR SIMPLY,187,20,401,135,1,
ROD - Simulateurs + détail des coûts(1).xlsx,SIMULATEUR LIBERTY,187,20,401,135,1,
ROD - Simulateurs + détail des coûts(1).xlsx,SIMULATEUR CONNECTED,187,22,406,133,1,
ROD - Simulateurs + détail des coûts(1).xlsx,COUTS - TECHNOS,36,25,230,69,0,
ROD - Simulateurs + détail des coûts(1).xlsx,COUTS - ANNEXES,24,18,166,51,0,
ROD - Simulateurs + détail des coûts(1).xlsx,COUTS - AGENCEMENT,37,30,763,532,0,
ROD - Simulateurs + détail des coûts(1).xlsx,REVENUS - MIX & MARGES,18,15,67,17,0,
ROD - Simulateurs + détail des coûts(1).xlsx,REVENUS - IMPACT TO,13,27,95,21,0,
Récapitulatif de l'ensemble des données ROD enrichies(2).xlsx,RECAP DATA ROD,145,17,1507,0,0,
Récapitulatif de l'ensemble des données ROD.xlsx,RECAP DATA ROD,137,17,1605,14,0,
Récapitulatif de l'ensemble des données ROD.xlsx,Feuille2,8,131,729,14,0,
Récapitulatif de l'ensemble des données ROD.xlsx,Feuille3,9,131,759,14,0,
