HOTEL_NAME,HOTEL_CITY,HOTEL_LAT,HOTEL_LON,RAYON_KM,OSM_TYPE,OSM_ID,NAME,SHOP_TYPE,BRAND,ADDRESS_STREET,ADDRESS_POSTCODE,ADDRESS_CITY,LAT,LON,DIST_KM
Ibis budget Nice,Nice,43.6675713,7.2143076,1,node,1014323371,Carrefour City,convenience,Carrefour City,,,,43.6699649,7.2211484,0.6112130405715787
Ibis budget Nice,Nice,43.6675713,7.2143076,1,node,5765873826,Najar,bakery,,Boulevard Paul Montel,,Nice,43.6747986,7.2078212,0.9581234082527675
Ibis budget Nice,Nice,43.6675713,7.2143076,1,node,9327299365,Sanifix,supermarket,,Rue Auguste Pégurier,06200,Nice,43.6723197,7.2215342,0.7852523524029044
Ibis budget Nice,Nice,43.6675713,7.2143076,1,node,12171865908,Arenas,tobacco,,,,,43.6677216,7.2136619,0.05455877143929329
Ibis budget Nice,Nice,43.6675713,7.2143076,1,node,13580078291,Aelia,alcohol,,,,,43.6651,7.212688,0.30411174690635834
Ibis budget Nice,Nice,43.6675713,7.2143076,1,node,13720253023,Du Soleil,bakery,,,,,43.6704408,7.2218183,0.6831867096548985
Ibis budget Nice,Nice,43.6675713,7.2143076,1,way,1337231909,Presse,kiosk,,,,,43.6692175,7.211457,0.29338861657170945
Ibis budget Nice,Nice,43.6675713,7.2143076,2,node,25213936,Dyneff,convenience,Dyneff,Boulevard Léon Morane,06200,,43.6636803,7.2016044,1.109624970650928
Ibis budget Nice,Nice,43.6675713,7.2143076,2,node,303595830,Intermarché,supermarket,Intermarché,Boulevard René Cassin,,,43.675186,7.2269224,1.321485309566247
Ibis budget Nice,Nice,43.6675713,7.2143076,2,node,708213952,La Laurentine,bakery,,,,,43.6701392,7.1912826,1.8738305097928087
Ibis budget Nice,Nice,43.6675713,7.2143076,2,node,1014323371,Carrefour City,convenience,Carrefour City,,,,43.6699649,7.2211484,0.6112130405715787
Ibis budget Nice,Nice,43.6675713,7.2143076,2,node,2120506137,Aux Délices de Jeanne d'Arc,bakery,,Boulevard Napoléon III,,Nice,43.6810661,7.2213471,1.6038035037596754
Ibis budget Nice,Nice,43.6675713,7.2143076,2,node,2120508607,Les Délices de la Lanterne,bakery,,Avenue de la Lanterne,,Nice,43.6845501,7.2191176,1.9271787999981713
Ibis budget Nice,Nice,43.6675713,7.2143076,2,node,2120553623,Épicerie Napoléon III,convenience,,Boulevard Napoléon III,,Nice,43.6811443,7.2213816,1.6129185520244969
Ibis budget Nice,Nice,43.6675713,7.2143076,2,node,2120553752,Boulangerie Patisserie de Caucade,bakery,,Avenue Sainte-Marguerite,,Nice,43.6781055,7.2192273,1.2363732128319123
Ibis budget Nice,Nice,43.6675713,7.2143076,2,node,2128870332,Le Chantilly,tobacco,,Avenue Sainte-Marguerite,,Nice,43.6780949,7.2193698,1.2389752782148504
Ibis budget Nice,Nice,43.6675713,7.2143076,2,node,2138749499,Carrefour Market,supermarket,Carrefour Market,,,,43.6785983,7.2288429,1.6941209446745509
