nom_hotel,annee,mois,nombre_ventes,montant_ventes,nombre_paniers,nombre_produits,nombre_categories_mois_f_b,nombre_categories_mois_n_f_b,pct_categories_mois_f_b,pct_categories_mois_n_f_b,nombre_mois,premier_mois,dernier_mois,mois_actifs,mois_manquants,cat_f_b_nombre_ventes,cat_nan_nombre_ventes,cat_n_f_b_nombre_ventes,cat_f_b_montant_ventes,cat_nan_montant_ventes,cat_n_f_b_montant_ventes,cat_f_b_nombre_paniers,cat_nan_nombre_paniers,cat_n_f_b_nombre_paniers,cat_f_b_nombre_produits,cat_nan_nombre_produits,cat_n_f_b_nombre_produits,sous_cat_ref_nombre_ventes,sous_cat_accessoires_nombre_ventes,sous_cat_alcool_nombre_ventes,sous_cat_cosmetique_nombre_ventes,sous_cat_food_salee_nombre_ventes,sous_cat_food_sucree_nombre_ventes,sous_cat_jeux_enfants_nombre_ventes,sous_cat_pap_nombre_ventes,sous_cat_sans_alcool_nombre_ventes,sous_cat_sos_nombre_ventes,sous_cat_souvenirs_nombre_ventes,sous_cat_nan_nombre_ventes,sous_cat_ref_montant_ventes,sous_cat_accessoires_montant_ventes,sous_cat_alcool_montant_ventes,sous_cat_cosmetique_montant_ventes,sous_cat_food_salee_montant_ventes,sous_cat_food_sucree_montant_ventes,sous_cat_jeux_enfants_montant_ventes,sous_cat_pap_montant_ventes,sous_cat_sans_alcool_montant_ventes,sous_cat_sos_montant_ventes,sous_cat_souvenirs_montant_ventes,sous_cat_nan_montant_ventes,sous_cat_ref_nombre_paniers,sous_cat_accessoires_nombre_paniers,sous_cat_alcool_nombre_paniers,sous_cat_cosmetique_nombre_paniers,sous_cat_food_salee_nombre_paniers,sous_cat_food_sucree_nombre_paniers,sous_cat_jeux_enfants_nombre_paniers,sous_cat_pap_nombre_paniers,sous_cat_sans_alcool_nombre_paniers,sous_cat_sos_nombre_paniers,sous_cat_souvenirs_nombre_paniers,sous_cat_nan_nombre_paniers,sous_cat_ref_nombre_produits,sous_cat_accessoires_nombre_produits,sous_cat_alcool_nombre_produits,sous_cat_cosmetique_nombre_produits,sous_cat_food_salee_nombre_produits,sous_cat_food_sucree_nombre_produits,sous_cat_jeux_enfants_nombre_produits,sous_cat_pap_nombre_produits,sous_cat_sans_alcool_nombre_produits,sous_cat_sos_nombre_produits,sous_cat_souvenirs_nombre_produits,sous_cat_nan_nombre_produits,heure_0_nombre_ventes,heure_1_nombre_ventes,heure_2_nombre_ventes,heure_3_nombre_ventes,heure_4_nombre_ventes,heure_5_nombre_ventes,heure_6_nombre_ventes,heure_7_nombre_ventes,heure_8_nombre_ventes,heure_9_nombre_ventes,heure_10_nombre_ventes,heure_11_nombre_ventes,heure_12_nombre_ventes,heure_13_nombre_ventes,heure_14_nombre_ventes,heure_15_nombre_ventes,heure_16_nombre_ventes,heure_17_nombre_ventes,heure_18_nombre_ventes,heure_19_nombre_ventes,heure_20_nombre_ventes,heure_21_nombre_ventes,heure_22_nombre_ventes,heure_23_nombre_ventes,heure_0_montant_ventes,heure_1_montant_ventes,heure_2_montant_ventes,heure_3_montant_ventes,heure_4_montant_ventes,heure_5_montant_ventes,heure_6_montant_ventes,heure_7_montant_ventes,heure_8_montant_ventes,heure_9_montant_ventes,heure_10_montant_ventes,heure_11_montant_ventes,heure_12_montant_ventes,heure_13_montant_ventes,heure_14_montant_ventes,heure_15_montant_ventes,heure_16_montant_ventes,heure_17_montant_ventes,heure_18_montant_ventes,heure_19_montant_ventes,heure_20_montant_ventes,heure_21_montant_ventes,heure_22_montant_ventes,heure_23_montant_ventes,heure_0_nombre_paniers,heure_1_nombre_paniers,heure_2_nombre_paniers,heure_3_nombre_paniers,heure_4_nombre_paniers,heure_5_nombre_paniers,heure_6_nombre_paniers,heure_7_nombre_paniers,heure_8_nombre_paniers,heure_9_nombre_paniers,heure_10_nombre_paniers,heure_11_nombre_paniers,heure_12_nombre_paniers,heure_13_nombre_paniers,heure_14_nombre_paniers,heure_15_nombre_paniers,heure_16_nombre_paniers,heure_17_nombre_paniers,heure_18_nombre_paniers,heure_19_nombre_paniers,heure_20_nombre_paniers,heure_21_nombre_paniers,heure_22_nombre_paniers,heure_23_nombre_paniers,heure_0_nombre_produits,heure_1_nombre_produits,heure_2_nombre_produits,heure_3_nombre_produits,heure_4_nombre_produits,heure_5_nombre_produits,heure_6_nombre_produits,heure_7_nombre_produits,heure_8_nombre_produits,heure_9_nombre_produits,heure_10_nombre_produits,heure_11_nombre_produits,heure_12_nombre_produits,heure_13_nombre_produits,heure_14_nombre_produits,heure_15_nombre_produits,heure_16_nombre_produits,heure_17_nombre_produits,heure_18_nombre_produits,heure_19_nombre_produits,heure_20_nombre_produits,heure_21_nombre_produits,heure_22_nombre_produits,heure_23_nombre_produits,weekend_0_nombre_ventes,weekend_1_nombre_ventes,weekend_0_montant_ventes,weekend_1_montant_ventes,weekend_0_nombre_paniers,weekend_1_nombre_paniers,weekend_0_nombre_produits,weekend_1_nombre_produits,holiday_0_nombre_ventes,holiday_1_nombre_ventes,holiday_0_montant_ventes,holiday_1_montant_ventes,holiday_0_nombre_paniers,holiday_1_nombre_paniers,holiday_0_nombre_produits,holiday_1_nombre_produits
Ibis budget Nice,2023,1,23.5,253.0,20.0,11.5,0.0,2.75,0.0,1.0,4,8,11,4,8,0.0,0.0,23.5,0.0,0.0,253.0,0.0,0.0,20.25,0.0,0.0,11.5,0.0,16.25,0.0,1.0,0.0,0.0,0.0,5.75,0.0,0.5,0.0,0.0,0.0,182.5,0.0,10.0,0.0,0.0,0.0,56.5,0.0,4.0,0.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,5.75,0.0,0.5,0.0,0.0,0.0,7.0,0.0,0.5,0.0,0.0,0.0,3.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,2.5,3.5,2.25,1.75,1.75,2.0,2.5,3.5,1.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,22.5,24.75,35.0,23.0,16.0,20.75,29.25,26.0,30.0,9.75,6.25,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.25,2.25,3.5,2.0,1.5,1.75,1.25,2.25,2.5,1.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.5,2.25,3.25,2.25,1.75,1.5,1.25,2.25,2.75,1.0,0.5,0.25,0.0,0.0,15.0,8.5,160.75,92.25,12.25,8.0,9.25,6.25,23.25,0.25,249.75,3.25,20.0,0.25,11.5,0.25
Ibis budget Nice,2023,2,23.5,253.0,20.0,11.5,0.0,2.75,0.0,1.0,4,8,11,4,8,0.0,0.0,23.5,0.0,0.0,253.0,0.0,0.0,20.25,0.0,0.0,11.5,0.0,16.25,0.0,1.0,0.0,0.0,0.0,5.75,0.0,0.5,0.0,0.0,0.0,182.5,0.0,10.0,0.0,0.0,0.0,56.5,0.0,4.0,0.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,5.75,0.0,0.5,0.0,0.0,0.0,7.0,0.0,0.5,0.0,0.0,0.0,3.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,2.5,3.5,2.25,1.75,1.75,2.0,2.5,3.5,1.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,22.5,24.75,35.0,23.0,16.0,20.75,29.25,26.0,30.0,9.75,6.25,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.25,2.25,3.5,2.0,1.5,1.75,1.25,2.25,2.5,1.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.5,2.25,3.25,2.25,1.75,1.5,1.25,2.25,2.75,1.0,0.5,0.25,0.0,0.0,15.0,8.5,160.75,92.25,12.25,8.0,9.25,6.25,23.25,0.25,249.75,3.25,20.0,0.25,11.5,0.25
Ibis budget Nice,2023,3,23.5,253.0,20.0,11.5,0.0,2.75,0.0,1.0,4,8,11,4,8,0.0,0.0,23.5,0.0,0.0,253.0,0.0,0.0,20.25,0.0,0.0,11.5,0.0,16.25,0.0,1.0,0.0,0.0,0.0,5.75,0.0,0.5,0.0,0.0,0.0,182.5,0.0,10.0,0.0,0.0,0.0,56.5,0.0,4.0,0.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,5.75,0.0,0.5,0.0,0.0,0.0,7.0,0.0,0.5,0.0,0.0,0.0,3.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,2.5,3.5,2.25,1.75,1.75,2.0,2.5,3.5,1.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,22.5,24.75,35.0,23.0,16.0,20.75,29.25,26.0,30.0,9.75,6.25,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.25,2.25,3.5,2.0,1.5,1.75,1.25,2.25,2.5,1.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.5,2.25,3.25,2.25,1.75,1.5,1.25,2.25,2.75,1.0,0.5,0.25,0.0,0.0,15.0,8.5,160.75,92.25,12.25,8.0,9.25,6.25,23.25,0.25,249.75,3.25,20.0,0.25,11.5,0.25
Ibis budget Nice,2023,4,23.5,253.0,20.0,11.5,0.0,2.75,0.0,1.0,4,8,11,4,8,0.0,0.0,23.5,0.0,0.0,253.0,0.0,0.0,20.25,0.0,0.0,11.5,0.0,16.25,0.0,1.0,0.0,0.0,0.0,5.75,0.0,0.5,0.0,0.0,0.0,182.5,0.0,10.0,0.0,0.0,0.0,56.5,0.0,4.0,0.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,5.75,0.0,0.5,0.0,0.0,0.0,7.0,0.0,0.5,0.0,0.0,0.0,3.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,2.5,3.5,2.25,1.75,1.75,2.0,2.5,3.5,1.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,22.5,24.75,35.0,23.0,16.0,20.75,29.25,26.0,30.0,9.75,6.25,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.25,2.25,3.5,2.0,1.5,1.75,1.25,2.25,2.5,1.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.5,2.25,3.25,2.25,1.75,1.5,1.25,2.25,2.75,1.0,0.5,0.25,0.0,0.0,15.0,8.5,160.75,92.25,12.25,8.0,9.25,6.25,23.25,0.25,249.75,3.25,20.0,0.25,11.5,0.25
Ibis budget Nice,2023,5,23.5,253.0,20.0,11.5,0.0,2.75,0.0,1.0,4,8,11,4,8,0.0,0.0,23.5,0.0,0.0,253.0,0.0,0.0,20.25,0.0,0.0,11.5,0.0,16.25,0.0,1.0,0.0,0.0,0.0,5.75,0.0,0.5,0.0,0.0,0.0,182.5,0.0,10.0,0.0,0.0,0.0,56.5,0.0,4.0,0.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,5.75,0.0,0.5,0.0,0.0,0.0,7.0,0.0,0.5,0.0,0.0,0.0,3.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,2.5,3.5,2.25,1.75,1.75,2.0,2.5,3.5,1.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,22.5,24.75,35.0,23.0,16.0,20.75,29.25,26.0,30.0,9.75,6.25,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.25,2.25,3.5,2.0,1.5,1.75,1.25,2.25,2.5,1.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.5,2.25,3.25,2.25,1.75,1.5,1.25,2.25,2.75,1.0,0.5,0.25,0.0,0.0,15.0,8.5,160.75,92.25,12.25,8.0,9.25,6.25,23.25,0.25,249.75,3.25,20.0,0.25,11.5,0.25
Ibis budget Nice,2023,6,23.5,253.0,20.0,11.5,0.0,2.75,0.0,1.0,4,8,11,4,8,0.0,0.0,23.5,0.0,0.0,253.0,0.0,0.0,20.25,0.0,0.0,11.5,0.0,16.25,0.0,1.0,0.0,0.0,0.0,5.75,0.0,0.5,0.0,0.0,0.0,182.5,0.0,10.0,0.0,0.0,0.0,56.5,0.0,4.0,0.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,5.75,0.0,0.5,0.0,0.0,0.0,7.0,0.0,0.5,0.0,0.0,0.0,3.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,2.5,3.5,2.25,1.75,1.75,2.0,2.5,3.5,1.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,22.5,24.75,35.0,23.0,16.0,20.75,29.25,26.0,30.0,9.75,6.25,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.25,2.25,3.5,2.0,1.5,1.75,1.25,2.25,2.5,1.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.5,2.25,3.25,2.25,1.75,1.5,1.25,2.25,2.75,1.0,0.5,0.25,0.0,0.0,15.0,8.5,160.75,92.25,12.25,8.0,9.25,6.25,23.25,0.25,249.75,3.25,20.0,0.25,11.5,0.25
Ibis budget Nice,2023,7,23.5,253.0,20.0,11.5,0.0,2.75,0.0,1.0,4,8,11,4,8,0.0,0.0,23.5,0.0,0.0,253.0,0.0,0.0,20.25,0.0,0.0,11.5,0.0,16.25,0.0,1.0,0.0,0.0,0.0,5.75,0.0,0.5,0.0,0.0,0.0,182.5,0.0,10.0,0.0,0.0,0.0,56.5,0.0,4.0,0.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,5.75,0.0,0.5,0.0,0.0,0.0,7.0,0.0,0.5,0.0,0.0,0.0,3.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,2.5,3.5,2.25,1.75,1.75,2.0,2.5,3.5,1.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,22.5,24.75,35.0,23.0,16.0,20.75,29.25,26.0,30.0,9.75,6.25,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.25,2.25,3.5,2.0,1.5,1.75,1.25,2.25,2.5,1.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.5,2.25,3.25,2.25,1.75,1.5,1.25,2.25,2.75,1.0,0.5,0.25,0.0,0.0,15.0,8.5,160.75,92.25,12.25,8.0,9.25,6.25,23.25,0.25,249.75,3.25,20.0,0.25,11.5,0.25
Ibis budget Nice,2023,8,41.0,475.0,33.0,18.0,0.0,4.0,0.0,1.0,4,8,11,4,8,0.0,0.0,41.0,0.0,0.0,475.0,0.0,0.0,34.0,0.0,0.0,18.0,0.0,32.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,383.0,0.0,10.0,0.0,0.0,0.0,74.0,0.0,8.0,0.0,0.0,0.0,25.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,7.0,2.0,1.0,2.0,5.0,5.0,9.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,25.0,79.0,23.0,12.0,28.0,62.0,63.0,77.0,21.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,7.0,2.0,1.0,2.0,3.0,4.0,6.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,2.0,1.0,2.0,3.0,4.0,7.0,2.0,1.0,1.0,0.0,0.0,29.0,12.0,335.0,140.0,23.0,11.0,18.0,7.0,40.0,1.0,462.0,13.0,33.0,1.0,18.0,1.0
Ibis budget Nice,2023,9,30.0,322.0,27.0,16.0,0.0,4.0,0.0,1.0,4,8,11,4,8,0.0,0.0,30.0,0.0,0.0,322.0,0.0,0.0,27.0,0.0,0.0,16.0,0.0,16.0,0.0,3.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,186.0,0.0,30.0,0.0,0.0,0.0,98.0,0.0,8.0,0.0,0.0,0.0,13.0,0.0,3.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,6.0,4.0,4.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,37.0,25.0,56.0,40.0,46.0,55.0,32.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,5.0,3.0,4.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,6.0,4.0,3.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,13.0,178.0,144.0,15.0,12.0,11.0,11.0,30.0,0.0,322.0,0.0,27.0,0.0,16.0,0.0
Ibis budget Nice,2023,10,22.0,206.0,19.0,11.0,0.0,2.0,0.0,1.0,4,8,11,4,8,0.0,0.0,22.0,0.0,0.0,206.0,0.0,0.0,19.0,0.0,0.0,11.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,161.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,4.0,1.0,2.0,1.0,0.0,1.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,37.0,36.0,13.0,12.0,9.0,0.0,9.0,34.0,18.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,1.0,2.0,1.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,1.0,2.0,1.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,13.0,9.0,121.0,85.0,10.0,9.0,7.0,7.0,22.0,0.0,206.0,0.0,19.0,0.0,11.0,0.0
