hotel_id,recap_column,row,etape,sous_etape,data_label,field_key,field_type_hint,raw_value,feature_column
ibis-budget-nice,NICE,4,0 - PAGE DE CONNEXION,ID,CODE H,0_page_de_connexion_id_code_h,categorical,H2075,d_recap_0_page_de_connexion_id_code_h
ibis-budget-strasbourg,STRASBOURG,4,0 - PAGE DE CONNEXION,ID,CODE H,0_page_de_connexion_id_code_h,categorical,HB6A3,d_recap_0_page_de_connexion_id_code_h
ibis-styles-roissy-cdg,PARIS CDG,4,0 - PAGE DE CONNEXION,ID,CODE H,0_page_de_connexion_id_code_h,categorical,H0815,d_recap_0_page_de_connexion_id_code_h
novotel-megeve,MEGEVE,4,0 - PAGE DE CONNEXION,ID,CODE H,0_page_de_connexion_id_code_h,categorical,HB5I0,d_recap_0_page_de_connexion_id_code_h
novotel-paris-tour-eiffel,TOUR EIFFEL,4,0 - PAGE DE CONNEXION,ID,CODE H,0_page_de_connexion_id_code_h,categorical,H3546,d_recap_0_page_de_connexion_id_code_h
mercure-montmartre,MONTMARTRE,4,0 - PAGE DE CONNEXION,ID,CODE H,0_page_de_connexion_id_code_h,categorical,H0373,d_recap_0_page_de_connexion_id_code_h
mercure-boulogne,BOULOGNE,4,0 - PAGE DE CONNEXION,ID,CODE H,0_page_de_connexion_id_code_h,categorical,H6188,d_recap_0_page_de_connexion_id_code_h
ibis-budget-nice,NICE,5,0 - PAGE DE CONNEXION,ID,NOM DE L'HOTEL,0_page_de_connexion_id_nom_de_l_hotel,categorical,IBIS BUDGET NICE CALIFORNIE,d_recap_0_page_de_connexion_id_nom_de_l_hotel
ibis-budget-strasbourg,STRASBOURG,5,0 - PAGE DE CONNEXION,ID,NOM DE L'HOTEL,0_page_de_connexion_id_nom_de_l_hotel,categorical,IBIS BUDGET STRASBOURG REPUBLIQUE,d_recap_0_page_de_connexion_id_nom_de_l_hotel
ibis-styles-roissy-cdg,PARIS CDG,5,0 - PAGE DE CONNEXION,ID,NOM DE L'HOTEL,0_page_de_connexion_id_nom_de_l_hotel,categorical,IBIS STYLES ROISSY CDG,d_recap_0_page_de_connexion_id_nom_de_l_hotel
novotel-megeve,MEGEVE,5,0 - PAGE DE CONNEXION,ID,NOM DE L'HOTEL,0_page_de_connexion_id_nom_de_l_hotel,categorical,NOVOTEL MEGEVE MONT BLANC,d_recap_0_page_de_connexion_id_nom_de_l_hotel
novotel-paris-tour-eiffel,TOUR EIFFEL,5,0 - PAGE DE CONNEXION,ID,NOM DE L'HOTEL,0_page_de_connexion_id_nom_de_l_hotel,categorical,NOVOTEL PARIS CENTRE TOUR EIFFEL,d_recap_0_page_de_connexion_id_nom_de_l_hotel
mercure-montmartre,MONTMARTRE,5,0 - PAGE DE CONNEXION,ID,NOM DE L'HOTEL,0_page_de_connexion_id_nom_de_l_hotel,categorical,MERCURE MONTMARTRE SACRE COEUR,d_recap_0_page_de_connexion_id_nom_de_l_hotel
