nom_hotel,annee,nombre_ventes,montant_ventes,nombre_paniers,nombre_produits,nombre_categories_annee_f_b,nombre_categories_annee_n_f_b,pct_categories_annee_f_b,pct_categories_annee_n_f_b,nombre_mois,premier_mois,dernier_mois,mois_actifs,mois_manquants
Ibis budget Nice,2023,94.0,1012.0,80.0,26.0,0.0,4.0,0.0,1.0,4,8,11,4,8
Ibis budget Nice,2024,1690.0,5356.1,1097.0,88.0,3.0,5.0,0.375,0.625,10,3,12,10,2
Ibis budget Nice,2025,3678.0,12048.7,2441.0,105.0,3.0,6.0,0.3333333333333333,0.6666666666666666,12,1,12,12,0
Ibis budget Strasbourg Centre République,2024,786.0,2897.5,527.0,34.0,3.0,0.0,1.0,0.0,3,10,12,3,9
Ibis budget Strasbourg Centre République,2025,4122.0,13991.5,2646.0,32.0,3.0,0.0,1.0,0.0,12,1,12,12,0
Mercure Paris Montmartre Sacré-Cœur,2024,7789.0,64832.5,4772.0,105.0,5.0,3.0,0.625,0.375,12,1,12,12,0
Mercure Paris Montmartre Sacré-Cœur,2025,5437.0,45118.3,3542.0,49.0,5.0,3.0,0.625,0.375,12,1,12,12,0
Novotel Megève Mont-Blanc,2024,1153.0,12482.400000000001,764.0,182.0,5.0,7.0,0.4166666666666667,0.5833333333333334,10,3,12,10,2
Novotel Megève Mont-Blanc,2025,2523.0,19241.800000000003,1432.0,191.0,5.0,7.0,0.4166666666666667,0.5833333333333334,12,1,12,12,0
Novotel Paris Tour Eiffel,2024,9632.0,47507.469999999994,5516.0,0.0,3.0,3.0,0.5,0.5,7,5,12,8,4
Novotel Paris Tour Eiffel,2025,37856.0,180225.5,21032.0,0.0,3.0,2.0,0.6,0.4,12,1,12,12,0
Novotel Porte d’Italie,2024,662.0,2396.46,437.0,0.0,3.0,1.0,0.75,0.25,4,9,12,4,8
Novotel Porte d’Italie,2025,1229.0,4956.75,870.0,0.0,3.0,0.0,1.0,0.0,12,1,12,12,0
