nom_hotel,annee,mois,categorie,sous_categorie,nombre_ventes,montant_ventes,nombre_paniers,nombre_produits,hotel_code
Ibis budget Nice,2023,8,N_F_B,ACCESSOIRES,32,383.0,25,11,H2075
Ibis budget Nice,2023,8,N_F_B,COSMETIQUE,1,10.0,1,1,H2075
Ibis budget Nice,2023,8,N_F_B,PAP,7,74.0,7,5,H2075
Ibis budget Nice,2023,8,N_F_B,SOS,1,8.0,1,1,H2075
Ibis budget Nice,2023,9,N_F_B,ACCESSOIRES,16,186.0,13,9,H2075
Ibis budget Nice,2023,9,N_F_B,COSMETIQUE,3,30.0,3,1,H2075
Ibis budget Nice,2023,9,N_F_B,PAP,10,98.0,10,5,H2075
Ibis budget Nice,2023,9,N_F_B,SOS,1,8.0,1,1,H2075
Ibis budget Nice,2023,10,N_F_B,ACCESSOIRES,17,161.0,14,8,H2075
Ibis budget Nice,2023,10,N_F_B,PAP,5,45.0,5,3,H2075
Ibis budget Nice,2023,11,N_F_B,PAP,1,9.0,1,1,H2075
Ibis budget Nice,2024,3,N_F_B,ACCESSOIRES,2,16.0,2,2,H2075
Ibis budget Nice,2024,4,N_F_B,ACCESSOIRES,9,117.0,9,5,H2075
Ibis budget Nice,2024,4,N_F_B,COSMETIQUE,2,20.0,2,1,H2075
Ibis budget Nice,2024,4,N_F_B,SOS,1,8.0,1,1,H2075
Ibis budget Nice,2024,5,F_B,SANS ALCOOL,36,87.80000000000001,30,8,H2075
Ibis budget Nice,2024,5,N_F_B,ACCESSOIRES,8,97.0,8,8,H2075
Ibis budget Nice,2024,5,N_F_B,PAP,9,86.0,7,8,H2075
Ibis budget Nice,2024,6,F_B,FOOD SALEE,21,46.0,18,3,H2075
Ibis budget Nice,2024,6,F_B,SANS ALCOOL,196,454.40000000000003,143,15,H2075
Ibis budget Nice,2024,6,N_F_B,ACCESSOIRES,20,208.1,20,12,H2075
Ibis budget Nice,2024,6,N_F_B,COSMETIQUE,1,10.0,1,1,H2075
Ibis budget Nice,2024,6,N_F_B,JEUX / ENFANTS,1,18.0,1,1,H2075
Ibis budget Nice,2024,6,N_F_B,PAP,7,89.0,7,7,H2075
Ibis budget Nice,2024,6,N_F_B,SOS,1,16.0,1,1,H2075
Ibis budget Nice,2024,7,F_B,FOOD SALEE,24,59.0,21,5,H2075
