nom_hotel,annee,mois,cat_f_b_nombre_ventes,cat_nan_nombre_ventes,cat_n_f_b_nombre_ventes,cat_f_b_montant_ventes,cat_nan_montant_ventes,cat_n_f_b_montant_ventes,cat_f_b_nombre_paniers,cat_nan_nombre_paniers,cat_n_f_b_nombre_paniers,cat_f_b_nombre_produits,cat_nan_nombre_produits,cat_n_f_b_nombre_produits,sous_cat_ref_nombre_ventes,sous_cat_accessoires_nombre_ventes,sous_cat_alcool_nombre_ventes,sous_cat_cosmetique_nombre_ventes,sous_cat_food_salee_nombre_ventes,sous_cat_food_sucree_nombre_ventes,sous_cat_jeux_enfants_nombre_ventes,sous_cat_pap_nombre_ventes,sous_cat_sans_alcool_nombre_ventes,sous_cat_sos_nombre_ventes,sous_cat_souvenirs_nombre_ventes,sous_cat_nan_nombre_ventes,sous_cat_ref_montant_ventes,sous_cat_accessoires_montant_ventes,sous_cat_alcool_montant_ventes,sous_cat_cosmetique_montant_ventes,sous_cat_food_salee_montant_ventes,sous_cat_food_sucree_montant_ventes,sous_cat_jeux_enfants_montant_ventes,sous_cat_pap_montant_ventes,sous_cat_sans_alcool_montant_ventes,sous_cat_sos_montant_ventes,sous_cat_souvenirs_montant_ventes,sous_cat_nan_montant_ventes,sous_cat_ref_nombre_paniers,sous_cat_accessoires_nombre_paniers,sous_cat_alcool_nombre_paniers,sous_cat_cosmetique_nombre_paniers,sous_cat_food_salee_nombre_paniers,sous_cat_food_sucree_nombre_paniers,sous_cat_jeux_enfants_nombre_paniers,sous_cat_pap_nombre_paniers,sous_cat_sans_alcool_nombre_paniers,sous_cat_sos_nombre_paniers,sous_cat_souvenirs_nombre_paniers,sous_cat_nan_nombre_paniers,sous_cat_ref_nombre_produits,sous_cat_accessoires_nombre_produits,sous_cat_alcool_nombre_produits,sous_cat_cosmetique_nombre_produits,sous_cat_food_salee_nombre_produits,sous_cat_food_sucree_nombre_produits,sous_cat_jeux_enfants_nombre_produits,sous_cat_pap_nombre_produits,sous_cat_sans_alcool_nombre_produits,sous_cat_sos_nombre_produits,sous_cat_souvenirs_nombre_produits,sous_cat_nan_nombre_produits
Ibis budget Nice,2023,1,0.0,0.0,23.5,0.0,0.0,253.0,0.0,0.0,20.25,0.0,0.0,11.5,0.0,16.25,0.0,1.0,0.0,0.0,0.0,5.75,0.0,0.5,0.0,0.0,0.0,182.5,0.0,10.0,0.0,0.0,0.0,56.5,0.0,4.0,0.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,5.75,0.0,0.5,0.0,0.0,0.0,7.0,0.0,0.5,0.0,0.0,0.0,3.5,0.0,0.5,0.0,0.0
Ibis budget Nice,2023,2,0.0,0.0,23.5,0.0,0.0,253.0,0.0,0.0,20.25,0.0,0.0,11.5,0.0,16.25,0.0,1.0,0.0,0.0,0.0,5.75,0.0,0.5,0.0,0.0,0.0,182.5,0.0,10.0,0.0,0.0,0.0,56.5,0.0,4.0,0.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,5.75,0.0,0.5,0.0,0.0,0.0,7.0,0.0,0.5,0.0,0.0,0.0,3.5,0.0,0.5,0.0,0.0
Ibis budget Nice,2023,3,0.0,0.0,23.5,0.0,0.0,253.0,0.0,0.0,20.25,0.0,0.0,11.5,0.0,16.25,0.0,1.0,0.0,0.0,0.0,5.75,0.0,0.5,0.0,0.0,0.0,182.5,0.0,10.0,0.0,0.0,0.0,56.5,0.0,4.0,0.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,5.75,0.0,0.5,0.0,0.0,0.0,7.0,0.0,0.5,0.0,0.0,0.0,3.5,0.0,0.5,0.0,0.0
Ibis budget Nice,2023,4,0.0,0.0,23.5,0.0,0.0,253.0,0.0,0.0,20.25,0.0,0.0,11.5,0.0,16.25,0.0,1.0,0.0,0.0,0.0,5.75,0.0,0.5,0.0,0.0,0.0,182.5,0.0,10.0,0.0,0.0,0.0,56.5,0.0,4.0,0.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,5.75,0.0,0.5,0.0,0.0,0.0,7.0,0.0,0.5,0.0,0.0,0.0,3.5,0.0,0.5,0.0,0.0
Ibis budget Nice,2023,5,0.0,0.0,23.5,0.0,0.0,253.0,0.0,0.0,20.25,0.0,0.0,11.5,0.0,16.25,0.0,1.0,0.0,0.0,0.0,5.75,0.0,0.5,0.0,0.0,0.0,182.5,0.0,10.0,0.0,0.0,0.0,56.5,0.0,4.0,0.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,5.75,0.0,0.5,0.0,0.0,0.0,7.0,0.0,0.5,0.0,0.0,0.0,3.5,0.0,0.5,0.0,0.0
Ibis budget Nice,2023,6,0.0,0.0,23.5,0.0,0.0,253.0,0.0,0.0,20.25,0.0,0.0,11.5,0.0,16.25,0.0,1.0,0.0,0.0,0.0,5.75,0.0,0.5,0.0,0.0,0.0,182.5,0.0,10.0,0.0,0.0,0.0,56.5,0.0,4.0,0.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,5.75,0.0,0.5,0.0,0.0,0.0,7.0,0.0,0.5,0.0,0.0,0.0,3.5,0.0,0.5,0.0,0.0
Ibis budget Nice,2023,7,0.0,0.0,23.5,0.0,0.0,253.0,0.0,0.0,20.25,0.0,0.0,11.5,0.0,16.25,0.0,1.0,0.0,0.0,0.0,5.75,0.0,0.5,0.0,0.0,0.0,182.5,0.0,10.0,0.0,0.0,0.0,56.5,0.0,4.0,0.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,5.75,0.0,0.5,0.0,0.0,0.0,7.0,0.0,0.5,0.0,0.0,0.0,3.5,0.0,0.5,0.0,0.0
Ibis budget Nice,2023,8,0.0,0.0,41.0,0.0,0.0,475.0,0.0,0.0,34.0,0.0,0.0,18.0,0.0,32.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,383.0,0.0,10.0,0.0,0.0,0.0,74.0,0.0,8.0,0.0,0.0,0.0,25.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0
Ibis budget Nice,2023,9,0.0,0.0,30.0,0.0,0.0,322.0,0.0,0.0,27.0,0.0,0.0,16.0,0.0,16.0,0.0,3.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,186.0,0.0,30.0,0.0,0.0,0.0,98.0,0.0,8.0,0.0,0.0,0.0,13.0,0.0,3.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0
Ibis budget Nice,2023,10,0.0,0.0,22.0,0.0,0.0,206.0,0.0,0.0,19.0,0.0,0.0,11.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,161.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Ibis budget Nice,2023,11,0.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Ibis budget Nice,2023,12,0.0,0.0,23.5,0.0,0.0,253.0,0.0,0.0,20.25,0.0,0.0,11.5,0.0,16.25,0.0,1.0,0.0,0.0,0.0,5.75,0.0,0.5,0.0,0.0,0.0,182.5,0.0,10.0,0.0,0.0,0.0,56.5,0.0,4.0,0.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,5.75,0.0,0.5,0.0,0.0,0.0,7.0,0.0,0.5,0.0,0.0,0.0,3.5,0.0,0.5,0.0,0.0
Ibis budget Nice,2024,1,152.0,0.0,17.0,352.84999999999997,0.0,182.76,105.3,0.0,15.5,16.5,0.0,11.1,0.0,11.1,0.0,0.9,10.6,7.3,0.7,3.6,134.1,0.7,0.0,0.0,0.0,115.96,0.0,8.9,24.7,13.45,12.6,36.5,314.7,8.8,0.0,0.0,0.0,10.0,0.0,0.9,9.0,5.7,0.7,3.3,90.6,0.6,0.0,0.0,0.0,7.0,0.0,0.6,2.6,2.4,0.3,2.8,11.5,0.4,0.0,0.0
Ibis budget Nice,2024,2,152.0,0.0,17.0,352.84999999999997,0.0,182.76,105.3,0.0,15.5,16.5,0.0,11.1,0.0,11.1,0.0,0.9,10.6,7.3,0.7,3.6,134.1,0.7,0.0,0.0,0.0,115.96,0.0,8.9,24.7,13.45,12.6,36.5,314.7,8.8,0.0,0.0,0.0,10.0,0.0,0.9,9.0,5.7,0.7,3.3,90.6,0.6,0.0,0.0,0.0,7.0,0.0,0.6,2.6,2.4,0.3,2.8,11.5,0.4,0.0,0.0
Ibis budget Nice,2024,3,0.0,0.0,2.0,0.0,0.0,16.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ibis budget Nice,2024,4,0.0,0.0,12.0,0.0,0.0,145.0,0.0,0.0,12.0,0.0,0.0,7.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,117.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Ibis budget Nice,2024,5,36.0,0.0,17.0,87.80000000000001,0.0,183.0,30.0,0.0,15.0,8.0,0.0,16.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,9.0,36.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,86.0,87.80000000000001,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,7.0,30.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0
Ibis budget Nice,2024,6,217.0,0.0,30.0,500.40000000000003,0.0,341.1,161.0,0.0,30.0,18.0,0.0,22.0,0.0,20.0,0.0,1.0,21.0,0.0,1.0,7.0,196.0,1.0,0.0,0.0,0.0,208.1,0.0,10.0,46.0,0.0,18.0,89.0,454.40000000000003,16.0,0.0,0.0,0.0,20.0,0.0,1.0,18.0,0.0,1.0,7.0,143.0,1.0,0.0,0.0,0.0,12.0,0.0,1.0,3.0,0.0,1.0,7.0,15.0,1.0,0.0,0.0
Ibis budget Nice,2024,7,305.0,0.0,33.0,721.6,0.0,330.5,195.0,0.0,31.0,21.0,0.0,17.0,0.0,21.0,0.0,2.0,24.0,0.0,3.0,6.0,281.0,1.0,0.0,0.0,0.0,188.5,0.0,20.0,59.0,0.0,54.0,60.0,662.6,8.0,0.0,0.0,0.0,20.0,0.0,2.0,21.0,0.0,3.0,5.0,174.0,1.0,0.0,0.0,0.0,12.0,0.0,1.0,5.0,0.0,1.0,2.0,16.0,1.0,0.0,0.0
Ibis budget Nice,2024,8,339.0,0.0,31.0,811.0,0.0,362.0,219.0,0.0,26.0,20.0,0.0,16.0,0.0,23.0,0.0,3.0,17.0,0.0,3.0,2.0,322.0,0.0,0.0,0.0,0.0,259.0,0.0,29.0,47.0,0.0,54.0,20.0,764.0,0.0,0.0,0.0,0.0,18.0,0.0,3.0,12.0,0.0,3.0,2.0,207.0,0.0,0.0,0.0,0.0,11.0,0.0,2.0,4.0,0.0,1.0,2.0,16.0,0.0,0.0,0.0
Ibis budget Nice,2024,9,236.0,0.0,22.0,541.2,0.0,230.0,166.0,0.0,20.0,25.0,0.0,14.0,0.0,14.0,0.0,1.0,17.0,25.0,0.0,7.0,194.0,0.0,0.0,0.0,0.0,151.0,0.0,10.0,36.5,47.5,0.0,69.0,457.20000000000005,0.0,0.0,0.0,0.0,12.0,0.0,1.0,15.0,21.0,0.0,7.0,130.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,4.0,6.0,0.0,5.0,15.0,0.0,0.0,0.0
Ibis budget Nice,2024,10,181.0,0.0,19.0,407.3,0.0,189.0,130.0,0.0,15.0,26.0,0.0,13.0,0.0,11.0,0.0,0.0,14.0,20.0,0.0,4.0,147.0,4.0,0.0,0.0,0.0,98.0,0.0,0.0,30.5,40.0,0.0,35.0,336.8,56.0,0.0,0.0,0.0,8.0,0.0,0.0,13.0,14.0,0.0,4.0,103.0,3.0,0.0,0.0,0.0,9.0,0.0,0.0,3.0,7.0,0.0,3.0,16.0,1.0,0.0,0.0
