nom_hotel,annee,mois,categorie,sous_categorie,heure_vente,nombre_ventes,montant_ventes,nombre_paniers,nombre_produits,hotel_code
Ibis budget Nice,2023,8,N_F_B,ACCESSOIRES,10,3.0,59.0,2.0,3.0,H2075
Ibis budget Nice,2023,8,N_F_B,ACCESSOIRES,11,3.0,25.0,3.0,3.0,H2075
Ibis budget Nice,2023,8,N_F_B,ACCESSOIRES,12,5.0,60.0,5.0,4.0,H2075
Ibis budget Nice,2023,8,N_F_B,ACCESSOIRES,13,1.0,15.0,1.0,1.0,H2075
Ibis budget Nice,2023,8,N_F_B,ACCESSOIRES,14,1.0,12.0,1.0,1.0,H2075
Ibis budget Nice,2023,8,N_F_B,ACCESSOIRES,15,1.0,15.0,1.0,1.0,H2075
Ibis budget Nice,2023,8,N_F_B,ACCESSOIRES,16,4.0,54.0,2.0,2.0,H2075
Ibis budget Nice,2023,8,N_F_B,ACCESSOIRES,17,3.0,41.0,2.0,2.0,H2075
Ibis budget Nice,2023,8,N_F_B,ACCESSOIRES,18,8.0,68.0,5.0,6.0,H2075
Ibis budget Nice,2023,8,N_F_B,ACCESSOIRES,19,2.0,21.0,2.0,2.0,H2075
Ibis budget Nice,2023,8,N_F_B,ACCESSOIRES,21,1.0,13.0,1.0,1.0,H2075
Ibis budget Nice,2023,8,N_F_B,COSMETIQUE,12,1.0,10.0,1.0,1.0,H2075
Ibis budget Nice,2023,8,N_F_B,PAP,12,1.0,9.0,1.0,1.0,H2075
Ibis budget Nice,2023,8,N_F_B,PAP,13,1.0,8.0,1.0,1.0,H2075
Ibis budget Nice,2023,8,N_F_B,PAP,15,1.0,13.0,1.0,1.0,H2075
Ibis budget Nice,2023,8,N_F_B,PAP,17,2.0,22.0,2.0,2.0,H2075
Ibis budget Nice,2023,8,N_F_B,PAP,18,1.0,9.0,1.0,1.0,H2075
Ibis budget Nice,2023,8,N_F_B,PAP,20,1.0,13.0,1.0,1.0,H2075
Ibis budget Nice,2023,8,N_F_B,SOS,16,1.0,8.0,1.0,1.0,H2075
Ibis budget Nice,2023,9,N_F_B,ACCESSOIRES,11,2.0,28.0,2.0,2.0,H2075
Ibis budget Nice,2023,9,N_F_B,ACCESSOIRES,12,1.0,6.0,1.0,1.0,H2075
Ibis budget Nice,2023,9,N_F_B,ACCESSOIRES,13,4.0,37.0,3.0,4.0,H2075
Ibis budget Nice,2023,9,N_F_B,ACCESSOIRES,14,3.0,30.0,2.0,3.0,H2075
Ibis budget Nice,2023,9,N_F_B,ACCESSOIRES,15,2.0,24.0,2.0,1.0,H2075
Ibis budget Nice,2023,9,N_F_B,ACCESSOIRES,16,3.0,55.0,2.0,2.0,H2075
Ibis budget Nice,2023,9,N_F_B,ACCESSOIRES,17,1.0,6.0,1.0,1.0,H2075
Ibis budget Nice,2023,9,N_F_B,COSMETIQUE,12,1.0,10.0,1.0,1.0,H2075
Ibis budget Nice,2023,9,N_F_B,COSMETIQUE,13,1.0,10.0,1.0,1.0,H2075
Ibis budget Nice,2023,9,N_F_B,COSMETIQUE,14,1.0,10.0,1.0,1.0,H2075
Ibis budget Nice,2023,9,N_F_B,PAP,10,2.0,22.0,2.0,2.0,H2075
Ibis budget Nice,2023,9,N_F_B,PAP,11,1.0,9.0,1.0,1.0,H2075
Ibis budget Nice,2023,9,N_F_B,PAP,12,1.0,9.0,1.0,1.0,H2075
Ibis budget Nice,2023,9,N_F_B,PAP,13,1.0,9.0,1.0,1.0,H2075
