nom_hotel,annee,mois,categorie,sous_categorie,is_weekend,nombre_ventes,montant_ventes,nombre_paniers,nombre_produits
Ibis budget Nice,2023,8,N_F_B,ACCESSOIRES,0,22.0,265.0,16.0,11.0
Ibis budget Nice,2023,8,N_F_B,ACCESSOIRES,1,10.0,118.0,9.0,5.0
Ibis budget Nice,2023,8,N_F_B,COSMETIQUE,0,1.0,10.0,1.0,1.0
Ibis budget Nice,2023,8,N_F_B,PAP,0,5.0,52.0,5.0,5.0
Ibis budget Nice,2023,8,N_F_B,PAP,1,2.0,22.0,2.0,2.0
Ibis budget Nice,2023,8,N_F_B,SOS,0,1.0,8.0,1.0,1.0
Ibis budget Nice,2023,9,N_F_B,ACCESSOIRES,0,8.0,87.0,6.0,5.0
Ibis budget Nice,2023,9,N_F_B,ACCESSOIRES,1,8.0,99.0,7.0,6.0
Ibis budget Nice,2023,9,N_F_B,COSMETIQUE,0,2.0,20.0,2.0,1.0
Ibis budget Nice,2023,9,N_F_B,COSMETIQUE,1,1.0,10.0,1.0,1.0
Ibis budget Nice,2023,9,N_F_B,PAP,0,7.0,71.0,7.0,5.0
Ibis budget Nice,2023,9,N_F_B,PAP,1,3.0,27.0,3.0,3.0
Ibis budget Nice,2023,9,N_F_B,SOS,1,1.0,8.0,1.0,1.0
Ibis budget Nice,2023,10,N_F_B,ACCESSOIRES,0,10.0,94.0,7.0,5.0
Ibis budget Nice,2023,10,N_F_B,ACCESSOIRES,1,7.0,67.0,7.0,5.0
Ibis budget Nice,2023,10,N_F_B,PAP,0,3.0,27.0,3.0,2.0
Ibis budget Nice,2023,10,N_F_B,PAP,1,2.0,18.0,2.0,2.0
Ibis budget Nice,2023,11,N_F_B,PAP,0,1.0,9.0,1.0,1.0
Ibis budget Nice,2024,3,N_F_B,ACCESSOIRES,0,1.0,10.0,1.0,1.0
Ibis budget Nice,2024,3,N_F_B,ACCESSOIRES,1,1.0,6.0,1.0,1.0
Ibis budget Nice,2024,4,N_F_B,ACCESSOIRES,0,4.0,65.0,5.0,3.0
Ibis budget Nice,2024,4,N_F_B,ACCESSOIRES,1,5.0,52.0,4.0,4.0
Ibis budget Nice,2024,4,N_F_B,COSMETIQUE,0,1.0,10.0,1.0,1.0
Ibis budget Nice,2024,4,N_F_B,COSMETIQUE,1,1.0,10.0,1.0,1.0
Ibis budget Nice,2024,4,N_F_B,SOS,0,1.0,8.0,1.0,1.0
Ibis budget Nice,2024,5,F_B,SANS ALCOOL,0,27.0,66.5,23.0,8.0
Ibis budget Nice,2024,5,F_B,SANS ALCOOL,1,9.0,21.3,7.0,3.0
Ibis budget Nice,2024,5,N_F_B,ACCESSOIRES,0,5.0,68.0,5.0,5.0
Ibis budget Nice,2024,5,N_F_B,ACCESSOIRES,1,3.0,29.0,3.0,3.0
Ibis budget Nice,2024,5,N_F_B,PAP,0,8.0,73.0,6.0,7.0
Ibis budget Nice,2024,5,N_F_B,PAP,1,1.0,13.0,1.0,1.0
Ibis budget Nice,2024,6,F_B,FOOD SALEE,0,10.0,21.5,9.0,3.0
Ibis budget Nice,2024,6,F_B,FOOD SALEE,1,11.0,24.5,9.0,3.0
Ibis budget Nice,2024,6,F_B,SANS ALCOOL,0,133.0,309.40000000000003,98.0,14.0
Ibis budget Nice,2024,6,F_B,SANS ALCOOL,1,63.0,145.0,45.0,15.0
Ibis budget Nice,2024,6,N_F_B,ACCESSOIRES,0,9.0,83.1,9.0,7.0
Ibis budget Nice,2024,6,N_F_B,ACCESSOIRES,1,11.0,125.0,11.0,7.0
Ibis budget Nice,2024,6,N_F_B,COSMETIQUE,0,1.0,10.0,1.0,1.0
Ibis budget Nice,2024,6,N_F_B,JEUX / ENFANTS,1,1.0,18.0,1.0,1.0
Ibis budget Nice,2024,6,N_F_B,PAP,0,2.0,23.0,2.0,2.0
Ibis budget Nice,2024,6,N_F_B,PAP,1,5.0,66.0,5.0,5.0
Ibis budget Nice,2024,6,N_F_B,SOS,0,1.0,16.0,1.0,1.0
Ibis budget Nice,2024,7,F_B,FOOD SALEE,0,15.0,36.0,14.0,5.0
Ibis budget Nice,2024,7,F_B,FOOD SALEE,1,9.0,23.0,7.0,3.0
Ibis budget Nice,2024,7,F_B,SANS ALCOOL,0,208.0,490.20000000000005,133.0,16.0
Ibis budget Nice,2024,7,F_B,SANS ALCOOL,1,73.0,172.4,41.0,14.0
Ibis budget Nice,2024,7,N_F_B,ACCESSOIRES,0,20.0,182.5,19.0,12.0
Ibis budget Nice,2024,7,N_F_B,ACCESSOIRES,1,1.0,6.0,1.0,1.0
Ibis budget Nice,2024,7,N_F_B,COSMETIQUE,0,2.0,20.0,2.0,1.0
Ibis budget Nice,2024,7,N_F_B,JEUX / ENFANTS,0,2.0,36.0,2.0,1.0
Ibis budget Nice,2024,7,N_F_B,JEUX / ENFANTS,1,1.0,18.0,1.0,1.0
Ibis budget Nice,2024,7,N_F_B,PAP,0,5.0,50.0,4.0,2.0
Ibis budget Nice,2024,7,N_F_B,PAP,1,1.0,10.0,1.0,1.0
Ibis budget Nice,2024,7,N_F_B,SOS,0,1.0,8.0,1.0,1.0
Ibis budget Nice,2024,8,F_B,FOOD SALEE,0,11.0,31.0,8.0,4.0
Ibis budget Nice,2024,8,F_B,FOOD SALEE,1,6.0,16.0,4.0,4.0
Ibis budget Nice,2024,8,F_B,SANS ALCOOL,0,217.0,516.8000000000001,143.0,16.0
Ibis budget Nice,2024,8,F_B,SANS ALCOOL,1,105.0,247.20000000000002,64.0,16.0
Ibis budget Nice,2024,8,N_F_B,ACCESSOIRES,0,15.0,157.0,10.0,9.0
Ibis budget Nice,2024,8,N_F_B,ACCESSOIRES,1,8.0,102.0,8.0,4.0
Ibis budget Nice,2024,8,N_F_B,COSMETIQUE,0,2.0,19.0,2.0,2.0
Ibis budget Nice,2024,8,N_F_B,COSMETIQUE,1,1.0,10.0,1.0,1.0
Ibis budget Nice,2024,8,N_F_B,JEUX / ENFANTS,0,3.0,54.0,3.0,1.0
Ibis budget Nice,2024,8,N_F_B,PAP,0,1.0,10.0,1.0,1.0
Ibis budget Nice,2024,8,N_F_B,PAP,1,1.0,10.0,1.0,1.0
Ibis budget Nice,2024,9,F_B,FOOD SALEE,0,7.0,15.5,7.0,3.0
Ibis budget Nice,2024,9,F_B,FOOD SALEE,1,10.0,21.0,8.0,3.0
Ibis budget Nice,2024,9,F_B,FOOD SUCREE,0,16.0,30.0,14.0,5.0
Ibis budget Nice,2024,9,F_B,FOOD SUCREE,1,9.0,17.5,7.0,6.0
Ibis budget Nice,2024,9,F_B,SANS ALCOOL,0,127.0,294.6,89.0,15.0
Ibis budget Nice,2024,9,F_B,SANS ALCOOL,1,67.0,162.6,41.0,13.0
Ibis budget Nice,2024,9,N_F_B,ACCESSOIRES,0,13.0,145.0,11.0,7.0
Ibis budget Nice,2024,9,N_F_B,ACCESSOIRES,1,1.0,6.0,1.0,1.0
Ibis budget Nice,2024,9,N_F_B,COSMETIQUE,1,1.0,10.0,1.0,1.0
Ibis budget Nice,2024,9,N_F_B,PAP,0,5.0,49.0,5.0,5.0
Ibis budget Nice,2024,9,N_F_B,PAP,1,2.0,20.0,2.0,2.0
Ibis budget Nice,2024,10,F_B,FOOD SALEE,0,10.0,21.5,9.0,3.0
Ibis budget Nice,2024,10,F_B,FOOD SALEE,1,4.0,9.0,4.0,3.0
Ibis budget Nice,2024,10,F_B,FOOD SUCREE,0,16.0,31.5,11.0,7.0
Ibis budget Nice,2024,10,F_B,FOOD SUCREE,1,4.0,8.5,3.0,3.0
Ibis budget Nice,2024,10,F_B,SANS ALCOOL,0,101.0,230.9,69.0,15.0
Ibis budget Nice,2024,10,F_B,SANS ALCOOL,1,46.0,105.9,34.0,11.0
Ibis budget Nice,2024,10,N_F_B,ACCESSOIRES,0,10.0,92.0,7.0,8.0
Ibis budget Nice,2024,10,N_F_B,ACCESSOIRES,1,1.0,6.0,1.0,1.0
Ibis budget Nice,2024,10,N_F_B,PAP,0,4.0,35.0,4.0,3.0
Ibis budget Nice,2024,10,N_F_B,SOS,0,3.0,42.0,2.0,1.0
Ibis budget Nice,2024,10,N_F_B,SOS,1,1.0,14.0,1.0,1.0
Ibis budget Nice,2024,11,F_B,FOOD SALEE,0,2.0,4.5,2.0,2.0
Ibis budget Nice,2024,11,F_B,FOOD SALEE,1,4.0,8.5,3.0,4.0
Ibis budget Nice,2024,11,F_B,FOOD SUCREE,0,7.0,11.5,7.0,5.0
Ibis budget Nice,2024,11,F_B,FOOD SUCREE,1,6.0,9.0,6.0,3.0
Ibis budget Nice,2024,11,F_B,SANS ALCOOL,0,46.0,111.60000000000001,34.0,15.0
Ibis budget Nice,2024,11,F_B,SANS ALCOOL,1,33.0,78.10000000000001,25.0,14.0
Ibis budget Nice,2024,11,N_F_B,ACCESSOIRES,1,2.0,12.0,2.0,2.0
Ibis budget Nice,2024,11,N_F_B,PAP,0,1.0,6.0,1.0,1.0
Ibis budget Nice,2024,12,F_B,FOOD SALEE,0,7.0,15.0,6.0,3.0
Ibis budget Nice,2024,12,F_B,FOOD SUCREE,0,15.0,26.5,9.0,6.0
Ibis budget Nice,2024,12,F_B,SANS ALCOOL,0,55.0,124.7,42.0,14.0
Ibis budget Nice,2024,12,F_B,SANS ALCOOL,1,31.0,69.80000000000001,18.0,7.0
Ibis budget Nice,2024,12,N_F_B,ACCESSOIRES,0,1.0,13.0,1.0,1.0
Ibis budget Nice,2025,1,F_B,FOOD SALEE,0,10.0,20.5,8.0,4.0
Ibis budget Nice,2025,1,F_B,FOOD SALEE,1,4.0,8.0,2.0,3.0
Ibis budget Nice,2025,1,F_B,FOOD SUCREE,0,13.0,20.5,10.0,4.0
Ibis budget Nice,2025,1,F_B,FOOD SUCREE,1,2.0,4.5,2.0,2.0
Ibis budget Nice,2025,1,F_B,SANS ALCOOL,0,92.0,214.20000000000002,64.0,15.0
Ibis budget Nice,2025,1,F_B,SANS ALCOOL,1,19.0,43.900000000000006,14.0,9.0
Ibis budget Nice,2025,1,N_F_B,ACCESSOIRES,0,1.0,10.0,1.0,1.0
Ibis budget Nice,2025,1,N_F_B,ACCESSOIRES,1,1.0,10.0,1.0,1.0
Ibis budget Nice,2025,1,N_F_B,SOS,0,1.0,14.0,1.0,1.0
Ibis budget Nice,2025,2,F_B,FOOD SALEE,0,8.0,16.0,4.0,2.0
Ibis budget Nice,2025,2,F_B,FOOD SALEE,1,2.0,4.0,2.0,2.0
Ibis budget Nice,2025,2,F_B,FOOD SUCREE,0,5.0,10.5,4.0,4.0
Ibis budget Nice,2025,2,F_B,FOOD SUCREE,1,4.0,7.0,4.0,2.0
Ibis budget Nice,2025,2,F_B,SANS ALCOOL,0,50.0,120.80000000000001,34.0,13.0
Ibis budget Nice,2025,2,F_B,SANS ALCOOL,1,39.0,94.0,31.0,13.0
Ibis budget Nice,2025,2,N_F_B,ACCESSOIRES,0,1.0,10.0,1.0,1.0
Ibis budget Nice,2025,2,N_F_B,PAP,0,1.0,6.0,1.0,1.0
