nom_hotel,annee,mois,weekend_0_nombre_ventes,weekend_1_nombre_ventes,weekend_0_montant_ventes,weekend_1_montant_ventes,weekend_0_nombre_paniers,weekend_1_nombre_paniers,weekend_0_nombre_produits,weekend_1_nombre_produits
Ibis budget Nice,2023,1,15.0,8.5,160.75,92.25,12.25,8.0,9.25,6.25
Ibis budget Nice,2023,2,15.0,8.5,160.75,92.25,12.25,8.0,9.25,6.25
Ibis budget Nice,2023,3,15.0,8.5,160.75,92.25,12.25,8.0,9.25,6.25
Ibis budget Nice,2023,4,15.0,8.5,160.75,92.25,12.25,8.0,9.25,6.25
Ibis budget Nice,2023,5,15.0,8.5,160.75,92.25,12.25,8.0,9.25,6.25
Ibis budget Nice,2023,6,15.0,8.5,160.75,92.25,12.25,8.0,9.25,6.25
Ibis budget Nice,2023,7,15.0,8.5,160.75,92.25,12.25,8.0,9.25,6.25
Ibis budget Nice,2023,8,29.0,12.0,335.0,140.0,23.0,11.0,18.0,7.0
Ibis budget Nice,2023,9,17.0,13.0,178.0,144.0,15.0,12.0,11.0,11.0
Ibis budget Nice,2023,10,13.0,9.0,121.0,85.0,10.0,9.0,7.0,7.0
Ibis budget Nice,2023,11,1.0,0.0,9.0,0.0,1.0,0.0,1.0,0.0
Ibis budget Nice,2023,12,15.0,8.5,160.75,92.25,12.25,8.0,9.25,6.25
Ibis budget Nice,2024,1,115.1,53.9,367.38,168.23,83.4,37.4,24.4,16.5
Ibis budget Nice,2024,2,115.1,53.9,367.38,168.23,83.4,37.4,24.4,16.5
Ibis budget Nice,2024,3,1.0,1.0,10.0,6.0,1.0,1.0,1.0,1.0
Ibis budget Nice,2024,4,6.0,6.0,83.0,62.0,7.0,5.0,5.0,5.0
Ibis budget Nice,2024,5,40.0,13.0,207.5,63.3,34.0,11.0,20.0,7.0
Ibis budget Nice,2024,6,156.0,91.0,463.0,378.5,120.0,71.0,28.0,31.0
Ibis budget Nice,2024,7,253.0,85.0,822.7,229.4,175.0,51.0,38.0,20.0
Ibis budget Nice,2024,8,249.0,121.0,787.8000000000001,385.20000000000005,167.0,78.0,33.0,26.0
Ibis budget Nice,2024,9,168.0,90.0,534.1,237.1,126.0,60.0,35.0,26.0
Ibis budget Nice,2024,10,144.0,56.0,452.9,143.4,102.0,43.0,37.0,19.0
Ibis budget Nice,2024,11,56.0,45.0,133.60000000000002,107.60000000000001,44.0,36.0,23.0,23.0
Ibis budget Nice,2024,12,78.0,31.0,179.2,69.80000000000001,58.0,18.0,24.0,7.0
Ibis budget Nice,2025,1,117.0,26.0,279.20000000000005,66.4,84.0,19.0,25.0,15.0
Ibis budget Nice,2025,2,65.0,45.0,163.3,105.0,44.0,37.0,21.0,17.0
Ibis budget Nice,2025,3,162.0,83.0,414.2,211.4,131.0,68.0,24.0,25.0
Ibis budget Nice,2025,4,209.0,57.0,652.1,164.2,162.0,42.0,42.0,20.0
Ibis budget Nice,2025,5,291.0,120.0,999.1,347.1,195.0,80.0,42.0,27.0
Ibis budget Nice,2025,6,303.0,170.0,1033.2,600.5,209.0,112.0,47.0,35.0
Ibis budget Nice,2025,7,336.0,115.0,1262.3000000000002,428.3,252.0,76.0,52.0,32.0
Ibis budget Nice,2025,8,320.0,160.0,1077.3000000000002,723.5,218.0,100.0,47.0,42.0
Ibis budget Nice,2025,9,268.0,147.0,1094.4,412.2,205.0,98.0,53.0,29.0
Ibis budget Nice,2025,10,239.0,80.0,756.7,239.3,166.0,58.0,42.0,28.0
Ibis budget Nice,2025,11,109.0,93.0,261.9,289.20000000000005,78.0,65.0,25.0,26.0
Ibis budget Nice,2025,12,122.0,41.0,365.1,102.80000000000001,84.0,30.0,27.0,16.0
Ibis budget Strasbourg Centre République,2024,1,189.0,73.0,672.3333333333334,293.5,153.33333333333334,52.0,25.0,20.666666666666668
Ibis budget Strasbourg Centre République,2024,2,189.0,73.0,672.3333333333334,293.5,153.33333333333334,52.0,25.0,20.666666666666668
Ibis budget Strasbourg Centre République,2024,3,189.0,73.0,672.3333333333334,293.5,153.33333333333334,52.0,25.0,20.666666666666668
Ibis budget Strasbourg Centre République,2024,4,189.0,73.0,672.3333333333334,293.5,153.33333333333334,52.0,25.0,20.666666666666668
Ibis budget Strasbourg Centre République,2024,5,189.0,73.0,672.3333333333334,293.5,153.33333333333334,52.0,25.0,20.666666666666668
Ibis budget Strasbourg Centre République,2024,6,189.0,73.0,672.3333333333334,293.5,153.33333333333334,52.0,25.0,20.666666666666668
Ibis budget Strasbourg Centre République,2024,7,189.0,73.0,672.3333333333334,293.5,153.33333333333334,52.0,25.0,20.666666666666668
Ibis budget Strasbourg Centre République,2024,8,189.0,73.0,672.3333333333334,293.5,153.33333333333334,52.0,25.0,20.666666666666668
Ibis budget Strasbourg Centre République,2024,9,189.0,73.0,672.3333333333334,293.5,153.33333333333334,52.0,25.0,20.666666666666668
Ibis budget Strasbourg Centre République,2024,10,106.0,45.0,379.5,239.0,83.0,29.0,21.0,18.0
Ibis budget Strasbourg Centre République,2024,11,182.0,70.0,680.0,263.5,157.0,53.0,27.0,22.0
