nom_hotel,annee,mois,categorie,sous_categorie,is_holiday,nombre_ventes,montant_ventes,nombre_paniers,nombre_produits,hotel_code
Ibis budget Nice,2023,8,N_F_B,ACCESSOIRES,0,31,370.0,24,11,H2075
Ibis budget Nice,2023,8,N_F_B,ACCESSOIRES,1,1,13.0,1,1,H2075
Ibis budget Nice,2023,8,N_F_B,COSMETIQUE,0,1,10.0,1,1,H2075
Ibis budget Nice,2023,8,N_F_B,PAP,0,7,74.0,7,5,H2075
Ibis budget Nice,2023,8,N_F_B,SOS,0,1,8.0,1,1,H2075
Ibis budget Nice,2023,9,N_F_B,ACCESSOIRES,0,16,186.0,13,9,H2075
Ibis budget Nice,2023,9,N_F_B,COSMETIQUE,0,3,30.0,3,1,H2075
Ibis budget Nice,2023,9,N_F_B,PAP,0,10,98.0,10,5,H2075
Ibis budget Nice,2023,9,N_F_B,SOS,0,1,8.0,1,1,H2075
Ibis budget Nice,2023,10,N_F_B,ACCESSOIRES,0,17,161.0,14,8,H2075
Ibis budget Nice,2023,10,N_F_B,PAP,0,5,45.0,5,3,H2075
Ibis budget Nice,2023,11,N_F_B,PAP,0,1,9.0,1,1,H2075
Ibis budget Nice,2024,3,N_F_B,ACCESSOIRES,0,2,16.0,2,2,H2075
Ibis budget Nice,2024,4,N_F_B,ACCESSOIRES,0,9,117.0,9,5,H2075
Ibis budget Nice,2024,4,N_F_B,COSMETIQUE,0,2,20.0,2,1,H2075
Ibis budget Nice,2024,4,N_F_B,SOS,0,1,8.0,1,1,H2075
Ibis budget Nice,2024,5,F_B,SANS ALCOOL,0,36,87.80000000000001,30,8,H2075
Ibis budget Nice,2024,5,N_F_B,ACCESSOIRES,0,8,97.0,8,8,H2075
Ibis budget Nice,2024,5,N_F_B,PAP,0,9,86.0,7,8,H2075
Ibis budget Nice,2024,6,F_B,FOOD SALEE,0,21,46.0,18,3,H2075
Ibis budget Nice,2024,6,F_B,SANS ALCOOL,0,196,454.40000000000003,143,15,H2075
Ibis budget Nice,2024,6,N_F_B,ACCESSOIRES,0,20,208.1,20,12,H2075
Ibis budget Nice,2024,6,N_F_B,COSMETIQUE,0,1,10.0,1,1,H2075
Ibis budget Nice,2024,6,N_F_B,JEUX / ENFANTS,0,1,18.0,1,1,H2075
Ibis budget Nice,2024,6,N_F_B,PAP,0,7,89.0,7,7,H2075
Ibis budget Nice,2024,6,N_F_B,SOS,0,1,16.0,1,1,H2075
Ibis budget Nice,2024,7,F_B,FOOD SALEE,0,24,59.0,21,5,H2075
Ibis budget Nice,2024,7,F_B,SANS ALCOOL,0,275,648.8000000000001,169,16,H2075
Ibis budget Nice,2024,7,F_B,SANS ALCOOL,1,6,13.8,5,5,H2075
Ibis budget Nice,2024,7,N_F_B,ACCESSOIRES,0,21,188.5,20,12,H2075
Ibis budget Nice,2024,7,N_F_B,COSMETIQUE,0,2,20.0,2,1,H2075
Ibis budget Nice,2024,7,N_F_B,JEUX / ENFANTS,0,3,54.0,3,1,H2075
Ibis budget Nice,2024,7,N_F_B,PAP,0,6,60.0,5,2,H2075
Ibis budget Nice,2024,7,N_F_B,SOS,0,1,8.0,1,1,H2075
Ibis budget Nice,2024,8,F_B,FOOD SALEE,0,17,47.0,12,4,H2075
Ibis budget Nice,2024,8,F_B,SANS ALCOOL,0,322,764.0,207,16,H2075
Ibis budget Nice,2024,8,N_F_B,ACCESSOIRES,0,23,259.0,18,11,H2075
Ibis budget Nice,2024,8,N_F_B,COSMETIQUE,0,3,29.0,3,2,H2075
Ibis budget Nice,2024,8,N_F_B,JEUX / ENFANTS,0,3,54.0,3,1,H2075
Ibis budget Nice,2024,8,N_F_B,PAP,0,2,20.0,2,2,H2075
Ibis budget Nice,2024,9,F_B,FOOD SALEE,0,17,36.5,15,4,H2075
Ibis budget Nice,2024,9,F_B,FOOD SUCREE,0,25,47.5,21,6,H2075
Ibis budget Nice,2024,9,F_B,SANS ALCOOL,0,194,457.20000000000005,130,15,H2075
Ibis budget Nice,2024,9,N_F_B,ACCESSOIRES,0,14,151.0,12,8,H2075
Ibis budget Nice,2024,9,N_F_B,COSMETIQUE,0,1,10.0,1,1,H2075
Ibis budget Nice,2024,9,N_F_B,PAP,0,7,69.0,7,5,H2075
Ibis budget Nice,2024,10,F_B,FOOD SALEE,0,14,30.5,13,3,H2075
Ibis budget Nice,2024,10,F_B,FOOD SUCREE,0,20,40.0,14,7,H2075
Ibis budget Nice,2024,10,F_B,SANS ALCOOL,0,147,336.8,103,16,H2075
Ibis budget Nice,2024,10,N_F_B,ACCESSOIRES,0,11,98.0,8,9,H2075
Ibis budget Nice,2024,10,N_F_B,PAP,0,4,35.0,4,3,H2075
Ibis budget Nice,2024,10,N_F_B,SOS,0,4,56.0,3,1,H2075
Ibis budget Nice,2024,11,F_B,FOOD SALEE,0,6,13.0,5,4,H2075
Ibis budget Nice,2024,11,F_B,FOOD SUCREE,0,12,18.5,12,5,H2075
Ibis budget Nice,2024,11,F_B,FOOD SUCREE,1,1,2.0,1,1,H2075
Ibis budget Nice,2024,11,F_B,SANS ALCOOL,0,72,171.4,55,15,H2075
Ibis budget Nice,2024,11,F_B,SANS ALCOOL,1,7,18.3,4,6,H2075
Ibis budget Nice,2024,11,N_F_B,ACCESSOIRES,0,2,12.0,2,2,H2075
Ibis budget Nice,2024,11,N_F_B,PAP,0,1,6.0,1,1,H2075
Ibis budget Nice,2024,12,F_B,FOOD SALEE,0,5,10.5,4,3,H2075
Ibis budget Nice,2024,12,F_B,FOOD SALEE,1,2,4.5,2,2,H2075
Ibis budget Nice,2024,12,F_B,FOOD SUCREE,0,14,25.0,8,6,H2075
Ibis budget Nice,2024,12,F_B,FOOD SUCREE,1,1,1.5,1,1,H2075
Ibis budget Nice,2024,12,F_B,SANS ALCOOL,0,83,188.10000000000002,58,14,H2075
Ibis budget Nice,2024,12,F_B,SANS ALCOOL,1,3,6.4,2,2,H2075
Ibis budget Nice,2024,12,N_F_B,ACCESSOIRES,0,1,13.0,1,1,H2075
Ibis budget Nice,2025,1,F_B,FOOD SALEE,0,12,24.0,8,3,H2075
Ibis budget Nice,2025,1,F_B,FOOD SALEE,1,2,4.5,2,2,H2075
Ibis budget Nice,2025,1,F_B,FOOD SUCREE,0,15,25.0,12,5,H2075
Ibis budget Nice,2025,1,F_B,SANS ALCOOL,0,97,225.3,69,14,H2075
Ibis budget Nice,2025,1,F_B,SANS ALCOOL,1,14,32.8,9,11,H2075
Ibis budget Nice,2025,1,N_F_B,ACCESSOIRES,0,2,20.0,2,2,H2075
Ibis budget Nice,2025,1,N_F_B,SOS,0,1,14.0,1,1,H2075
Ibis budget Nice,2025,2,F_B,FOOD SALEE,0,10,20.0,6,3,H2075
Ibis budget Nice,2025,2,F_B,FOOD SUCREE,0,9,17.5,8,4,H2075
Ibis budget Nice,2025,2,F_B,SANS ALCOOL,0,89,214.8,65,15,H2075
Ibis budget Nice,2025,2,N_F_B,ACCESSOIRES,0,1,10.0,1,1,H2075
Ibis budget Nice,2025,2,N_F_B,PAP,0,1,6.0,1,1,H2075
Ibis budget Nice,2025,3,F_B,FOOD SALEE,0,9,19.5,7,4,H2075
Ibis budget Nice,2025,3,F_B,FOOD SUCREE,0,23,41.0,18,5,H2075
Ibis budget Nice,2025,3,F_B,SANS ALCOOL,0,211,518.1,170,18,H2075
Ibis budget Nice,2025,3,N_F_B,#REF!,0,0,22.0,2,0,H2075
Ibis budget Nice,2025,3,N_F_B,ACCESSOIRES,0,2,25.0,2,2,H2075
Ibis budget Nice,2025,4,F_B,FOOD SALEE,0,20,55.5,15,7,H2075
Ibis budget Nice,2025,4,F_B,FOOD SUCREE,0,18,39.6,16,5,H2075
Ibis budget Nice,2025,4,F_B,SANS ALCOOL,0,209,498.1,158,17,H2075
Ibis budget Nice,2025,4,N_F_B,#REF!,0,1,12.0,1,1,H2075
Ibis budget Nice,2025,4,N_F_B,ACCESSOIRES,0,12,144.1,9,11,H2075
Ibis budget Nice,2025,4,N_F_B,COSMETIQUE,0,1,9.0,1,1,H2075
Ibis budget Nice,2025,4,N_F_B,PAP,0,4,44.0,3,4,H2075
Ibis budget Nice,2025,4,N_F_B,SOS,0,1,14.0,1,1,H2075
Ibis budget Nice,2025,5,F_B,FOOD SALEE,0,20,68.5,13,6,H2075
Ibis budget Nice,2025,5,F_B,FOOD SALEE,1,1,2.0,1,1,H2075
Ibis budget Nice,2025,5,F_B,SANS ALCOOL,0,322,755.5,205,17,H2075
Ibis budget Nice,2025,5,F_B,SANS ALCOOL,1,28,64.2,19,8,H2075
Ibis budget Nice,2025,5,N_F_B,#REF!,0,11,132.0,11,5,H2075
Ibis budget Nice,2025,5,N_F_B,#REF!,1,2,35.0,2,2,H2075
Ibis budget Nice,2025,5,N_F_B,ACCESSOIRES,0,17,172.0,15,10,H2075
Ibis budget Nice,2025,5,N_F_B,ACCESSOIRES,1,3,35.0,2,3,H2075
Ibis budget Nice,2025,5,N_F_B,JEUX / ENFANTS,0,1,18.0,1,1,H2075
Ibis budget Nice,2025,5,N_F_B,PAP,0,5,50.0,5,4,H2075
Ibis budget Nice,2025,5,N_F_B,SOS,0,1,14.0,1,1,H2075
Ibis budget Nice,2025,6,F_B,FOOD SALEE,0,25,67.5,19,6,H2075
Ibis budget Nice,2025,6,F_B,SANS ALCOOL,0,382,894.2,242,18,H2075
Ibis budget Nice,2025,6,N_F_B,#REF!,0,23,295.0,19,8,H2075
Ibis budget Nice,2025,6,N_F_B,ACCESSOIRES,0,31,220.0,27,12,H2075
Ibis budget Nice,2025,6,N_F_B,JEUX / ENFANTS,0,2,36.0,2,1,H2075
Ibis budget Nice,2025,6,N_F_B,PAP,0,9,113.0,11,5,H2075
Ibis budget Nice,2025,6,N_F_B,SOS,0,1,8.0,1,1,H2075
Ibis budget Nice,2025,7,F_B,FOOD SALEE,0,40,116.5,33,9,H2075
Ibis budget Nice,2025,7,F_B,FOOD SALEE,1,2,4.5,1,2,H2075
Ibis budget Nice,2025,7,F_B,SANS ALCOOL,0,327,779.5,227,18,H2075
Ibis budget Nice,2025,7,F_B,SANS ALCOOL,1,16,39.1,9,9,H2075
Ibis budget Nice,2025,7,N_F_B,#REF!,0,32,410.0,25,13,H2075
Ibis budget Nice,2025,7,N_F_B,#REF!,1,1,15.0,1,1,H2075
Ibis budget Nice,2025,7,N_F_B,ACCESSOIRES,0,22,202.0,21,9,H2075
Ibis budget Nice,2025,7,N_F_B,JEUX / ENFANTS,0,2,36.0,2,1,H2075
Ibis budget Nice,2025,7,N_F_B,PAP,0,9,88.0,9,4,H2075
Ibis budget Nice,2025,8,F_B,FOOD SALEE,0,26,83.0,20,8,H2075
Ibis budget Nice,2025,8,F_B,SANS ALCOOL,0,358,842.3000000000001,223,18,H2075
Ibis budget Nice,2025,8,F_B,SANS ALCOOL,1,11,26.5,8,6,H2075
Ibis budget Nice,2025,8,N_F_B,#REF!,0,30,360.0,29,15,H2075
Ibis budget Nice,2025,8,N_F_B,ACCESSOIRES,0,49,429.0,33,14,H2075
Ibis budget Nice,2025,8,N_F_B,ACCESSOIRES,1,4,24.0,3,3,H2075
Ibis budget Nice,2025,8,N_F_B,JEUX / ENFANTS,0,2,36.0,2,1,H2075
Ibis budget Nice,2025,9,F_B,FOOD SALEE,0,35,94.5,29,8,H2075
Ibis budget Nice,2025,9,F_B,SANS ALCOOL,0,314,733.1,211,18,H2075
Ibis budget Nice,2025,9,N_F_B,#REF!,0,32,424.0,31,12,H2075
Ibis budget Nice,2025,9,N_F_B,ACCESSOIRES,0,32,232.0,30,14,H2075
Ibis budget Nice,2025,9,N_F_B,PAP,0,2,23.0,2,2,H2075
Ibis budget Nice,2025,10,F_B,FOOD SALEE,0,32,91.5,27,8,H2075
Ibis budget Nice,2025,10,F_B,SANS ALCOOL,0,253,603.5,168,18,H2075
Ibis budget Nice,2025,10,N_F_B,#REF!,0,11,116.0,10,7,H2075
Ibis budget Nice,2025,10,N_F_B,ACCESSOIRES,0,20,155.0,16,12,H2075
Ibis budget Nice,2025,10,N_F_B,PAP,0,3,30.0,3,2,H2075
Ibis budget Nice,2025,11,F_B,FOOD SALEE,0,16,42.0,13,8,H2075
Ibis budget Nice,2025,11,F_B,FOOD SALEE,1,1,4.0,1,1,H2075
Ibis budget Nice,2025,11,F_B,SANS ALCOOL,0,168,392.1,113,18,H2075
Ibis budget Nice,2025,11,F_B,SANS ALCOOL,1,5,11.0,5,1,H2075
Ibis budget Nice,2025,11,NAN,nan,0,3,6.0,2,1,H2075
Ibis budget Nice,2025,11,N_F_B,#REF!,0,6,72.0,6,2,H2075
Ibis budget Nice,2025,11,N_F_B,#REF!,1,1,12.0,1,1,H2075
Ibis budget Nice,2025,11,N_F_B,ACCESSOIRES,0,2,12.0,2,2,H2075
Ibis budget Nice,2025,12,F_B,FOOD SALEE,0,8,22.0,7,5,H2075
Ibis budget Nice,2025,12,F_B,SANS ALCOOL,0,127,307.20000000000005,81,16,H2075
Ibis budget Nice,2025,12,F_B,SANS ALCOOL,1,2,4.7,1,2,H2075
Ibis budget Nice,2025,12,NAN,nan,0,18,58.0,17,3,H2075
Ibis budget Nice,2025,12,N_F_B,#REF!,0,3,32.0,3,2,H2075
Ibis budget Nice,2025,12,N_F_B,ACCESSOIRES,0,3,24.0,3,3,H2075
Ibis budget Nice,2025,12,N_F_B,PAP,0,1,16.0,1,1,H2075
Ibis budget Nice,2025,12,N_F_B,SOS,0,1,4.0,1,1,H2075
Ibis budget Strasbourg Centre République,2024,10,F_B,FOOD SALEE,0,15,142.5,13,4,HB6A3
Ibis budget Strasbourg Centre République,2024,10,F_B,FOOD SUCREE,0,39,138.5,26,6,HB6A3
Ibis budget Strasbourg Centre République,2024,10,F_B,SANS ALCOOL,0,97,337.5,73,12,HB6A3
Ibis budget Strasbourg Centre République,2024,11,F_B,FOOD SALEE,0,26,250.0,22,4,HB6A3
Ibis budget Strasbourg Centre République,2024,11,F_B,FOOD SALEE,1,1,15.0,1,1,HB6A3
Ibis budget Strasbourg Centre République,2024,11,F_B,FOOD SUCREE,0,87,261.0,69,11,HB6A3
Ibis budget Strasbourg Centre République,2024,11,F_B,FOOD SUCREE,1,4,13.0,4,4,HB6A3
Ibis budget Strasbourg Centre République,2024,11,F_B,SANS ALCOOL,0,120,362.5,103,14,HB6A3
Ibis budget Strasbourg Centre République,2024,11,F_B,SANS ALCOOL,1,14,42.0,11,7,HB6A3
Ibis budget Strasbourg Centre République,2024,12,F_B,FOOD SALEE,0,30,92.5,28,4,HB6A3
Ibis budget Strasbourg Centre République,2024,12,F_B,FOOD SALEE,1,1,2.5,1,1,HB6A3
Ibis budget Strasbourg Centre République,2024,12,F_B,FOOD SUCREE,0,95,302.5,73,10,HB6A3
Ibis budget Strasbourg Centre République,2024,12,F_B,FOOD SUCREE,1,6,20.0,3,3,HB6A3
Ibis budget Strasbourg Centre République,2024,12,F_B,SANS ALCOOL,0,238,855.0,179,13,HB6A3
Ibis budget Strasbourg Centre République,2024,12,F_B,SANS ALCOOL,1,13,63.0,10,7,HB6A3
Ibis budget Strasbourg Centre République,2025,1,F_B,FOOD SALEE,0,18,75.0,15,2,HB6A3
Ibis budget Strasbourg Centre République,2025,1,F_B,FOOD SALEE,1,3,7.5,3,2,HB6A3
Ibis budget Strasbourg Centre République,2025,1,F_B,FOOD SUCREE,0,50,163.0,36,8,HB6A3
Ibis budget Strasbourg Centre République,2025,1,F_B,FOOD SUCREE,1,5,13.0,5,4,HB6A3
Ibis budget Strasbourg Centre République,2025,1,F_B,SANS ALCOOL,0,124,394.5,94,13,HB6A3
Ibis budget Strasbourg Centre République,2025,1,F_B,SANS ALCOOL,1,17,47.5,15,6,HB6A3
Ibis budget Strasbourg Centre République,2025,2,F_B,FOOD SALEE,0,21,85.0,16,3,HB6A3
Ibis budget Strasbourg Centre République,2025,2,F_B,FOOD SUCREE,0,57,193.5,28,8,HB6A3
Ibis budget Strasbourg Centre République,2025,2,F_B,SANS ALCOOL,0,118,466.5,85,13,HB6A3
Ibis budget Strasbourg Centre République,2025,3,F_B,FOOD SALEE,0,22,166.5,19,5,HB6A3
Ibis budget Strasbourg Centre République,2025,3,F_B,FOOD SUCREE,0,98,320.0,65,10,HB6A3
Ibis budget Strasbourg Centre République,2025,3,F_B,SANS ALCOOL,0,150,438.0,121,12,HB6A3
Ibis budget Strasbourg Centre République,2025,4,F_B,FOOD SALEE,0,25,202.5,22,5,HB6A3
