nom_hotel,annee,mois,categorie,sous_categorie,is_holiday,nombre_ventes,montant_ventes,nombre_paniers,nombre_produits,hotel_code
Ibis budget Nice,2023,8,N_F_B,ACCESSOIRES,0,31.0,370.0,24.0,11.0,H2075
Ibis budget Nice,2023,8,N_F_B,ACCESSOIRES,1,1.0,13.0,1.0,1.0,H2075
Ibis budget Nice,2023,8,N_F_B,COSMETIQUE,0,1.0,10.0,1.0,1.0,H2075
Ibis budget Nice,2023,8,N_F_B,PAP,0,7.0,74.0,7.0,5.0,H2075
Ibis budget Nice,2023,8,N_F_B,SOS,0,1.0,8.0,1.0,1.0,H2075
Ibis budget Nice,2023,9,N_F_B,ACCESSOIRES,0,16.0,186.0,13.0,9.0,H2075
Ibis budget Nice,2023,9,N_F_B,COSMETIQUE,0,3.0,30.0,3.0,1.0,H2075
Ibis budget Nice,2023,9,N_F_B,PAP,0,10.0,98.0,10.0,5.0,H2075
Ibis budget Nice,2023,9,N_F_B,SOS,0,1.0,8.0,1.0,1.0,H2075
Ibis budget Nice,2023,10,N_F_B,ACCESSOIRES,0,17.0,161.0,14.0,8.0,H2075
Ibis budget Nice,2023,10,N_F_B,PAP,0,5.0,45.0,5.0,3.0,H2075
Ibis budget Nice,2023,11,N_F_B,PAP,0,1.0,9.0,1.0,1.0,H2075
Ibis budget Nice,2024,3,N_F_B,ACCESSOIRES,0,2.0,16.0,2.0,2.0,H2075
Ibis budget Nice,2024,4,N_F_B,ACCESSOIRES,0,9.0,117.0,9.0,5.0,H2075
Ibis budget Nice,2024,4,N_F_B,COSMETIQUE,0,2.0,20.0,2.0,1.0,H2075
Ibis budget Nice,2024,4,N_F_B,SOS,0,1.0,8.0,1.0,1.0,H2075
Ibis budget Nice,2024,5,F_B,SANS ALCOOL,0,36.0,87.80000000000001,30.0,8.0,H2075
Ibis budget Nice,2024,5,N_F_B,ACCESSOIRES,0,8.0,97.0,8.0,8.0,H2075
Ibis budget Nice,2024,5,N_F_B,PAP,0,9.0,86.0,7.0,8.0,H2075
Ibis budget Nice,2024,6,F_B,FOOD SALEE,0,21.0,46.0,18.0,3.0,H2075
Ibis budget Nice,2024,6,F_B,SANS ALCOOL,0,196.0,454.40000000000003,143.0,15.0,H2075
Ibis budget Nice,2024,6,N_F_B,ACCESSOIRES,0,20.0,208.1,20.0,12.0,H2075
Ibis budget Nice,2024,6,N_F_B,COSMETIQUE,0,1.0,10.0,1.0,1.0,H2075
Ibis budget Nice,2024,6,N_F_B,JEUX / ENFANTS,0,1.0,18.0,1.0,1.0,H2075
Ibis budget Nice,2024,6,N_F_B,PAP,0,7.0,89.0,7.0,7.0,H2075
Ibis budget Nice,2024,6,N_F_B,SOS,0,1.0,16.0,1.0,1.0,H2075
Ibis budget Nice,2024,7,F_B,FOOD SALEE,0,24.0,59.0,21.0,5.0,H2075
Ibis budget Nice,2024,7,F_B,SANS ALCOOL,0,275.0,648.8000000000001,169.0,16.0,H2075
Ibis budget Nice,2024,7,F_B,SANS ALCOOL,1,6.0,13.8,5.0,5.0,H2075
Ibis budget Nice,2024,7,N_F_B,ACCESSOIRES,0,21.0,188.5,20.0,12.0,H2075
Ibis budget Nice,2024,7,N_F_B,COSMETIQUE,0,2.0,20.0,2.0,1.0,H2075
Ibis budget Nice,2024,7,N_F_B,JEUX / ENFANTS,0,3.0,54.0,3.0,1.0,H2075
Ibis budget Nice,2024,7,N_F_B,PAP,0,6.0,60.0,5.0,2.0,H2075
Ibis budget Nice,2024,7,N_F_B,SOS,0,1.0,8.0,1.0,1.0,H2075
Ibis budget Nice,2024,8,F_B,FOOD SALEE,0,17.0,47.0,12.0,4.0,H2075
Ibis budget Nice,2024,8,F_B,SANS ALCOOL,0,322.0,764.0,207.0,16.0,H2075
Ibis budget Nice,2024,8,N_F_B,ACCESSOIRES,0,23.0,259.0,18.0,11.0,H2075
Ibis budget Nice,2024,8,N_F_B,COSMETIQUE,0,3.0,29.0,3.0,2.0,H2075
Ibis budget Nice,2024,8,N_F_B,JEUX / ENFANTS,0,3.0,54.0,3.0,1.0,H2075
Ibis budget Nice,2024,8,N_F_B,PAP,0,2.0,20.0,2.0,2.0,H2075
Ibis budget Nice,2024,9,F_B,FOOD SALEE,0,17.0,36.5,15.0,4.0,H2075
Ibis budget Nice,2024,9,F_B,FOOD SUCREE,0,25.0,47.5,21.0,6.0,H2075
Ibis budget Nice,2024,9,F_B,SANS ALCOOL,0,194.0,457.20000000000005,130.0,15.0,H2075
Ibis budget Nice,2024,9,N_F_B,ACCESSOIRES,0,14.0,151.0,12.0,8.0,H2075
Ibis budget Nice,2024,9,N_F_B,COSMETIQUE,0,1.0,10.0,1.0,1.0,H2075
Ibis budget Nice,2024,9,N_F_B,PAP,0,7.0,69.0,7.0,5.0,H2075
Ibis budget Nice,2024,10,F_B,FOOD SALEE,0,14.0,30.5,13.0,3.0,H2075
Ibis budget Nice,2024,10,F_B,FOOD SUCREE,0,20.0,40.0,14.0,7.0,H2075
Ibis budget Nice,2024,10,F_B,SANS ALCOOL,0,147.0,336.8,103.0,16.0,H2075
Ibis budget Nice,2024,10,N_F_B,ACCESSOIRES,0,11.0,98.0,8.0,9.0,H2075
Ibis budget Nice,2024,10,N_F_B,PAP,0,4.0,35.0,4.0,3.0,H2075
Ibis budget Nice,2024,10,N_F_B,SOS,0,4.0,56.0,3.0,1.0,H2075
