nom_hotel,annee,mois,holiday_0_nombre_ventes,holiday_1_nombre_ventes,holiday_0_montant_ventes,holiday_1_montant_ventes,holiday_0_nombre_paniers,holiday_1_nombre_paniers,holiday_0_nombre_produits,holiday_1_nombre_produits
Ibis budget Nice,2023,1,23.25,0.25,249.75,3.25,20.0,0.25,11.5,0.25
Ibis budget Nice,2023,2,23.25,0.25,249.75,3.25,20.0,0.25,11.5,0.25
Ibis budget Nice,2023,3,23.25,0.25,249.75,3.25,20.0,0.25,11.5,0.25
Ibis budget Nice,2023,4,23.25,0.25,249.75,3.25,20.0,0.25,11.5,0.25
Ibis budget Nice,2023,5,23.25,0.25,249.75,3.25,20.0,0.25,11.5,0.25
Ibis budget Nice,2023,6,23.25,0.25,249.75,3.25,20.0,0.25,11.5,0.25
Ibis budget Nice,2023,7,23.25,0.25,249.75,3.25,20.0,0.25,11.5,0.25
Ibis budget Nice,2023,8,40.0,1.0,462.0,13.0,33.0,1.0,18.0,1.0
Ibis budget Nice,2023,9,30.0,0.0,322.0,0.0,27.0,0.0,16.0,0.0
Ibis budget Nice,2023,10,22.0,0.0,206.0,0.0,19.0,0.0,11.0,0.0
Ibis budget Nice,2023,11,1.0,0.0,9.0,0.0,1.0,0.0,1.0,0.0
Ibis budget Nice,2023,12,23.25,0.25,249.75,3.25,20.0,0.25,11.5,0.25
Ibis budget Nice,2024,1,167.0,2.0,530.96,4.65,119.3,1.5,27.6,1.7
Ibis budget Nice,2024,2,167.0,2.0,530.96,4.65,119.3,1.5,27.6,1.7
Ibis budget Nice,2024,3,2.0,0.0,16.0,0.0,2.0,0.0,2.0,0.0
Ibis budget Nice,2024,4,12.0,0.0,145.0,0.0,12.0,0.0,7.0,0.0
Ibis budget Nice,2024,5,53.0,0.0,270.8,0.0,45.0,0.0,24.0,0.0
Ibis budget Nice,2024,6,247.0,0.0,841.5,0.0,191.0,0.0,40.0,0.0
Ibis budget Nice,2024,7,332.0,6.0,1038.3000000000002,13.8,221.0,5.0,38.0,5.0
Ibis budget Nice,2024,8,370.0,0.0,1173.0,0.0,245.0,0.0,36.0,0.0
Ibis budget Nice,2024,9,258.0,0.0,771.2,0.0,186.0,0.0,39.0,0.0
Ibis budget Nice,2024,10,200.0,0.0,596.3,0.0,145.0,0.0,39.0,0.0
Ibis budget Nice,2024,11,93.0,8.0,220.9,20.3,75.0,5.0,27.0,7.0
Ibis budget Nice,2024,12,103.0,6.0,236.60000000000002,12.4,71.0,5.0,24.0,5.0
Ibis budget Nice,2025,1,127.0,16.0,308.3,37.3,92.0,11.0,25.0,13.0
Ibis budget Nice,2025,2,110.0,0.0,268.3,0.0,81.0,0.0,24.0,0.0
Ibis budget Nice,2025,3,245.0,0.0,625.6,0.0,199.0,0.0,29.0,0.0
Ibis budget Nice,2025,4,266.0,0.0,816.3000000000001,0.0,204.0,0.0,47.0,0.0
Ibis budget Nice,2025,5,377.0,34.0,1210.0,136.2,251.0,24.0,44.0,14.0
Ibis budget Nice,2025,6,473.0,0.0,1633.7,0.0,321.0,0.0,51.0,0.0
Ibis budget Nice,2025,7,432.0,19.0,1632.0,58.6,317.0,11.0,54.0,12.0
Ibis budget Nice,2025,8,465.0,15.0,1750.3000000000002,50.5,307.0,11.0,56.0,9.0
Ibis budget Nice,2025,9,415.0,0.0,1506.6,0.0,303.0,0.0,54.0,0.0
Ibis budget Nice,2025,10,319.0,0.0,996.0,0.0,224.0,0.0,47.0,0.0
Ibis budget Nice,2025,11,195.0,7.0,524.1,27.0,136.0,7.0,31.0,3.0
Ibis budget Nice,2025,12,161.0,2.0,463.20000000000005,4.7,113.0,1.0,31.0,2.0
Ibis budget Strasbourg Centre République,2024,1,249.0,13.0,914.0,51.833333333333336,195.33333333333334,10.0,26.0,7.666666666666667
Ibis budget Strasbourg Centre République,2024,2,249.0,13.0,914.0,51.833333333333336,195.33333333333334,10.0,26.0,7.666666666666667
Ibis budget Strasbourg Centre République,2024,3,249.0,13.0,914.0,51.833333333333336,195.33333333333334,10.0,26.0,7.666666666666667
Ibis budget Strasbourg Centre République,2024,4,249.0,13.0,914.0,51.833333333333336,195.33333333333334,10.0,26.0,7.666666666666667
Ibis budget Strasbourg Centre République,2024,5,249.0,13.0,914.0,51.833333333333336,195.33333333333334,10.0,26.0,7.666666666666667
Ibis budget Strasbourg Centre République,2024,6,249.0,13.0,914.0,51.833333333333336,195.33333333333334,10.0,26.0,7.666666666666667
Ibis budget Strasbourg Centre République,2024,7,249.0,13.0,914.0,51.833333333333336,195.33333333333334,10.0,26.0,7.666666666666667
Ibis budget Strasbourg Centre République,2024,8,249.0,13.0,914.0,51.833333333333336,195.33333333333334,10.0,26.0,7.666666666666667
Ibis budget Strasbourg Centre République,2024,9,249.0,13.0,914.0,51.833333333333336,195.33333333333334,10.0,26.0,7.666666666666667
Ibis budget Strasbourg Centre République,2024,10,151.0,0.0,618.5,0.0,112.0,0.0,22.0,0.0
