nom_hotel,annee,mois,nombre_ventes,montant_ventes,nombre_paniers,nombre_produits,nombre_categories_mois_f_b,nombre_categories_mois_n_f_b,pct_categories_mois_f_b,pct_categories_mois_n_f_b,nombre_mois,premier_mois,dernier_mois,mois_actifs,mois_manquants,cat_f_b_nombre_ventes,cat_nan_nombre_ventes,cat_n_f_b_nombre_ventes,cat_f_b_montant_ventes,cat_nan_montant_ventes,cat_n_f_b_montant_ventes,cat_f_b_nombre_paniers,cat_nan_nombre_paniers,cat_n_f_b_nombre_paniers,cat_f_b_nombre_produits,cat_nan_nombre_produits,cat_n_f_b_nombre_produits,sous_cat_ref_nombre_ventes,sous_cat_accessoires_nombre_ventes,sous_cat_alcool_nombre_ventes,sous_cat_cosmetique_nombre_ventes,sous_cat_food_salee_nombre_ventes,sous_cat_food_sucree_nombre_ventes,sous_cat_jeux_enfants_nombre_ventes,sous_cat_pap_nombre_ventes,sous_cat_sans_alcool_nombre_ventes,sous_cat_sos_nombre_ventes,sous_cat_souvenirs_nombre_ventes,sous_cat_nan_nombre_ventes,sous_cat_ref_montant_ventes,sous_cat_accessoires_montant_ventes,sous_cat_alcool_montant_ventes,sous_cat_cosmetique_montant_ventes,sous_cat_food_salee_montant_ventes,sous_cat_food_sucree_montant_ventes,sous_cat_jeux_enfants_montant_ventes,sous_cat_pap_montant_ventes,sous_cat_sans_alcool_montant_ventes,sous_cat_sos_montant_ventes,sous_cat_souvenirs_montant_ventes,sous_cat_nan_montant_ventes,sous_cat_ref_nombre_paniers,sous_cat_accessoires_nombre_paniers,sous_cat_alcool_nombre_paniers,sous_cat_cosmetique_nombre_paniers,sous_cat_food_salee_nombre_paniers,sous_cat_food_sucree_nombre_paniers,sous_cat_jeux_enfants_nombre_paniers,sous_cat_pap_nombre_paniers,sous_cat_sans_alcool_nombre_paniers,sous_cat_sos_nombre_paniers,sous_cat_souvenirs_nombre_paniers,sous_cat_nan_nombre_paniers,sous_cat_ref_nombre_produits,sous_cat_accessoires_nombre_produits,sous_cat_alcool_nombre_produits,sous_cat_cosmetique_nombre_produits,sous_cat_food_salee_nombre_produits,sous_cat_food_sucree_nombre_produits,sous_cat_jeux_enfants_nombre_produits,sous_cat_pap_nombre_produits,sous_cat_sans_alcool_nombre_produits,sous_cat_sos_nombre_produits,sous_cat_souvenirs_nombre_produits,sous_cat_nan_nombre_produits,heure_0_nombre_ventes,heure_1_nombre_ventes,heure_2_nombre_ventes,heure_3_nombre_ventes,heure_4_nombre_ventes,heure_5_nombre_ventes,heure_6_nombre_ventes,heure_7_nombre_ventes,heure_8_nombre_ventes,heure_9_nombre_ventes,heure_10_nombre_ventes,heure_11_nombre_ventes,heure_12_nombre_ventes,heure_13_nombre_ventes,heure_14_nombre_ventes,heure_15_nombre_ventes,heure_16_nombre_ventes,heure_17_nombre_ventes,heure_18_nombre_ventes,heure_19_nombre_ventes,heure_20_nombre_ventes,heure_21_nombre_ventes,heure_22_nombre_ventes,heure_23_nombre_ventes,heure_0_montant_ventes,heure_1_montant_ventes,heure_2_montant_ventes,heure_3_montant_ventes,heure_4_montant_ventes,heure_5_montant_ventes,heure_6_montant_ventes,heure_7_montant_ventes,heure_8_montant_ventes,heure_9_montant_ventes,heure_10_montant_ventes,heure_11_montant_ventes,heure_12_montant_ventes,heure_13_montant_ventes,heure_14_montant_ventes,heure_15_montant_ventes,heure_16_montant_ventes,heure_17_montant_ventes,heure_18_montant_ventes,heure_19_montant_ventes,heure_20_montant_ventes,heure_21_montant_ventes,heure_22_montant_ventes,heure_23_montant_ventes,heure_0_nombre_paniers,heure_1_nombre_paniers,heure_2_nombre_paniers,heure_3_nombre_paniers,heure_4_nombre_paniers,heure_5_nombre_paniers,heure_6_nombre_paniers,heure_7_nombre_paniers,heure_8_nombre_paniers,heure_9_nombre_paniers,heure_10_nombre_paniers,heure_11_nombre_paniers,heure_12_nombre_paniers,heure_13_nombre_paniers,heure_14_nombre_paniers,heure_15_nombre_paniers,heure_16_nombre_paniers,heure_17_nombre_paniers,heure_18_nombre_paniers,heure_19_nombre_paniers,heure_20_nombre_paniers,heure_21_nombre_paniers,heure_22_nombre_paniers,heure_23_nombre_paniers,heure_0_nombre_produits,heure_1_nombre_produits,heure_2_nombre_produits,heure_3_nombre_produits,heure_4_nombre_produits,heure_5_nombre_produits,heure_6_nombre_produits,heure_7_nombre_produits,heure_8_nombre_produits,heure_9_nombre_produits,heure_10_nombre_produits,heure_11_nombre_produits,heure_12_nombre_produits,heure_13_nombre_produits,heure_14_nombre_produits,heure_15_nombre_produits,heure_16_nombre_produits,heure_17_nombre_produits,heure_18_nombre_produits,heure_19_nombre_produits,heure_20_nombre_produits,heure_21_nombre_produits,heure_22_nombre_produits,heure_23_nombre_produits,weekend_0_nombre_ventes,weekend_1_nombre_ventes,weekend_0_montant_ventes,weekend_1_montant_ventes,weekend_0_nombre_paniers,weekend_1_nombre_paniers,weekend_0_nombre_produits,weekend_1_nombre_produits,holiday_0_nombre_ventes,holiday_1_nombre_ventes,holiday_0_montant_ventes,holiday_1_montant_ventes,holiday_0_nombre_paniers,holiday_1_nombre_paniers,holiday_0_nombre_produits,holiday_1_nombre_produits,hotel_code
Novotel Paris Tour Eiffel,2024,1,1204.0,5938.43375,689.5,0.0,2.5714285714285716,1.7142857142857142,0.5357142857142858,0.46428571428571425,7,5,12,8,4,986.625,0.0,217.375,4227.49625,0.0,1710.9375,572.5,0.0,171.75,0.0,0.0,0.0,0.0,0.0,0.0,2.0,189.125,252.5,0.0,0.0,545.0,215.25,0.125,0.0,0.0,0.0,0.0,16.0,1181.1,855.5,0.0,0.0,2190.89625,1692.625,2.3125,0.0,0.0,0.0,0.0,1.5,136.75,145.375,0.0,0.0,290.375,170.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.5,53.875,36.0,12.125,7.625,7.875,9.75,16.5,25.25,26.75,23.625,23.125,19.25,23.375,21.75,32.875,46.0,45.5,60.875,65.5,103.0,122.625,146.375,156.875,587.575,266.2625,171.4375,55.349999999999994,36.125,36.2875,46.66250000000001,95.17499999999998,135.2,143.9625,121.69999999999999,103.4375,109.375,115.65,114.6,156.8375,228.46249999999998,230.35,263.7875,375.8,474.4375,545.2125,757.85875,766.8875,72.75,30.375,21.625,7.25,4.125,5.625,7.0,11.5,17.5,18.875,15.375,14.625,15.25,16.125,15.0,21.375,27.5,28.75,36.75,39.0,62.0,73.625,88.125,94.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,825.625,378.375,4219.68375,1718.7500000000002,515.375,228.875,0.0,0.0,1169.0,35.0,5784.88375,153.55,722.375,21.875,0.0,0.0,H3546
Novotel Paris Tour Eiffel,2024,2,1204.0,5938.43375,689.5,0.0,2.5714285714285716,1.7142857142857142,0.5357142857142858,0.46428571428571425,7,5,12,8,4,986.625,0.0,217.375,4227.49625,0.0,1710.9375,572.5,0.0,171.75,0.0,0.0,0.0,0.0,0.0,0.0,2.0,189.125,252.5,0.0,0.0,545.0,215.25,0.125,0.0,0.0,0.0,0.0,16.0,1181.1,855.5,0.0,0.0,2190.89625,1692.625,2.3125,0.0,0.0,0.0,0.0,1.5,136.75,145.375,0.0,0.0,290.375,170.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.5,53.875,36.0,12.125,7.625,7.875,9.75,16.5,25.25,26.75,23.625,23.125,19.25,23.375,21.75,32.875,46.0,45.5,60.875,65.5,103.0,122.625,146.375,156.875,587.575,266.2625,171.4375,55.349999999999994,36.125,36.2875,46.66250000000001,95.17499999999998,135.2,143.9625,121.69999999999999,103.4375,109.375,115.65,114.6,156.8375,228.46249999999998,230.35,263.7875,375.8,474.4375,545.2125,757.85875,766.8875,72.75,30.375,21.625,7.25,4.125,5.625,7.0,11.5,17.5,18.875,15.375,14.625,15.25,16.125,15.0,21.375,27.5,28.75,36.75,39.0,62.0,73.625,88.125,94.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,825.625,378.375,4219.68375,1718.7500000000002,515.375,228.875,0.0,0.0,1169.0,35.0,5784.88375,153.55,722.375,21.875,0.0,0.0,H3546
Novotel Paris Tour Eiffel,2024,3,1204.0,5938.43375,689.5,0.0,2.5714285714285716,1.7142857142857142,0.5357142857142858,0.46428571428571425,7,5,12,8,4,986.625,0.0,217.375,4227.49625,0.0,1710.9375,572.5,0.0,171.75,0.0,0.0,0.0,0.0,0.0,0.0,2.0,189.125,252.5,0.0,0.0,545.0,215.25,0.125,0.0,0.0,0.0,0.0,16.0,1181.1,855.5,0.0,0.0,2190.89625,1692.625,2.3125,0.0,0.0,0.0,0.0,1.5,136.75,145.375,0.0,0.0,290.375,170.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.5,53.875,36.0,12.125,7.625,7.875,9.75,16.5,25.25,26.75,23.625,23.125,19.25,23.375,21.75,32.875,46.0,45.5,60.875,65.5,103.0,122.625,146.375,156.875,587.575,266.2625,171.4375,55.349999999999994,36.125,36.2875,46.66250000000001,95.17499999999998,135.2,143.9625,121.69999999999999,103.4375,109.375,115.65,114.6,156.8375,228.46249999999998,230.35,263.7875,375.8,474.4375,545.2125,757.85875,766.8875,72.75,30.375,21.625,7.25,4.125,5.625,7.0,11.5,17.5,18.875,15.375,14.625,15.25,16.125,15.0,21.375,27.5,28.75,36.75,39.0,62.0,73.625,88.125,94.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,825.625,378.375,4219.68375,1718.7500000000002,515.375,228.875,0.0,0.0,1169.0,35.0,5784.88375,153.55,722.375,21.875,0.0,0.0,H3546
Novotel Paris Tour Eiffel,2024,4,1204.0,5938.43375,689.5,0.0,2.5714285714285716,1.7142857142857142,0.5357142857142858,0.46428571428571425,7,5,12,8,4,986.625,0.0,217.375,4227.49625,0.0,1710.9375,572.5,0.0,171.75,0.0,0.0,0.0,0.0,0.0,0.0,2.0,189.125,252.5,0.0,0.0,545.0,215.25,0.125,0.0,0.0,0.0,0.0,16.0,1181.1,855.5,0.0,0.0,2190.89625,1692.625,2.3125,0.0,0.0,0.0,0.0,1.5,136.75,145.375,0.0,0.0,290.375,170.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.5,53.875,36.0,12.125,7.625,7.875,9.75,16.5,25.25,26.75,23.625,23.125,19.25,23.375,21.75,32.875,46.0,45.5,60.875,65.5,103.0,122.625,146.375,156.875,587.575,266.2625,171.4375,55.349999999999994,36.125,36.2875,46.66250000000001,95.17499999999998,135.2,143.9625,121.69999999999999,103.4375,109.375,115.65,114.6,156.8375,228.46249999999998,230.35,263.7875,375.8,474.4375,545.2125,757.85875,766.8875,72.75,30.375,21.625,7.25,4.125,5.625,7.0,11.5,17.5,18.875,15.375,14.625,15.25,16.125,15.0,21.375,27.5,28.75,36.75,39.0,62.0,73.625,88.125,94.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,825.625,378.375,4219.68375,1718.7500000000002,515.375,228.875,0.0,0.0,1169.0,35.0,5784.88375,153.55,722.375,21.875,0.0,0.0,H3546
Novotel Paris Tour Eiffel,2024,5,1.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,7,5,12,8,4,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,H3546
Novotel Paris Tour Eiffel,2024,6,335.0,3682.5,199.0,0.0,3.0,1.0,0.75,0.25,7,5,12,8,4,286.0,0.0,49.0,3077.5,0.0,605.0,170.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,59.0,0.0,0.0,185.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,310.0,391.5,0.0,0.0,2376.0,605.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,37.0,0.0,0.0,99.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,13.0,2.0,3.0,0.0,1.0,4.0,8.0,1.0,11.0,5.0,1.0,9.0,5.0,6.0,9.0,22.0,13.0,11.0,41.0,20.0,26.0,30.0,35.0,719.5,192.0,5.0,22.5,0.0,3.0,11.5,55.0,3.0,91.5,43.5,4.0,45.5,18.0,37.5,50.5,242.0,266.5,73.5,617.0,346.5,169.0,441.0,225.0,34.0,7.0,2.0,1.0,0.0,1.0,3.0,5.0,1.0,7.0,4.0,1.0,9.0,4.0,5.0,6.0,12.0,8.0,8.0,20.0,11.0,20.0,16.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.0,0.0,3682.5,0.0,208.0,0.0,0.0,0.0,335.0,0.0,3682.5,0.0,208.0,0.0,0.0,0.0,H3546
Novotel Paris Tour Eiffel,2024,7,382.0,2825.67,200.0,0.0,3.0,2.0,0.6,0.4,7,5,12,8,4,336.0,0.0,46.0,2410.17,0.0,415.5,180.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,97.0,0.0,0.0,184.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0,502.0,556.6999999999999,0.0,0.0,1351.47,397.0,18.5,0.0,0.0,0.0,0.0,0.0,41.0,48.0,0.0,0.0,91.0,39.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,16.0,17.0,0.0,0.0,2.0,0.0,4.0,7.0,6.0,3.0,1.0,7.0,9.0,5.0,9.0,13.0,9.0,17.0,23.0,34.0,14.0,88.0,57.0,253.5,110.5,106.7,0.0,0.0,7.1,0.0,16.1,35.6,28.9,18.9,2.9,41.9,52.599999999999994,25.6,50.9,119.5,53.900000000000006,83.1,126.19999999999999,153.9,117.39999999999999,870.0699999999999,550.4000000000001,27.0,11.0,10.0,0.0,0.0,1.0,0.0,3.0,5.0,6.0,2.0,1.0,6.0,4.0,4.0,6.0,5.0,6.0,12.0,12.0,24.0,9.0,40.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379.0,3.0,2815.67,10.0,217.0,3.0,0.0,0.0,382.0,0.0,2825.67,0.0,220.0,0.0,0.0,0.0,H3546
Novotel Paris Tour Eiffel,2024,9,365.0,1718.4999999999995,200.0,0.0,3.0,2.0,0.6,0.4,7,5,12,8,4,279.0,0.0,86.0,1079.5,0.0,639.0,156.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,54.0,87.0,0.0,0.0,138.0,85.0,0.0,0.0,0.0,0.0,0.0,8.0,314.6,269.4,0.0,0.0,495.5,631.0,0.0,0.0,0.0,0.0,0.0,1.0,39.0,48.0,0.0,0.0,69.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,32.0,17.0,4.0,2.0,0.0,0.0,3.0,7.0,0.0,4.0,13.0,0.0,5.0,15.0,8.0,19.0,7.0,12.0,27.0,25.0,28.0,29.0,52.0,250.0,149.4,56.1,29.0,16.0,0.0,0.0,32.9,41.8,0.0,30.0,48.0,0.0,17.8,63.1,30.9,72.2,26.5,76.3,126.1,135.6,142.3,135.4,239.1,33.0,13.0,12.0,4.0,1.0,0.0,0.0,3.0,6.0,0.0,3.0,6.0,0.0,2.0,9.0,5.0,11.0,5.0,8.0,12.0,19.0,19.0,20.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,285.0,376.3,1342.1999999999998,54.0,170.0,0.0,0.0,365.0,0.0,1718.5,0.0,224.0,0.0,0.0,0.0,H3546
Novotel Paris Tour Eiffel,2024,10,2927.0,13290.0,1705.0,0.0,3.0,2.0,0.6,0.4,7,5,12,8,4,2379.0,0.0,548.0,8996.0,0.0,4294.0,1415.0,0.0,427.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,443.0,614.0,0.0,0.0,1322.0,542.0,0.0,0.0,0.0,0.0,0.0,48.0,2545.7,1918.3999999999999,0.0,0.0,4531.9,4246.0,0.0,0.0,0.0,0.0,0.0,4.0,339.0,356.0,0.0,0.0,720.0,423.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.0,104.0,84.0,29.0,18.0,25.0,20.0,41.0,61.0,52.0,73.0,45.0,41.0,30.0,41.0,108.0,145.0,96.0,117.0,125.0,264.0,373.0,310.0,426.0,1342.1,460.4,397.4,109.6,101.8,121.2,101.8,237.10000000000002,263.9,287.5,347.6,211.5,256.4,129.8,278.4,457.9,618.3,412.7,531.0,702.9,1093.9,1642.4,1336.8,1847.6,190.0,62.0,55.0,18.0,12.0,20.0,14.0,28.0,44.0,39.0,50.0,29.0,29.0,24.0,31.0,74.0,85.0,64.0,79.0,82.0,157.0,217.0,187.0,252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2068.0,859.0,9395.9,3894.1000000000004,1308.0,534.0,0.0,0.0,2927.0,0.0,13290.0,0.0,1842.0,0.0,0.0,0.0,H3546
Novotel Paris Tour Eiffel,2024,11,2488.0,11874.8,1493.0,0.0,3.0,2.0,0.6,0.4,7,5,12,8,4,2001.0,0.0,487.0,8030.799999999999,0.0,3844.0,1198.0,0.0,392.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,437.0,479.0,0.0,0.0,1085.0,485.0,0.0,0.0,0.0,0.0,0.0,16.0,2752.7,1511.5,0.0,0.0,3766.6,3828.0,0.0,0.0,0.0,0.0,0.0,1.0,313.0,284.0,0.0,0.0,601.0,391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0,104.0,67.0,35.0,13.0,20.0,24.0,28.0,55.0,51.0,52.0,46.0,60.0,65.0,62.0,60.0,66.0,113.0,127.0,109.0,185.0,240.0,364.0,337.0,900.3,525.5,335.5,154.3,67.2,82.3,135.9,192.3,339.6,266.6,285.1,226.7,334.20000000000005,373.6,285.20000000000005,322.8,318.9,526.3,468.0,544.8,852.7,1074.1,1665.6,1597.3,134.0,58.0,41.0,20.0,7.0,12.0,20.0,24.0,37.0,33.0,33.0,34.0,51.0,48.0,40.0,37.0,44.0,71.0,70.0,73.0,118.0,146.0,228.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1587.0,901.0,7654.4,4220.4,1023.0,567.0,0.0,0.0,2327.0,161.0,11170.599999999999,704.2,1493.0,97.0,0.0,0.0,H3546
